sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51
hoyeon_free_activity_normal_01,0.0,24.083189,23.430749,22.203603,19.416488,16.643317,13.416408,10.77033,7.28011,4.123106,1.0,2.0,5.0,8.0,11.045361,14.035669,16.124515,19.104973,20.223748,20.223748,19.235384,17.262677,14.317821,11.401754,6.324555,2.828427,2.236068,14.21267,10.29563,8.246211,5.385165,6.708204,9.0,11.18034,13.601471,14.866069,14.866069,14.866069,13.928388,12.649111,11.7047,10.440307,8.246211,6.324555,4.472136,2.828427,3.162278,5.0,8.485281,12.041595,15.620499,19.104973,21.213203,20.329109666666668,19.398197666666665,17.958927,15.454874333333334,12.866451333333332,11.762915666666666,10.715764333333333,11.063811333333334,12.287338333333333,12.748320333333332,13.088112666666667,13.877848333333333,13.524927999999997,14.223899333333334,14.704953666666668,15.007891,15.997743333333332,16.146658,15.336914333333334,13.835997666666666,13.039617666666667,11.842488000000001,12.322358666666666,13.563178,13.932305999999999,14.071047333333334,5.0,6.477992666666666,8.485119666666668,10.434212,11.381268666666665,12.093597,12.511126666666668,12.013288666666668,11.72142466666667,11.924347666666668,12.072750333333333,11.650795333333335,10.883185333333335,9.951975333333333,9.002677333333333,7.674926666666667,7.144659333333333,7.516574000000001,9.368641333333333,11.928122,13.549071333333332,15.970014333333333,17.26528933333333,18.600427,19.47819133333333,20.029094999999998,20.153872,19.6742965,18.2334225,15.8412625,13.0111355,10.192388,11.424707,12.3591895,13.170832,13.359564,13.831349500000002,13.238289,12.861653,13.2686025,14.8003405,15.702917,16.9409625,16.8241275,15.7029825,14.123105500000001,12.465879,12.953835999999999,14.856059,16.378597,16.380202999999998,15.9558385,7.59017,7.1595569999999995,8.736068,10.2296805,11.042019,12.176451,11.493512500000001,10.750760999999999,10.020280999999999,10.020280999999999,9.7817485,10.04951,9.938658,9.5276925,8.930063,7.644000999999999,6.5207975,8.561553,10.159257499999999,11.8731475,13.6004275,15.7703295,16.3160055,16.8660685,16.3113885,17.7602425
hoyeon_free_activity_normal_01,0.1,2.6213205,6.0747775,8.902439000000001,12.071068,14.1655355,15.9601,16.3824115,16.629651,16.961078999999998,16.279868,15.705783499999999,14.2979445,13.319938,11.852350000000001,9.472135999999999,6.415476,3.4142135,1.9142135,4.6225205,8.640055,12.6080045,15.673603499999999,17.691897,18.284610999999998,18.284610999999998,17.3015965,16.840116000000002,19.02637,21.1018015,21.588278000000003,21.3271145,19.041246,16.6394105,14.011838000000001,10.0320635,6.555664,4.561553,3.605551,5.385165,6.8023325,8.5588215,10.547618499999999,11.6109675,13.6886665,14.7252835,15.824345,16.537032500000002,15.755183500000001,15.5883255,13.5089395,11.216117,7.6366805,22.847319,20.248457,17.088007,12.529964,9.433981,6.403124,6.0,8.544004,10.29563,12.529964,14.764823,15.652476,16.155494,18.027756,18.681542,17.720045,17.464249,16.492423,13.601471,11.18034,9.219544,8.062258,9.0,10.198039,13.0,14.764823,2.236068,3.605551,6.403124,8.485281,12.041595,13.453624,15.620499,16.401219,16.643317,16.124515,14.317821,13.0,11.7047,9.486833,7.28011,4.472136,2.828427,3.162278,5.0,8.485281,12.041595,15.620499,19.416488,22.472205,25.059928,24.596748,26.570661,23.086793,17.720045,10.440307,5.385165,2.236068,6.082763,10.0,14.0,17.0,19.026298,21.023796,22.022716,23.021729,23.021729,21.023796,21.023796,17.029386,12.041595,7.071068,2.828427,6.403124,11.313708,16.278821,19.104973,21.213203,3.0,2.236068,3.605551,7.81025,11.313708,14.866069,16.970563,17.691806,18.439089,18.439089,16.401219,15.0,12.806248,10.0,6.403124,2.828427,4.472136,7.615773,12.529964,17.0,22.36068,25.942244,29.546573,31.780497,31.38471,24.77036975
hoyeon_free_activity_normal_01,0.2,25.612497,25.0,22.803509,20.0,15.620499,12.727922,10.0,7.28011,5.0,5.0,5.830952,8.246211,10.049876,12.041595,15.0,16.0,18.0,19.0,19.0,18.0,16.0,13.038405,9.219544,6.403124,5.385165,7.071068,12.165525,8.944272,5.656854,4.123106,7.211103,10.198039,13.038405,14.142136,15.524175,16.155494,15.652476,13.892444,12.529964,10.816654,8.062258,6.708204,4.472136,2.0,2.0,4.472136,7.81025,12.041595,15.556349,18.439089,22.671568,24.839485,24.083189,21.400935,17.804494,14.142136,10.630146,7.615773,7.071068,8.544004,10.816654,13.038405,14.422205,16.643317,17.0,18.384776,19.313208,18.973666,18.681542,16.763055,14.56022,13.0,10.0,8.602325,9.219544,11.18034,13.341664,15.811388,3.162278,4.472136,7.071068,9.055385,12.165525,14.142136,16.492423,16.492423,17.088007,17.464249,15.652476,13.892444,11.661904,9.433981,7.81025,4.472136,3.0,3.605551,5.830952,9.848858,13.416408,17.492856,20.248457,23.600847,26.248809,26.248809,26.925824,23.4094,18.027756,9.848858,4.472136,1.414214,7.0,11.045361,15.132746,17.262677,20.223748,22.203603,23.194827,23.194827,23.194827,21.095023,20.099751,16.03122,11.045361,6.324555,3.0,6.403124,12.529964,16.552945,20.124612,21.470911,3.162278,2.236068,4.472136,8.602325,11.401754,15.0,17.204651,18.601075,19.416488,18.027756,16.643317,14.422205,13.038405,10.0,7.211103,2.828427,1.0,4.472136,8.062258,12.529964,17.0,22.825424,25.942244,30.413813,32.202484,31.780497
hoyeon_free_activity_normal_01,0.30000000000000004,24.186773,23.086793,22.090722,19.026298,16.03122,13.152946,10.440307,7.615773,6.403124,5.385165,6.0,7.28011,9.486833,11.18034,13.416408,15.264338,17.0,17.888544,18.384776,17.464249,16.155494,14.317821,11.661904,9.219544,8.062258,8.062258,12.041595,8.062258,4.123106,1.0,5.385165,10.198039,13.038405,16.03122,17.262677,17.464249,16.763055,15.231546,14.317821,12.083046,11.18034,8.944272,7.615773,5.09902,4.123106,3.605551,6.0,9.219544,12.369317,16.492423,19.646883,21.587033,10.816654,13.416408,15.652476,17.888544,17.888544,18.35756,18.027756,16.401219,14.21267,13.453624,10.630146,8.485281,6.708204,5.09902,6.324555,8.062258,10.630146,13.453624,16.278821,18.439089,19.849433,20.615528,20.518285,19.104973,16.278821,14.21267,13.416408,14.764823,13.892444,13.892444,12.206556,10.816654,8.602325,6.324555,4.0,3.605551,4.472136,7.28011,8.246211,10.440307,11.401754,12.649111,14.317821,15.652476,15.264338,15.811388,15.620499,13.453624,12.041595,10.0,7.615773,6.082763,13.038405,16.643317,18.867962,20.59126,19.235384,19.235384,17.492856,15.652476,13.892444,10.29563,8.062258,5.0,2.236068,2.236068,5.0,8.062258,11.045361,14.142136,16.03122,18.027756,19.026298,19.026298,17.0,15.0,12.0,9.0,13.0,14.317821,13.416408,13.416408,11.18034,10.29563,7.615773,4.472136,2.0,1.0,3.605551,5.656854,7.071068,9.219544,9.899495,11.313708,12.041595,13.453624,12.041595,12.041595,11.401754,9.219544,7.211103,3.605551,1.0,5.385165
hoyeon_free_activity_normal_01,0.4,7.071068,3.605551,5.0,8.246211,11.18034,13.892444,14.422205,15.620499,16.401219,16.278821,16.278821,15.556349,14.142136,12.727922,10.630146,7.81025,5.0,2.0,4.123106,8.544004,13.0,16.155494,19.313208,20.248457,21.18962,18.973666,14.317821,18.027756,19.697716,21.470911,22.472205,20.808652,18.439089,16.278821,12.041595,8.485281,5.0,2.236068,2.236068,5.0,7.211103,10.0,11.401754,15.0,17.204651,18.601075,20.808652,21.633308,22.472205,20.248457,18.867962,14.764823,18.210873,18.1589105,18.232124499999998,17.864468000000002,15.156604,14.247333999999999,12.542333,12.086226499999999,12.262516000000002,12.096006,12.5972705,12.170087500000001,11.9205315,12.337675999999998,12.919003,14.4000205,14.322294499999998,15.749959,16.115773,15.837704500000001,16.0226805,14.623105500000001,14.8011625,15.700877,15.208204,14.615773,8.330952,8.764982,9.415476,10.7426405,11.509204,11.8144845,11.586061,11.081971,10.3375785,9.720359499999999,11.246428,11.0278,11.109772,10.8020975,10.400270500000001,10.2110105,9.7162115,9.6184795,10.115773,11.240921,12.87028,14.286605,15.5169435,15.663581500000001,15.9748685,16.315224,13.152946,16.124515,19.235384,19.235384,19.235384,19.416488,17.262677,15.297059,13.152946,10.198039,8.062258,5.0,2.236068,2.0,4.242641,8.602325,10.816654,15.0,17.804494,19.209373,19.849433,19.104973,17.691806,15.556349,12.041595,8.485281,13.453624,14.142136,13.453624,13.453624,11.401754,10.0,6.403124,3.605551,1.0,2.0,4.123106,6.324555,8.544004,9.848858,10.77033,11.7047,12.649111,13.0,13.928388,13.0,12.083046,10.29563,6.708204,4.242641,2.236068,5.385165
hoyeon_free_activity_normal_01,0.5,8.062258,5.0,4.123106,6.403124,8.944272,12.649111,14.317821,15.132746,16.03122,16.03122,16.0,16.03122,15.033296,14.142136,12.165525,10.198039,6.324555,4.242641,3.162278,7.211103,10.77033,14.866069,18.027756,19.313208,20.248457,20.248457,13.892444,17.088007,20.615528,22.203603,23.021729,22.022716,20.099751,17.262677,14.317821,10.440307,7.615773,4.472136,2.236068,2.236068,5.09902,8.062258,11.045361,13.038405,15.033296,17.117243,19.104973,21.213203,21.213203,20.223748,19.235384,16.278821,26.570661,24.738634,21.587033,17.464249,13.601471,9.848858,7.071068,7.615773,8.062258,10.0,12.0,14.035669,16.124515,17.262677,18.439089,17.720045,18.027756,17.088007,14.866069,12.369317,10.0,8.246211,9.219544,11.18034,13.928388,16.763055,4.472136,4.123106,5.0,8.062258,11.18034,13.416408,15.652476,17.492856,18.027756,17.804494,17.691806,16.970563,15.620499,13.601471,10.816654,8.602325,7.071068,5.385165,5.09902,7.615773,11.661904,16.643317,20.248457,24.186773,26.832816,27.730849,22.36068,19.235384,14.142136,8.062258,4.472136,2.236068,6.324555,9.486833,13.0,14.866069,17.088007,19.313208,19.697716,20.124612,20.59126,19.235384,17.492856,14.764823,11.18034,7.28011,5.385165,7.615773,11.18034,14.142136,17.117243,19.104973,3.162278,4.472136,6.403124,9.848858,13.0,15.652476,17.0,17.888544,18.35756,17.492856,16.643317,14.422205,11.661904,10.29563,8.062258,4.472136,2.0,3.0,6.324555,9.848858,14.317821,18.788294,21.931712,24.698178,26.925824,27.202941
hoyeon_free_activity_normal_01,0.6000000000000001,6.708204,2.0,2.236068,6.403124,9.899495,12.806248,14.422205,16.124515,17.0,17.464249,18.384776,18.027756,17.088007,16.763055,14.56022,12.369317,9.219544,5.0,1.414214,5.0,9.433981,13.416408,16.552945,18.788294,20.124612,19.697716,19.697716,23.086793,25.70992,27.45906,27.294688,25.079872,23.0,19.0,15.033296,11.045361,7.071068,4.123106,2.236068,2.828427,5.385165,7.615773,10.29563,11.661904,13.892444,16.401219,17.804494,18.439089,19.104973,18.384776,16.970563,14.21267,11.0,15.033296,18.11077,19.104973,20.099751,20.024984,19.0,17.0,15.033296,13.038405,11.0,8.0,6.082763,5.0,5.385165,7.0,10.198039,13.341664,15.524175,17.720045,19.924859,19.924859,19.646883,17.720045,15.524175,12.369317,11.401754,12.206556,12.206556,12.206556,10.29563,9.433981,7.211103,4.242641,2.236068,2.236068,5.09902,7.071068,9.055385,11.045361,12.165525,13.341664,14.56022,15.811388,16.155494,15.652476,15.652476,13.892444,11.661904,8.544004,6.0,5.0,26.627054,21.954498,16.643317,9.433981,4.242641,2.236068,8.0,12.041595,15.033296,18.11077,21.095023,22.022716,23.021729,24.0,23.0,22.022716,21.023796,17.029386,13.038405,8.246211,5.830952,8.062258,12.529964,16.124515,19.235384,21.470911,3.162278,4.242641,6.324555,10.198039,14.142136,17.262677,19.416488,20.396078,20.615528,20.880613,18.973666,16.763055,14.866069,11.7047,8.544004,4.123106,1.414214,3.605551,7.81025,12.727922,17.691806,21.931712,25.455844,29.732137,31.890437,31.240999
hoyeon_free_activity_normal_01,0.7000000000000001,24.083189,23.430749,20.615528,17.691806,14.142136,11.401754,8.062258,6.0,5.385165,5.656854,6.708204,8.246211,9.055385,11.0,12.041595,13.152946,14.317821,15.524175,14.56022,13.928388,13.416408,11.661904,9.899495,8.602325,7.28011,8.062258,13.341664,10.29563,6.403124,6.324555,8.602325,12.165525,15.0,17.262677,18.681542,19.313208,19.235384,17.492856,15.264338,13.601471,11.661904,9.433981,6.708204,4.123106,2.0,3.0,5.830952,10.0,13.453624,17.029386,20.518285,22.671568,25.317978,23.537205,19.416488,15.297059,12.041595,9.055385,8.062258,7.81025,9.433981,11.18034,13.416408,14.764823,15.264338,16.643317,17.029386,17.029386,17.691806,15.556349,13.453624,12.206556,9.486833,9.055385,9.486833,11.661904,12.806248,14.21267,4.123106,5.385165,8.062258,10.0,13.453624,15.620499,16.401219,18.027756,17.492856,17.888544,16.155494,14.866069,13.601471,11.401754,8.544004,6.324555,5.0,5.385165,7.0,10.049876,14.142136,17.117243,21.095023,25.079872,27.0,27.073973,14.229978500000001,16.761754,18.9466335,19.748353,19.556099,18.7448745,17.029285,15.3939475,12.405484,9.8741765,7.7130115,4.7360679999999995,2.6180339999999998,2.236068,5.09902,8.123105500000001,12.324555499999999,14.779922,16.875632500000002,18.722122,19.2607305,18.741836,17.7554825,15.132746,12.10356,9.055385,13.038632,13.5374455,14.076473,13.082762500000001,11.618222,9.1480435,6.2281165000000005,3.5811390000000003,1.618034,3.8106165,6.7237115,8.071092499999999,9.880462999999999,10.755381,12.1093725,12.5607255,13.446221999999999,13.711102499999999,13.019202499999999,11.872475,10.532979999999998,8.0798885,5.2238305,3.0811390000000003,4.6622775,6.403124
hoyeon_free_activity_normal_01,0.8,11.7047,11.661904,10.630146,11.401754,11.661904,12.083046,11.7047,12.369317,12.165525,12.041595,12.041595,13.038405,12.0,13.0,12.0,12.0,11.0,9.055385,7.28011,6.403124,6.708204,8.246211,11.045361,13.038405,14.142136,14.142136,16.763055,20.223748,22.0,22.203603,21.84033,19.697716,17.0,13.601471,9.433981,5.830952,4.0,3.605551,5.830952,6.708204,8.544004,9.486833,10.440307,10.440307,11.18034,13.152946,14.142136,15.033296,15.0,15.0,15.033296,14.142136,10.630146,13.601471,15.264338,16.643317,18.601075,18.601075,17.804494,16.278821,14.142136,12.727922,11.313708,9.899495,7.81025,6.708204,7.0,8.246211,10.77033,13.0,15.652476,17.0,18.35756,19.235384,18.788294,17.888544,15.652476,12.529964,10.198039,11.401754,11.7047,11.7047,11.18034,8.944272,7.615773,5.385165,3.0,2.236068,3.162278,5.0,7.071068,9.055385,10.049876,11.18034,12.369317,13.0,13.416408,13.892444,13.601471,12.806248,11.401754,9.433981,7.615773,6.082763,19.697716,16.552945,12.083046,6.708204,3.0,3.162278,6.403124,10.630146,12.041595,14.866069,17.029386,17.804494,19.209373,18.601075,18.601075,17.204651,15.811388,12.206556,9.219544,5.385165,4.472136,8.062258,12.083046,15.231546,17.464249,18.788294,2.236068,3.162278,6.324555,10.77033,13.928388,15.811388,17.720045,18.681542,17.464249,17.262677,15.132746,13.152946,10.049876,8.062258,5.385165,3.605551,1.0,3.605551,6.708204,10.440307,14.56022,17.720045,20.880613,23.086793,24.351591,23.769729
hoyeon_free_activity_normal_01,0.9,24.413111,25.238859,23.853721,21.954498,19.723083,16.124515,13.038405,10.0,7.81025,5.385165,5.09902,5.656854,7.211103,9.433981,12.083046,14.866069,17.088007,18.384776,19.697716,18.788294,18.788294,16.552945,14.317821,11.7047,9.055385,7.071068,13.038405,9.848858,6.324555,3.0,2.236068,6.0,9.0,12.041595,13.152946,14.317821,14.56022,14.56022,13.601471,12.649111,12.649111,11.401754,9.486833,8.246211,6.324555,4.123106,1.414214,3.605551,7.071068,12.041595,16.970563,20.518285,12.206556,15.264338,17.492856,18.867962,19.416488,19.209373,17.029386,15.556349,14.142136,12.041595,10.630146,7.81025,5.830952,5.09902,6.324555,8.944272,10.816654,14.422205,16.401219,18.601075,19.416488,19.416488,18.867962,16.643317,15.264338,12.206556,13.892444,13.892444,13.601471,13.038405,12.206556,10.816654,8.062258,6.324555,4.0,4.242641,5.830952,7.615773,9.486833,10.77033,12.083046,13.416408,14.764823,15.811388,15.0,14.866069,14.142136,12.727922,11.313708,8.602325,7.071068,6.708204,13.892444,17.492856,19.235384,20.124612,19.697716,18.788294,17.0,14.317821,12.529964,9.848858,6.708204,4.242641,1.0,3.0,6.082763,9.219544,12.165525,15.132746,17.117243,18.11077,19.104973,18.11077,16.03122,14.035669,11.045361,8.062258,13.601471,13.601471,13.601471,12.806248,11.401754,9.219544,7.211103,3.605551,1.0,2.236068,3.605551,5.830952,7.81025,9.219544,10.0,11.401754,12.806248,12.806248,12.806248,12.041595,10.630146,9.219544,6.403124,2.236068,1.414214,5.830952
