sample_id,time_sec,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51
hoyeon_lie_down_normal_01,0.0,15.811388,15.524175,16.492423,16.492423,15.524175,14.56022,12.649111,11.7047,9.848858,8.944272,6.708204,5.385165,4.123106,4.0,4.472136,6.403124,8.602325,12.083046,15.231546,18.027756,21.18962,23.086793,23.086793,22.561028,22.203603,20.024984,13.601471,14.317821,14.422205,14.866069,13.601471,12.529964,11.401754,11.045361,10.049876,9.219544,7.28011,5.385165,3.605551,2.236068,1.414214,2.828427,5.0,7.071068,7.81025,9.219544,10.630146,11.313708,12.806248,13.038405,13.892444,13.038405,26.248809,22.627417,19.79899,15.556349,10.630146,7.615773,6.0,7.211103,9.899495,12.727922,15.556349,18.439089,20.0,21.633308,24.186773,24.596748,24.698178,23.4094,21.18962,18.384776,14.317821,10.630146,8.246211,10.198039,13.416408,15.811388,6.0,4.123106,3.605551,4.472136,6.082763,9.0,11.0,12.0,13.038405,12.041595,13.038405,12.165525,10.198039,8.246211,7.28011,6.082763,5.09902,5.0,5.830952,8.944272,12.083046,16.552945,19.697716,23.706539,25.553865,27.45906,11.661904,14.317821,16.552945,18.788294,19.723083,18.867962,18.027756,16.401219,14.21267,12.206556,10.0,8.062258,6.082763,6.082763,6.708204,7.81025,9.899495,12.041595,13.601471,15.0,15.811388,16.401219,16.401219,15.0,14.21267,12.806248,12.0,14.035669,15.297059,15.811388,15.231546,13.892444,10.816654,8.062258,5.385165,4.0,4.242641,6.403124,8.062258,8.944272,10.29563,11.661904,12.529964,13.038405,13.038405,13.892444,13.038405,11.661904,10.29563,8.544004,7.071068,6.708204
hoyeon_lie_down_normal_01,0.1,14.866069,15.811388,16.763055,16.763055,16.492423,15.811388,13.928388,13.0,11.18034,9.433981,8.602325,7.211103,5.830952,4.472136,4.0,5.0,7.211103,11.18034,13.928388,18.027756,19.924859,22.803509,23.537205,24.33105,23.194827,21.023796,13.601471,14.142136,14.21267,13.038405,11.7047,11.045361,10.049876,9.486833,8.062258,7.81025,5.656854,5.0,3.162278,1.0,1.0,2.828427,3.605551,5.830952,7.211103,8.062258,9.433981,10.816654,11.401754,11.313708,12.041595,13.038405,24.083189,22.36068,19.416488,14.142136,10.049876,7.071068,5.656854,6.324555,9.219544,12.165525,15.297059,17.464249,18.973666,21.540659,22.36068,23.323808,23.853721,23.021729,20.808652,17.204651,13.416408,10.198039,8.544004,10.630146,13.892444,16.155494,5.656854,5.0,4.123106,5.0,6.324555,8.062258,10.0,11.401754,12.206556,12.529964,11.661904,11.18034,10.440307,8.544004,7.28011,5.830952,5.0,4.472136,6.0,8.062258,12.369317,15.297059,18.248288,22.203603,25.019992,26.019224,11.661904,14.317821,16.552945,18.788294,19.723083,18.867962,18.027756,16.401219,14.21267,12.206556,10.0,8.062258,6.082763,6.082763,6.708204,7.81025,9.899495,12.041595,13.601471,15.0,15.811388,16.401219,16.401219,15.0,14.21267,12.806248,12.0,14.035669,15.297059,15.811388,15.231546,13.892444,10.816654,8.062258,5.385165,4.0,4.242641,6.403124,8.062258,8.944272,10.29563,11.661904,12.529964,13.038405,13.038405,13.892444,13.038405,11.661904,10.29563,8.544004,7.071068,6.708204
hoyeon_lie_down_normal_01,0.2,10.049876,8.0,6.082763,5.0,5.385165,6.0,8.0,10.0,12.041595,13.038405,14.317821,14.866069,17.0,18.027756,20.615528,21.260292,22.627417,22.627417,21.931712,20.615528,18.35756,15.811388,15.033296,16.155494,18.601075,21.260292,6.403124,7.28011,10.049876,11.7047,13.038405,13.453624,14.21267,13.416408,13.341664,13.0,12.369317,12.083046,11.661904,11.313708,11.313708,11.401754,10.630146,11.401754,10.630146,9.899495,10.0,11.18034,11.7047,11.7047,12.369317,12.165525,10.440307,13.0,15.231546,17.088007,18.027756,17.720045,17.464249,16.278821,15.132746,13.0,12.0,10.0,8.062258,5.385165,5.0,6.082763,10.0,13.152946,16.278821,20.396078,22.36068,24.33105,24.186773,23.194827,21.095023,18.11077,6.708204,8.062258,8.944272,9.848858,9.848858,8.944272,8.062258,7.211103,5.656854,5.0,4.123106,5.09902,6.082763,7.28011,7.615773,9.486833,9.486833,11.401754,12.369317,12.165525,12.165525,12.165525,10.198039,8.246211,6.403124,5.385165,25.262048,22.466134,18.9277885,14.9286395,10.424429,8.177126999999999,7.8826955000000005,10.09017,12.09017,14.0095075,15.6150715,17.207998,17.409757,18.132385,17.617691999999998,17.433981,16.695428,15.3216585,13.8824115,12.0226805,10.9210305,9.29694,8.930063,8.6485415,9.178944,9.680329,6.889636,6.082763,6.3638395,8.640901,11.954131,14.815446,17.648674999999997,19.466228,19.961801,19.343773,17.9430965,16.0451045,14.01729,11.913714500000001,9.326762500000001,7.343420500000001,6.117038,6.203659,7.566663,10.4471095,13.33605,17.029837999999998,20.397023,24.0023905,26.066950499999997,26.747549
hoyeon_lie_down_normal_01,0.30000000000000004,9.219544,7.071068,5.385165,5.09902,5.830952,7.81025,10.0,11.401754,12.806248,13.453624,14.866069,15.0,16.643317,17.0,18.027756,18.681542,19.646883,19.646883,18.681542,16.155494,14.422205,13.453624,13.928388,15.0,17.464249,19.697716,7.211103,8.602325,10.198039,12.0,13.341664,13.0,13.038405,12.727922,11.661904,10.77033,11.18034,11.045361,10.198039,10.77033,10.29563,9.433981,9.433981,8.944272,8.544004,8.246211,8.0,9.055385,10.440307,10.77033,11.18034,11.661904,10.630146,13.453624,14.866069,16.970563,17.691806,18.439089,17.204651,16.643317,14.764823,13.0,11.7047,9.486833,7.615773,5.0,4.472136,6.082763,9.848858,12.529964,16.643317,19.723083,21.954498,23.706539,23.706539,22.825424,21.470911,17.888544,7.615773,8.944272,9.848858,10.77033,9.848858,9.848858,8.944272,7.615773,6.082763,6.0,5.385165,5.0,6.403124,7.81025,8.602325,10.0,10.630146,12.727922,12.727922,13.453624,12.806248,12.806248,11.401754,8.485281,6.708204,6.0,29.154759,26.019224,22.0,17.0,12.041595,8.544004,6.403124,7.071068,10.049876,12.165525,14.142136,15.132746,16.124515,17.117243,18.027756,18.027756,18.027756,16.0,15.0,13.0,11.045361,8.544004,6.403124,5.830952,7.071068,8.062258,8.485281,5.830952,6.082763,8.062258,12.806248,16.401219,19.723083,22.36068,22.472205,23.086793,21.377558,19.235384,17.117243,14.142136,12.165525,10.198039,7.615773,6.403124,7.071068,9.055385,12.369317,17.088007,21.18962,24.351591,27.202941,29.614186
hoyeon_lie_down_normal_01,0.4,14.142136,14.317821,15.297059,15.297059,14.142136,13.152946,12.041595,11.0,9.055385,8.062258,6.082763,5.09902,3.0,2.236068,2.236068,5.0,8.0,11.045361,14.142136,17.262677,19.235384,20.223748,22.36068,21.587033,20.880613,18.788294,14.317821,14.56022,14.317821,13.038405,12.041595,10.630146,10.29563,8.544004,7.071068,6.0,5.09902,3.162278,2.236068,1.0,1.0,2.236068,3.605551,5.0,6.403124,7.211103,7.211103,8.062258,8.944272,9.486833,10.198039,12.0,25.806976,22.472205,18.35756,15.264338,10.816654,7.071068,6.082763,7.28011,9.848858,12.529964,15.652476,17.464249,20.248457,21.84033,23.537205,24.186773,24.020824,24.020824,21.0,18.027756,14.142136,9.848858,7.81025,10.049876,13.152946,16.492423,6.0,5.09902,4.472136,5.0,6.708204,8.246211,10.198039,11.401754,12.369317,12.649111,12.649111,11.7047,9.848858,8.944272,7.615773,6.324555,5.0,5.385165,6.403124,9.219544,12.806248,15.620499,19.849433,22.671568,24.758837,26.248809,24.351591,21.931712,18.384776,13.0,10.440307,7.071068,6.403124,8.062258,10.77033,12.649111,14.866069,15.811388,17.088007,17.464249,17.464249,17.0,17.0,15.652476,13.416408,12.083046,10.440307,9.055385,7.28011,7.211103,7.81025,9.433981,6.324555,4.472136,4.472136,7.071068,10.198039,13.152946,17.117243,18.0,18.11077,18.248288,16.763055,15.811388,13.928388,10.77033,9.486833,6.082763,5.09902,5.0,6.708204,9.219544,12.041595,16.03122,19.026298,22.203603,25.317978,26.683328
hoyeon_lie_down_normal_01,0.5,11.924429,11.14094,11.016648,10.870750000000001,10.553368500000001,11.236193,11.59017,11.5642035,11.317976000000002,11.7552745,11.0679715,10.750760999999999,10.773527,10.6046865,11.111433,12.1857815,14.1875665,15.767665000000001,16.662277,17.446250499999998,17.7960145,17.303014,18.253937,18.727943500000002,19.921521,19.708244,10.9685685,11.405125,12.099402,13.0112605,13.3772085,13.100597,12.28011,11.686603,10.608622,10.080914,8.603278,8.1628435,6.818911,6.09017,6.2297875,6.4391514999999995,6.649013,7.0276925,7.3246675,7.877553499999999,8.6221155,9.5577135,9.9580165,10.575414,11.027707,11.855152,11.045361,14.317821,16.278821,17.262677,18.248288,18.027756,18.0,17.029386,16.124515,14.317821,12.369317,10.198039,8.062258,6.0,5.830952,6.403124,9.486833,13.152946,16.124515,19.104973,22.203603,23.194827,24.33105,23.345235,21.377558,18.439089,6.708204,7.615773,8.944272,9.848858,9.848858,8.944272,7.615773,6.708204,5.0,4.472136,4.0,5.09902,6.324555,7.615773,8.544004,9.848858,10.440307,12.369317,12.165525,12.165525,12.041595,12.041595,11.045361,9.219544,6.708204,7.211103,11.401754,13.601471,15.811388,18.027756,17.804494,17.804494,17.029386,14.866069,14.142136,11.313708,9.899495,7.81025,5.385165,5.0,5.385165,6.403124,7.81025,10.630146,11.401754,13.601471,14.422205,15.0,15.0,13.601471,12.806248,11.401754,14.035669,16.278821,16.763055,17.088007,15.652476,14.422205,12.206556,9.433981,6.324555,5.09902,5.0,7.071068,9.219544,10.0,12.206556,12.806248,13.601471,14.21267,14.21267,15.0,14.21267,13.601471,12.206556,10.29563,8.246211,7.071068
hoyeon_lie_down_normal_01,0.6000000000000001,8.944272,7.211103,5.656854,5.09902,6.324555,7.211103,9.433981,10.816654,13.038405,13.416408,15.231546,15.811388,17.464249,18.11077,19.026298,20.0,20.024984,19.026298,18.027756,16.03122,13.601471,12.206556,11.661904,14.317821,17.0,20.223748,4.242641,5.09902,8.062258,10.440307,12.529964,13.601471,14.142136,15.0,14.317821,13.601471,13.152946,12.0,11.18034,11.401754,10.77033,9.848858,9.848858,9.486833,9.219544,9.055385,10.0,10.049876,11.18034,11.401754,11.7047,11.7047,11.661904,14.422205,17.204651,18.601075,19.416488,19.723083,18.788294,17.088007,15.811388,14.56022,12.369317,10.440307,8.544004,5.830952,5.830952,7.0,9.219544,12.649111,17.088007,19.697716,22.472205,23.769729,24.351591,23.4094,21.18962,18.027756,6.403124,7.81025,8.485281,9.219544,9.219544,8.485281,7.81025,5.830952,5.385165,4.0,5.385165,5.830952,6.403124,8.485281,8.485281,10.630146,11.401754,12.206556,12.206556,13.038405,12.529964,11.661904,10.29563,8.485281,7.211103,7.071068,12.083046,14.317821,17.888544,18.788294,19.313208,19.313208,18.027756,16.492423,14.56022,12.369317,10.440307,8.544004,6.708204,5.830952,6.082763,7.0,9.219544,11.401754,12.649111,14.866069,15.811388,15.811388,15.524175,15.297059,14.317821,12.165525,13.0,15.264338,15.620499,15.556349,15.0,13.601471,10.816654,8.602325,5.830952,5.09902,6.082763,7.615773,8.944272,10.29563,11.661904,12.529964,13.416408,13.892444,14.317821,14.764823,14.317821,13.416408,11.661904,10.0,8.602325,7.28011
hoyeon_lie_down_normal_01,0.7000000000000001,12.0,11.18034,9.848858,9.219544,10.0,11.18034,12.649111,13.601471,14.56022,15.811388,17.088007,17.888544,18.35756,18.867962,20.615528,20.615528,21.260292,20.615528,19.209373,17.492856,15.811388,14.035669,15.811388,17.204651,19.104973,21.633308,7.28011,9.219544,12.529964,14.866069,17.117243,18.0,19.235384,18.681542,17.464249,16.643317,15.556349,14.422205,13.416408,12.649111,11.401754,11.18034,10.198039,9.219544,8.246211,8.062258,7.81025,8.602325,9.848858,11.401754,12.369317,13.152946,24.3271475,22.662316,19.47441,15.0084795,11.251093000000001,7.7720495000000005,5.415655,6.0,8.249827,11.0725035,13.6046655,15.814562,18.440368499999998,20.2242935,22.058376000000003,23.112213500000003,23.443348999999998,23.1047445,21.026518000000003,17.8183015,14.035850499999999,10.975335,8.3322915,9.1670695,11.6729325,14.464193999999999,5.6622775,5.04951,5.0043375,5.6622775,7.1934065,9.056066999999999,10.5,12.0,13.0178345,13.038632,12.041882999999999,11.6754925,11.181782,9.222125,8.249827,6.580639,5.5,4.7434165,6.1411929999999995,8.955128,11.428062,14.7770825,18.9391025,21.913413499999997,24.488007,25.4744395,10.630146,13.601471,15.811388,17.204651,17.804494,18.439089,17.029386,15.556349,14.142136,12.041595,9.899495,7.81025,5.830952,5.09902,5.09902,5.830952,7.81025,10.0,11.661904,13.038405,13.892444,15.264338,15.264338,14.422205,13.601471,12.806248,13.341664,15.811388,16.552945,17.492856,16.401219,14.866069,12.727922,9.219544,5.830952,5.0,5.385165,6.403124,8.485281,9.219544,11.401754,12.041595,13.453624,14.21267,14.866069,14.866069,14.866069,14.21267,12.806248,10.816654,8.544004,7.0
hoyeon_lie_down_normal_01,0.8,10.816654,9.848858,8.062258,7.071068,7.211103,8.485281,10.0,11.401754,12.806248,14.21267,14.866069,15.620499,17.204651,18.35756,18.788294,19.313208,19.313208,19.313208,17.464249,16.124515,13.453624,11.661904,12.165525,14.317821,17.464249,20.248457,5.830952,9.0,12.165525,14.866069,17.0,18.027756,17.691806,17.029386,16.643317,15.231546,14.56022,13.038405,12.0,11.18034,10.198039,9.219544,8.246211,8.062258,8.0,8.246211,8.944272,10.0,11.401754,12.727922,13.453624,13.601471,25.495098,23.345235,19.104973,14.866069,10.630146,6.403124,4.123106,5.656854,8.944272,12.083046,14.764823,17.492856,19.416488,22.022716,23.345235,24.758837,25.495098,23.430749,21.400935,18.439089,14.142136,9.433981,8.062258,9.219544,12.529964,16.155494,5.830952,5.09902,5.09902,5.830952,7.211103,8.944272,11.18034,12.083046,13.416408,14.317821,12.529964,12.206556,11.661904,10.0,8.602325,5.830952,4.123106,4.123106,5.656854,8.062258,12.083046,15.652476,19.235384,24.186773,26.07681,27.202941,26.570661,24.041631,20.615528,15.524175,11.7047,9.219544,7.615773,9.055385,11.045361,13.152946,16.124515,17.262677,18.11077,19.026298,19.026298,19.0,19.0,18.027756,16.03122,15.0,13.038405,11.18034,9.848858,9.219544,10.0,10.29563,8.246211,7.0,4.472136,8.062258,10.77033,13.928388,17.888544,18.867962,20.615528,20.518285,19.209373,17.204651,14.422205,12.529964,10.0,7.81025,5.656854,5.09902,7.071068,9.433981,12.206556,16.401219,20.0,23.021729,26.07681,27.294688
hoyeon_lie_down_normal_01,0.9,14.866069,16.401219,16.401219,16.401219,15.0,14.21267,12.727922,11.313708,9.219544,7.071068,5.656854,4.242641,3.162278,3.162278,5.0,7.071068,10.630146,12.806248,16.278821,19.209373,21.260292,23.430749,24.207437,23.021729,21.095023,18.788294,15.132746,15.033296,15.033296,13.152946,12.649111,10.29563,8.485281,7.211103,6.324555,5.0,4.123106,3.605551,2.828427,2.0,2.236068,3.605551,4.123106,6.082763,7.071068,8.062258,9.055385,9.219544,9.486833,11.18034,11.661904,12.806248,26.172505,25.019992,21.0,16.0,12.0,8.062258,5.0,5.09902,8.062258,10.198039,13.341664,16.278821,18.11077,21.023796,23.021729,23.086793,24.186773,23.345235,21.377558,18.248288,14.035669,10.049876,6.403124,8.062258,11.18034,14.866069,5.656854,5.0,5.09902,6.082763,8.544004,10.29563,11.661904,13.038405,13.892444,13.892444,14.317821,13.416408,11.7047,10.77033,8.944272,6.708204,6.403124,5.830952,6.0,9.219544,12.649111,17.088007,20.248457,24.041631,26.683328,27.658633,26.832816,24.596748,20.615528,15.652476,10.816654,7.81025,7.0,9.486833,11.18034,13.416408,15.652476,16.552945,17.464249,18.384776,18.973666,17.720045,17.720045,16.492423,14.56022,12.649111,11.18034,9.219544,8.062258,8.246211,10.0,11.18034,8.062258,6.082763,6.403124,8.944272,13.0,17.088007,20.124612,21.633308,22.803509,22.671568,20.518285,18.601075,16.401219,13.601471,10.630146,8.485281,6.403124,6.0,7.28011,10.0,14.21267,17.691806,21.931712,25.495098,28.319605,28.600699
