sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
hoyeon_sit_normal_01,0.0,21.095023,22.0,20.024984,18.11077,15.033296,12.041595,10.049876,8.246211,7.211103,7.071068,8.062258,8.544004,10.198039,12.165525,14.035669,16.03122,18.11077,20.223748,21.377558,21.84033,21.18962,19.313208,16.552945,12.083046,8.246211,7.071068,11.661904,10.630146,9.219544,7.81025,5.830952,5.09902,5.09902,6.324555,8.062258,8.944272,10.29563,10.29563,11.18034,11.18034,11.7047,11.7047,10.440307,9.486833,8.544004,6.708204,5.0,5.09902,8.246211,11.7047,15.811388,18.681542,10.816654,10.630146,9.899495,9.219544,7.81025,6.403124,6.403124,6.708204,7.615773,9.219544,11.401754,12.369317,13.928388,16.552945,18.35756,19.416488,20.615528,20.518285,19.79899,18.384776,16.278821,14.422205,13.0,13.038405,14.142136,15.524175,11.7047,10.198039,10.049876,10.29563,13.453624,14.866069,16.970563,18.384776,19.104973,18.439089,17.204651,16.124515,13.416408,12.083046,10.77033,9.486833,7.28011,6.324555,5.385165,5.830952,5.830952,6.708204,7.28011,8.062258,9.0,10.198039,15.132169000000001,15.132169000000001,14.8824115,14.176745,14.035262,14.035262,14.591944999999999,14.5041025,15.644120000000001,16.1400045,17.014693,17.67878,18.763629,19.925456,20.082583999999997,20.569031000000003,20.383370999999997,19.915746499999997,18.5663645,17.0921145,15.9679515,16.2920825,15.901498,17.5724995,18.907296000000002,20.062306,6.889636,8.062258,9.081908,10.1445825,9.96357,9.96357,9.486833,9.486833,8.3951075,8.544004,7.912056999999999,7.4479415,7.4479415,7.930992,7.8390155,8.303131,8.881774,9.486833,11.0725035,11.553227,12.582762500000001,13.678113,14.400246,15.148817000000001,15.905694,16.321658499999998
hoyeon_sit_normal_01,0.1,10.816654,12.369317,13.038405,16.03122,18.11077,19.026298,19.104973,19.026298,19.104973,18.11077,17.029386,16.124515,16.124515,15.297059,14.56022,12.649111,12.529964,12.041595,12.206556,14.866069,17.464249,21.377558,24.515301,26.925824,27.856777,26.832816,9.0,12.041595,14.317821,15.524175,17.088007,17.0,16.643317,14.422205,13.601471,12.206556,9.433981,8.062258,7.28011,6.0,6.324555,8.062258,9.899495,13.453624,14.866069,17.691806,19.849433,21.633308,22.472205,20.59126,19.235384,16.124515,6.324555,7.615773,8.944272,9.848858,10.29563,11.401754,11.313708,11.313708,10.630146,10.816654,9.433981,8.602325,7.81025,7.071068,7.211103,7.615773,10.049876,12.0,15.033296,17.117243,20.099751,22.090722,23.086793,22.090722,20.024984,18.11077,18.027756,19.723083,21.954498,21.954498,21.470911,19.235384,17.0,13.892444,10.816654,8.485281,7.211103,6.324555,7.0,7.071068,7.071068,8.062258,8.062258,8.0,8.062258,8.062258,8.246211,7.28011,6.708204,6.708204,5.830952,5.385165,15.132169000000001,15.132169000000001,14.8824115,14.176745,14.035262,14.035262,14.591944999999999,14.5041025,15.644120000000001,16.1400045,17.014693,17.67878,18.763629,19.925456,20.082583999999997,20.569031000000003,20.383370999999997,19.915746499999997,18.5663645,17.0921145,15.9679515,16.2920825,15.901498,17.5724995,18.907296000000002,20.062306,6.889636,8.062258,9.081908,10.1445825,9.96357,9.96357,9.486833,9.486833,8.3951075,8.544004,7.912056999999999,7.4479415,7.4479415,7.930992,7.8390155,8.303131,8.881774,9.486833,11.0725035,11.553227,12.582762500000001,13.678113,14.400246,15.148817000000001,15.905694,16.321658499999998
hoyeon_sit_normal_01,0.2,8.602325,8.602325,11.18034,12.649111,13.601471,14.56022,14.866069,14.866069,14.56022,13.601471,12.649111,12.369317,12.369317,11.18034,11.045361,10.0,10.049876,9.486833,10.29563,11.313708,14.21267,16.401219,19.209373,21.260292,21.213203,21.400935,7.28011,8.944272,10.816654,11.401754,12.041595,12.041595,11.401754,10.816654,9.433981,8.602325,6.403124,5.656854,4.472136,4.123106,5.0,6.324555,7.615773,9.848858,11.7047,13.601471,15.524175,16.278821,16.124515,16.03122,14.035669,12.041595,10.0,9.899495,8.602325,9.433981,7.211103,6.403124,5.656854,6.403124,7.615773,8.944272,11.18034,12.529964,13.892444,15.811388,17.691806,19.104973,19.209373,20.0,19.416488,18.027756,16.401219,14.142136,12.206556,12.649111,13.152946,15.0,12.649111,10.198039,9.055385,10.29563,12.206556,14.142136,16.970563,16.970563,17.691806,17.029386,17.204651,15.264338,13.416408,12.083046,9.486833,9.219544,7.28011,7.28011,6.324555,5.385165,6.324555,6.324555,7.071068,8.062258,8.062258,9.486833,17.691806,18.384776,17.691806,17.691806,17.029386,16.401219,15.0,13.601471,13.038405,12.206556,11.401754,10.630146,11.313708,12.041595,13.601471,15.264338,17.0,19.235384,21.470911,23.259407,23.706539,24.186773,24.186773,22.472205,21.095023,17.492856,6.082763,6.082763,6.324555,5.830952,5.830952,6.403124,7.071068,7.81025,8.485281,8.485281,8.485281,8.485281,7.81025,8.602325,7.81025,8.602325,7.211103,8.602325,8.602325,9.219544,9.899495,11.313708,12.041595,13.453624,14.866069,16.278821
hoyeon_sit_normal_01,0.30000000000000004,8.602325,8.062258,9.486833,11.18034,13.038405,14.035669,15.033296,14.035669,14.035669,14.035669,13.038405,12.0,12.041595,12.041595,11.18034,10.198039,9.848858,9.433981,9.219544,10.29563,12.649111,15.524175,18.439089,20.615528,21.18962,21.023796,6.324555,8.544004,10.29563,12.206556,13.453624,13.453624,13.601471,12.206556,10.29563,9.433981,7.211103,6.403124,4.242641,4.472136,4.0,5.385165,8.062258,9.433981,12.083046,14.317821,16.155494,16.763055,17.464249,17.262677,15.132746,13.152946,11.045361,11.045361,10.198039,9.219544,8.246211,7.071068,7.0,7.28011,8.544004,9.848858,12.083046,13.601471,15.524175,18.11077,19.026298,21.023796,22.203603,22.203603,20.396078,19.235384,17.117243,15.0,13.341664,13.892444,14.866069,16.278821,13.0,11.661904,10.630146,11.661904,13.341664,15.132746,18.027756,19.104973,19.104973,19.235384,18.439089,16.763055,15.231546,13.416408,11.661904,10.816654,8.602325,7.81025,7.81025,7.211103,7.211103,7.211103,7.81025,9.219544,9.433981,10.77033,18.439089,19.104973,18.384776,17.691806,16.970563,16.278821,14.21267,13.453624,12.041595,11.313708,11.313708,11.401754,12.206556,12.206556,13.892444,15.652476,18.788294,20.615528,21.931712,24.166092,24.596748,24.596748,24.186773,22.825424,20.59126,17.888544,5.385165,5.0,5.0,6.403124,7.211103,6.708204,8.062258,8.062258,9.433981,9.433981,9.433981,9.219544,9.219544,8.485281,7.81025,7.071068,7.81025,7.071068,7.81025,8.602325,9.433981,10.816654,12.206556,14.422205,15.811388,16.401219
hoyeon_sit_normal_01,0.4,9.899495,11.18034,13.601471,16.278821,17.464249,18.439089,18.439089,17.720045,16.492423,16.492423,15.297059,14.142136,14.142136,14.035669,13.0,13.038405,12.369317,13.0,14.422205,16.278821,18.439089,22.022716,24.839485,27.586228,27.658633,27.202941,8.062258,10.198039,13.601471,14.866069,15.652476,15.811388,15.0,13.453624,12.727922,11.313708,9.219544,7.81025,6.708204,6.082763,6.082763,7.28011,8.944272,11.661904,13.892444,15.652476,17.464249,19.313208,19.924859,18.439089,16.492423,13.601471,10.848475,10.810323499999999,10.9210305,11.007191500000001,10.699578500000001,10.0547365,10.0,10.642308,10.826179,11.401754,12.371709,12.258301500000002,13.159030999999999,13.513149,14.670617,15.5739375,16.981391000000002,18.4728225,19.109503,19.887146,19.7434825,19.2320225,18.7124265,19.055028999999998,18.7761055,18.037768,16.2102225,16.3285615,16.351021,16.212775,16.915022,17.249861,17.246428,17.4773145,15.713891499999999,14.318016,13.6046865,12.485958,11.1322765,10.711886499999999,10.308249,9.313452,9.018153,9.018153,8.602325,8.377261,8.5731645,8.109049,8.683349,9.02522,9.340932,9.660852499999999,14.56022,14.56022,15.811388,15.811388,16.155494,16.155494,16.155494,15.811388,16.763055,16.492423,17.262677,18.11077,18.11077,19.026298,19.0,20.024984,20.024984,20.024984,19.0,19.026298,18.248288,18.681542,18.384776,19.235384,19.723083,20.248457,7.81025,9.219544,10.29563,10.29563,9.848858,9.486833,8.246211,8.246211,7.28011,6.708204,5.830952,6.403124,7.071068,7.81025,8.602325,8.602325,10.29563,11.18034,12.083046,12.649111,13.341664,14.142136,14.142136,15.132746,15.132746,14.142136
hoyeon_sit_normal_01,0.5,21.84033,21.540659,19.697716,17.888544,15.652476,13.0,11.401754,10.049876,10.0,10.198039,10.440307,10.77033,11.18034,13.038405,14.422205,16.401219,17.804494,20.808652,21.095023,22.36068,21.931712,20.248457,18.681542,14.56022,12.083046,10.0,10.198039,9.486833,8.544004,7.615773,6.324555,5.0,5.385165,5.830952,7.211103,8.602325,8.602325,9.433981,9.433981,10.29563,10.29563,10.77033,9.848858,9.486833,8.544004,8.062258,7.071068,7.615773,9.219544,13.038405,16.03122,19.235384,12.529964,12.083046,11.401754,9.486833,8.246211,6.708204,6.403124,7.211103,8.062258,10.29563,12.529964,13.892444,16.401219,18.384776,19.849433,22.203603,22.472205,22.825424,22.36068,20.124612,18.027756,15.620499,13.601471,13.928388,15.132746,16.03122,13.0,11.661904,9.899495,10.77033,12.041595,15.033296,18.027756,19.104973,20.024984,20.0,20.024984,18.248288,15.524175,14.56022,12.649111,11.7047,9.848858,8.544004,7.615773,7.28011,8.246211,8.544004,9.848858,10.29563,11.401754,12.041595,14.035669,13.152946,13.341664,13.601471,13.0,14.317821,14.317821,15.231546,16.155494,16.763055,17.720045,18.439089,19.235384,19.026298,20.0,20.024984,20.099751,19.026298,18.027756,16.03122,15.297059,15.231546,16.643317,17.029386,19.104973,19.79899,5.656854,7.071068,7.211103,8.062258,8.544004,9.486833,9.219544,8.062258,7.071068,6.082763,6.082763,5.09902,5.385165,5.830952,5.830952,7.211103,8.062258,8.944272,9.848858,11.7047,13.341664,14.142136,15.132746,16.03122,16.03122,16.0
hoyeon_sit_normal_01,0.6000000000000001,20.808652,21.095023,20.124612,17.888544,15.231546,13.0,10.29563,9.219544,7.81025,7.615773,8.062258,8.0,9.219544,11.401754,12.649111,14.866069,18.027756,19.646883,21.377558,21.213203,21.095023,20.0,17.0,13.0,10.049876,7.211103,12.041595,11.0,10.049876,9.055385,7.0,5.09902,5.0,5.656854,7.211103,8.062258,8.944272,9.848858,10.77033,11.18034,11.661904,10.816654,11.401754,10.630146,9.219544,7.81025,6.324555,6.0,7.211103,10.630146,14.866069,17.691806,8.602325,9.433981,10.816654,11.661904,11.18034,12.083046,11.7047,12.369317,11.401754,11.18034,10.198039,9.219544,9.219544,8.544004,9.433981,9.899495,12.041595,14.422205,16.124515,19.235384,21.470911,22.825424,22.825424,22.825424,21.470911,18.788294,18.027756,20.880613,21.587033,22.561028,21.377558,20.396078,18.248288,15.297059,12.369317,9.486833,7.211103,5.656854,5.830952,6.324555,7.28011,8.062258,8.246211,8.544004,8.944272,8.944272,8.602325,8.485281,8.485281,8.602325,8.062258,8.062258,15.033296,14.142136,13.341664,12.649111,13.416408,13.892444,13.892444,14.764823,15.652476,16.552945,18.027756,18.681542,18.439089,19.235384,20.024984,20.0,20.0,19.0,18.027756,16.124515,14.56022,14.764823,15.620499,16.970563,18.439089,19.209373,5.656854,7.071068,7.211103,8.062258,8.544004,9.486833,9.219544,9.055385,8.062258,7.0,6.082763,6.082763,5.09902,5.385165,5.385165,6.708204,8.062258,8.944272,9.848858,11.7047,13.601471,14.317821,15.132746,16.124515,16.03122,16.03122
hoyeon_sit_normal_01,0.7000000000000001,10.310649000000002,9.8239825,10.8011625,13.3494065,15.1352485,16.447105999999998,17.3234415,17.3234415,16.840771,16.840771,16.071125,14.90073,14.90073,14.342729,13.657295999999999,12.331387,11.502143499999999,11.0207975,10.651295000000001,12.567237500000001,15.226811999999999,19.4966395,23.2687545,25.322634,26.618974,26.524376500000002,5.7360679999999995,8.8328245,11.7966265,13.844850000000001,15.095581500000002,15.5178345,15.3927265,14.576526000000001,13.290993499999999,11.6232775,9.272002,7.9412175000000005,5.7117875,4.5,4.4953579999999995,5.43763,7.6511535,10.228569499999999,13.4004195,16.0048135,18.505353999999997,20.7292525,21.457027500000002,20.630249499999998,19.47441,16.128839499999998,8.602325,9.219544,10.0,10.816654,10.816654,10.29563,11.18034,10.77033,10.440307,9.219544,8.246211,8.246211,7.615773,8.062258,7.81025,9.219544,10.29563,13.416408,15.231546,17.464249,19.313208,20.248457,20.248457,19.313208,18.384776,16.155494,17.720045,19.924859,20.880613,21.84033,20.615528,19.416488,17.262677,14.317821,11.401754,8.544004,6.708204,5.656854,5.385165,5.385165,6.082763,6.082763,7.071068,7.28011,8.544004,7.615773,8.062258,7.81025,7.81025,7.81025,7.81025,7.81025,17.029386,17.804494,18.027756,18.35756,17.0,15.652476,13.0,11.7047,9.486833,8.544004,7.211103,6.403124,6.324555,8.062258,10.0,13.0,16.03122,19.026298,21.0,23.0,23.021729,23.021729,22.022716,20.024984,17.029386,14.0,7.071068,6.0,5.0,5.0,4.0,2.236068,2.236068,3.0,4.0,5.0,7.0,7.0,7.071068,8.062258,7.28011,7.28011,7.615773,7.615773,6.324555,6.324555,6.082763,6.0,6.708204,8.602325,10.630146,12.806248
hoyeon_sit_normal_01,0.8,8.944272,9.219544,9.848858,11.401754,13.341664,14.142136,14.317821,14.317821,14.317821,13.152946,13.152946,12.165525,12.041595,11.045361,11.0,10.049876,9.219544,8.944272,8.602325,10.0,12.083046,14.866069,17.088007,19.697716,20.59126,20.808652,6.324555,8.544004,10.29563,12.206556,12.806248,12.727922,12.041595,11.401754,10.816654,9.433981,7.81025,6.403124,5.0,4.472136,5.0,6.082763,7.615773,9.848858,12.083046,14.317821,16.155494,16.763055,17.464249,17.262677,16.124515,13.152946,9.848858,11.18034,11.661904,11.661904,12.529964,12.206556,12.806248,12.041595,11.313708,9.899495,9.899495,9.899495,9.219544,8.602325,8.544004,10.440307,12.165525,14.035669,16.0,18.0,20.0,21.0,21.0,21.0,18.0,16.0,19.79899,21.213203,23.345235,24.083189,23.430749,22.022716,19.209373,16.401219,13.453624,11.313708,8.602325,7.615773,7.071068,7.0,7.071068,8.062258,9.055385,9.055385,10.0,10.049876,10.198039,10.198039,9.486833,9.486833,9.848858,8.944272,14.317821,12.649111,11.18034,10.0,9.486833,11.18034,12.529964,14.422205,15.264338,17.0,18.384776,18.973666,19.646883,20.223748,21.095023,20.024984,19.0,17.029386,14.035669,12.649111,10.816654,10.816654,13.601471,16.278821,18.11077,20.099751,4.123106,6.082763,7.28011,8.544004,9.433981,10.0,10.630146,9.899495,10.0,8.602325,8.062258,7.211103,5.0,4.242641,4.472136,5.09902,6.082763,8.062258,9.055385,11.045361,13.152946,15.297059,16.763055,17.088007,18.384776,17.464249
hoyeon_sit_normal_01,0.9,23.769729,23.086793,22.561028,19.416488,16.278821,13.341664,10.440307,8.944272,7.81025,8.062258,8.544004,10.198039,11.045361,13.0,14.035669,16.03122,19.026298,20.0,22.022716,22.090722,21.377558,19.416488,16.492423,12.649111,9.055385,6.324555,10.049876,10.198039,8.246211,7.071068,6.0,5.385165,5.0,6.403124,8.602325,9.433981,10.0,10.816654,11.401754,11.401754,12.041595,12.041595,11.313708,9.899495,9.219544,7.81025,6.324555,7.071068,8.944272,13.038405,16.643317,20.59126,9.486833,9.486833,10.440307,11.401754,11.401754,12.165525,12.041595,11.045361,11.0,10.0,10.0,9.0,8.062258,8.246211,8.062258,10.0,11.313708,12.806248,15.620499,18.601075,20.0,21.400935,20.615528,20.0,18.601075,15.811388,20.099751,22.203603,23.345235,24.515301,23.769729,21.587033,18.439089,16.492423,13.341664,10.049876,8.062258,6.324555,6.403124,7.071068,7.211103,8.062258,8.602325,9.219544,9.899495,9.219544,10.0,9.433981,8.944272,8.944272,9.486833,9.486833,14.866069,12.649111,11.18034,10.0,8.602325,9.848858,11.401754,13.341664,14.56022,15.811388,17.464249,18.788294,19.723083,20.0,21.260292,19.79899,19.79899,17.691806,15.556349,13.038405,10.440307,11.045361,13.0,15.264338,18.027756,19.209373,2.828427,4.242641,6.403124,6.708204,8.544004,9.219544,10.049876,10.0,10.049876,9.219544,8.246211,7.28011,6.324555,5.09902,4.0,4.123106,4.472136,6.403124,7.81025,10.0,11.401754,13.892444,16.124515,16.552945,18.384776,18.027756
