sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51
hoyeon_stand_normal_01,0.0,23.4094,23.706539,22.472205,20.808652,17.804494,14.21267,12.206556,8.944272,7.28011,7.0,7.28011,8.944272,9.433981,12.206556,13.601471,15.811388,17.204651,19.723083,20.124612,19.313208,18.973666,16.763055,13.601471,9.848858,8.485281,8.544004,14.866069,14.317821,13.416408,12.529964,11.18034,9.486833,8.062258,8.062258,9.219544,9.848858,10.77033,11.7047,12.649111,12.649111,12.369317,13.341664,12.165525,12.165525,11.18034,9.219544,8.544004,7.81025,8.944272,12.369317,15.297059,18.439089,15.144870000000001,14.9230445,14.5,12.924975,11.655665,10.258955499999999,10.920475,12.170087500000001,13.082762500000001,13.5990195,14.031129,14.5413815,14.091135,13.509612,15.0369865,17.147344,18.7382025,18.902699000000002,18.9763075,17.0140695,15.373803500000001,12.2686025,14.482076,17.7209005,19.0393195,20.457165500000002,3.915476,4.1622775,4.347162,4.758089,4.6225205,4.352285500000001,3.8643285,3.2393545,2.6213205,2.9208095,3.605551,4.081139,4.496615,4.854102,4.935241,5.610662,5.925881,6.2671969999999995,7.1925825,7.7720495000000005,8.920698999999999,9.330952,10.641869,11.7794655,13.5836155,14.5504045,16.978336,14.686841000000001,12.407318,8.744138,6.555664,4.7360679999999995,5.5908915,7.8390155,10.246834499999999,12.1242855,14.686841000000001,16.5596135,17.3600225,19.2607305,20.2242935,20.819662,20.4624295,19.499325,17.133132,13.5178345,9.7434165,5.09902,3.6426920000000003,7.245606499999999,11.086041999999999,14.591944999999999,4.7360679999999995,4.0,4.6213204999999995,6.9596535,10.3679685,13.8297425,16.03856,17.804294499999997,18.2541695,18.192658,18.192658,17.2904315,15.521467000000001,13.5089395,12.144801000000001,10.532979999999998,9.353188500000002,8.623105500000001,8.123105500000001,10.0234485,11.531829,13.910416,15.521467000000001,17.5578815,18.447859,19.3483745
hoyeon_stand_normal_01,0.1,23.086793,24.0,23.086793,21.213203,18.439089,15.297059,13.152946,10.0,8.062258,8.944272,8.602325,9.899495,11.401754,13.038405,15.264338,16.643317,19.416488,20.615528,21.931712,21.931712,20.615528,18.601075,15.811388,12.041595,9.433981,10.198039,13.152946,13.038405,12.041595,11.0,10.049876,8.246211,7.615773,7.81025,8.485281,10.0,10.816654,11.401754,12.806248,12.041595,12.727922,12.727922,12.041595,12.041595,10.630146,9.899495,8.602325,8.246211,9.0,13.152946,16.492423,19.416488,20.248457,18.601075,15.0,11.313708,7.211103,5.09902,7.071068,10.77033,13.601471,17.464249,20.396078,22.36068,24.515301,26.683328,28.160256,27.202941,26.925824,24.166092,20.124612,15.264338,9.219544,2.0,6.708204,13.038405,18.439089,23.345235,5.09902,6.324555,6.324555,6.708204,5.830952,4.472136,3.605551,2.236068,1.0,2.236068,3.605551,3.605551,5.0,6.403124,7.071068,7.071068,7.211103,7.615773,8.246211,9.055385,10.049876,12.369317,15.231546,17.0,18.867962,20.248457,18.973666,17.088007,13.928388,10.198039,8.0,5.385165,6.403124,8.944272,10.77033,13.601471,16.155494,17.888544,19.723083,21.633308,22.022716,21.931712,23.345235,21.260292,18.439089,15.620499,10.630146,7.211103,3.605551,7.28011,11.045361,15.033296,5.09902,3.605551,5.09902,8.544004,12.529964,15.264338,18.867962,20.59126,21.470911,21.470911,20.124612,19.697716,18.384776,16.155494,13.928388,11.18034,10.0,9.219544,9.433981,10.77033,13.341664,15.132746,17.262677,20.223748,21.377558,20.615528
hoyeon_stand_normal_01,0.2,16.6726175,15.944619499999998,16.0115265,15.1242285,14.57738,13.919306500000001,12.8597875,11.7686825,11.190039500000001,10.140055,10.5,10.651295000000001,11.086041999999999,11.544709000000001,12.042806500000001,12.4126565,12.876305,13.552140999999999,14.5117265,15.6953265,16.512492,16.905694,17.156604,16.034578500000002,14.767765999999998,15.354073499999998,10.043179,11.0083985,11.683302000000001,11.7251645,11.7932165,11.3409725,10.9777335,10.6789255,10.535534,10.5,10.5,9.5,9.556331499999999,8.2568655,8.582762500000001,9.24504,9.236411,10.2201535,10.7434165,11.031129,12.0,12.409486999999999,13.8603325,15.539196,17.281802,17.4703315,23.537205,22.561028,19.646883,14.866069,10.29563,7.211103,7.071068,10.0,14.142136,17.804494,21.400935,24.207437,27.018512,29.068884,31.144823,31.112698,29.732137,27.018512,23.021729,17.492856,10.77033,2.236068,7.071068,14.764823,21.540659,26.925824,6.403124,7.071068,6.403124,6.403124,5.830952,3.605551,2.0,1.414214,3.605551,5.385165,6.324555,7.615773,7.615773,8.544004,8.944272,9.433981,9.219544,9.219544,10.29563,11.7047,14.142136,16.03122,19.104973,22.36068,24.515301,13.478330499999998,16.0,14.0,11.0,9.0,5.385165,5.0,5.09902,8.0,10.0,13.038405,14.0,15.033296,17.117243,17.464249,18.973666,19.697716,18.788294,18.35756,15.264338,12.529964,8.944272,5.0,4.472136,8.0,11.18034,14.317821,6.403124,4.472136,5.385165,7.81025,11.313708,14.21267,16.278821,18.439089,19.104973,19.104973,19.104973,17.029386,14.866069,13.453624,12.041595,10.630146,7.81025,8.062258,8.062258,9.0,11.18034,13.341664,15.297059,17.464249,18.248288,19.104973
hoyeon_stand_normal_01,0.30000000000000004,23.021729,23.021729,22.203603,19.416488,17.464249,14.56022,12.165525,9.0,8.246211,8.062258,7.81025,9.219544,10.816654,12.529964,13.416408,15.652476,17.0,18.867962,19.416488,20.0,18.439089,16.278821,13.453624,10.630146,7.615773,8.062258,12.369317,12.649111,12.083046,11.18034,8.944272,7.615773,6.082763,5.09902,6.708204,7.81025,9.219544,10.630146,11.401754,11.401754,12.206556,11.661904,11.18034,10.77033,9.848858,8.062258,7.071068,6.708204,8.062258,11.18034,14.317821,18.248288,8.944272,10.440307,12.165525,14.142136,14.035669,14.035669,14.0,12.0,11.045361,9.055385,7.071068,4.123106,1.414214,1.414214,5.09902,9.055385,12.041595,16.124515,19.104973,22.203603,24.33105,24.515301,24.738634,23.086793,21.18962,17.464249,2.828427,3.162278,3.0,4.123106,4.472136,5.0,5.830952,5.830952,5.830952,5.830952,5.830952,5.830952,5.0,4.242641,3.605551,3.162278,3.0,3.162278,3.605551,4.242641,5.830952,6.324555,6.082763,7.0,6.324555,6.708204,16.401219,13.453624,11.401754,8.062258,5.09902,5.385165,7.071068,8.602325,10.816654,13.601471,16.401219,17.691806,19.104973,21.260292,21.400935,23.021729,21.954498,20.59126,17.888544,14.317821,10.29563,5.656854,4.123106,6.708204,11.7047,14.56022,5.830952,3.0,4.123106,7.071068,11.0,14.035669,16.03122,18.027756,19.0,18.0,18.027756,17.029386,14.035669,13.038405,11.0,9.055385,8.246211,8.062258,7.81025,9.219544,11.661904,13.416408,14.764823,17.0,18.027756,18.027756
hoyeon_stand_normal_01,0.4,25.612497,25.238859,23.706539,20.615528,18.027756,13.928388,11.18034,8.485281,8.062258,8.246211,10.049876,11.045361,13.038405,15.033296,16.03122,17.117243,18.11077,18.248288,19.235384,18.439089,16.492423,14.56022,12.165525,10.0,8.544004,9.219544,13.601471,13.453624,12.727922,11.313708,10.0,8.602325,8.544004,9.055385,11.0,12.0,13.0,13.0,13.038405,13.152946,13.152946,12.165525,12.369317,11.18034,10.198039,9.0,8.246211,9.433981,11.313708,15.0,19.209373,21.931712,15.165667,13.9470885,11.3494935,8.564484,6.737096,7.164487,9.326100499999999,12.6916295,15.577747,18.206266,21.328552000000002,23.140568000000002,24.9178035,25.874609999999997,27.317847,25.8719535,25.53667,22.6384735,19.1171045,13.535658,7.0725105,2.236068,7.807536,14.4248965,20.4112085,25.123067,5.6080585,6.9941569999999995,8.5588215,9.8011625,9.8913325,9.757475,8.791732,7.5,5.656854,4.061209,3.5413815,4.2803115,5.0043375,5.701562,7.232691,8.125990999999999,9.1252785,10.310649000000002,11.184658500000001,12.261002,12.6530855,13.635026,14.462869999999999,15.3007355,16.6235545,16.658821500000002,11.661904,13.892444,15.264338,16.124515,16.643317,16.401219,15.620499,13.453624,12.727922,11.401754,9.219544,7.071068,5.0,3.162278,3.605551,6.403124,8.944272,12.083046,15.231546,17.888544,20.124612,21.470911,21.954498,20.59126,18.867962,15.264338,14.317821,15.231546,16.552945,15.652476,15.652476,13.416408,11.18034,8.544004,6.082763,5.09902,4.242641,5.385165,6.082763,8.062258,9.055385,10.049876,11.045361,11.18034,11.18034,11.18034,11.18034,10.198039,9.055385,8.062258,7.615773,8.602325
hoyeon_stand_normal_01,0.5,8.944272,8.0,8.544004,10.816654,12.806248,15.0,15.0,15.811388,15.264338,14.422205,13.038405,12.206556,10.816654,10.0,9.219544,8.062258,7.28011,8.0,9.486833,12.083046,14.764823,17.492856,19.723083,21.023796,21.540659,19.924859,5.385165,7.28011,10.198039,11.401754,12.649111,13.601471,13.928388,13.416408,12.529964,10.816654,9.433981,7.211103,5.385165,4.123106,4.123106,4.242641,5.830952,7.615773,9.848858,13.0,14.764823,16.643317,18.027756,17.804494,17.029386,14.866069,10.198039,10.77033,12.529964,13.601471,13.601471,13.453624,12.727922,11.313708,10.630146,7.81025,6.403124,4.472136,2.0,2.0,5.0,8.602325,12.806248,16.401219,19.209373,22.203603,23.600847,25.0,25.238859,23.323808,20.59126,17.464249,3.162278,3.605551,4.472136,5.09902,6.0,7.28011,7.28011,7.615773,8.062258,7.211103,7.211103,5.830952,4.472136,3.605551,2.236068,1.0,1.0,2.236068,3.605551,5.0,6.403124,7.071068,7.81025,8.602325,8.944272,9.219544,11.661904,13.601471,15.0,15.811388,16.643317,16.124515,14.764823,13.928388,12.649111,10.198039,8.246211,6.082763,3.162278,2.236068,3.605551,5.656854,9.219544,12.806248,16.278821,19.104973,21.213203,21.931712,21.931712,20.518285,18.439089,15.620499,14.422205,15.264338,16.124515,16.124515,15.264338,13.892444,11.661904,10.0,7.071068,5.385165,5.0,5.385165,7.211103,7.81025,8.485281,10.630146,10.630146,11.401754,11.401754,11.401754,10.0,9.219544,8.485281,6.708204,6.082763,7.071068
hoyeon_stand_normal_01,0.6000000000000001,10.630146,9.848858,12.0,15.132746,18.248288,20.223748,21.213203,21.095023,20.099751,18.11077,17.029386,15.132746,14.142136,12.369317,10.77033,10.0,9.433981,11.7047,14.142136,17.0,21.023796,24.020824,26.019224,28.017851,28.160256,26.476405,7.81025,10.630146,12.806248,16.278821,16.970563,18.439089,18.601075,18.027756,16.124515,13.892444,12.529964,9.433981,7.81025,5.0,5.09902,6.324555,8.944272,10.816654,14.422205,17.492856,20.59126,22.36068,22.847319,22.472205,21.18962,18.027756,18.439089,16.643317,13.892444,10.440307,7.071068,7.071068,9.219544,13.0,17.029386,20.223748,23.345235,25.495098,28.442925,29.427878,30.594117,29.427878,29.274562,26.07681,22.0,16.03122,9.219544,3.0,9.486833,17.262677,24.083189,29.0,6.324555,7.615773,9.433981,9.219544,9.219544,8.062258,6.324555,5.0,4.472136,4.472136,5.09902,6.082763,8.246211,8.944272,9.848858,10.29563,10.29563,11.7047,11.401754,11.18034,12.0,12.165525,13.928388,15.264338,17.029386,17.691806,11.7047,13.928388,15.231546,15.811388,16.763055,16.492423,15.297059,14.142136,12.041595,10.0,8.0,6.082763,4.123106,2.828427,4.123106,6.708204,10.29563,13.892444,16.124515,19.235384,21.023796,22.36068,21.931712,20.615528,19.313208,16.155494,13.341664,14.56022,15.524175,15.297059,15.297059,13.341664,11.401754,9.486833,6.708204,5.0,4.123106,4.0,5.385165,6.708204,8.062258,9.433981,9.433981,9.848858,10.77033,9.848858,9.848858,8.944272,7.211103,7.071068,6.708204,7.0
hoyeon_stand_normal_01,0.7000000000000001,8.544004,6.708204,8.062258,12.649111,14.866069,17.088007,19.313208,18.973666,18.973666,17.720045,16.763055,14.866069,13.928388,11.661904,10.0,9.219544,7.615773,9.0,10.77033,13.892444,17.204651,21.400935,24.413111,26.07681,25.059928,24.166092,6.0,8.062258,11.18034,13.341664,16.124515,17.029386,18.027756,17.0,16.03122,14.142136,12.165525,9.055385,7.071068,4.0,2.828427,4.0,6.324555,9.848858,13.0,16.155494,18.384776,20.880613,21.587033,21.377558,20.099751,17.117243,17.492856,15.652476,13.0,9.219544,6.324555,5.830952,8.0,11.401754,15.231546,18.788294,21.470911,23.323808,25.553865,26.925824,27.784888,27.784888,27.294688,23.706539,19.697716,13.601471,7.0,3.162278,9.899495,17.804494,24.413111,30.016662,7.211103,8.485281,9.219544,9.433981,8.544004,8.062258,7.071068,5.830952,6.403124,6.324555,8.0,9.219544,9.486833,10.440307,10.77033,12.083046,12.083046,12.649111,12.369317,12.165525,12.0,12.369317,13.416408,14.21267,15.556349,17.029386,18.670482,16.6378185,13.483466,9.757587000000001,6.905125,5.6622775,6.45101,8.544004,11.18034,13.8297425,15.709507,17.7460025,19.356576500000003,21.341028,21.506127499999998,22.243864000000002,22.117466,20.7591425,18.359052,14.587716,10.815073,6.324555,4.7541355,7.6366805,11.553227,15.195122,4.785578,2.8027755,3.3027755,6.9701640000000005,10.324486,13.536312500000001,15.755106000000001,17.2546455,18.595286,18.562306,17.894164500000002,16.362201,15.0264515,12.798572,11.189411,9.619951,8.6485415,7.232691,8.4176585,9.994937,11.855152,14.6500035,16.8086855,19.2483725,20.685493,20.3353395
hoyeon_stand_normal_01,0.8,24.839485,24.758837,24.083189,21.400935,18.601075,14.422205,10.630146,7.81025,6.324555,6.324555,8.062258,9.899495,12.041595,14.21267,16.278821,18.439089,19.849433,21.213203,21.931712,21.260292,19.209373,17.029386,12.727922,9.219544,7.071068,8.544004,14.317821,13.892444,13.038405,12.206556,10.0,7.211103,5.385165,4.123106,5.0,7.211103,8.602325,10.816654,12.206556,12.206556,12.806248,12.727922,12.727922,11.313708,10.0,7.81025,5.0,3.162278,5.830952,10.29563,15.652476,19.723083,11.661904,13.0,14.56022,15.297059,15.297059,15.132746,14.035669,12.041595,11.045361,9.0,7.071068,4.123106,2.236068,2.236068,5.385165,8.544004,12.649111,15.811388,19.924859,21.84033,24.041631,25.0,25.70992,23.537205,21.377558,18.248288,4.0,4.123106,4.472136,4.242641,5.830952,6.324555,6.082763,6.0,6.0,6.082763,5.09902,4.123106,3.162278,2.236068,1.0,1.0,3.162278,4.123106,5.09902,6.0,7.0,8.062258,8.246211,8.944272,10.0,14.426105333333332,10.630146,12.041595,13.453624,15.556349,15.556349,14.866069,14.21267,13.601471,11.661904,9.848858,8.062258,5.830952,3.605551,2.236068,2.828427,5.830952,8.944272,12.529964,15.652476,18.35756,20.59126,21.954498,21.954498,21.095023,18.867962,15.811388,15.556349,16.278821,16.278821,17.029386,15.620499,14.21267,12.806248,10.630146,7.81025,5.830952,4.0,4.472136,5.656854,6.403124,7.211103,8.602325,9.433981,10.816654,10.816654,10.0,10.0,9.433981,8.062258,7.28011,7.0,7.28011
hoyeon_stand_normal_01,0.9,7.615773,6.0,7.211103,9.219544,11.401754,13.601471,13.601471,14.21267,14.21267,12.806248,12.041595,11.401754,10.0,8.062258,7.615773,6.082763,5.09902,6.403124,8.062258,10.77033,13.928388,16.155494,18.384776,19.235384,19.723083,18.027756,5.0,6.708204,8.544004,10.77033,12.083046,12.529964,13.038405,13.038405,12.206556,10.630146,9.219544,7.81025,5.0,4.123106,3.162278,4.242641,5.830952,8.944272,10.77033,13.0,14.764823,16.124515,18.027756,17.804494,15.620499,13.453624,9.848858,10.816654,12.041595,12.727922,13.453624,12.806248,12.206556,10.816654,9.433981,7.211103,5.830952,3.605551,2.236068,5.385165,8.944272,12.083046,16.552945,19.235384,22.36068,24.596748,25.059928,25.059928,24.186773,22.472205,18.601075,5.385165,5.0,5.0,5.830952,6.324555,7.071068,7.0,7.071068,6.324555,6.324555,5.385165,4.472136,4.123106,3.162278,2.0,1.414214,1.0,2.236068,3.605551,5.0,5.656854,6.403124,7.211103,7.615773,7.28011,8.0,11.822824666666666,11.18034,13.0,14.317821,15.652476,15.652476,15.264338,14.422205,12.806248,12.041595,9.899495,8.485281,5.656854,3.605551,2.0,3.605551,6.324555,10.198039,13.341664,16.492423,19.646883,22.135944,23.086793,23.086793,22.135944,20.248457,16.155494,14.866069,16.155494,17.464249,17.464249,16.552945,14.317821,12.083046,9.848858,7.28011,5.0,4.472136,4.242641,5.385165,6.324555,7.071068,9.219544,9.219544,10.440307,10.440307,10.440307,9.486833,9.219544,8.062258,7.071068,6.708204,7.81025
