sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
hoyeon_walk_large_motion_01,0.0,4.123106,6.708204,10.29563,13.892444,16.124515,17.0,17.888544,17.464249,16.155494,14.866069,12.649111,11.401754,8.246211,6.324555,3.162278,1.0,3.162278,7.071068,10.198039,13.341664,15.524175,16.763055,18.384776,17.888544,17.0,14.422205,9.433981,11.18034,12.083046,13.928388,14.317821,14.317821,13.0,12.083046,10.440307,8.246211,7.0,6.324555,5.0,5.830952,7.28011,9.055385,10.049876,12.0,14.0,15.0,17.029386,17.029386,16.0,15.0,13.0,9.055385,12.649111,16.155494,18.788294,20.59126,19.723083,20.248457,18.601075,17.029386,14.866069,12.041595,10.630146,7.211103,5.09902,4.472136,5.830952,9.486833,13.341664,17.262677,20.396078,23.345235,25.317978,26.305893,25.317978,23.194827,20.099751,17.029386,10.0,8.602325,8.062258,7.615773,6.082763,5.09902,5.0,6.403124,6.708204,7.615773,7.615773,8.944272,8.944272,9.433981,9.219544,9.899495,9.219544,9.433981,8.944272,8.544004,7.28011,6.082763,4.0,3.0,6.082763,24.083189,15.5883255,15.2592725,15.8216585,17.0457825,17.763548,18.336810999999997,17.477241499999998,16.201667999999998,14.243459999999999,13.1211125,12.166643,11.544709000000001,11.7876625,13.319938,13.79788,14.591944999999999,15.572445,14.375341500000001,12.079159,9.02804,7.7720495000000005,9.353188500000002,13.901613999999999,18.117691999999998,22.161904,24.945082499999998,16.905694,17.778166,17.083682500000002,16.130466,12.883163499999998,9.1480435,7.385231,8.249827,10.7998965,13.0657175,14.881317500000002,15.012029,14.772459999999999,13.8671145,13.208204,12.306505,10.408327,10.6066015,11.086041999999999,12.601965,14.8990595,17.091625,18.3940195,19.407534,19.6716555,17.6799495
hoyeon_walk_large_motion_01,0.1,34.409301,32.015621,29.732137,24.758837,19.104973,12.806248,7.071068,2.236068,4.0,8.0,12.041595,15.033296,18.0,20.024984,21.095023,22.203603,22.36068,21.587033,19.924859,16.155494,12.083046,7.615773,2.236068,3.605551,9.219544,14.21267,13.601471,13.038405,12.083046,11.401754,12.0,13.341664,14.866069,16.552945,17.492856,18.867962,18.867962,18.027756,17.204651,17.204651,15.620499,13.453624,12.727922,10.630146,8.944272,7.0,7.211103,11.661904,16.552945,21.931712,27.313001,31.304952,21.377558,18.681542,14.56022,9.219544,5.09902,2.828427,5.09902,8.944272,12.529964,14.764823,17.464249,19.697716,21.18962,23.086793,23.769729,22.561028,22.36068,19.646883,16.763055,12.083046,8.485281,7.0,10.0,14.21267,18.027756,21.095023,10.049876,11.18034,13.341664,14.56022,15.811388,14.866069,14.866069,13.601471,11.7047,9.219544,7.28011,5.385165,3.162278,2.236068,2.0,3.605551,5.830952,8.062258,10.29563,13.0,15.811388,18.439089,20.223748,23.021729,25.019992,24.083189,15.5883255,15.2592725,15.8216585,17.0457825,17.763548,18.336810999999997,17.477241499999998,16.201667999999998,14.243459999999999,13.1211125,12.166643,11.544709000000001,11.7876625,13.319938,13.79788,14.591944999999999,15.572445,14.375341500000001,12.079159,9.02804,7.7720495000000005,9.353188500000002,13.901613999999999,18.117691999999998,22.161904,24.945082499999998,16.905694,17.778166,17.083682500000002,16.130466,12.883163499999998,9.1480435,7.385231,8.249827,10.7998965,13.0657175,14.881317500000002,15.012029,14.772459999999999,13.8671145,13.208204,12.306505,10.408327,10.6066015,11.086041999999999,12.601965,14.8990595,17.091625,18.3940195,19.407534,19.6716555,17.6799495
hoyeon_walk_large_motion_01,0.2,3.162278,6.324555,10.77033,13.928388,15.811388,16.763055,17.720045,16.492423,15.524175,14.317821,12.165525,10.049876,8.062258,5.0,2.0,1.414214,4.123106,8.0,11.0,14.035669,17.029386,18.11077,19.235384,18.439089,17.720045,14.866069,9.0,11.045361,13.152946,14.142136,14.142136,14.142136,13.341664,11.401754,9.486833,7.615773,6.403124,4.472136,5.0,5.385165,5.830952,7.81025,9.219544,10.816654,13.038405,14.422205,15.264338,15.264338,15.264338,13.892444,11.661904,8.062258,12.649111,15.297059,17.262677,19.104973,19.026298,19.026298,17.0,16.03122,14.035669,11.045361,9.055385,6.0,4.472136,4.123106,6.082763,8.944272,12.529964,16.643317,19.416488,22.203603,24.413111,24.413111,23.600847,22.203603,18.601075,15.620499,8.602325,8.062258,7.615773,6.324555,5.0,4.123106,4.242641,5.385165,6.082763,7.071068,8.0,8.062258,9.055385,8.246211,9.486833,8.544004,8.062258,8.602325,8.485281,7.81025,6.403124,5.830952,3.162278,1.0,2.236068,6.708204,21.470911,20.59126,18.35756,14.764823,13.0,10.198039,9.0,8.544004,8.062258,8.485281,9.219544,10.0,9.433981,10.29563,9.486833,10.049876,11.045361,13.341664,15.524175,17.720045,19.646883,20.396078,19.235384,17.029386,14.0,10.0,8.544004,9.219544,11.18034,13.152946,14.317821,15.0,14.21267,12.529964,10.77033,8.544004,5.830952,4.242641,4.123106,6.082763,7.28011,8.246211,9.486833,10.440307,10.77033,11.18034,11.401754,12.727922,14.21267,15.811388,18.35756,20.124612
hoyeon_walk_large_motion_01,0.30000000000000004,33.301652,32.202484,28.017851,23.323808,17.0,11.661904,5.830952,2.0,4.123106,9.0,12.041595,15.033296,17.117243,19.235384,21.377558,20.615528,20.880613,19.924859,17.088007,13.928388,8.944272,4.472136,1.414214,6.403124,10.630146,15.556349,10.440307,9.848858,9.433981,7.81025,9.486833,11.045361,13.038405,15.132746,16.278821,17.117243,17.262677,16.278821,16.278821,14.317821,13.601471,11.7047,9.848858,8.602325,7.211103,6.0,9.433981,13.453624,18.439089,23.430749,27.658633,31.144823,13.341664,16.124515,18.11077,20.024984,20.0,20.024984,19.104973,17.117243,14.142136,12.165525,10.198039,7.071068,4.0,2.236068,5.09902,8.062258,13.038405,16.401219,20.0,22.803509,24.839485,24.839485,24.839485,22.671568,19.104973,15.556349,9.219544,8.602325,7.211103,6.324555,5.0,4.123106,4.242641,5.385165,7.28011,8.062258,9.219544,10.198039,10.198039,10.440307,10.77033,11.18034,10.29563,10.816654,9.899495,9.219544,8.602325,5.830952,3.605551,1.0,2.236068,6.324555,22.671568,21.260292,18.439089,15.620499,13.038405,10.77033,10.049876,9.219544,10.77033,11.18034,11.661904,12.529964,12.206556,12.206556,12.041595,12.041595,12.206556,13.416408,15.231546,16.155494,18.027756,18.384776,17.888544,16.124515,13.601471,10.0,9.055385,10.0,10.29563,12.165525,13.152946,13.0,12.206556,10.630146,9.219544,7.071068,5.0,4.472136,5.0,6.082763,6.324555,7.615773,7.615773,8.944272,9.433981,10.630146,12.041595,15.0,16.643317,20.248457,22.472205,23.600847
hoyeon_walk_large_motion_01,0.4,5.385165,9.055385,13.0,16.03122,18.027756,18.11077,18.11077,17.262677,16.278821,14.317821,12.369317,9.219544,7.28011,4.123106,1.414214,2.236068,5.656854,9.219544,12.041595,14.866069,16.970563,17.691806,18.439089,17.204651,16.643317,13.892444,7.071068,8.246211,10.198039,11.401754,12.369317,12.369317,11.401754,10.440307,8.544004,7.615773,5.830952,4.472136,4.123106,5.09902,5.830952,7.81025,9.219544,11.313708,12.041595,13.453624,14.866069,14.866069,14.142136,12.041595,9.219544,5.830952,17.624436,17.2351545,17.148529500000002,14.540184499999999,13.0498755,11.229908,11.912127,12.547374,13.383388,13.0634525,13.4898445,13.153226,13.061408,13.226434999999999,14.2361025,15.763794999999998,17.265642,18.3887285,18.385511,17.2327065,16.405124999999998,16.516289,17.109772,18.754499,18.9067015,18.8517675,8.972135999999999,10.272002,10.642308,11.101907,11.103639,10.8674065,10.6394105,10.341112,9.6178545,9.0582145,8.5276925,7.566663,7.0276925,5.727806,5.7434165,6.708204,7.6324665,8.640901,9.757587000000001,10.7426405,11.987079000000001,12.7389175,12.1877405,13.6227335,15.6622775,25.019992,9.486833,13.892444,17.492856,20.59126,21.023796,22.472205,20.880613,19.646883,17.464249,15.297059,13.341664,10.440307,8.944272,7.81025,8.062258,8.544004,9.219544,11.045361,11.045361,11.0,11.045361,10.440307,11.18034,11.401754,12.806248,14.21267,6.708204,7.071068,6.0,4.123106,2.236068,2.828427,4.242641,5.830952,6.708204,8.062258,8.062258,8.062258,8.602325,9.899495,11.313708,13.453624,15.556349,17.029386,17.804494,19.416488,18.867962,18.35756,15.652476,12.529964,9.219544,24.886676
hoyeon_walk_large_motion_01,0.5,32.893768,32.984845,29.427878,25.179357,20.024984,15.0,9.055385,4.472136,4.0,7.211103,10.816654,14.422205,16.124515,19.235384,21.023796,21.540659,20.880613,20.396078,18.248288,15.033296,10.0,6.0,1.414214,5.0,9.433981,12.806248,13.892444,14.764823,14.764823,14.317821,13.928388,13.341664,14.035669,15.0,15.132746,15.297059,15.524175,15.524175,14.866069,15.231546,14.317821,14.764823,13.892444,13.038405,12.041595,10.0,9.486833,11.045361,15.231546,20.124612,25.059928,29.068884,20.124612,16.643317,13.038405,9.433981,4.472136,2.236068,5.09902,8.544004,11.7047,14.56022,17.262677,19.235384,21.095023,22.090722,23.021729,22.0,23.0,20.024984,17.117243,13.341664,9.433981,7.28011,10.440307,15.264338,18.439089,21.260292,9.486833,11.18034,12.165525,13.038405,14.0,13.0,12.0,11.0,9.0,8.0,6.082763,4.123106,2.0,1.414214,1.0,3.605551,4.472136,6.324555,8.246211,11.18034,14.035669,17.029386,19.235384,20.615528,22.135944,22.847319,28.301943,26.41969,23.259407,19.313208,15.231546,11.18034,7.81025,5.385165,7.071068,8.544004,10.29563,12.529964,13.892444,15.264338,16.124515,16.124515,16.643317,16.643317,16.643317,17.204651,16.401219,16.401219,15.0,12.806248,11.401754,8.602325,3.162278,2.236068,3.0,4.472136,6.403124,7.81025,8.602325,9.433981,9.433981,10.0,9.433981,10.0,9.219544,9.219544,9.219544,8.602325,7.81025,5.656854,4.472136,4.0,6.403124,10.630146,14.21267,19.209373,24.083189,26.172505
hoyeon_walk_large_motion_01,0.6000000000000001,24.207437,22.671568,20.518285,17.029386,13.038405,9.433981,5.0,2.0,3.605551,6.324555,9.486833,11.7047,13.416408,14.764823,16.643317,17.804494,17.029386,16.278821,14.21267,11.401754,8.602325,4.242641,2.0,4.472136,8.544004,12.083046,10.77033,12.083046,12.083046,12.083046,12.529964,11.661904,12.206556,11.401754,11.313708,11.313708,10.630146,10.816654,10.29563,10.29563,9.848858,9.848858,9.848858,9.486833,8.246211,7.0,6.324555,7.81025,10.816654,14.317821,17.888544,21.470911,22.671568,19.209373,15.0,10.630146,6.403124,3.162278,5.830952,9.486833,12.649111,15.811388,18.384776,19.697716,22.36068,23.323808,23.853721,24.413111,22.803509,21.633308,17.492856,13.928388,11.045361,9.433981,12.529964,16.492423,20.223748,23.086793,11.401754,12.165525,14.035669,14.035669,14.0,14.0,13.038405,12.041595,10.049876,8.062258,6.082763,4.123106,2.0,1.414214,2.0,3.0,5.09902,7.0,10.0,12.165525,15.524175,18.384776,20.124612,22.472205,25.0,25.495098,16.155494,17.0,16.401219,17.691806,18.384776,19.104973,18.439089,17.804494,17.804494,17.204651,16.401219,15.811388,15.264338,15.264338,16.124515,16.124515,16.124515,15.264338,13.601471,10.630146,7.211103,4.0,6.403124,11.661904,15.264338,18.439089,16.124515,16.763055,17.117243,15.0,13.152946,9.219544,5.09902,2.236068,5.0,7.0,9.0,11.0,12.041595,12.0,12.0,14.035669,14.035669,16.124515,18.11077,20.099751,21.095023,23.021729,23.021729,22.0,21.0,19.026298
hoyeon_walk_large_motion_01,0.7000000000000001,15.089446,15.367087000000001,15.844594,15.8113885,14.591944999999999,13.885165,11.7023125,9.967247,9.332423,9.5654015,9.842765499999999,10.199942,9.778035,9.3949785,9.7462115,10.346779000000002,12.1065495,13.109772,14.506317,14.449265,14.5608995,13.8675545,12.816811,12.314673500000001,12.7770175,13.7572945,11.500902,11.404812,11.8855355,12.267421,12.6080045,12.5937485,12.540515,12.6080045,12.2200795,12.3715525,11.352350000000001,11.066461,10.569215499999999,10.1646285,9.647074499999999,9.946648,9.8913325,10.514599,10.7585135,11.2068345,12.108876,13.831143999999998,15.4634745,16.5622575,17.744043,17.3743485,14.317821,17.0,18.867962,20.248457,20.808652,20.0,19.209373,17.691806,15.556349,12.727922,10.630146,7.071068,5.0,3.162278,5.0,7.615773,11.401754,15.297059,18.439089,21.377558,23.537205,24.515301,23.537205,21.377558,18.248288,14.142136,9.219544,9.219544,8.602325,8.062258,6.324555,6.0,5.385165,6.403124,6.403124,7.211103,8.602325,9.433981,10.0,10.0,10.630146,10.630146,10.630146,10.630146,10.29563,9.433981,8.544004,6.708204,4.472136,2.236068,3.605551,7.211103,18.601075,16.124515,13.601471,13.038405,13.601471,13.416408,15.0,15.620499,16.278821,16.401219,16.643317,16.124515,16.552945,17.088007,17.720045,18.681542,18.681542,18.027756,17.088007,14.764823,10.0,5.656854,1.414214,5.830952,11.313708,15.264338,17.0,18.973666,18.248288,18.027756,14.56022,10.816654,7.211103,4.123106,5.385165,7.071068,9.848858,10.29563,10.0,8.602325,8.602325,7.615773,7.071068,8.246211,9.848858,12.206556,15.620499,18.439089,21.213203,23.345235,23.345235,22.671568
hoyeon_walk_large_motion_01,0.8,31.906112,31.304952,28.231188,23.086793,18.681542,13.341664,7.28011,2.828427,3.605551,7.211103,10.29563,13.416408,15.264338,17.492856,19.416488,20.615528,21.260292,20.518285,18.384776,16.278821,13.453624,9.219544,5.385165,2.828427,7.071068,12.165525,16.970563,17.691806,16.278821,14.866069,12.806248,11.18034,11.18034,11.045361,13.601471,15.231546,16.552945,17.888544,17.464249,17.888544,17.464249,17.464249,15.231546,13.0,11.18034,7.81025,5.385165,7.615773,13.453624,18.384776,24.041631,28.425341,22.203603,19.416488,15.0,10.0,6.708204,2.236068,4.0,8.246211,11.7047,14.866069,17.088007,19.924859,21.84033,23.537205,23.345235,24.515301,23.345235,21.377558,18.439089,14.56022,10.29563,5.830952,6.708204,10.630146,14.764823,18.384776,6.324555,7.211103,9.219544,11.313708,11.313708,12.041595,11.313708,11.313708,9.899495,8.602325,7.211103,5.830952,4.472136,3.162278,2.0,1.414214,3.162278,5.09902,7.0,10.049876,13.341664,15.811388,18.384776,21.931712,23.706539,23.853721,14.142136,10.049876,9.219544,11.661904,13.928388,17.088007,17.720045,18.973666,18.973666,18.384776,17.088007,16.155494,14.56022,14.317821,14.142136,13.038405,13.038405,12.041595,10.049876,7.071068,3.0,2.828427,7.071068,12.727922,17.204651,20.124612,7.81025,8.062258,6.708204,6.324555,4.123106,2.236068,3.162278,5.830952,8.062258,9.433981,9.848858,9.848858,8.062258,7.211103,6.403124,7.615773,9.055385,13.038405,16.0,19.0,22.022716,25.179357,26.476405,26.925824,25.0,22.135944
hoyeon_walk_large_motion_01,0.9,30.016662,30.149627,27.45906,23.769729,19.646883,14.56022,10.198039,6.082763,4.242641,6.0,9.219544,11.401754,13.601471,15.524175,17.720045,18.681542,19.646883,19.416488,19.416488,17.262677,15.297059,12.369317,9.486833,5.830952,4.0,6.403124,16.124515,15.524175,14.56022,12.649111,9.486833,7.071068,5.385165,5.830952,8.246211,11.18034,13.152946,14.142136,15.297059,16.278821,16.278821,15.524175,14.56022,12.649111,10.440307,8.062258,5.385165,6.324555,11.045361,16.278821,21.213203,26.172505,23.086793,18.973666,14.866069,11.401754,6.082763,3.605551,6.0,9.486833,12.649111,15.811388,18.439089,20.615528,22.203603,23.194827,24.083189,24.020824,24.0,21.0,18.027756,15.132746,10.440307,6.403124,8.062258,12.529964,15.620499,19.104973,8.246211,9.055385,11.045361,12.165525,13.341664,13.601471,13.928388,12.649111,11.7047,9.486833,7.28011,5.385165,3.605551,3.162278,3.0,4.123106,5.830952,7.615773,10.77033,12.649111,15.524175,18.11077,21.0,23.021729,24.186773,25.495098,8.246211,7.615773,10.0,14.317821,17.888544,20.59126,21.954498,22.472205,21.633308,19.416488,18.601075,18.027756,16.124515,15.231546,14.866069,14.56022,14.317821,15.297059,13.341664,11.18034,7.0,5.0,7.071068,11.045361,15.033296,19.026298,9.848858,12.369317,13.152946,14.0,12.165525,10.440307,7.615773,4.472136,1.0,2.0,3.162278,4.123106,5.385165,5.830952,5.656854,5.830952,7.615773,9.486833,13.601471,15.811388,18.027756,21.023796,21.023796,21.095023,20.248457,16.643317
