sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51
sujin_bending_normal_02,0.0,7.211103,4.123106,5.0,8.062258,11.18034,14.866069,17.088007,18.681542,18.973666,18.973666,18.973666,18.027756,17.088007,14.866069,13.0,8.544004,5.09902,2.236068,6.708204,12.206556,18.027756,23.323808,28.178006,30.870698,31.016125,30.083218,5.830952,6.403124,8.485281,9.219544,10.0,9.433981,9.848858,9.848858,8.944272,8.544004,6.324555,6.082763,4.123106,2.828427,4.123106,6.0,7.071068,10.198039,12.369317,14.56022,16.763055,17.720045,18.027756,18.027756,16.763055,13.928388,25.553865,24.698178,24.698178,20.248457,17.492856,12.529964,8.062258,4.472136,1.0,4.242641,6.403124,10.630146,12.806248,16.401219,19.209373,21.400935,22.803509,23.853721,23.323808,20.59126,18.384776,14.56022,10.049876,5.830952,5.0,8.062258,10.0,8.062258,5.09902,5.0,7.28011,10.049876,14.0,16.03122,18.11077,19.235384,19.235384,19.235384,18.439089,16.492423,13.601471,11.7047,9.848858,7.211103,5.0,2.236068,3.0,7.071068,10.440307,14.317821,19.235384,21.470911,9.0,13.038405,16.124515,18.248288,21.213203,21.213203,20.223748,19.235384,17.262677,15.297059,13.341664,11.18034,9.055385,6.082763,3.162278,1.0,4.123106,7.071068,10.049876,13.038405,15.033296,16.0,16.0,16.0,15.0,13.038405,14.21267,16.278821,15.556349,16.278821,14.21267,12.206556,9.433981,5.830952,2.236068,1.414214,4.472136,6.708204,10.29563,11.18034,14.317821,14.764823,16.552945,17.888544,18.788294,18.788294,18.35756,16.124515,13.892444,10.816654,7.81025,3.162278
sujin_bending_normal_02,0.1,19.235384,21.095023,20.223748,19.104973,17.117243,14.142136,11.18034,8.246211,5.385165,2.828427,3.605551,5.830952,8.944272,12.083046,15.231546,18.788294,21.470911,22.825424,23.853721,23.021729,22.022716,18.439089,14.866069,9.899495,5.0,6.082763,6.082763,6.324555,5.830952,5.0,4.242641,4.472136,4.123106,4.123106,5.385165,5.830952,7.211103,7.81025,7.81025,7.81025,7.81025,7.071068,5.656854,5.0,3.162278,2.236068,4.123106,7.0,10.0,14.035669,16.124515,13.672398000000001,1.0,3.0,8.062258,11.045361,14.035669,16.124515,17.117243,18.248288,17.262677,17.262677,16.124515,14.142136,12.041595,10.049876,7.0,4.123106,3.162278,5.0,8.602325,13.892444,16.552945,20.615528,22.135944,22.803509,22.561028,20.223748,13.341664,16.278821,18.439089,19.416488,19.416488,18.248288,16.124515,14.142136,11.045361,8.0,5.09902,2.828427,2.236068,5.0,7.211103,8.944272,10.77033,12.369317,14.317821,15.132746,16.03122,16.0,16.0,15.0,12.041595,9.055385,9.0,13.038405,16.124515,18.248288,21.213203,21.213203,20.223748,19.235384,17.262677,15.297059,13.341664,11.18034,9.055385,6.082763,3.162278,1.0,4.123106,7.071068,10.049876,13.038405,15.033296,16.0,16.0,16.0,15.0,13.038405,14.21267,16.278821,15.556349,16.278821,14.21267,12.206556,9.433981,5.830952,2.236068,1.414214,4.472136,6.708204,10.29563,11.18034,14.317821,14.764823,16.552945,17.888544,18.788294,18.788294,18.35756,16.124515,13.892444,10.816654,7.81025,3.162278
sujin_bending_normal_02,0.2,6.403124,5.0,5.656854,10.29563,13.0,16.155494,18.027756,19.924859,21.18962,21.18962,20.248457,19.313208,18.384776,16.155494,13.928388,10.440307,6.082763,2.828427,6.324555,13.0,18.788294,24.596748,28.231188,31.622777,32.015621,31.575307,7.81025,8.485281,8.485281,9.219544,10.0,10.816654,10.29563,10.29563,9.848858,8.944272,7.615773,6.082763,4.0,3.162278,3.162278,6.0,7.28011,9.486833,11.7047,13.928388,15.811388,18.027756,18.027756,17.088007,16.155494,13.416408,23.430749,24.207437,22.022716,19.209373,15.620499,12.041595,7.071068,3.605551,1.414214,5.09902,8.246211,10.77033,14.317821,17.088007,19.697716,20.615528,21.931712,23.259407,22.825424,21.095023,18.027756,13.453624,10.0,6.082763,5.0,8.0,9.433981,7.615773,5.0,3.605551,6.0,10.198039,13.928388,16.155494,17.464249,19.697716,19.697716,18.788294,17.888544,16.124515,15.264338,12.206556,10.0,7.81025,5.0,2.236068,3.0,5.830952,10.0,14.21267,18.384776,21.260292,18.4409265,19.418381,19.0281135,17.7875095,16.153397,14.212153,11.526087500000001,10.617692,11.251204,11.838375,12.456233000000001,12.729001499999999,12.3539305,11.9856535,10.894147,10.975286,13.034202,14.291407499999998,14.461131000000002,14.244304,13.495864000000001,11.987079000000001,9.7084695,7.9330345,8.561553,10.6622775,9.132169000000001,9.1802915,10.5188205,12.332763499999999,13.226811999999999,12.882827,12.381822,11.888903,12.369317,13.93986,14.318016,14.604047999999999,13.787575499999999,13.669651,13.1394105,12.1668725,10.9269195,10.242178,10.7321245,12.369316999999999,13.483466,13.952278,14.319958,13.954149500000002,28.635642,29.966648
sujin_bending_normal_02,0.30000000000000004,20.0,21.0,20.0,19.026298,17.029386,14.0,11.0,8.0,5.09902,2.828427,2.828427,5.830952,8.944272,11.18034,15.652476,18.35756,21.095023,23.021729,23.600847,23.430749,21.931712,18.384776,14.21267,9.219544,4.242641,1.414214,5.09902,5.09902,5.385165,5.0,4.242641,4.472136,4.123106,5.0,6.082763,5.830952,7.211103,7.81025,7.81025,9.219544,8.485281,8.485281,7.81025,7.071068,5.0,4.472136,3.162278,4.472136,8.062258,10.049876,14.0,16.0,2.0,1.414214,5.830952,8.944272,12.083046,13.416408,14.764823,15.652476,15.264338,13.892444,13.892444,11.661904,10.29563,8.062258,6.324555,3.0,3.605551,5.09902,8.944272,12.529964,16.643317,18.601075,20.615528,21.931712,21.213203,19.849433,12.083046,14.317821,16.155494,17.088007,18.027756,17.088007,14.866069,12.649111,9.486833,6.082763,4.0,1.414214,2.828427,4.472136,7.615773,9.486833,11.401754,12.165525,13.152946,15.033296,15.0,16.03122,15.132746,14.142136,12.369317,9.219544,26.683328,23.769729,20.615528,16.492423,11.401754,7.28011,2.236068,1.0,4.123106,7.071068,10.198039,12.369317,14.317821,15.524175,17.464249,17.720045,17.720045,17.464249,15.524175,13.341664,10.440307,7.28011,3.162278,1.414214,3.0,6.082763,3.0,2.0,5.0,8.485281,12.206556,15.264338,17.0,18.788294,18.788294,18.384776,18.384776,16.155494,13.928388,11.7047,8.944272,7.211103,4.242641,2.0,4.123106,8.0,12.165525,16.278821,20.396078,23.537205,26.683328,27.658633
sujin_bending_normal_02,0.4,19.723083,19.723083,19.723083,18.867962,15.811388,13.038405,10.29563,6.708204,4.123106,2.236068,4.0,7.28011,10.77033,13.0,17.464249,19.313208,22.135944,23.769729,24.515301,24.33105,23.194827,20.024984,16.0,10.0,5.09902,2.236068,6.0,6.0,7.071068,6.082763,6.708204,5.0,5.656854,5.830952,6.324555,7.071068,8.0,8.0,9.055385,9.055385,9.055385,9.219544,8.246211,7.071068,6.082763,4.472136,2.828427,3.162278,6.403124,9.433981,12.529964,15.652476,23.430749,24.083189,21.931712,19.849433,16.278821,12.806248,8.602325,4.472136,2.0,4.0,6.324555,9.848858,12.529964,14.764823,17.888544,19.235384,21.470911,21.095023,21.095023,19.416488,16.401219,12.727922,8.062258,5.09902,5.385165,9.055385,10.0,7.81025,5.830952,3.162278,5.385165,8.062258,12.0,14.035669,16.03122,17.117243,17.117243,17.262677,15.297059,14.317821,12.369317,10.440307,7.615773,5.830952,2.828427,1.0,4.0,7.28011,11.18034,14.764823,18.027756,20.808652,25.298221,24.041631,19.924859,15.811388,11.7047,6.708204,3.605551,1.414214,5.09902,7.0,10.049876,12.041595,14.142136,15.132746,16.278821,16.278821,17.262677,16.124515,14.142136,12.165525,10.049876,6.082763,3.0,3.162278,6.082763,3.162278,1.414214,4.472136,7.81025,11.313708,14.21267,15.811388,17.492856,17.492856,18.35756,16.552945,15.652476,13.416408,11.18034,8.944272,5.830952,2.828427,1.0,4.0,8.246211,12.369317,16.763055,19.924859,23.086793,26.248809,27.513633,27.700718
sujin_bending_normal_02,0.5,18.8003645,20.094054,19.4985765,18.3105695,16.6378185,13.751807500000002,11.184658500000001,7.6586395000000005,4.3027755,2.6180339999999998,2.699173,5.5,8.531129,11.6109675,14.8990595,17.95815,20.308121999999997,22.2361025,23.021729,23.258771,21.617959499999998,18.772031,14.713144499999999,10.2201535,5.6622775,1.0,6.117038,6.117038,6.3638395,5.751072000000001,5.9568575,4.7541355,4.785578,4.6213204999999995,4.9286505,5.04951,5.828427,6.737096,7.1410855,7.728657,8.154234500000001,8.303131,7.413437999999999,7.1619885,5.1515439999999995,4.081139,2.699173,2.8027755,6.0466845,8.348968,11.592985500000001,14.562823,1.414214,2.828427,5.656854,9.899495,12.041595,14.142136,15.556349,15.556349,15.556349,14.866069,13.453624,12.041595,9.899495,8.485281,5.656854,3.162278,2.236068,6.082763,10.440307,13.928388,17.464249,20.124612,22.825424,22.472205,23.021729,20.615528,12.165525,15.132746,16.124515,17.262677,17.262677,16.278821,14.317821,12.165525,9.219544,6.324555,2.828427,2.0,4.123106,6.082763,8.0,10.049876,11.18034,13.341664,14.56022,14.866069,16.155494,15.652476,14.764823,13.892444,12.206556,8.602325,7.28011,10.77033,14.317821,16.124515,17.888544,18.35756,18.35756,17.492856,16.124515,13.892444,13.038405,10.29563,8.062258,5.830952,2.828427,2.828427,5.830952,8.944272,11.18034,13.416408,14.317821,14.317821,15.231546,13.928388,12.649111,13.601471,15.231546,15.231546,15.652476,13.892444,12.206556,9.219544,5.656854,2.828427,1.0,3.605551,6.403124,9.219544,11.313708,12.727922,14.142136,15.556349,16.278821,17.691806,17.691806,16.278821,16.278821,13.453624,10.630146,7.211103,3.0,27.742803
sujin_bending_normal_02,0.6000000000000001,8.0,3.605551,4.0,7.211103,11.313708,14.142136,17.029386,18.439089,18.439089,19.209373,18.439089,18.439089,17.029386,15.620499,13.453624,9.219544,5.0,1.414214,5.385165,12.083046,17.464249,23.769729,28.460499,31.048349,32.756679,31.256999,6.324555,7.28011,8.0,9.0,9.055385,9.219544,9.219544,9.486833,8.944272,8.062258,6.708204,5.656854,3.605551,3.0,3.605551,5.0,6.708204,9.848858,12.649111,14.317821,16.492423,17.464249,18.439089,18.681542,16.492423,14.142136,23.323808,22.825424,21.954498,18.35756,14.764823,11.661904,7.211103,2.828427,2.236068,5.0,9.055385,12.041595,15.033296,18.027756,20.024984,22.022716,24.020824,24.083189,23.194827,21.377558,18.439089,13.928388,9.433981,6.324555,5.830952,10.29563,9.433981,7.071068,3.605551,2.828427,6.0,10.049876,13.152946,16.492423,18.439089,18.681542,18.973666,18.973666,17.088007,16.155494,14.317821,12.529964,9.433981,7.211103,4.242641,1.0,3.162278,6.403124,9.899495,14.21267,17.804494,20.808652,26.41969,24.698178,21.095023,16.643317,12.206556,7.81025,3.605551,2.236068,5.09902,8.544004,9.848858,12.529964,14.764823,16.124515,18.35756,18.35756,18.867962,18.35756,16.124515,14.317821,11.18034,8.544004,4.123106,1.414214,3.162278,5.656854,2.828427,1.0,4.242641,8.485281,12.041595,15.0,18.027756,19.723083,20.248457,20.59126,19.235384,17.888544,14.764823,12.529964,10.29563,8.062258,5.0,1.414214,3.162278,6.708204,11.18034,15.652476,20.59126,23.323808,26.41969,27.784888
sujin_bending_normal_02,0.7000000000000001,19.416488,19.416488,19.416488,18.439089,16.278821,13.341664,10.440307,7.615773,5.385165,2.236068,2.828427,5.830952,8.944272,11.7047,14.866069,18.027756,20.615528,23.259407,22.825424,21.954498,21.633308,18.601075,14.21267,9.899495,5.0,5.09902,6.324555,6.708204,5.830952,6.403124,5.656854,4.472136,4.123106,4.0,5.385165,5.830952,6.403124,7.81025,7.81025,7.071068,7.071068,7.071068,5.656854,5.0,3.162278,2.236068,3.162278,6.0,9.055385,12.165525,15.524175,14.8492425,22.022716,22.022716,20.615528,17.804494,14.21267,10.0,6.403124,2.236068,2.236068,5.09902,8.544004,11.7047,14.866069,16.763055,19.924859,21.18962,23.4094,22.472205,21.540659,19.697716,17.0,12.806248,9.219544,5.0,5.0,9.055385,9.219544,7.071068,3.162278,2.828427,6.0,10.198039,13.341664,16.492423,18.681542,19.646883,19.646883,18.973666,17.720045,16.155494,13.928388,12.083046,8.944272,7.211103,4.242641,1.414214,3.162278,6.708204,10.816654,14.21267,16.278821,19.79899,6.708204,11.7047,14.866069,16.763055,18.681542,18.973666,18.681542,18.681542,16.763055,15.524175,13.601471,11.401754,9.219544,7.28011,4.123106,1.0,2.236068,5.0,8.062258,10.29563,12.529964,14.422205,15.264338,15.0,13.601471,12.041595,13.453624,15.0,15.811388,15.264338,14.764823,12.529964,9.848858,7.615773,3.162278,3.0,6.082763,8.062258,10.198039,12.041595,14.142136,15.132746,16.124515,17.117243,17.117243,17.262677,16.278821,14.142136,11.18034,7.615773,4.242641,27.401699999999998
sujin_bending_normal_02,0.8,19.104973,19.79899,19.79899,18.384776,16.278821,14.142136,11.313708,7.81025,5.0,2.0,3.0,6.082763,9.486833,12.649111,16.763055,18.681542,21.587033,23.345235,24.186773,24.083189,22.0,19.026298,15.033296,10.049876,5.0,2.0,5.09902,6.082763,6.082763,5.0,5.09902,6.082763,5.830952,5.656854,5.830952,6.324555,7.28011,8.062258,9.055385,9.0,9.0,9.0,9.0,8.062258,6.082763,4.472136,3.605551,4.0,6.708204,10.0,12.727922,15.556349,12.9828935,14.584778,15.183723,15.528356,14.4390205,13.527115,11.8120065,10.3380255,9.658886,10.5982765,11.43633,12.4278335,12.431256000000001,12.593660499999999,12.554124,11.961725000000001,12.650316,14.39838,15.9156735,16.779312,16.7153025,16.376452999999998,15.031129,13.061553,13.2044805,14.5524865,10.9452265,10.825721,9.578201,8.722717000000001,10.636013499999999,12.304898,13.0918655,13.189097499999999,12.810381500000002,11.764603,9.720359499999999,9.0287655,9.6433965,9.946221999999999,10.072652,10.410103,9.3980565,9.220342,8.28011,7.9330345,9.677326,11.615773,12.946221999999999,13.78163,14.7003015,14.042881000000001,25.806976,23.600847,20.808652,16.401219,12.206556,6.403124,2.828427,2.0,5.385165,8.062258,10.816654,13.038405,15.264338,16.643317,18.027756,19.416488,18.867962,18.867962,17.492856,14.764823,12.529964,8.944272,5.385165,2.0,1.414214,5.0,1.414214,1.0,5.385165,8.944272,12.206556,15.0,17.804494,18.439089,19.849433,19.79899,18.384776,16.970563,15.556349,12.727922,10.630146,7.81025,5.0,2.236068,2.0,5.385165,10.29563,14.422205,17.804494,22.203603,25.0,27.018512
sujin_bending_normal_02,0.9,18.788294,20.124612,19.235384,17.888544,16.552945,13.892444,10.816654,7.211103,4.242641,2.0,2.236068,6.0,9.055385,12.041595,15.132746,18.11077,21.095023,22.022716,23.0,23.021729,21.095023,18.248288,14.317821,9.219544,4.123106,1.0,6.082763,6.324555,6.324555,5.830952,5.830952,5.0,3.605551,3.162278,3.162278,4.472136,5.656854,6.403124,7.071068,7.81025,7.81025,7.81025,6.403124,5.830952,4.472136,3.162278,2.236068,3.0,6.324555,8.944272,12.083046,15.652476,2.236068,6.082763,9.219544,13.341664,15.297059,16.492423,16.763055,16.763055,16.763055,15.811388,14.866069,12.649111,10.77033,8.544004,6.082763,3.162278,4.123106,6.324555,10.77033,14.764823,18.027756,21.633308,23.600847,23.430749,22.671568,20.518285,12.206556,14.422205,16.643317,17.204651,17.204651,16.401219,15.0,12.806248,9.219544,6.403124,2.828427,2.828427,4.242641,6.403124,8.602325,10.0,11.661904,12.529964,14.317821,13.928388,13.601471,13.601471,11.401754,9.219544,6.324555,18.948301,6.324555,10.198039,13.038405,16.03122,18.027756,18.027756,18.027756,17.0,16.0,14.0,13.0,10.0,8.0,5.0,2.0,1.414214,4.123106,7.071068,10.049876,13.0,15.0,16.0,17.0,16.03122,15.033296,13.152946,13.0,14.866069,15.524175,15.297059,14.142136,12.041595,9.055385,6.0,2.0,1.0,4.0,7.0,9.0,11.0,13.0,15.0,16.0,17.029386,18.027756,18.027756,18.11077,16.124515,15.132746,11.18034,8.062258,3.605551
