sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
sujin_chair_sit_variation_02,0.0,26.400758,25.079872,22.847319,19.313208,14.866069,11.7047,7.28011,4.123106,1.0,2.0,4.123106,6.082763,8.246211,10.049876,11.0,12.0,13.038405,13.152946,12.649111,11.18034,10.816654,8.485281,7.211103,6.324555,5.0,4.472136,8.062258,5.0,4.0,6.403124,11.401754,16.401219,20.0,22.203603,24.207437,24.207437,23.430749,22.671568,19.849433,17.804494,15.0,13.038405,9.433981,7.28011,5.09902,4.472136,7.071068,11.401754,16.155494,19.697716,22.36068,25.079872,13.601471,14.56022,15.297059,15.297059,14.56022,13.341664,12.649111,9.486833,8.246211,6.082763,5.0,3.605551,5.0,6.708204,9.848858,12.083046,14.317821,17.0,17.492856,19.416488,18.439089,16.970563,14.866069,12.206556,8.944272,6.082763,15.620499,17.029386,18.439089,18.439089,18.439089,17.029386,14.866069,12.727922,10.0,8.062258,7.28011,6.082763,7.071068,7.071068,8.246211,8.246211,9.486833,10.440307,10.440307,11.401754,11.401754,10.440307,10.77033,10.816654,9.899495,11.661904,12.158910500000001,13.156543,13.60578,14.2002685,14.463966,13.321632999999999,12.330952,11.872475,10.147815,8.640901,8.109049,6.3954835,6.6814365,7.531129,9.5276925,11.946965500000001,14.525165000000001,17.037720999999998,18.385511,19.244471,20.1156795,18.984251,17.8155085,16.1794625,13.535658,10.581282999999999,19.390646500000003,21.319122,21.688779,21.6066015,20.111874,17.0586215,13.590270499999999,10.9210305,8.377261,7.1410855,7.963874000000001,8.560472,10.5276925,11.5441405,12.540515,12.540515,12.661238,12.761131500000001,12.523182,11.553227,10.6053185,10.0234485,8.972135999999999,8.7996945,9.222125,9.732006
sujin_chair_sit_variation_02,0.1,1.414214,5.09902,8.246211,11.18034,13.341664,14.56022,15.524175,15.524175,15.297059,14.317821,13.152946,12.041595,11.045361,9.0,7.071068,5.385165,3.605551,2.236068,2.828427,4.123106,6.0,7.0,7.28011,7.615773,7.81025,7.211103,18.867962,21.633308,23.021729,24.413111,23.600847,21.400935,18.601075,15.0,10.816654,7.615773,4.0,3.605551,6.0,8.246211,10.440307,12.649111,15.231546,16.552945,17.888544,19.235384,19.235384,18.35756,17.492856,15.264338,13.038405,8.602325,14.866069,15.811388,16.155494,16.155494,14.866069,13.601471,11.401754,9.486833,7.28011,5.385165,4.242641,4.123106,5.09902,7.28011,9.848858,11.7047,14.56022,16.492423,18.248288,19.104973,19.026298,18.027756,15.297059,12.369317,8.944272,6.403124,13.928388,14.866069,17.088007,17.088007,17.088007,15.811388,13.601471,12.165525,10.049876,8.062258,7.28011,6.708204,7.071068,7.071068,7.81025,8.602325,9.219544,9.219544,10.0,10.0,10.0,10.29563,9.848858,10.198039,11.0,12.165525,12.158910500000001,13.156543,13.60578,14.2002685,14.463966,13.321632999999999,12.330952,11.872475,10.147815,8.640901,8.109049,6.3954835,6.6814365,7.531129,9.5276925,11.946965500000001,14.525165000000001,17.037720999999998,18.385511,19.244471,20.1156795,18.984251,17.8155085,16.1794625,13.535658,10.581282999999999,19.390646500000003,21.319122,21.688779,21.6066015,20.111874,17.0586215,13.590270499999999,10.9210305,8.377261,7.1410855,7.963874000000001,8.560472,10.5276925,11.5441405,12.540515,12.540515,12.661238,12.761131500000001,12.523182,11.553227,10.6053185,10.0234485,8.972135999999999,8.7996945,9.222125,9.732006
sujin_chair_sit_variation_02,0.2,25.495098,24.515301,22.561028,18.439089,15.524175,11.7047,7.615773,4.472136,1.414214,2.0,5.09902,7.28011,9.486833,11.18034,12.529964,13.038405,15.0,14.142136,13.453624,12.206556,11.18034,10.198039,8.0,6.324555,5.656854,4.472136,8.544004,6.0,5.0,7.071068,11.045361,14.317821,18.439089,20.615528,22.561028,23.537205,22.561028,21.587033,20.615528,18.439089,15.524175,13.601471,10.77033,8.062258,5.656854,4.123106,6.403124,9.848858,13.601471,18.439089,21.377558,23.345235,14.422205,15.811388,16.643317,15.811388,14.422205,13.601471,11.401754,10.0,7.211103,5.385165,4.0,4.472136,6.403124,8.062258,10.29563,13.892444,15.811388,18.601075,20.0,20.518285,20.518285,19.209373,18.027756,14.764823,10.440307,7.071068,13.152946,15.132746,16.124515,16.03122,16.03122,14.035669,13.038405,11.045361,9.219544,6.708204,6.403124,5.0,5.385165,5.385165,6.324555,6.082763,7.28011,7.28011,7.28011,8.246211,8.062258,8.0,8.062258,8.544004,10.0,11.313708,9.219544,7.071068,6.082763,5.09902,5.385165,5.830952,7.211103,9.433981,10.29563,12.083046,12.649111,13.341664,14.142136,15.033296,15.0,14.0,13.0,12.0,10.049876,8.544004,8.602325,10.0,11.18034,13.0,13.928388,13.928388,5.830952,6.708204,9.219544,14.035669,17.029386,20.024984,21.095023,22.203603,21.377558,20.396078,19.646883,16.763055,14.56022,12.369317,10.198039,9.055385,9.0,9.219544,9.486833,10.77033,11.7047,12.649111,13.601471,14.317821,13.038405,12.0
sujin_chair_sit_variation_02,0.30000000000000004,26.907248,26.172505,24.083189,19.849433,16.401219,12.806248,8.602325,5.0,2.236068,1.414214,3.605551,7.211103,9.433981,11.18034,13.0,13.601471,14.56022,15.033296,14.0,13.152946,11.401754,10.29563,8.485281,6.708204,5.09902,5.09902,8.602325,5.830952,5.09902,6.403124,11.18034,15.231546,18.973666,22.135944,23.4094,24.351591,23.4094,22.472205,20.248457,18.027756,15.811388,13.341664,11.18034,8.0,5.385165,5.385165,7.28011,10.816654,15.0,19.104973,22.627417,24.758837,15.620499,16.970563,17.691806,16.970563,16.278821,14.21267,12.806248,10.630146,8.602325,6.403124,4.472136,4.0,5.385165,7.071068,9.219544,12.727922,14.866069,17.029386,19.209373,20.248457,19.723083,18.788294,17.088007,13.601471,11.045361,7.071068,12.649111,14.56022,15.524175,16.492423,15.297059,14.317821,12.165525,10.0,8.062258,6.324555,5.830952,5.656854,6.403124,6.708204,7.615773,8.544004,8.944272,9.848858,8.944272,9.848858,9.848858,9.219544,9.055385,10.049876,10.440307,11.18034,8.602325,6.403124,4.242641,4.472136,4.0,6.0,7.0,9.0,10.049876,11.401754,12.649111,13.416408,13.892444,14.422205,14.21267,13.453624,12.041595,10.630146,8.944272,8.062258,8.062258,8.944272,11.401754,13.601471,15.0,15.0,6.082763,7.28011,10.29563,14.21267,17.029386,19.209373,20.615528,21.400935,20.808652,19.723083,17.492856,16.124515,13.892444,11.661904,10.0,8.485281,8.602325,8.944272,9.848858,11.7047,12.649111,13.416408,13.416408,13.038405,12.806248,11.313708
sujin_chair_sit_variation_02,0.4,29.12044,27.892651,24.738634,22.561028,18.439089,14.142136,10.049876,6.082763,3.162278,1.0,4.123106,6.0,9.055385,11.18034,12.369317,13.601471,14.866069,15.264338,15.0,14.142136,12.206556,11.18034,9.219544,8.062258,6.324555,5.656854,9.486833,5.830952,5.09902,7.615773,11.313708,15.556349,19.849433,22.671568,24.083189,25.495098,24.758837,23.345235,21.931712,19.104973,17.029386,13.601471,10.816654,8.544004,6.0,5.656854,8.246211,12.041595,16.278821,20.615528,24.041631,26.925824,14.229978500000001,15.841848,16.835093999999998,15.8884955,15.221167999999999,13.779272,12.166643,10.062306,7.930992,5.733964,4.0,3.216989,4.7541355,6.8078865,9.885165,11.824555499999999,15.077747,17.894147,18.63157,19.414028000000002,20.112569999999998,18.079566999999997,16.5630285,14.052557,10.147815,6.767829,12.428823000000001,14.449265,15.572445,15.298321000000001,15.298321000000001,13.9135115,12.079159,10.310649000000002,8.6485415,7.6366805,6.737096,6.45101,6.45101,7.1934065,7.1934065,7.671184,8.167747499999999,8.650798,8.650798,9.1374645,9.109772,8.772002,8.154234500000001,8.7147765,9.7169905,10.5352265,13.038405,14.866069,14.21267,14.422205,13.416408,13.601471,12.165525,11.045361,9.0,7.0,6.0,4.123106,4.242641,5.385165,8.062258,10.049876,13.038405,15.033296,17.117243,18.248288,18.439089,17.464249,16.492423,14.317821,11.18034,8.0,19.697716,20.615528,20.615528,19.697716,17.464249,14.764823,12.206556,9.219544,8.544004,9.0,9.219544,10.440307,11.7047,12.649111,12.649111,12.649111,12.369317,11.401754,10.440307,9.219544,8.544004,8.062258,7.81025,8.602325,9.433981,11.18034
sujin_chair_sit_variation_02,0.5,4.472136,4.472136,7.81025,10.29563,12.529964,14.317821,14.764823,14.764823,13.892444,13.892444,12.806248,11.401754,9.899495,9.219544,7.211103,5.385165,3.0,2.236068,3.162278,4.242641,5.830952,7.28011,8.062258,8.0,7.28011,7.615773,18.973666,21.540659,22.847319,23.259407,22.36068,21.470911,17.888544,14.317821,10.77033,7.071068,5.385165,5.830952,8.062258,10.0,12.041595,14.142136,16.124515,17.262677,19.235384,20.396078,20.396078,20.396078,18.439089,17.464249,14.56022,10.440307,14.317821,16.155494,16.552945,17.464249,16.552945,15.652476,13.416408,11.18034,8.944272,7.28011,5.0,4.472136,5.656854,7.615773,10.77033,13.0,16.155494,17.464249,20.124612,21.470911,21.633308,20.0,19.104973,15.620499,12.206556,8.944272,12.369317,14.317821,15.297059,14.317821,14.317821,13.152946,11.045361,9.0,7.071068,5.385165,5.656854,5.830952,5.385165,6.324555,7.28011,8.246211,8.544004,9.486833,8.544004,9.486833,8.544004,8.246211,8.0,7.28011,8.602325,10.630146,8.246211,6.324555,4.123106,3.162278,3.605551,5.656854,7.071068,8.485281,10.630146,12.206556,13.416408,13.928388,14.56022,15.297059,15.132746,14.142136,13.152946,12.165525,10.440307,8.602325,9.433981,10.440307,12.165525,15.033296,16.03122,16.03122,5.0,8.062258,10.77033,14.866069,17.720045,19.924859,22.135944,22.135944,21.540659,19.697716,17.888544,15.652476,13.0,10.77033,9.219544,9.0,8.246211,9.486833,9.848858,12.083046,13.0,13.928388,14.317821,14.142136,13.0,12.041595
sujin_chair_sit_variation_02,0.6000000000000001,4.472136,4.472136,7.071068,9.433981,12.206556,13.892444,14.422205,14.422205,14.422205,13.601471,12.041595,11.313708,10.630146,8.602325,6.708204,5.09902,3.0,2.236068,2.236068,3.605551,5.385165,6.082763,7.0,7.28011,6.708204,6.403124,18.439089,20.615528,22.803509,23.086793,23.4094,20.615528,18.384776,14.866069,10.440307,8.0,5.385165,5.830952,8.062258,10.0,12.041595,14.142136,16.278821,17.262677,19.416488,20.396078,20.615528,20.615528,18.439089,17.464249,14.56022,10.440307,17.804494,14.422205,12.083046,11.18034,10.049876,10.77033,12.529964,14.422205,15.264338,17.0,17.888544,18.027756,17.720045,17.262677,17.117243,15.033296,12.0,9.0,5.09902,3.0,6.403124,12.041595,17.029386,20.0,23.323808,24.166092,9.219544,7.615773,6.403124,7.28011,9.0,10.198039,12.369317,13.601471,13.601471,13.601471,12.369317,12.369317,10.440307,9.219544,8.246211,7.615773,8.062258,8.602325,9.219544,11.401754,13.601471,16.401219,18.601075,20.0,20.615528,20.615528,12.369317,13.0,13.892444,13.601471,13.453624,12.806248,12.529964,11.18034,9.848858,8.544004,7.615773,5.830952,6.403124,6.324555,8.062258,11.045361,13.038405,16.03122,17.029386,19.026298,19.104973,18.11077,17.117243,15.132746,13.038405,11.0,20.248457,21.633308,20.808652,19.416488,17.204651,15.264338,12.083046,9.219544,8.062258,8.062258,9.899495,10.630146,12.206556,12.806248,12.806248,13.453624,12.727922,12.041595,12.041595,10.630146,9.219544,7.81025,8.062258,8.246211,9.219544,10.049876
sujin_chair_sit_variation_02,0.7000000000000001,23.7656225,23.226239,21.74011,19.632960500000003,15.6394105,12.7476095,9.250910000000001,6.45101,2.9208095,1.7071070000000002,3.1795869999999997,4.54951,6.640055,8.609772,10.615108,11.6109675,12.684658500000001,13.3956235,12.712354999999999,12.603278,11.487805999999999,10.315073,9.081908,7.728657,6.1622775,4.54951,8.623105500000001,6.640055,5.3228825,6.5769155,10.547618499999999,13.8297425,17.106234,19.648535000000003,21.118204,21.478552999999998,20.800653,20.800653,18.673077,16.693596,14.229978500000001,12.371709,9.96357,7.413437999999999,6.0299890000000005,4.561553,6.708204,9.609772,13.5275475,16.8363515,19.8615415,22.3790035,14.866069,16.492423,16.763055,17.720045,15.524175,14.866069,12.649111,10.77033,8.544004,6.082763,5.09902,4.242641,5.385165,8.246211,10.198039,13.341664,16.492423,18.681542,20.248457,20.615528,21.470911,20.248457,17.804494,14.866069,11.401754,8.944272,13.0,15.0,15.0,16.03122,15.033296,14.142136,11.401754,9.486833,7.615773,6.403124,6.403124,6.324555,6.082763,7.071068,7.071068,8.062258,8.062258,9.055385,9.055385,9.055385,8.062258,8.0,8.246211,8.602325,9.219544,10.29563,13.0,14.035669,13.601471,14.317821,14.422205,13.453624,12.041595,10.816654,10.29563,8.944272,7.211103,5.656854,5.830952,6.324555,9.0,11.045361,14.142136,16.124515,18.11077,20.099751,20.024984,19.026298,19.026298,16.03122,14.142136,11.401754,22.561028,23.769729,24.041631,22.135944,19.924859,16.763055,13.152946,10.0,7.615773,7.81025,9.848858,11.7047,12.369317,12.649111,13.0,14.317821,13.416408,13.892444,11.661904,10.816654,9.433981,7.615773,8.246211,8.0,9.055385,10.049876
sujin_chair_sit_variation_02,0.8,25.079872,25.179357,23.345235,20.396078,16.492423,13.341664,9.219544,6.324555,3.162278,1.0,2.828427,5.656854,7.071068,9.219544,11.401754,11.661904,13.416408,13.0,13.341664,13.038405,12.041595,10.198039,8.944272,7.211103,6.403124,4.472136,8.944272,7.071068,6.082763,8.544004,12.206556,14.866069,18.384776,21.213203,22.627417,24.083189,23.430749,22.022716,20.615528,18.439089,15.620499,14.142136,11.313708,8.602325,6.324555,5.385165,7.81025,9.486833,13.341664,18.11077,21.095023,23.086793,13.892444,15.264338,16.124515,16.124515,15.264338,13.892444,12.083046,9.848858,7.615773,5.385165,4.242641,3.162278,3.162278,5.830952,8.602325,11.401754,14.422205,16.643317,17.492856,18.788294,18.788294,17.720045,16.278821,13.038405,10.049876,7.28011,13.038405,14.764823,14.764823,15.652476,14.317821,13.928388,12.649111,10.198039,9.0,8.062258,7.28011,7.211103,7.211103,7.81025,8.485281,8.485281,9.899495,9.899495,9.899495,9.899495,9.219544,9.433981,8.944272,8.246211,9.055385,10.440307,9.486833,7.615773,5.385165,5.09902,4.123106,5.385165,6.708204,8.062258,9.848858,11.7047,12.369317,13.152946,14.035669,15.0,15.0,15.033296,14.035669,13.0,12.165525,10.77033,10.816654,12.041595,13.601471,15.264338,16.124515,16.552945,5.0,7.28011,11.18034,15.132746,18.11077,21.213203,23.345235,23.537205,22.803509,22.135944,18.973666,17.088007,13.928388,11.7047,9.219544,9.055385,8.062258,8.544004,9.848858,11.18034,12.083046,13.928388,14.56022,14.142136,14.035669,12.041595
sujin_chair_sit_variation_02,0.9,4.123106,4.472136,6.0,9.219544,11.18034,13.341664,13.341664,14.142136,14.142136,13.152946,13.038405,12.0,10.049876,9.219544,7.28011,5.385165,3.605551,1.414214,1.0,2.236068,4.242641,5.0,5.830952,6.324555,7.071068,7.0,17.691806,19.849433,22.022716,22.803509,22.203603,20.248457,17.492856,14.422205,11.401754,8.485281,5.385165,5.09902,7.211103,9.219544,11.401754,13.038405,14.764823,16.124515,17.492856,18.35756,19.235384,18.35756,17.888544,17.0,14.764823,10.77033,15.231546,16.155494,17.088007,17.088007,16.155494,15.231546,13.0,11.18034,8.944272,6.324555,5.09902,4.123106,4.242641,6.708204,9.486833,11.7047,14.866069,17.088007,18.788294,19.235384,19.416488,18.601075,16.970563,14.21267,11.18034,8.246211,13.038405,14.142136,15.132746,15.132746,14.317821,13.341664,11.401754,9.848858,8.602325,7.071068,6.708204,7.28011,7.071068,8.062258,9.055385,9.055385,9.055385,10.049876,10.049876,10.049876,10.049876,9.055385,8.246211,8.944272,9.899495,10.816654,11.401754,13.453624,13.453624,13.892444,13.416408,13.601471,12.369317,12.041595,11.0,9.0,8.062258,7.28011,6.708204,7.81025,9.219544,10.816654,13.892444,16.124515,18.35756,19.723083,20.248457,19.416488,18.027756,16.643317,14.764823,11.7047,21.260292,21.931712,22.627417,21.213203,19.104973,15.556349,12.806248,9.433981,7.071068,7.28011,9.433981,10.630146,12.041595,13.453624,13.453624,13.601471,13.038405,13.416408,12.083046,11.18034,9.848858,8.944272,8.062258,7.071068,8.602325,9.433981
sujin_chair_sit_variation_02,1.0,27.658633,27.892651,25.0,21.84033,18.027756,14.866069,10.77033,6.324555,3.162278,1.0,2.828427,5.656854,7.81025,10.0,11.661904,12.529964,14.866069,14.317821,14.142136,14.0,12.165525,11.7047,10.29563,8.485281,6.403124,5.385165,9.848858,7.81025,6.324555,8.246211,12.529964,15.811388,20.615528,22.803509,25.0,25.806976,25.238859,23.853721,22.472205,20.248457,17.204651,15.0,12.041595,10.0,7.615773,6.082763,8.485281,11.18034,14.56022,19.646883,23.345235,24.515301,17.492856,14.422205,12.041595,9.433981,8.246211,9.0,11.18034,12.369317,14.317821,15.297059,16.124515,17.029386,17.029386,17.117243,15.524175,13.601471,10.77033,8.062258,3.605551,2.236068,6.403124,12.206556,16.124515,19.697716,22.135944,23.769729,10.0,9.219544,7.211103,8.602325,9.848858,11.401754,13.152946,14.035669,14.035669,14.142136,13.152946,12.165525,11.18034,10.198039,9.055385,8.0,8.062258,9.219544,9.848858,11.18034,13.892444,16.124515,17.492856,19.723083,20.59126,20.59126,10.4841845,11.553227,12.784184499999999,12.603278,12.5972705,12.205456,12.330952,10.978767,9.880462999999999,8.988992499999998,7.385231,7.0094484999999995,6.737096,6.854102,8.7328775,10.9078455,13.2274065,14.8990595,17.014693,18.192658,19.1701785,19.1701785,17.999657,16.0778675,13.519202499999999,11.291046999999999,20.306471000000002,21.968247499999997,22.144925,21.1695895,19.0637535,16.1907905,12.407425,8.866522,6.9465065,7.0094484999999995,8.828855,10.172753,11.6109675,12.5607255,12.784184499999999,13.519202499999999,12.9223265,12.5972705,11.7396165,11.01595,9.829925500000002,8.8524125,7.6366805,6.889636,7.28011,8.303131
sujin_chair_sit_variation_02,1.1,5.0,5.0,7.28011,10.198039,13.152946,14.142136,15.132746,15.132746,15.297059,15.524175,13.928388,13.0,12.083046,10.29563,8.602325,6.403124,4.242641,2.236068,2.236068,4.123106,5.09902,6.0,7.071068,7.615773,7.211103,19.313208,21.18962,23.086793,23.769729,23.537205,21.377558,19.235384,15.297059,11.401754,8.544004,5.656854,5.09902,6.324555,8.602325,11.401754,13.601471,15.620499,17.029386,17.691806,19.104973,19.79899,19.104973,19.104973,16.970563,14.142136,11.401754,17.958527500000002,20.615528,18.248288,15.033296,12.369317,11.661904,12.041595,13.601471,16.124515,17.492856,19.416488,20.0,20.518285,20.518285,20.615528,18.867962,17.0,14.317821,10.77033,5.385165,2.236068,7.071068,13.341664,18.681542,23.4094,25.495098,26.925824,11.313708,10.29563,9.219544,9.219544,11.18034,13.601471,15.620499,16.278821,16.278821,16.278821,15.620499,14.21267,12.806248,12.041595,10.630146,10.0,10.29563,10.77033,11.7047,14.56022,17.464249,19.416488,21.587033,24.515301,25.70992,24.738634,10.049876,10.440307,10.77033,11.661904,11.401754,12.041595,11.401754,10.29563,8.944272,8.944272,6.708204,6.403124,6.403124,6.708204,8.246211,10.049876,12.0,15.0,16.0,18.0,18.0,18.027756,17.0,15.0,13.038405,11.18034,21.18962,22.472205,21.931712,21.023796,19.235384,15.652476,13.0,9.219544,6.082763,5.656854,8.062258,8.544004,10.440307,11.7047,12.083046,12.529964,12.529964,12.206556,11.401754,10.630146,9.219544,7.81025,7.211103,6.324555,6.082763,8.062258
