sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
sujin_fall_normal_08,0.0,17.204651,16.278821,14.21267,11.401754,8.944272,5.385165,3.162278,3.0,4.242641,7.211103,9.433981,12.083046,13.928388,15.811388,17.720045,18.681542,19.416488,18.439089,16.492423,14.56022,10.440307,6.324555,2.236068,2.0,6.082763,8.062258,9.219544,7.211103,7.615773,9.055385,13.0,15.264338,19.209373,20.518285,21.931712,21.260292,19.79899,18.384776,15.556349,12.727922,9.899495,7.211103,4.472136,3.162278,3.162278,6.082763,9.055385,11.045361,14.142136,15.524175,17.088007,17.464249,25.019992,23.021729,20.099751,15.033296,10.049876,6.0,1.0,3.162278,6.324555,9.486833,12.649111,14.866069,16.155494,18.384776,19.697716,19.697716,19.313208,18.027756,14.866069,12.369317,7.28011,3.0,2.236068,7.211103,10.29563,13.0,3.162278,4.123106,7.615773,11.7047,14.317821,17.464249,18.788294,18.788294,18.788294,17.464249,16.552945,13.928388,11.7047,8.544004,6.324555,3.162278,1.0,4.0,8.062258,12.041595,16.03122,20.024984,23.021729,26.0,27.0,1.414214,8.0,12.041595,15.297059,16.492423,16.155494,15.652476,14.422205,12.041595,10.0,8.544004,7.0,5.385165,6.403124,7.615773,8.0,8.062258,8.544004,8.602325,7.81025,6.082763,5.385165,6.708204,9.0,12.369317,14.764823,15.620499,21.470911,23.259407,24.166092,23.4094,22.135944,21.587033,19.104973,17.0,14.317821,13.0,11.661904,10.630146,10.29563,11.18034,12.041595,13.152946,14.317821,15.811388,17.088007,18.027756,17.088007,16.155494,13.928388,10.440307,6.324555,1.414214
sujin_fall_normal_08,0.1,19.313208,17.720045,15.297059,13.152946,10.049876,6.0,3.0,1.0,4.0,7.28011,10.440307,12.649111,14.866069,17.464249,18.788294,20.59126,20.124612,20.59126,18.35756,15.652476,12.529964,7.211103,2.236068,2.0,5.385165,8.544004,10.29563,8.246211,5.385165,7.615773,11.045361,14.035669,17.262677,19.646883,20.615528,20.880613,19.924859,18.027756,14.866069,12.649111,9.848858,6.708204,4.242641,3.0,4.242641,7.211103,9.433981,12.206556,14.866069,16.970563,17.804494,18.867962,7.071068,11.313708,14.21267,17.029386,18.439089,18.601075,18.027756,16.643317,15.264338,13.038405,10.816654,8.602325,5.830952,2.828427,1.414214,5.0,8.062258,12.369317,15.524175,18.973666,21.18962,21.18962,21.540659,19.697716,17.464249,14.317821,14.317821,15.297059,16.278821,15.297059,14.142136,12.165525,9.055385,6.0,2.0,1.414214,4.123106,7.28011,9.486833,11.7047,13.0,15.231546,15.652476,17.0,17.0,16.643317,16.643317,15.0,12.806248,10.0,6.403124,1.414214,8.0,12.041595,15.297059,16.492423,16.155494,15.652476,14.422205,12.041595,10.0,8.544004,7.0,5.385165,6.403124,7.615773,8.0,8.062258,8.544004,8.602325,7.81025,6.082763,5.385165,6.708204,9.0,12.369317,14.764823,15.620499,21.470911,23.259407,24.166092,23.4094,22.135944,21.587033,19.104973,17.0,14.317821,13.0,11.661904,10.630146,10.29563,11.18034,12.041595,13.152946,14.317821,15.811388,17.088007,18.027756,17.088007,16.155494,13.928388,10.440307,6.324555,1.414214
sujin_fall_normal_08,0.2,21.400935,20.248457,17.492856,15.231546,11.7047,7.615773,4.123106,1.0,3.162278,7.28011,10.198039,13.152946,16.124515,18.11077,21.023796,22.022716,22.090722,22.090722,20.099751,17.117243,13.038405,8.062258,2.0,2.236068,6.324555,9.219544,10.630146,7.615773,5.09902,6.708204,10.0,14.142136,18.439089,19.646883,21.84033,21.540659,21.18962,18.973666,16.155494,13.0,9.848858,6.708204,3.605551,2.0,3.605551,6.324555,9.486833,12.649111,15.652476,17.492856,19.209373,20.518285,7.211103,10.816654,13.892444,15.264338,17.492856,17.492856,17.0,15.652476,14.317821,12.083046,10.29563,7.615773,5.385165,2.828427,1.414214,4.0,8.0,12.041595,15.132746,18.248288,19.416488,20.396078,20.615528,18.973666,16.763055,13.928388,13.928388,14.866069,14.866069,14.866069,12.649111,11.401754,8.246211,5.09902,2.0,2.236068,4.472136,6.708204,8.944272,11.18034,12.529964,13.892444,15.264338,15.811388,15.811388,16.401219,14.866069,13.453624,12.041595,9.219544,5.656854,1.0,14.396852500000001,14.926880999999998,14.613898,13.952278,11.67272,10.51561,10.516648,10.3843595,10.102155499999999,9.250910000000001,9.306428499999999,9.230224999999999,9.387884,9.1301485,9.63471,9.460407,9.924429,9.757587000000001,10.09017,9.828683999999999,10.002297500000001,10.208204,10.87526,10.971927,10.739333,9.972692499999999,16.9866535,18.224395,19.947122,20.762940999999998,21.400118,21.3330665,20.7065555,19.915461999999998,18.798374000000003,17.3305805,16.178656500000002,15.3475945,14.254805,13.669327,12.843758,12.658910500000001,11.663298000000001,11.9564275,10.838393499999999,11.451756999999999,13.2034095,14.5033715,14.8662225,14.9247165,13.839785,12.042891000000001
sujin_fall_normal_08,0.30000000000000004,5.830952,8.544004,11.401754,14.142136,15.132746,17.029386,17.0,17.029386,16.124515,15.132746,13.152946,12.165525,10.049876,6.082763,3.0,1.0,4.472136,8.246211,12.369317,15.297059,18.248288,20.223748,21.095023,20.099751,17.029386,15.0,16.155494,18.027756,20.880613,19.924859,19.646883,17.262677,14.142136,11.045361,7.0,3.162278,2.0,5.0,7.211103,8.944272,10.29563,11.18034,11.18034,13.038405,12.206556,12.041595,11.313708,9.219544,7.615773,6.324555,4.0,2.236068,8.0,12.041595,15.033296,17.029386,18.11077,18.11077,17.117243,16.278821,15.297059,13.341664,11.18034,8.246211,6.082763,4.123106,3.162278,5.385165,8.062258,11.401754,14.142136,16.970563,18.384776,19.104973,19.104973,17.029386,14.866069,12.041595,13.601471,15.0,15.0,14.422205,13.601471,11.661904,8.602325,5.830952,3.162278,3.605551,5.0,7.81025,9.219544,10.816654,12.206556,13.038405,13.892444,14.317821,13.928388,13.0,12.649111,9.486833,7.28011,4.123106,1.0,14.5089255,20.615528,18.35756,15.0,10.630146,7.28011,5.385165,5.830952,7.071068,9.055385,10.440307,10.77033,10.816654,10.630146,10.0,8.544004,9.055385,8.544004,9.219544,10.29563,12.165525,13.0,13.341664,13.0,12.206556,9.899495,6.403124,12.041595,14.422205,16.155494,18.681542,22.203603,23.086793,24.0,24.083189,24.186773,24.515301,22.561028,20.880613,18.027756,16.552945,13.892444,12.206556,9.899495,7.211103,6.082763,5.830952,9.433981,12.649111,16.492423,20.396078,22.561028,22.803509
sujin_fall_normal_08,0.4,5.830952,9.219544,11.313708,14.21267,16.401219,17.204651,17.492856,17.0,16.552945,15.231546,13.928388,11.7047,9.486833,6.324555,3.162278,1.0,4.472136,8.944272,12.529964,16.124515,19.235384,20.248457,20.808652,20.808652,18.601075,15.0,14.56022,17.088007,17.464249,17.888544,17.0,14.764823,12.206556,7.81025,5.0,3.0,4.472136,6.082763,9.055385,10.049876,11.18034,13.152946,13.038405,13.038405,13.038405,12.0,11.18034,10.198039,7.615773,5.830952,4.242641,1.0,26.07681,23.086793,19.104973,15.033296,10.0,5.09902,3.162278,4.472136,7.81025,10.630146,14.142136,16.278821,17.691806,19.79899,21.213203,21.213203,20.518285,19.79899,16.278821,12.806248,8.602325,3.162278,3.0,6.708204,10.816654,13.601471,3.605551,1.414214,4.472136,8.602325,11.401754,15.0,17.804494,18.439089,19.209373,18.601075,17.204651,15.811388,13.038405,10.816654,8.062258,5.385165,2.236068,1.0,4.123106,8.246211,13.152946,16.124515,20.099751,24.020824,26.0,28.017851,8.485281,12.727922,14.21267,16.643317,17.0,15.231546,13.601471,12.165525,10.0,7.28011,5.830952,4.472136,5.0,5.830952,7.81025,8.062258,9.219544,9.0,8.246211,7.211103,6.403124,6.0,8.062258,9.433981,11.401754,13.038405,22.203603,23.600847,24.207437,22.671568,22.627417,21.260292,18.601075,17.0,14.866069,13.152946,12.041595,10.440307,10.816654,11.313708,12.206556,13.892444,14.317821,15.811388,16.763055,18.027756,16.763055,15.811388,13.928388,10.77033,6.324555,1.0
sujin_fall_normal_08,0.5,20.396078,18.681542,17.088007,13.928388,10.29563,7.211103,2.828427,1.0,4.472136,7.211103,10.816654,13.601471,15.620499,18.439089,19.849433,21.260292,21.260292,20.615528,19.209373,16.401219,12.206556,7.81025,2.828427,1.0,4.472136,7.615773,9.486833,6.403124,6.324555,8.246211,10.816654,14.142136,17.029386,18.601075,19.416488,18.601075,17.492856,15.264338,13.038405,10.29563,7.211103,4.472136,2.0,2.0,4.472136,8.062258,9.848858,12.649111,14.56022,17.262677,19.026298,20.0,24.8965545,22.279218999999998,18.81008,14.7195975,10.048767,5.04951,1.2071070000000002,3.8027755,6.9941569999999995,10.440307,12.509214,14.591944999999999,16.683414,18.518290999999998,19.466549999999998,19.466549999999998,19.679997999999998,17.8237265,15.7262765,11.553227,7.8390155,3.3839145000000004,4.561553,8.109049,11.509204,13.777166999999999,2.1180339999999998,1.825141,5.0,8.828855,13.095675499999999,15.6286305,18.302923999999997,19.4792335,19.9734155,19.414028000000002,18.234164999999997,16.8363515,14.228937,12.103278,9.109772,6.701562,3.0811390000000003,1.2071070000000002,4.0388435000000005,7.1619885,11.631692999999999,15.709916,19.741745,22.521354000000002,25.228123,26.407719,19.723083,17.464249,12.649111,9.055385,5.09902,3.162278,5.0,7.211103,8.544004,10.198039,10.0,10.049876,10.440307,10.29563,8.485281,7.615773,8.0,8.544004,9.219544,11.18034,12.649111,13.038405,13.152946,10.440307,8.062258,5.0,14.422205,15.556349,18.601075,19.723083,21.540659,23.086793,24.738634,24.515301,24.33105,23.194827,22.090722,20.024984,18.0,16.03122,14.142136,12.165525,9.486833,7.211103,5.830952,6.0,8.062258,12.041595,15.556349,19.79899,21.931712,22.671568
sujin_fall_normal_08,0.6000000000000001,6.0,9.219544,12.649111,15.231546,16.552945,18.35756,18.867962,18.027756,17.204651,15.620499,14.21267,12.041595,9.219544,6.403124,2.828427,1.414214,5.656854,9.219544,13.453624,17.029386,20.0,21.400935,21.633308,21.095023,18.35756,15.652476,15.620499,17.204651,18.027756,18.867962,17.492856,14.764823,11.7047,8.246211,5.0,3.605551,5.09902,7.615773,9.433981,12.206556,13.601471,13.038405,14.422205,14.764823,14.764823,14.317821,12.649111,11.18034,9.0,7.0,4.123106,1.0,8.062258,12.041595,15.132746,17.117243,18.11077,19.416488,18.439089,17.464249,15.524175,13.601471,11.7047,9.486833,7.071068,4.0,2.236068,4.472136,7.81025,11.313708,14.866069,17.691806,19.209373,19.209373,20.0,18.027756,15.811388,12.206556,14.142136,14.866069,15.556349,15.556349,14.142136,11.313708,8.485281,5.656854,2.236068,1.414214,4.242641,7.071068,8.485281,10.630146,12.206556,13.601471,13.892444,14.764823,15.652476,15.231546,13.928388,12.649111,11.401754,8.544004,4.472136,2.0,21.260292,17.691806,14.422205,10.77033,7.0,5.656854,6.082763,7.28011,9.433981,10.630146,10.630146,10.29563,9.486833,9.055385,8.246211,8.062258,7.211103,9.055385,10.198039,12.083046,12.806248,13.601471,13.892444,12.649111,10.198039,7.0,14.142136,15.811388,18.384776,20.880613,23.345235,25.179357,26.019224,26.0,26.07681,24.186773,23.345235,21.587033,19.924859,17.088007,15.231546,13.892444,11.401754,8.485281,7.28011,7.28011,9.219544,12.206556,16.124515,19.723083,21.954498,23.323808
sujin_fall_normal_08,0.7000000000000001,21.023796,20.223748,18.439089,14.56022,11.401754,7.615773,3.605551,1.414214,4.123106,7.615773,9.848858,13.416408,16.124515,18.35756,19.723083,20.59126,21.954498,20.59126,18.788294,15.231546,11.7047,7.28011,3.0,2.236068,5.830952,8.062258,7.211103,5.830952,6.082763,8.602325,12.206556,14.764823,17.888544,19.313208,20.248457,20.248457,18.973666,17.088007,14.866069,11.7047,8.544004,6.082763,3.0,2.236068,4.472136,7.211103,9.433981,12.529964,14.866069,17.720045,19.416488,21.095023,24.186773,21.377558,18.248288,13.152946,9.055385,5.09902,2.236068,5.0,8.485281,11.313708,14.142136,16.970563,18.384776,20.518285,21.260292,21.260292,21.260292,19.104973,16.970563,12.806248,8.602325,4.123106,3.162278,7.071068,10.77033,13.0,3.162278,2.236068,5.09902,8.944272,12.529964,16.124515,17.492856,19.723083,19.723083,19.235384,18.35756,17.0,14.317821,11.7047,9.486833,6.324555,3.162278,3.162278,8.062258,11.045361,16.03122,19.0,23.021729,25.079872,26.172505,9.877337,19.924859,17.262677,13.0,9.219544,6.403124,5.0,6.403124,8.062258,9.848858,10.198039,11.0,11.045361,9.486833,8.944272,8.485281,8.062258,8.0,8.544004,9.899495,11.661904,12.649111,13.152946,13.038405,11.401754,9.433981,6.403124,14.317821,15.652476,18.601075,20.518285,23.430749,24.207437,26.07681,26.07681,25.942244,24.596748,22.847319,21.540659,18.973666,16.492423,14.317821,13.038405,10.049876,8.246211,6.403124,6.324555,8.246211,12.083046,15.652476,19.235384,21.470911,21.931712
sujin_fall_normal_08,0.8,13.509326000000001,14.0246225,14.367042999999999,14.265245499999999,13.5477375,11.912723499999998,10.095832,9.0,10.1213205,10.922959500000001,11.927529499999999,11.733142,11.857367,11.444272,10.966892,11.926111500000001,13.462912000000001,14.8057225,16.288524,15.878380499999999,15.811522,13.717425500000001,11.693013,10.6705205,12.0967665,11.78865,12.01561,11.430169,12.1761555,13.513878,14.743279999999999,15.182146,15.0270345,14.604958,13.0397045,12.097609499999999,11.670048999999999,11.5232205,11.242231499999999,10.978767,9.8913325,9.466543999999999,8.067757499999999,7.5192025,8.3818745,9.4445055,10.1845465,11.082762500000001,11.311239,11.706281,11.394147,11.275755,8.246211,12.165525,15.297059,17.262677,18.11077,19.104973,18.027756,17.029386,16.03122,14.0,12.0,10.0,7.071068,4.472136,3.162278,4.472136,7.81025,11.401754,15.0,18.027756,19.723083,20.248457,19.723083,18.35756,16.124515,13.416408,14.317821,16.155494,16.155494,16.155494,13.928388,12.649111,9.486833,6.324555,3.162278,2.828427,5.830952,7.81025,10.0,11.401754,12.806248,13.453624,14.142136,14.866069,15.620499,15.0,13.038405,10.816654,8.062258,5.0,1.0,17.754674,20.615528,17.492856,14.21267,10.0,7.071068,5.830952,6.324555,8.0,9.219544,9.848858,10.816654,10.630146,10.0,8.944272,8.062258,7.28011,7.81025,8.944272,10.049876,12.165525,12.649111,13.038405,13.453624,12.206556,9.848858,6.324555,14.317821,16.278821,19.0,21.095023,23.537205,25.70992,26.570661,26.925824,26.400758,25.495098,23.706539,21.954498,19.416488,17.204651,14.866069,13.453624,10.816654,8.246211,7.0,7.211103,8.944272,13.601471,16.278821,20.396078,21.377558,22.803509
sujin_fall_normal_08,0.9,19.723083,18.788294,16.155494,13.928388,10.440307,6.324555,2.236068,1.0,5.0,9.0,12.0,14.0,17.029386,19.026298,21.023796,21.023796,23.086793,21.023796,19.026298,16.0,12.0,8.0,3.162278,1.414214,5.0,8.0,8.944272,7.0,5.830952,8.062258,11.18034,14.035669,16.03122,18.027756,19.104973,19.104973,17.262677,15.132746,13.152946,10.049876,8.062258,5.09902,2.0,1.414214,4.123106,7.28011,9.848858,12.529964,14.422205,17.804494,19.79899,19.849433,24.698178,21.931712,18.788294,13.928388,9.486833,5.09902,2.236068,4.472136,8.602325,11.401754,13.601471,16.401219,18.601075,20.0,20.808652,21.633308,20.808652,20.0,17.029386,13.453624,9.219544,4.123106,3.605551,7.071068,10.440307,13.0,2.828427,2.236068,5.0,9.055385,13.152946,16.124515,18.248288,19.416488,20.223748,20.223748,19.235384,17.117243,15.033296,12.041595,10.0,7.071068,4.123106,1.0,3.0,7.0,11.18034,15.297059,19.646883,22.803509,25.298221,25.632011,7.615773,11.18034,13.892444,14.422205,14.866069,14.866069,13.038405,11.18034,9.219544,7.071068,5.830952,5.830952,6.082763,7.071068,8.944272,10.0,10.630146,10.29563,9.219544,8.0,6.708204,5.830952,7.0,8.944272,10.630146,11.661904,24.166092,25.495098,26.0,25.079872,24.351591,22.803509,20.223748,18.027756,16.124515,14.866069,13.892444,13.453624,13.601471,13.416408,14.56022,16.278821,17.117243,18.027756,19.0,19.0,18.0,17.0,15.0,11.045361,7.0,2.0
