sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
sujin_fall_stay_down_04,0.0,8.602325,10.816654,12.649111,14.142136,17.029386,19.0,20.024984,20.024984,20.024984,19.026298,18.0,16.03122,13.038405,10.049876,6.0,2.236068,3.605551,8.602325,14.21267,19.104973,22.671568,25.0,26.925824,26.400758,24.351591,21.377558,13.928388,15.231546,15.652476,15.652476,13.892444,11.18034,8.544004,6.082763,4.123106,4.472136,6.0,8.062258,10.049876,11.18034,12.369317,12.369317,12.649111,13.928388,13.0,13.038405,12.806248,12.727922,12.206556,12.529964,11.7047,10.049876,9.848858,13.0,15.231546,17.088007,17.088007,16.763055,16.492423,14.317821,13.152946,11.045361,8.062258,6.0,3.0,3.162278,7.071068,10.198039,14.317821,17.262677,19.416488,21.587033,21.587033,20.615528,19.416488,16.492423,12.369317,12.041595,13.038405,14.142136,13.152946,12.369317,10.440307,8.544004,6.403124,3.162278,3.605551,5.656854,7.211103,8.944272,10.77033,12.083046,13.0,13.416408,13.416408,13.892444,13.038405,11.661904,10.816654,8.062258,5.0,2.0,3.0,4.123106,21.633308,20.248457,19.235384,17.0,15.652476,13.892444,12.206556,10.816654,10.0,9.899495,9.899495,9.219544,8.485281,8.485281,7.81025,7.211103,6.708204,7.28011,9.055385,10.049876,11.045361,12.165525,12.649111,12.529964,11.401754,9.219544,14.866069,15.811388,16.763055,17.720045,17.720045,18.439089,17.464249,17.464249,16.492423,15.524175,15.524175,15.811388,15.811388,15.524175,15.524175,15.297059,15.297059,14.142136,14.142136,13.341664,13.0,13.416408,14.422205,16.401219,18.439089,20.615528
sujin_fall_stay_down_04,0.1,7.071068,9.055385,10.77033,12.529964,13.892444,15.264338,15.811388,16.643317,15.811388,15.264338,14.422205,11.661904,9.433981,7.211103,5.0,3.0,5.0,8.944272,13.416408,17.0,20.248457,22.203603,23.430749,23.345235,21.400935,18.867962,12.806248,13.601471,13.892444,13.416408,11.18034,10.29563,7.211103,5.656854,4.123106,4.472136,5.656854,7.81025,9.219544,10.0,11.401754,11.401754,12.206556,11.661904,11.661904,11.18034,10.77033,10.198039,9.0,9.055385,7.615773,7.81025,9.848858,13.416408,15.231546,17.088007,18.027756,18.027756,16.492423,15.297059,13.152946,11.045361,9.055385,6.0,4.123106,1.414214,3.605551,6.708204,10.29563,14.317821,16.552945,20.124612,21.023796,21.470911,20.59126,19.235384,16.124515,13.416408,12.206556,13.601471,13.601471,14.21267,13.453624,11.313708,9.219544,6.708204,5.0,5.0,5.830952,7.28011,9.219544,10.198039,12.165525,13.152946,13.341664,14.317821,13.601471,13.601471,12.649111,10.77033,8.544004,6.082763,3.162278,4.123106,21.633308,20.248457,19.235384,17.0,15.652476,13.892444,12.206556,10.816654,10.0,9.899495,9.899495,9.219544,8.485281,8.485281,7.81025,7.211103,6.708204,7.28011,9.055385,10.049876,11.045361,12.165525,12.649111,12.529964,11.401754,9.219544,14.866069,15.811388,16.763055,17.720045,17.720045,18.439089,17.464249,17.464249,16.492423,15.524175,15.524175,15.811388,15.811388,15.524175,15.524175,15.297059,15.297059,14.142136,14.142136,13.341664,13.0,13.416408,14.422205,16.401219,18.439089,20.615528
sujin_fall_stay_down_04,0.2,19.104973,18.11077,17.029386,14.035669,12.0,9.055385,5.385165,3.605551,4.123106,7.211103,9.899495,13.453624,15.620499,18.439089,20.0,21.633308,21.954498,21.023796,20.248457,16.763055,13.341664,9.219544,3.162278,2.236068,6.324555,10.77033,1.0,2.828427,6.403124,8.602325,12.206556,13.892444,15.652476,16.155494,16.155494,16.155494,14.56022,12.369317,10.440307,8.544004,6.708204,4.242641,4.123106,5.09902,5.830952,8.485281,10.0,11.661904,13.416408,14.866069,17.464249,17.262677,11.401754,14.56022,17.720045,18.681542,19.416488,19.235384,18.11077,16.03122,15.0,12.041595,10.049876,8.0,5.0,2.236068,3.162278,6.403124,9.899495,13.453624,16.970563,19.79899,20.518285,21.260292,20.518285,18.384776,15.620499,12.041595,12.041595,14.142136,14.866069,14.866069,13.453624,11.401754,9.433981,6.324555,4.0,4.242641,5.09902,8.0,9.0,11.0,12.0,13.0,14.035669,14.142136,14.142136,14.317821,13.341664,11.18034,9.219544,7.0,4.472136,5.09902,20.730829999999997,20.046897,17.951669,16.2171575,14.530567,12.703861,11.59017,11.543478,11.045361,11.09017,11.0226805,10.5226805,10.049876,9.524937999999999,9.0276925,8.031129,7.671184,7.930992,8.177126999999999,9.757587000000001,11.247024,12.062320499999998,13.3007355,13.379036,12.205456,10.049876,13.78011,15.3778605,17.136495,17.513878,18.371167999999997,18.408025000000002,18.408025000000002,17.846519,16.7006095,16.262867,15.326238,15.115773,13.959646,13.959646,13.959646,13.959646,13.5620345,13.959646,13.678113,14.3792565,13.988313999999999,15.081564,16.940148999999998,17.873900499999998,19.8359335,20.9522045
sujin_fall_stay_down_04,0.30000000000000004,7.071068,8.944272,10.816654,13.453624,14.142136,16.278821,16.278821,16.278821,16.401219,15.620499,13.453624,12.041595,9.899495,7.211103,4.472136,2.236068,5.09902,9.055385,13.0,17.029386,20.099751,22.36068,24.041631,23.769729,22.36068,18.867962,12.206556,13.038405,13.416408,13.0,12.083046,9.848858,7.211103,5.0,3.162278,3.162278,5.0,7.211103,8.602325,9.433981,10.816654,11.661904,11.661904,11.18034,11.18034,10.77033,10.440307,10.049876,9.055385,8.246211,7.211103,6.403124,13.0,15.231546,17.464249,19.235384,19.235384,18.867962,17.204651,15.620499,13.453624,11.313708,8.485281,6.403124,4.123106,3.162278,5.385165,8.544004,12.369317,15.297059,18.439089,21.587033,22.561028,22.803509,21.84033,18.973666,16.155494,12.649111,14.56022,15.811388,15.811388,15.811388,14.866069,12.083046,10.29563,7.81025,5.830952,4.0,5.830952,7.071068,8.602325,10.0,10.816654,12.206556,12.806248,13.453624,12.727922,12.041595,11.401754,10.0,7.071068,5.385165,4.123106,6.403124,20.615528,18.384776,17.464249,14.866069,13.601471,12.369317,12.041595,12.041595,12.0,12.0,12.0,11.0,11.045361,10.049876,9.055385,9.0,7.071068,8.246211,8.944272,9.433981,11.401754,13.038405,13.416408,13.928388,13.152946,11.0,13.416408,15.652476,17.0,17.492856,18.601075,19.209373,18.439089,17.691806,16.278821,15.620499,14.866069,14.21267,13.601471,13.601471,13.601471,13.601471,13.601471,13.601471,14.422205,13.892444,14.317821,15.231546,16.763055,17.720045,19.924859,20.880613
sujin_fall_stay_down_04,0.4,7.211103,9.219544,11.18034,13.928388,14.56022,16.492423,16.278821,16.278821,16.278821,16.278821,14.317821,12.369317,10.198039,8.062258,5.0,2.828427,4.123106,8.944272,13.038405,17.0,20.124612,22.847319,23.086793,23.537205,22.203603,19.0,12.206556,13.601471,13.453624,12.727922,11.313708,10.630146,8.485281,5.0,3.0,2.828427,5.09902,7.071068,8.062258,10.049876,10.049876,11.045361,12.041595,12.0,11.0,11.045361,10.198039,9.486833,8.944272,7.81025,7.211103,6.082763,10.77033,13.928388,14.866069,16.763055,16.492423,16.278821,14.142136,13.038405,11.0,9.0,7.0,4.0,2.0,1.414214,5.0,8.602325,11.401754,15.0,17.204651,19.209373,20.615528,20.615528,19.104973,17.029386,14.142136,10.630146,12.041595,12.806248,12.806248,13.038405,11.661904,10.29563,8.544004,6.082763,5.385165,5.0,6.324555,7.071068,9.0,10.0,11.0,11.0,12.041595,12.165525,11.18034,11.18034,10.198039,8.246211,6.082763,4.123106,3.605551,5.0,19.026298,19.026298,18.027756,17.117243,16.124515,14.142136,13.341664,11.401754,10.77033,11.18034,10.29563,11.401754,11.401754,12.806248,13.601471,14.422205,14.764823,14.317821,13.601471,12.369317,10.049876,7.071068,4.123106,3.605551,5.09902,8.062258,17.262677,17.464249,17.464249,18.439089,18.439089,18.439089,19.416488,19.416488,19.646883,18.973666,18.027756,17.088007,16.155494,13.928388,13.601471,13.341664,13.152946,14.035669,15.0,17.0,18.027756,20.0,21.0,21.023796,21.023796,21.0
sujin_fall_stay_down_04,0.5,7.615773,9.0,11.18034,13.601471,15.811388,17.088007,17.464249,17.464249,17.464249,16.552945,15.231546,13.0,9.848858,8.062258,4.242641,2.236068,5.385165,10.440307,14.56022,18.973666,22.472205,25.495098,25.553865,25.806976,23.430749,20.518285,13.152946,13.341664,13.601471,13.928388,12.083046,9.486833,7.28011,5.0,2.828427,4.123106,6.082763,7.28011,9.486833,10.77033,11.7047,13.0,13.0,12.529964,12.529964,12.206556,11.401754,10.630146,10.29563,8.544004,8.062258,6.324555,11.357731000000001,13.453624,15.949660000000002,16.9999745,18.094634999999997,17.4482285,16.262867,14.8824115,13.019202499999999,10.532979999999998,8.744138,6.5163795,4.3573885,2.1180339999999998,3.605551,7.0094484999999995,10.385165,13.319938,16.2872215,18.7873705,19.728915,19.728915,18.8761485,17.0586965,14.229978500000001,10.700237999999999,12.407318,13.3772085,14.351178,14.4390205,12.985394,11.553227,9.196431,6.8071135,5.0,4.54951,5.385165,7.211103,9.219544,10.264820499999999,10.971927,12.041595,12.806248,13.601471,13.730305,13.211203999999999,12.529964,11.421122,8.7481195,6.737096,5.1515439999999995,5.733964,18.35756,17.0,16.643317,14.422205,13.601471,12.806248,12.041595,10.630146,10.630146,10.0,10.29563,10.29563,11.661904,12.206556,13.038405,14.21267,13.453624,13.453624,12.206556,10.29563,8.062258,5.830952,3.605551,4.123106,6.708204,9.848858,16.552945,17.088007,17.088007,17.088007,17.088007,17.464249,18.384776,18.027756,18.027756,17.720045,16.492423,15.297059,14.317821,13.152946,11.401754,11.7047,10.77033,12.529964,13.892444,15.264338,17.492856,18.867962,19.723083,19.235384,20.124612,19.235384
sujin_fall_stay_down_04,0.6000000000000001,20.248457,19.313208,18.788294,15.652476,12.529964,9.433981,6.403124,3.0,3.605551,6.324555,10.049876,13.038405,16.124515,18.11077,20.223748,22.36068,22.561028,23.086793,20.248457,17.888544,13.892444,9.219544,4.472136,2.236068,6.708204,10.0,1.414214,1.414214,3.605551,6.708204,10.29563,13.0,14.866069,15.811388,15.811388,15.524175,13.341664,12.369317,10.198039,8.246211,5.385165,2.828427,2.0,4.242641,5.830952,7.615773,10.198039,13.152946,14.0,16.03122,18.248288,19.646883,21.0,19.026298,15.033296,11.0,7.28011,5.656854,6.324555,9.0,11.045361,13.0,15.0,17.029386,18.248288,19.416488,19.924859,19.313208,18.788294,16.552945,13.416408,8.544004,5.0,3.605551,7.0,11.18034,14.142136,17.117243,7.81025,6.708204,7.0,9.486833,12.529964,15.264338,17.204651,18.601075,19.416488,18.867962,18.027756,17.0,13.892444,12.083046,9.433981,7.81025,6.403124,6.082763,7.071068,10.440307,13.601471,16.763055,19.924859,22.561028,23.345235,24.186773,19.416488,18.439089,18.439089,16.492423,15.524175,14.56022,13.601471,11.7047,12.083046,11.18034,10.816654,11.401754,12.206556,13.038405,13.892444,13.892444,14.317821,14.866069,13.341664,11.18034,9.055385,7.071068,5.0,5.385165,7.071068,10.198039,17.262677,18.11077,18.11077,18.027756,18.027756,18.027756,19.104973,18.027756,18.027756,18.0,17.0,16.03122,15.033296,14.035669,13.0,13.0,13.038405,14.142136,15.297059,16.492423,18.439089,19.416488,20.396078,20.396078,21.377558,20.396078
sujin_fall_stay_down_04,0.7000000000000001,7.28011,9.433981,12.727922,14.866069,17.204651,18.867962,19.723083,19.723083,18.867962,17.492856,16.124515,13.892444,11.661904,8.062258,5.0,4.242641,9.219544,14.21267,18.601075,22.203603,24.186773,25.942244,25.079872,23.086793,20.396078,13.928388,14.317821,15.231546,15.652476,13.416408,11.661904,8.602325,5.830952,2.236068,2.0,4.472136,5.830952,8.602325,10.0,10.630146,11.401754,12.041595,11.313708,12.041595,11.661904,11.18034,10.440307,9.055385,8.062258,7.615773,5.656854,16.1293495,11.313708,14.21267,16.278821,16.970563,17.691806,16.970563,17.029386,15.0,13.601471,11.661904,9.433981,7.211103,5.0,4.123106,4.472136,7.071068,10.630146,13.453624,16.401219,18.439089,19.849433,19.849433,18.384776,17.691806,14.866069,11.401754,11.661904,13.892444,13.892444,13.892444,13.038405,11.661904,10.0,7.071068,5.385165,4.0,5.0,6.403124,7.211103,9.433981,10.816654,12.206556,12.806248,12.806248,13.453624,12.727922,12.727922,11.313708,9.219544,7.211103,6.082763,6.324555,17.492856,16.124515,16.124515,14.764823,13.892444,11.661904,10.816654,9.219544,8.485281,9.219544,8.602325,9.433981,10.29563,10.816654,11.401754,12.041595,12.727922,12.206556,10.816654,8.944272,7.615773,5.385165,3.605551,4.123106,6.324555,9.219544,15.652476,15.231546,15.231546,14.866069,15.231546,14.317821,14.764823,15.652476,15.652476,15.231546,14.866069,13.601471,13.601471,12.369317,11.401754,11.7047,10.77033,11.18034,12.529964,13.038405,13.892444,15.264338,16.124515,17.0,17.492856,17.492856
sujin_fall_stay_down_04,0.8,13.14432,14.0803615,14.3673595,14.658612999999999,13.787575499999999,12.728302,11.064203,9.632727,10.260731,11.734197,12.557763999999999,13.403209,13.894019499999999,13.9370175,13.656044999999999,13.4840395,15.274472999999999,17.585529,18.6037185,19.0116735,19.153667,17.283618,15.255664,12.925078000000001,13.915476,14.502234000000001,6.02218,6.5207975,8.96288,10.434253,11.531829,11.8208745,12.050227,11.340864999999999,10.3375785,9.963937,10.9852815,10.474416,10.0519265,9.5595195,8.704571,8.3934595,7.200877,7.2665635,7.385165,8.752447499999999,9.880462999999999,10.310649000000002,11.3722305,12.008496000000001,12.2201615,12.611816,12.041595,14.142136,16.278821,17.691806,18.384776,17.691806,17.029386,15.811388,14.422205,11.661904,10.29563,7.211103,5.656854,4.123106,5.385165,7.81025,10.630146,14.21267,16.401219,19.209373,19.849433,20.518285,19.79899,18.384776,15.620499,12.041595,12.083046,14.317821,14.317821,14.764823,14.317821,12.083046,10.29563,7.211103,5.0,4.0,4.472136,6.403124,8.602325,9.433981,10.816654,12.806248,13.453624,14.142136,14.142136,13.453624,12.806248,11.401754,9.899495,7.81025,6.324555,6.324555,15.811388,15.620499,14.866069,14.866069,14.21267,13.601471,13.601471,13.038405,12.206556,12.206556,10.816654,10.0,8.602325,8.062258,7.615773,7.071068,7.071068,8.246211,10.440307,12.649111,13.341664,15.297059,15.033296,14.035669,12.649111,9.848858,14.035669,16.03122,19.026298,20.024984,21.095023,20.223748,19.646883,17.720045,15.811388,14.56022,12.165525,12.041595,11.045361,12.041595,12.165525,13.341664,13.341664,13.341664,14.56022,14.56022,15.811388,16.155494,16.552945,17.0,17.492856,16.643317
sujin_fall_stay_down_04,0.9,19.416488,19.235384,18.11077,15.033296,12.041595,9.0,5.09902,1.414214,3.162278,7.071068,10.049876,13.152946,16.124515,19.235384,21.377558,22.561028,23.769729,24.041631,22.135944,19.313208,15.652476,10.816654,5.656854,2.236068,5.09902,8.944272,2.236068,1.414214,3.162278,6.708204,10.29563,12.206556,13.601471,15.0,15.620499,16.401219,14.21267,12.806248,10.816654,9.433981,6.708204,5.09902,3.162278,3.605551,5.0,6.324555,8.602325,10.630146,12.806248,15.264338,17.464249,18.027756,22.561028,19.646883,16.763055,12.369317,8.062258,5.09902,5.0,7.28011,10.198039,12.165525,15.297059,16.492423,18.027756,19.697716,20.124612,19.723083,19.416488,17.204651,14.422205,10.816654,7.28011,4.472136,7.615773,11.18034,14.035669,16.124515,7.28011,6.403124,6.324555,9.0,12.369317,14.866069,17.088007,18.973666,19.924859,19.924859,18.681542,17.464249,15.297059,13.152946,10.198039,8.062258,6.324555,5.656854,6.082763,9.0,12.165525,15.132746,19.104973,22.022716,24.0,25.079872,16.124515,15.297059,15.524175,13.928388,14.317821,14.317821,13.892444,13.892444,13.416408,12.529964,11.18034,11.18034,9.848858,8.062258,7.211103,6.403124,7.615773,9.219544,10.198039,12.041595,14.142136,14.56022,15.811388,15.264338,14.21267,10.630146,13.892444,16.124515,18.867962,20.808652,22.022716,21.213203,21.260292,19.209373,17.204651,15.0,12.041595,12.041595,10.816654,11.18034,11.7047,12.649111,13.601471,13.601471,14.56022,15.524175,16.278821,16.278821,17.117243,17.029386,17.029386,17.0
