sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
sujin_free_activity_03,0.0,18.027756,17.029386,17.0,16.03122,15.0,14.035669,12.041595,11.045361,9.219544,8.544004,8.062258,7.81025,9.219544,11.401754,12.806248,14.21267,15.620499,18.384776,19.104973,19.209373,19.416488,17.492856,16.124515,14.317821,12.529964,9.433981,7.615773,9.848858,9.848858,10.29563,11.18034,11.661904,12.206556,11.401754,11.401754,10.0,10.0,8.062258,8.944272,8.944272,9.848858,9.848858,9.848858,9.848858,9.486833,10.440307,10.198039,11.045361,13.0,14.035669,15.033296,17.029386,8.062258,11.18034,14.317821,16.492423,17.464249,17.720045,17.720045,16.763055,14.866069,13.928388,12.083046,8.944272,6.708204,3.605551,3.605551,7.211103,10.29563,14.764823,17.0,20.124612,21.470911,21.470911,20.124612,18.788294,15.652476,13.038405,14.142136,15.297059,14.56022,13.928388,12.083046,8.944272,6.403124,3.605551,2.236068,4.472136,6.082763,9.0,10.0,12.0,13.0,14.0,15.0,15.033296,15.033296,14.142136,13.152946,11.18034,8.246211,4.472136,1.0,25.0,17.7910265,18.32733,18.206328499999998,18.868291499999998,17.6242285,16.420386999999998,14.714755,12.619429499999999,11.064203,10.915476,11.8011625,12.350154499999999,12.905092,13.0,12.4753625,12.360296499999999,12.397793,13.6159435,14.5504045,14.8763985,14.5041025,14.160208,12.419818,11.138314999999999,10.1834645,10.455204,11.0730895,11.9485505,12.9670195,13.112591,12.4200215,11.643707,10.442979,10.5622575,11.4135405,11.5,11.4059625,10.7912045,10.2978875,9.0299865,8.5510685,9.4014305,10.024934,10.901648999999999,11.4851355,11.854547499999999,11.5977915,13.209909,14.714755,17.005018,18.357887499999997,18.4268605
sujin_free_activity_03,0.1,16.401219,15.811388,15.264338,15.652476,14.317821,14.866069,15.524175,15.524175,16.492423,16.763055,16.155494,16.155494,15.652476,16.124515,15.264338,13.892444,13.892444,13.0,12.369317,13.038405,14.0,16.03122,18.027756,20.024984,21.023796,21.213203,11.401754,12.041595,12.041595,11.313708,11.313708,12.041595,12.041595,12.041595,12.806248,12.727922,12.727922,12.041595,11.313708,10.630146,10.630146,11.401754,11.401754,12.206556,13.601471,15.811388,16.401219,17.804494,18.439089,18.439089,18.439089,18.439089,23.769729,21.587033,18.439089,13.341664,9.219544,5.09902,1.0,3.0,7.0,10.0,13.038405,16.03122,18.11077,20.099751,21.095023,21.213203,21.213203,20.099751,18.11077,15.132746,11.045361,6.082763,1.0,4.0,8.062258,11.045361,5.09902,3.605551,5.09902,7.071068,10.77033,13.892444,15.811388,17.804494,17.691806,17.029386,16.278821,14.866069,12.806248,10.630146,7.81025,5.0,2.236068,1.0,3.605551,7.211103,11.18034,14.317821,18.384776,21.18962,24.041631,25.0,17.7910265,18.32733,18.206328499999998,18.868291499999998,17.6242285,16.420386999999998,14.714755,12.619429499999999,11.064203,10.915476,11.8011625,12.350154499999999,12.905092,13.0,12.4753625,12.360296499999999,12.397793,13.6159435,14.5504045,14.8763985,14.5041025,14.160208,12.419818,11.138314999999999,10.1834645,10.455204,11.0730895,11.9485505,12.9670195,13.112591,12.4200215,11.643707,10.442979,10.5622575,11.4135405,11.5,11.4059625,10.7912045,10.2978875,9.0299865,8.5510685,9.4014305,10.024934,10.901648999999999,11.4851355,11.854547499999999,11.5977915,13.209909,14.714755,17.005018,18.357887499999997,18.4268605
sujin_free_activity_03,0.2,14.866069,13.928388,13.601471,13.341664,13.152946,13.038405,13.0,14.0,14.035669,14.035669,14.035669,14.142136,13.152946,13.341664,13.341664,12.369317,11.18034,11.18034,10.0,11.18034,12.369317,13.928388,15.811388,16.763055,18.439089,18.11077,10.440307,10.77033,11.18034,11.18034,11.18034,11.18034,11.18034,11.18034,11.18034,11.18034,11.18034,10.29563,10.29563,8.944272,8.944272,9.848858,10.440307,11.401754,12.649111,13.928388,14.866069,16.155494,16.552945,16.552945,16.552945,16.552945,26.248809,24.351591,21.18962,16.155494,11.7047,6.708204,1.414214,3.0,6.324555,9.848858,12.529964,15.652476,17.492856,20.248457,20.808652,21.633308,21.633308,20.808652,18.027756,14.422205,9.433981,5.0,1.0,5.0,9.433981,13.038405,5.0,3.162278,3.605551,7.28011,11.045361,14.035669,16.124515,18.248288,18.248288,18.439089,16.763055,15.524175,13.341664,10.440307,8.246211,5.385165,2.236068,1.414214,5.09902,8.062258,12.165525,16.278821,20.396078,23.537205,26.683328,27.892651,6.0,5.656854,8.544004,11.18034,14.035669,16.03122,17.029386,17.029386,17.117243,16.124515,15.132746,13.152946,11.18034,9.219544,7.071068,4.123106,2.828427,4.123106,6.708204,9.433981,13.038405,15.264338,16.124515,17.0,16.552945,15.652476,6.708204,8.544004,11.401754,14.142136,16.03122,16.0,17.0,16.03122,15.033296,13.038405,11.045361,8.062258,6.082763,3.0,1.414214,3.162278,5.0,7.81025,9.899495,12.041595,14.21267,15.620499,15.620499,15.620499,13.453624,11.313708
sujin_free_activity_03,0.30000000000000004,20.0,19.0,18.0,17.0,16.0,14.0,13.038405,12.041595,11.18034,10.440307,9.848858,10.29563,10.0,11.401754,13.453624,14.866069,16.278821,17.804494,18.601075,18.867962,19.235384,17.888544,16.155494,14.866069,12.649111,10.77033,8.246211,9.219544,10.440307,11.401754,12.649111,13.0,13.416408,13.416408,12.529964,11.661904,10.816654,10.29563,9.848858,9.848858,9.848858,9.848858,10.440307,10.440307,11.18034,11.18034,12.041595,14.0,15.033296,17.029386,18.027756,19.026298,25.079872,22.847319,19.313208,15.811388,10.77033,6.324555,2.0,2.0,5.09902,9.055385,12.041595,14.035669,16.03122,18.0,20.024984,21.023796,21.023796,20.024984,18.0,14.0,11.0,5.0,1.0,4.0,8.0,12.0,6.082763,3.605551,4.123106,6.708204,10.0,12.727922,14.866069,16.401219,16.401219,16.643317,15.264338,14.422205,11.661904,10.29563,7.211103,5.0,2.236068,1.0,3.605551,8.602325,11.401754,15.264338,18.867962,21.954498,24.596748,25.495098,26.400758,27.202941,25.0,23.600847,19.209373,15.0,10.816654,6.708204,3.0,4.123106,7.071068,10.440307,13.341664,15.524175,18.681542,20.396078,21.377558,21.377558,21.213203,19.235384,17.117243,13.152946,9.219544,5.385165,3.162278,4.242641,13.038405,13.416408,12.083046,10.440307,8.062258,5.09902,3.605551,5.09902,7.211103,9.899495,11.401754,13.038405,14.764823,15.231546,15.231546,15.231546,13.928388,13.0,10.77033,9.433981,7.81025,7.0,8.944272,12.806248,17.691806,22.022716
sujin_free_activity_03,0.4,19.416488,19.646883,18.439089,16.492423,16.492423,15.297059,13.341664,12.165525,10.049876,9.0,9.055385,9.219544,9.848858,11.18034,11.661904,13.892444,16.124515,17.888544,18.788294,19.313208,18.973666,18.439089,18.248288,15.132746,12.165525,10.198039,8.062258,9.433981,10.816654,12.206556,13.601471,13.453624,14.142136,13.453624,12.806248,12.041595,10.630146,9.899495,9.899495,9.219544,10.0,10.0,9.433981,10.816654,10.816654,12.083046,12.649111,13.601471,14.56022,17.262677,17.464249,17.262677,15.2509085,15.4067835,16.0611575,14.8662225,14.169291999999999,11.7195445,10.047878,10.9215755,11.511245500000001,12.112009,13.019202499999999,12.830123,12.8217645,11.944312,11.111433,12.316654,13.9789315,15.344382,16.714091,16.4921915,15.7933815,13.835641,11.627272000000001,12.307764,13.3719,13.7295805,7.5207975,8.1358685,9.54951,11.4899705,12.407425,12.696504999999998,12.262516000000002,11.5384855,9.632727,9.2218,9.905694,10.106335,10.134407,10.024937999999999,9.925922499999999,9.3476295,8.432048,8.0,9.581139,11.369712,12.516648,14.228937,14.492417,15.014098,14.443135999999999,12.6037185,7.071068,5.830952,7.28011,11.0,14.142136,16.278821,17.262677,18.439089,17.262677,17.262677,16.278821,14.142136,12.165525,10.049876,7.071068,4.123106,2.236068,3.605551,7.615773,10.440307,13.928388,15.811388,18.027756,19.313208,19.313208,17.464249,7.211103,9.486833,12.165525,14.142136,16.03122,17.0,18.027756,16.03122,15.132746,13.152946,11.045361,8.062258,5.09902,2.0,2.0,4.242641,6.403124,9.219544,12.806248,15.620499,17.691806,19.104973,19.79899,19.104973,17.691806,15.0
sujin_free_activity_03,0.5,21.213203,20.223748,19.235384,18.248288,17.262677,15.132746,13.152946,12.041595,11.045361,10.049876,9.219544,9.486833,10.29563,12.206556,13.601471,15.0,16.401219,18.867962,19.235384,20.615528,20.248457,18.973666,16.492423,15.297059,13.341664,10.198039,9.433981,10.29563,10.29563,12.529964,13.038405,13.601471,15.0,13.453624,13.453624,12.806248,12.041595,11.401754,10.816654,10.816654,10.816654,10.816654,11.661904,11.661904,11.18034,12.083046,12.649111,13.152946,15.132746,17.117243,18.027756,19.104973,7.071068,10.630146,14.21267,16.401219,17.804494,18.601075,18.027756,18.027756,16.643317,15.264338,13.038405,10.29563,8.062258,5.0,1.414214,2.0,6.324555,9.848858,13.416408,17.0,19.723083,21.095023,21.633308,20.808652,19.416488,16.401219,13.038405,13.601471,15.0,14.21267,13.453624,11.313708,9.219544,6.403124,3.162278,1.414214,3.162278,5.0,7.81025,9.219544,10.630146,12.206556,13.601471,14.422205,15.0,15.811388,15.264338,13.892444,12.083046,8.944272,6.324555,3.0,26.925824,27.856777,26.570661,24.351591,20.248457,16.155494,12.083046,8.062258,4.242641,3.162278,5.830952,9.486833,11.7047,14.866069,17.088007,19.313208,20.615528,21.540659,21.023796,18.788294,17.0,12.529964,8.944272,5.385165,2.236068,4.123106,14.035669,14.142136,12.369317,10.440307,8.062258,5.656854,4.123106,5.0,7.615773,10.198039,12.041595,13.0,14.035669,15.297059,15.297059,15.524175,14.56022,13.601471,11.401754,9.055385,6.082763,6.403124,8.062258,13.152946,17.720045,22.135944
sujin_free_activity_03,0.6000000000000001,18.973666,19.313208,18.384776,17.464249,16.155494,15.231546,13.0,11.7047,11.401754,10.049876,9.0,9.055385,9.486833,10.77033,12.083046,14.317821,15.231546,17.088007,18.027756,18.439089,18.439089,18.11077,16.03122,14.0,12.0,10.0,8.485281,9.899495,10.630146,12.041595,12.806248,12.806248,13.038405,12.206556,12.206556,10.816654,10.630146,10.630146,10.630146,10.630146,10.630146,11.313708,10.630146,10.630146,10.630146,11.401754,11.661904,12.083046,13.928388,15.811388,16.763055,18.973666,25.059928,23.706539,20.59126,17.492856,13.038405,8.602325,4.242641,3.605551,7.81025,10.630146,13.453624,14.866069,17.691806,19.79899,19.79899,21.213203,20.518285,17.691806,15.620499,11.401754,7.211103,3.0,3.162278,7.211103,10.630146,5.09902,2.236068,2.236068,5.385165,8.246211,11.045361,14.035669,15.033296,16.03122,16.0,15.0,14.0,12.0,10.049876,8.062258,6.082763,3.0,1.0,2.0,6.082763,9.486833,13.928388,17.464249,21.540659,24.166092,25.495098,2.6180339999999998,27.730849,28.635642,27.730849,24.596748,21.023796,16.552945,12.083046,8.246211,5.0,4.472136,6.0,9.219544,12.369317,15.297059,18.248288,19.235384,21.213203,21.213203,21.095023,19.026298,16.0,13.0,9.0,5.09902,2.828427,3.605551,13.892444,13.892444,12.806248,11.313708,8.602325,5.385165,3.162278,5.09902,7.28011,9.486833,11.661904,13.601471,14.21267,14.866069,14.866069,14.21267,14.21267,12.806248,10.630146,9.219544,6.324555,6.324555,9.219544,14.422205,18.35756,23.259407
sujin_free_activity_03,0.7000000000000001,19.6643605,19.602362,18.247773,17.6094255,15.840432,14.637440999999999,13.435029,11.592985500000001,10.2201535,9.396564999999999,8.988992499999998,8.9109345,9.47744,10.315073,11.6259585,12.601965,15.472067,17.029488,17.416939999999997,18.4394095,18.6078715,18.7288305,17.2600895,15.2592725,12.306505,9.396564999999999,7.7631605,9.353188500000002,10.6053185,11.7047,12.649111,12.509214,12.509214,12.2261815,11.9351125,11.631692999999999,10.6053185,10.6053185,10.6053185,10.6053185,10.77033,10.440307,10.440307,10.4841845,10.514599,10.6704955,11.721674499999999,12.940434,14.375341500000001,16.542374,18.1217915,19.100285999999997,7.071068,10.198039,14.035669,16.03122,18.027756,18.027756,18.0,17.0,16.03122,14.035669,13.038405,10.049876,7.071068,4.0,1.0,2.236068,6.324555,10.198039,14.317821,17.262677,20.223748,21.213203,22.203603,21.213203,19.104973,17.029386,12.165525,13.601471,14.866069,14.866069,13.416408,11.18034,9.433981,6.403124,3.605551,2.236068,4.0,6.0,8.062258,10.198039,11.18034,13.152946,14.142136,15.132746,15.132746,15.132746,15.033296,14.035669,12.0,9.0,6.082763,2.236068,26.400758,26.400758,25.495098,23.259407,20.124612,15.652476,11.18034,7.28011,4.0,3.162278,6.082763,8.544004,11.7047,14.866069,17.088007,18.973666,19.924859,20.880613,19.646883,18.439089,16.492423,12.369317,9.486833,5.830952,3.162278,4.472136,13.601471,12.806248,11.313708,10.630146,8.062258,5.09902,3.605551,5.0,7.28011,10.29563,12.206556,13.453624,14.142136,14.866069,15.0,15.811388,14.422205,13.038405,12.206556,9.219544,7.211103,6.0,7.81025,12.806248,16.643317,21.470911
sujin_free_activity_03,0.8,15.297059,15.524175,14.866069,14.866069,14.317821,14.764823,13.892444,13.892444,14.764823,14.764823,14.317821,14.317821,14.866069,14.866069,14.866069,13.601471,12.649111,12.649111,10.77033,10.816654,11.313708,12.806248,14.422205,15.811388,17.804494,19.104973,9.219544,10.049876,11.045361,11.045361,11.045361,11.0,11.045361,11.0,11.045361,10.0,10.0,10.0,9.055385,9.055385,9.219544,10.198039,11.401754,12.369317,13.601471,15.524175,16.492423,17.262677,17.117243,17.117243,17.117243,16.124515,22.561028,20.396078,17.262677,14.142136,10.049876,6.0,1.414214,2.828427,5.830952,8.944272,11.7047,14.866069,16.763055,18.681542,20.615528,20.880613,20.880613,20.880613,18.973666,15.811388,11.7047,7.615773,3.162278,2.236068,5.830952,9.433981,3.162278,1.0,3.162278,7.071068,11.0,13.152946,15.297059,16.492423,16.492423,16.763055,15.811388,13.928388,12.649111,10.440307,8.246211,6.082763,3.162278,2.236068,6.324555,9.486833,13.341664,16.492423,19.646883,21.587033,24.515301,12.7477375,27.856777,27.856777,26.925824,23.4094,20.248457,15.811388,10.440307,7.0,3.162278,4.123106,7.211103,10.0,12.806248,16.401219,17.804494,20.0,20.808652,22.203603,20.0,18.601075,16.401219,12.806248,8.485281,5.830952,3.162278,4.472136,13.0,12.649111,11.401754,10.049876,8.062258,6.403124,5.385165,7.071068,8.944272,11.313708,13.453624,15.0,15.264338,16.124515,15.652476,16.155494,14.866069,13.0,12.083046,8.062258,6.403124,5.09902,8.485281,13.038405,18.35756,22.847319
sujin_free_activity_03,0.9,17.804494,18.601075,17.804494,17.029386,15.620499,14.21267,12.806248,10.816654,10.29563,9.848858,8.544004,9.055385,10.0,11.045361,12.041595,13.152946,15.132746,17.029386,18.027756,19.0,19.104973,19.235384,17.464249,15.524175,13.0,9.486833,6.708204,7.615773,8.062258,8.944272,9.848858,9.486833,9.486833,9.486833,9.486833,9.848858,8.944272,9.848858,8.944272,9.848858,8.944272,8.944272,8.944272,8.944272,9.433981,9.219544,9.899495,11.401754,12.806248,14.422205,16.643317,17.804494,22.847319,20.615528,18.384776,13.928388,10.440307,5.09902,2.236068,3.605551,6.403124,9.433981,11.661904,13.892444,16.124515,18.35756,20.124612,21.470911,21.470911,21.095023,18.867962,15.811388,12.206556,7.211103,2.236068,2.236068,5.656854,9.899495,3.605551,2.0,4.123106,8.0,10.198039,13.601471,15.811388,16.155494,17.464249,17.0,16.124515,13.892444,12.529964,10.29563,8.062258,6.324555,3.162278,1.0,2.828427,5.830952,10.29563,13.416408,16.552945,20.124612,22.36068,23.259407,6.324555,4.472136,7.071068,10.29563,13.601471,15.620499,17.029386,17.029386,17.029386,16.401219,15.620499,14.21267,12.041595,9.219544,7.071068,4.472136,3.162278,4.123106,8.0,11.045361,14.035669,16.03122,17.029386,17.029386,17.029386,16.03122,8.944272,10.630146,13.453624,15.0,16.643317,16.124515,16.552945,15.231546,13.601471,12.369317,9.486833,7.071068,4.123106,1.414214,1.0,4.123106,7.071068,10.198039,12.165525,15.524175,17.720045,18.681542,19.646883,18.681542,17.464249,14.142136
