sample_id,time_sec,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51
sujin_pick_up_normal_02,0.0,1.0,4.472136,8.246211,11.401754,13.341664,15.297059,15.524175,15.297059,15.524175,13.601471,12.369317,11.401754,9.486833,6.324555,4.123106,2.236068,2.828427,6.403124,9.433981,13.892444,16.124515,18.788294,20.615528,21.540659,20.248457,17.720045,12.649111,14.866069,17.088007,18.384776,18.384776,16.155494,14.866069,11.7047,9.486833,6.082763,3.0,1.0,3.605551,6.403124,8.062258,9.848858,11.18034,13.0,14.866069,15.524175,15.524175,16.278821,15.132746,13.152946,10.198039,7.071068,6.708204,11.401754,14.21267,17.691806,19.104973,20.518285,19.104973,19.104973,17.691806,15.556349,14.142136,12.041595,9.219544,7.071068,4.242641,1.0,2.236068,5.830952,9.433981,12.206556,14.422205,16.124515,17.492856,17.0,17.0,14.317821,14.035669,15.0,16.0,15.033296,15.132746,12.165525,9.219544,6.324555,2.236068,1.0,4.123106,6.708204,9.848858,11.18034,13.416408,15.231546,16.155494,17.464249,18.788294,18.788294,18.384776,17.464249,15.811388,12.649111,8.246211,4.0,5.830952,2.236068,3.605551,8.246211,11.18034,14.142136,16.03122,18.027756,19.026298,18.0,18.0,17.0,16.0,14.0,11.0,8.0,4.123106,2.236068,8.062258,13.341664,19.646883,24.041631,28.460499,31.016125,32.695565,30.88689,7.28011,8.062258,8.0,8.062258,9.219544,10.440307,10.77033,9.848858,9.433981,8.062258,6.403124,4.242641,2.828427,1.0,2.236068,5.0,7.071068,10.198039,12.165525,14.317821,16.278821,17.464249,18.439089,17.464249,16.492423,12.369317
sujin_pick_up_normal_02,0.1,27.313001,25.495098,24.166092,20.615528,16.155494,12.649111,7.28011,3.0,2.236068,5.656854,9.219544,12.041595,14.866069,17.691806,20.615528,22.022716,23.430749,22.803509,22.203603,20.248457,16.643317,12.083046,7.28011,2.236068,5.0,9.219544,10.816654,7.81025,5.0,2.236068,6.082763,10.0,14.035669,17.117243,19.104973,19.235384,20.223748,19.235384,18.248288,16.492423,14.56022,12.369317,9.486833,6.324555,3.605551,1.414214,4.123106,9.486833,13.601471,18.027756,20.615528,25.079872,6.403124,10.29563,13.416408,16.552945,17.464249,18.788294,18.384776,17.464249,17.088007,15.231546,13.0,12.083046,8.944272,6.708204,4.123106,1.0,2.828427,5.656854,9.219544,12.041595,14.866069,16.278821,16.970563,16.278821,16.401219,15.0,13.453624,14.142136,14.866069,14.21267,13.601471,10.816654,8.062258,5.0,2.236068,2.0,5.0,7.071068,10.198039,11.045361,13.152946,15.132746,16.124515,17.262677,18.11077,18.248288,18.248288,17.262677,15.297059,12.369317,8.544004,5.0,5.830952,2.236068,3.605551,8.246211,11.18034,14.142136,16.03122,18.027756,19.026298,18.0,18.0,17.0,16.0,14.0,11.0,8.0,4.123106,2.236068,8.062258,13.341664,19.646883,24.041631,28.460499,31.016125,32.695565,30.88689,7.28011,8.062258,8.0,8.062258,9.219544,10.440307,10.77033,9.848858,9.433981,8.062258,6.403124,4.242641,2.828427,1.0,2.236068,5.0,7.071068,10.198039,12.165525,14.317821,16.278821,17.464249,18.439089,17.464249,16.492423,12.369317
sujin_pick_up_normal_02,0.2,25.553865,23.853721,22.472205,18.867962,15.264338,10.816654,5.830952,2.0,2.236068,5.656854,9.219544,12.041595,14.866069,17.691806,19.104973,21.260292,22.022716,22.671568,21.931712,19.104973,15.620499,11.401754,7.28011,3.605551,5.0,9.848858,10.29563,7.81025,5.0,3.605551,6.324555,10.198039,14.035669,17.029386,19.026298,21.0,20.0,20.0,18.027756,16.03122,14.035669,12.041595,9.055385,6.082763,4.0,1.0,3.605551,8.062258,12.083046,17.0,20.59126,23.323808,26.248809,23.4094,20.248457,17.088007,12.649111,8.246211,4.123106,1.414214,3.605551,6.403124,8.602325,10.816654,13.038405,15.264338,16.643317,17.204651,17.204651,17.204651,16.401219,14.21267,11.401754,7.81025,4.242641,1.414214,2.236068,5.0,3.0,2.0,4.242641,7.615773,10.440307,13.341664,15.297059,17.117243,17.117243,17.029386,17.0,15.0,13.0,11.0,9.055385,6.324555,4.472136,2.236068,4.242641,7.211103,10.77033,14.866069,18.973666,22.135944,24.351591,26.248809,21.782510000000002,23.140568000000002,21.782510000000002,20.4319925,17.7460025,14.644137,11.260677000000001,7.245606499999999,3.8027755,3.207107,6.422483,10.008403000000001,13.606571,17.340413,20.8357355,23.9410585,26.448746,28.101470499999998,27.694553,26.256805,23.758907,18.807211000000002,13.1394105,7.1213204999999995,3.736068,4.061209,7.413437999999999,7.232691,7.106687,6.45101,6.298133999999999,6.354102,5.733964,6.201562,6.767829,7.566663,8.829554,9.2512825,10.625306,10.625306,10.3335865,9.842436,9.271109,8.154234500000001,5.6622775,3.1795869999999997,2.0811390000000003,4.319596,8.230549,12.647815,16.1727885,17.888544
sujin_pick_up_normal_02,0.30000000000000004,1.414214,5.385165,8.944272,12.083046,13.928388,16.155494,16.155494,16.155494,16.552945,15.231546,14.317821,12.083046,10.29563,8.944272,6.324555,3.0,2.0,5.0,8.485281,12.041595,15.620499,17.804494,20.808652,20.248457,19.723083,17.888544,13.038405,15.132746,17.117243,18.11077,18.11077,17.117243,15.033296,13.038405,10.0,7.071068,4.123106,2.236068,2.828427,4.472136,6.708204,9.486833,10.198039,12.165525,13.152946,14.035669,14.0,14.0,13.038405,12.041595,9.055385,6.0,7.211103,10.77033,13.928388,16.155494,18.384776,18.384776,18.384776,18.384776,17.088007,14.866069,13.928388,11.7047,9.486833,7.28011,4.123106,2.236068,3.162278,5.830952,8.602325,11.401754,13.601471,15.811388,16.643317,16.643317,16.124515,14.317821,15.0,15.620499,15.556349,15.620499,14.21267,12.806248,10.0,6.403124,3.605551,2.236068,4.123106,6.0,8.062258,10.049876,12.041595,13.038405,15.033296,16.124515,17.029386,17.029386,16.124515,15.132746,14.142136,11.045361,8.246211,3.605551,6.403124,2.236068,5.385165,9.433981,14.317821,17.492856,20.248457,21.095023,22.203603,23.021729,22.203603,20.808652,19.416488,17.204651,13.601471,10.0,5.0,2.0,9.486833,16.763055,22.803509,28.861739,33.54102,36.345564,37.215588,36.055513,6.708204,8.602325,11.401754,12.041595,12.806248,13.601471,13.038405,13.038405,12.529964,10.77033,8.544004,6.324555,5.0,3.605551,4.0,5.385165,8.602325,10.816654,14.422205,17.204651,19.416488,20.615528,20.615528,20.0,18.439089,14.21267
sujin_pick_up_normal_02,0.4,13.3160055,15.3160055,15.9159935,16.1242285,14.4248965,13.368998000000001,11.655665,9.016648,8.634682,9.8462615,10.32196,10.725815,11.634027499999998,11.2006095,11.708244,12.2198355,12.904577,15.2674555,16.3839175,17.4545405,17.008597,16.156604,13.6597625,12.175949000000001,12.6763745,13.6419335,12.5302265,12.1055515,11.444272,11.198831,12.3102745,13.5990195,14.58146,14.264982,13.2169905,11.915476,11.3027755,10.8027755,11.430169,11.547777,11.724288,11.631692999999999,11.109772,10.126471500000001,9.23581,8.612801000000001,9.6485295,11.190039500000001,12.267421,13.480547000000001,13.16561,23.4094,6.403124,10.29563,13.892444,16.124515,17.492856,18.35756,18.35756,17.492856,17.0,15.652476,13.892444,11.18034,8.944272,6.708204,4.123106,1.414214,3.162278,6.403124,9.219544,12.041595,14.21267,16.401219,17.204651,16.643317,16.124515,14.764823,13.928388,14.866069,15.524175,14.56022,13.341664,11.18034,9.219544,6.082763,3.162278,2.0,3.605551,5.385165,8.544004,10.440307,11.401754,13.601471,14.56022,15.524175,16.492423,16.492423,16.492423,15.297059,13.341664,11.18034,7.071068,3.162278,17.804494,17.804494,17.804494,15.620499,14.21267,11.401754,7.81025,5.656854,1.414214,2.236068,5.0,7.81025,11.401754,14.21267,17.804494,20.0,22.203603,24.413111,24.698178,23.323808,21.954498,17.888544,13.416408,8.944272,3.605551,2.0,5.0,5.0,5.09902,4.472136,3.605551,3.605551,4.0,4.123106,5.830952,7.211103,7.81025,8.485281,8.485281,8.485281,9.219544,9.219544,8.485281,7.071068,5.656854,3.605551,1.0,2.236068,5.0,8.602325,11.401754,14.866069
sujin_pick_up_normal_02,0.5,22.803509,21.400935,20.0,17.204651,12.806248,9.433981,5.0,1.0,2.236068,6.403124,7.81025,12.041595,14.21267,17.029386,18.439089,19.209373,21.260292,21.260292,20.518285,18.384776,15.556349,12.806248,8.062258,4.0,3.0,6.708204,7.81025,5.656854,3.162278,2.828427,6.0,9.055385,13.152946,15.297059,17.464249,18.248288,17.464249,17.464249,16.492423,14.56022,12.649111,10.77033,8.544004,6.324555,3.605551,1.0,3.162278,7.211103,10.816654,14.764823,18.027756,20.0,7.28011,11.7047,14.866069,16.763055,18.973666,18.973666,18.973666,18.027756,17.088007,15.811388,13.928388,11.7047,9.486833,6.708204,3.605551,1.0,3.162278,6.0,9.0,12.0,14.035669,15.0,16.03122,16.03122,15.132746,13.152946,13.928388,15.231546,15.652476,15.264338,13.038405,12.206556,8.602325,6.403124,2.828427,1.0,3.605551,5.830952,8.602325,10.0,12.206556,13.601471,14.422205,15.811388,15.811388,16.401219,15.811388,15.0,12.806248,9.219544,6.403124,3.162278,23.345235,24.041631,23.345235,21.213203,18.384776,15.556349,11.313708,7.071068,3.605551,1.0,5.0,8.602325,12.206556,16.401219,20.0,22.803509,26.400758,28.425341,29.068884,27.658633,26.172505,21.931712,16.970563,10.630146,4.242641,2.236068,7.615773,7.28011,6.082763,6.082763,4.123106,4.472136,3.605551,4.0,5.385165,7.81025,8.602325,9.899495,10.630146,11.401754,10.630146,10.630146,10.0,9.219544,7.211103,5.0,1.0,2.236068,6.403124,11.313708,15.556349,18.384776
sujin_pick_up_normal_02,0.6000000000000001,25.612497,25.806976,23.021729,19.416488,15.264338,10.816654,7.211103,2.828427,1.414214,5.830952,8.062258,11.18034,13.892444,15.652476,18.35756,19.235384,21.023796,21.023796,20.615528,18.384776,15.811388,11.18034,6.0,1.414214,4.472136,8.246211,11.0,8.0,5.385165,4.472136,6.324555,10.816654,13.601471,16.401219,18.439089,19.209373,19.209373,18.601075,16.401219,15.0,12.806248,11.313708,8.485281,5.656854,2.236068,2.0,5.385165,9.433981,13.601471,18.027756,21.400935,24.207437,25.96151,25.0,20.880613,16.763055,12.649111,7.615773,3.605551,1.414214,4.123106,7.0,10.049876,12.165525,14.142136,16.278821,17.262677,17.262677,18.248288,17.117243,15.132746,13.038405,11.045361,7.0,4.123106,1.0,3.605551,6.324555,2.0,1.0,5.0,8.602325,11.661904,14.317821,16.552945,17.464249,18.027756,18.027756,16.763055,15.811388,13.928388,10.77033,8.544004,5.830952,3.605551,1.414214,4.0,8.062258,12.165525,15.524175,19.646883,23.769729,25.96151,26.925824,20.024984,21.023796,19.026298,18.027756,15.033296,12.041595,9.055385,5.09902,2.828427,2.236068,5.385165,8.246211,11.18034,15.132746,18.248288,20.223748,23.194827,24.515301,25.70992,23.769729,21.84033,18.973666,14.866069,9.486833,4.123106,1.0,6.708204,6.324555,6.324555,5.09902,5.0,4.472136,4.242641,5.385165,6.082763,7.0,8.062258,9.055385,9.219544,10.198039,9.219544,10.198039,8.246211,7.071068,5.09902,3.162278,1.0,2.236068,6.082763,10.049876,13.152946,17.029386
sujin_pick_up_normal_02,0.7000000000000001,2.236068,6.324555,9.219544,12.165525,15.132746,17.117243,18.11077,18.11077,17.117243,16.03122,15.132746,13.038405,12.041595,9.055385,7.071068,3.162278,4.123106,8.246211,12.369317,15.811388,19.313208,21.931712,22.825424,21.954498,20.0,15.620499,17.029386,18.601075,20.0,19.416488,18.027756,15.811388,13.601471,10.0,7.071068,4.472136,3.162278,4.472136,6.082763,8.0,10.0,12.041595,13.038405,14.142136,15.132746,15.297059,15.524175,14.56022,13.601471,10.77033,8.062258,15.4578205,27.294688,24.33105,21.213203,16.278821,11.18034,6.324555,2.828427,2.236068,6.082763,9.0,12.041595,14.035669,16.03122,18.11077,19.104973,20.099751,20.099751,20.024984,18.027756,15.0,12.0,8.0,4.123106,1.414214,2.236068,5.09902,2.0,1.414214,5.385165,9.486833,12.649111,16.492423,18.439089,20.223748,20.223748,20.223748,19.104973,17.117243,15.132746,12.165525,10.049876,7.071068,4.123106,1.414214,3.162278,7.0,11.045361,15.132746,20.223748,23.194827,26.305893,28.442925,22.825424,23.706539,22.825424,20.59126,17.492856,14.764823,10.29563,6.324555,3.0,3.162278,5.385165,9.433981,12.206556,15.811388,18.601075,22.203603,24.413111,26.07681,26.41969,25.942244,24.166092,20.615528,16.155494,10.77033,5.385165,1.414214,7.81025,8.062258,7.615773,7.28011,6.082763,6.082763,5.385165,5.656854,6.708204,7.615773,9.219544,9.219544,10.049876,11.18034,10.049876,10.049876,9.055385,8.062258,6.082763,3.0,4.123106,7.615773,11.7047,16.552945,19.697716,16.125531
sujin_pick_up_normal_02,0.8,2.0,6.082763,9.219544,12.369317,15.297059,16.278821,17.464249,17.464249,16.492423,15.524175,14.56022,13.341664,11.401754,8.544004,6.324555,3.162278,1.0,5.09902,9.055385,14.035669,18.027756,20.0,23.0,23.086793,23.194827,20.396078,15.264338,17.492856,18.867962,19.723083,19.723083,18.35756,16.124515,13.892444,10.816654,7.81025,5.0,3.0,3.605551,5.385165,8.062258,9.055385,11.0,12.041595,13.038405,14.142136,14.317821,14.317821,13.601471,11.401754,9.486833,6.708204,17.28169,18.2465325,18.1728695,17.194795499999998,15.7115905,13.5836155,11.6140395,9.55301,10.2009635,11.933355,11.8258315,11.891546,11.89117,11.074638499999999,11.02232,9.9266515,11.1435465,12.825095999999998,13.1394105,13.474192,12.532053999999999,11.3137085,9.7205495,9.1394105,9.9330345,10.008675499999999,8.4736075,8.398144,9.4330345,11.0730895,11.885165,12.554364,12.7486085,11.6476005,10.512181,9.894147,10.968192499999999,11.431849,11.2169905,11.260677000000001,11.262619,10.481756,9.632169000000001,9.207107,10.981555499999999,12.9866665,14.645149,16.03856,17.3569495,17.810125499999998,16.7930015,16.142135500000002,20.615528,20.615528,19.697716,17.464249,15.231546,13.0,8.544004,6.324555,3.162278,3.0,4.472136,8.602325,11.401754,14.21267,17.029386,19.849433,22.022716,23.600847,24.413111,23.853721,21.954498,18.35756,14.764823,9.848858,4.472136,1.414214,6.403124,7.211103,6.708204,6.324555,6.0,6.082763,5.385165,5.830952,6.403124,7.615773,7.615773,8.246211,8.062258,9.055385,8.062258,8.062258,8.062258,6.082763,5.09902,3.0,4.123106,6.324555,10.440307,14.56022,17.088007,15.221676
sujin_pick_up_normal_02,0.9,24.041631,24.041631,22.135944,18.973666,15.811388,11.7047,7.28011,3.162278,4.472136,7.615773,10.77033,13.928388,17.088007,19.313208,21.540659,22.847319,23.706539,22.825424,21.095023,17.204651,12.806248,7.81025,3.0,4.123106,9.433981,9.848858,7.211103,5.0,4.0,6.403124,8.602325,12.529964,14.317821,16.552945,16.155494,16.552945,16.155494,14.866069,13.0,11.7047,9.486833,7.28011,5.09902,3.162278,2.0,4.242641,8.062258,11.18034,14.866069,18.681542,20.880613,5.4754225000000005,26.907248,24.839485,21.260292,17.029386,12.041595,7.81025,2.828427,1.414214,5.09902,8.544004,10.77033,13.928388,14.866069,17.088007,18.973666,19.313208,19.924859,18.027756,17.088007,13.928388,11.7047,8.062258,4.242641,2.0,4.123106,7.0,4.0,2.236068,4.472136,7.81025,12.041595,14.422205,16.643317,18.867962,18.867962,18.867962,17.492856,16.643317,14.422205,12.206556,9.219544,7.071068,4.242641,2.0,3.0,6.708204,10.0,14.866069,19.849433,23.345235,26.172505,26.870058,5.09902,3.162278,6.708204,12.806248,17.029386,20.518285,22.627417,24.041631,25.455844,25.455844,24.041631,22.627417,20.518285,18.384776,14.866069,9.899495,5.0,2.0,8.944272,16.124515,23.706539,29.068884,35.341194,38.626416,40.162171,39.293765,9.219544,9.219544,10.630146,10.816654,12.083046,12.649111,12.369317,12.165525,11.18034,10.049876,8.062258,6.0,4.123106,2.236068,2.828427,5.385165,8.544004,11.7047,14.317821,16.552945,19.697716,21.023796,21.931712,21.023796,18.788294,14.317821
