sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
sujin_pick_up_variation_05,0.0,16.0,17.117243,17.117243,17.262677,15.297059,13.341664,10.440307,7.615773,5.830952,2.828427,2.236068,4.472136,6.324555,9.219544,12.165525,15.297059,17.464249,18.973666,20.615528,20.59126,19.209373,16.970563,14.422205,10.77033,8.0,5.830952,2.236068,2.236068,6.403124,9.433981,13.038405,16.124515,18.35756,19.723083,19.723083,18.867962,17.492856,15.264338,12.529964,9.848858,8.246211,6.0,5.385165,5.0,6.324555,7.071068,8.062258,8.544004,10.0,10.0,11.18034,13.341664,8.246211,11.0,13.038405,15.132746,16.124515,16.03122,16.03122,15.0,14.035669,13.038405,11.0,9.0,8.062258,7.28011,6.403124,8.062258,9.848858,12.369317,15.297059,17.262677,18.248288,19.416488,18.439089,17.464249,15.524175,12.369317,13.152946,14.142136,15.132746,15.033296,14.0,13.0,11.0,8.0,6.0,3.162278,2.236068,3.162278,5.830952,7.211103,8.944272,10.77033,12.649111,13.341664,14.142136,15.033296,15.0,15.033296,14.0,11.0,9.219544,7.615773,8.2737695,8.109049,8.2525245,8.424429,8.2789505,8.261296999999999,8.944272,8.936273499999999,9.0,9.1925825,9.5413815,10.0547365,10.7912045,11.6109675,12.0452415,12.177696000000001,12.215440000000001,13.0413815,14.579766,16.3278405,18.7448745,19.4751945,20.2543595,19.6598505,19.7314475,19.308047000000002,13.4745575,14.576526000000001,14.6468245,15.157283500000002,14.916483,14.640055,15.121670000000002,15.096907999999999,14.859632000000001,14.463966,12.7572835,11.716255,9.7084695,9.213308,8.769757,9.04951,9.236411,8.7328775,9.047534500000001,8.1891965,7.46988,6.818911,6.774888,7.237993,8.156854,8.516635
sujin_pick_up_variation_05,0.1,8.602325,6.708204,6.082763,7.071068,10.29563,13.0,15.811388,16.763055,17.720045,17.464249,17.720045,17.720045,16.763055,15.231546,13.416408,11.401754,7.81025,5.0,5.830952,10.0,14.866069,18.35756,22.022716,23.430749,22.825424,22.135944,20.124612,21.931712,22.36068,21.931712,19.697716,16.155494,13.601471,10.049876,7.28011,5.0,6.082763,8.062258,11.401754,12.083046,13.416408,13.892444,13.601471,13.453624,14.21267,13.892444,13.928388,15.132746,15.0,16.124515,15.524175,13.601471,26.627054,25.806976,23.430749,19.209373,15.620499,12.206556,8.544004,8.0,8.544004,10.29563,12.206556,13.601471,15.811388,17.492856,19.235384,18.788294,19.697716,17.888544,15.652476,13.892444,10.630146,9.433981,9.055385,11.401754,13.0,15.652476,7.071068,4.123106,4.472136,7.0,10.198039,13.601471,16.492423,18.439089,19.235384,21.023796,20.0,18.027756,17.262677,15.524175,12.649111,10.77033,8.544004,6.082763,4.123106,6.403124,9.486833,13.601471,18.027756,21.540659,25.079872,25.942244,8.2737695,8.109049,8.2525245,8.424429,8.2789505,8.261296999999999,8.944272,8.936273499999999,9.0,9.1925825,9.5413815,10.0547365,10.7912045,11.6109675,12.0452415,12.177696000000001,12.215440000000001,13.0413815,14.579766,16.3278405,18.7448745,19.4751945,20.2543595,19.6598505,19.7314475,19.308047000000002,13.4745575,14.576526000000001,14.6468245,15.157283500000002,14.916483,14.640055,15.121670000000002,15.096907999999999,14.859632000000001,14.463966,12.7572835,11.716255,9.7084695,9.213308,8.769757,9.04951,9.236411,8.7328775,9.047534500000001,8.1891965,7.46988,6.818911,6.774888,7.237993,8.156854,8.516635
sujin_pick_up_variation_05,0.2,6.403124,2.236068,2.828427,8.602325,12.206556,15.264338,18.35756,19.235384,21.023796,20.615528,20.615528,20.615528,18.788294,16.552945,14.764823,12.041595,9.433981,8.062258,9.219544,13.0,17.117243,21.023796,23.537205,24.698178,24.596748,22.203603,18.027756,19.104973,20.396078,19.924859,18.384776,16.124515,12.806248,9.219544,6.708204,5.09902,5.0,6.082763,9.0,9.219544,9.848858,10.29563,9.899495,10.816654,10.77033,11.045361,12.165525,13.928388,15.264338,15.620499,15.556349,13.453624,24.207437,22.203603,20.248457,16.643317,12.206556,8.485281,6.708204,6.082763,7.615773,9.433981,12.206556,14.422205,16.124515,17.0,18.384776,18.027756,18.027756,17.088007,14.866069,12.529964,9.219544,8.062258,9.055385,11.7047,14.317821,16.124515,7.071068,5.385165,3.605551,5.830952,9.486833,12.369317,15.524175,16.763055,18.384776,18.788294,17.492856,16.643317,15.620499,14.142136,12.041595,9.219544,6.403124,5.0,3.0,4.242641,8.602325,12.206556,15.811388,20.0,22.671568,24.041631,8.544004,8.944272,8.944272,10.0,9.219544,9.899495,11.401754,10.816654,11.661904,11.661904,12.529964,11.18034,11.18034,10.77033,9.219544,8.0,6.708204,5.830952,9.0,14.317821,18.973666,23.4094,28.231188,30.870698,31.304952,30.016662,16.763055,15.231546,13.038405,9.899495,6.708204,6.324555,8.602325,11.7047,15.132746,17.029386,18.0,19.104973,18.248288,17.464249,15.524175,14.866069,13.0,11.18034,9.433981,7.211103,5.0,3.162278,1.0,2.236068,4.472136,6.324555
sujin_pick_up_variation_05,0.30000000000000004,6.324555,1.414214,4.123106,9.219544,13.152946,16.278821,18.439089,19.646883,19.924859,20.248457,19.313208,18.384776,17.464249,15.231546,12.649111,10.049876,8.246211,7.81025,9.055385,12.369317,16.552945,19.723083,21.400935,22.627417,22.022716,20.248457,14.142136,16.124515,15.033296,15.297059,13.601471,12.083046,9.433981,7.071068,5.385165,4.0,3.605551,4.123106,5.09902,5.830952,5.656854,6.403124,6.324555,7.071068,8.944272,10.0,12.041595,14.422205,15.652476,16.155494,15.811388,13.601471,8.062258,10.630146,14.142136,15.556349,16.970563,17.691806,17.029386,16.401219,15.811388,13.601471,12.206556,10.0,9.219544,7.211103,6.324555,7.071068,9.486833,11.661904,13.601471,16.401219,17.204651,17.204651,17.204651,15.811388,14.422205,11.661904,13.038405,14.764823,16.124515,15.652476,15.231546,13.416408,10.77033,8.544004,5.385165,2.828427,2.236068,4.242641,5.830952,8.062258,9.433981,11.401754,13.453624,14.866069,15.620499,15.811388,16.643317,15.264338,14.764823,11.661904,9.219544,7.211103,8.944272,9.433981,9.848858,10.77033,11.18034,12.041595,12.0,12.041595,12.041595,12.165525,12.165525,12.369317,11.401754,10.77033,8.944272,7.071068,6.324555,6.324555,10.630146,15.264338,19.697716,24.698178,27.856777,30.675723,31.32092,30.805844,17.117243,16.278821,13.601471,11.18034,7.81025,7.0,8.602325,11.401754,14.764823,16.552945,18.027756,18.681542,18.439089,17.262677,16.03122,15.033296,13.0,11.045361,9.219544,7.071068,5.09902,3.162278,1.0,1.414214,3.605551,5.830952
sujin_pick_up_variation_05,0.4,7.071068,3.162278,4.472136,9.219544,12.165525,15.297059,17.464249,19.646883,20.248457,19.697716,20.124612,18.35756,17.0,15.652476,13.416408,11.401754,11.045361,10.816654,12.806248,16.155494,19.646883,22.203603,24.020824,24.020824,23.086793,20.223748,12.165525,12.0,13.152946,12.649111,11.18034,9.899495,8.602325,6.082763,5.09902,4.242641,4.472136,5.0,5.385165,5.0,5.0,4.123106,3.605551,4.472136,6.082763,8.246211,10.77033,13.038405,15.0,16.278821,16.278821,14.21267,7.0,10.198039,12.649111,14.866069,15.811388,16.763055,16.492423,15.297059,14.142136,13.038405,11.045361,10.049876,8.246211,6.708204,6.403124,7.28011,10.049876,12.041595,14.142136,16.124515,18.248288,18.248288,18.11077,17.117243,15.033296,12.165525,15.033296,17.029386,18.027756,18.0,17.0,15.033296,13.038405,10.049876,7.0,4.123106,2.236068,3.162278,5.385165,7.615773,8.944272,10.77033,12.649111,14.317821,15.132746,16.124515,16.0,16.0,14.035669,12.0,9.0,6.324555,10.77033,9.848858,9.848858,8.602325,7.81025,5.656854,5.0,3.162278,3.0,3.605551,5.09902,7.071068,9.055385,12.0,14.0,17.0,19.026298,20.024984,21.023796,20.024984,18.027756,16.124515,12.165525,7.615773,4.123106,5.656854,11.313708,14.21267,17.204651,18.867962,20.59126,20.59126,20.124612,17.888544,15.231546,12.083046,8.544004,6.082763,3.0,1.0,2.828427,5.0,6.708204,8.944272,9.486833,10.440307,11.401754,12.369317,12.165525,12.369317,12.165525,12.369317
sujin_pick_up_variation_05,0.5,6.708204,1.0,4.472136,9.433981,12.806248,15.811388,18.027756,19.235384,20.124612,19.697716,20.615528,19.313208,18.384776,16.552945,13.892444,10.630146,9.433981,8.0,10.0,13.601471,17.464249,20.880613,22.36068,23.021729,22.022716,20.223748,14.142136,14.21267,15.811388,14.764823,13.928388,11.18034,9.0,7.071068,5.0,4.123106,4.123106,5.0,5.830952,7.28011,8.0,7.28011,7.211103,8.602325,9.848858,11.18034,13.0,15.297059,15.811388,16.155494,15.652476,13.416408,16.516289,17.840943499999998,16.791127,16.758761,15.0264515,13.7348465,12.01561,11.354102000000001,11.035534,11.318997,11.6109675,11.708204,11.8824115,11.7023125,11.94799,12.619429499999999,13.572539500000001,14.1924955,13.730305,13.764982,12.7434165,12.5,12.531129,12.9497475,13.103278,12.446221999999999,9.8007355,9.516178,9.967247,11.545749,13.462912,14.1231045,14.322294499999998,13.958969,12.516024,11.779178,10.818981,10.595017,10.6925825,11.156703,10.6925345,10.6891895,10.113891500000001,9.04951,9.139155,10.7286505,12.176222,14.28011,15.670832,16.712235,17.117371,16.194328,7.81025,9.219544,11.313708,12.041595,13.453624,14.21267,14.21267,14.21267,14.21267,14.21267,14.21267,12.806248,11.401754,10.0,8.062258,5.385165,3.162278,5.09902,9.055385,14.317821,18.681542,22.135944,25.298221,27.513633,28.79236,26.925824,13.341664,11.401754,9.848858,7.211103,5.0,4.123106,6.403124,9.848858,12.649111,14.317821,15.297059,16.124515,16.03122,15.033296,14.0,13.0,12.041595,11.045361,10.049876,8.062258,6.082763,5.0,4.0,2.828427,3.0,4.472136
sujin_pick_up_variation_05,0.6000000000000001,19.416488,20.0,19.849433,17.691806,16.278821,12.727922,9.899495,7.071068,3.605551,1.414214,4.0,6.082763,9.219544,12.369317,15.524175,17.720045,19.924859,21.18962,21.931712,20.59126,19.416488,16.970563,13.601471,11.7047,10.0,8.544004,2.236068,1.0,3.162278,5.0,8.062258,9.219544,11.401754,11.7047,12.529964,13.038405,11.401754,11.313708,10.0,8.944272,7.28011,7.0,6.324555,5.830952,5.656854,4.472136,4.123106,4.242641,6.082763,9.055385,12.649111,14.764823,27.784888,26.07681,23.021729,20.0,14.422205,11.18034,9.219544,8.062258,8.944272,10.816654,12.806248,14.866069,16.278821,17.804494,19.416488,20.248457,20.248457,18.867962,17.204651,14.21267,12.806248,10.77033,11.0,13.601471,15.231546,17.0,7.28011,4.0,2.236068,6.082763,10.440307,13.928388,16.763055,18.681542,20.396078,20.099751,19.026298,18.11077,16.278821,14.56022,11.7047,9.848858,7.615773,5.09902,3.162278,5.830952,9.219544,13.152946,17.464249,21.84033,25.632011,27.313001,13.601471,12.649111,11.7047,9.848858,8.062258,7.211103,4.242641,3.162278,4.123106,5.0,7.81025,9.433981,11.661904,14.422205,16.643317,18.867962,20.248457,22.472205,22.472205,21.633308,20.248457,16.643317,13.416408,8.544004,5.09902,5.09902,9.433981,12.806248,15.620499,17.691806,18.384776,19.104973,17.691806,16.278821,14.21267,11.401754,8.602325,5.830952,3.162278,1.414214,2.236068,3.605551,5.656854,6.403124,8.602325,9.433981,11.18034,12.083046,13.0,13.928388,13.601471,13.601471
sujin_pick_up_variation_05,0.7000000000000001,5.2774494999999995,3.3839145000000004,5.5,9.400182000000001,12.904013500000001,15.537863000000002,17.232124499999998,18.586534999999998,19.243005,19.041246,18.384776,17.276128,15.69352,14.1412385,12.015610500000001,9.267578499999999,6.3326375,5.415476,7.285383,10.9497475,15.150541,18.400700999999998,20.521110999999998,21.479347,21.335784,19.754289999999997,14.9330345,15.905694,16.3971375,16.308469,15.8125845,13.8297425,11.240950999999999,8.3078865,5.6622775,4.081139,3.8643285,5.464986,6.555531,7.936254,9.3011625,9.7419285,11.086041999999999,11.631692999999999,12.821532999999999,14.0095075,15.0903595,15.937431499999999,16.326238,15.709916,14.7064295,11.4997315,26.248809,24.207437,21.633308,18.027756,14.422205,10.630146,8.602325,7.071068,8.0,10.198039,12.649111,13.601471,15.524175,17.262677,18.248288,19.104973,19.104973,18.11077,16.124515,13.341664,11.18034,10.630146,11.18034,12.369317,15.132746,16.03122,8.062258,5.09902,2.828427,5.09902,9.0,12.041595,16.03122,17.0,19.026298,19.235384,18.439089,18.027756,15.231546,13.892444,12.206556,10.0,7.211103,4.472136,4.123106,5.0,9.433981,12.529964,17.492856,20.808652,24.207437,26.907248,13.152946,13.152946,11.045361,10.0,9.055385,7.28011,5.830952,5.0,4.472136,4.0,6.324555,7.211103,9.219544,12.041595,14.142136,16.278821,18.439089,19.849433,19.849433,19.209373,17.804494,15.811388,11.661904,8.246211,5.09902,5.385165,9.433981,12.806248,15.556349,17.691806,19.209373,19.416488,19.723083,18.35756,15.652476,13.0,9.486833,7.28011,4.0,1.414214,2.236068,3.605551,5.385165,7.28011,8.062258,10.049876,11.0,13.038405,13.152946,14.317821,14.317821,14.317821
sujin_pick_up_variation_05,0.8,7.81025,5.09902,5.0,7.28011,12.041595,15.033296,17.117243,19.235384,19.416488,20.615528,20.615528,19.646883,18.439089,17.262677,15.033296,12.041595,9.848858,7.211103,8.246211,12.041595,15.811388,21.023796,22.803509,24.186773,23.0,22.203603,18.439089,19.646883,20.880613,20.248457,18.384776,15.231546,12.529964,9.219544,6.403124,4.0,5.0,6.708204,8.062258,9.0,10.198039,9.486833,9.848858,10.630146,11.401754,12.083046,13.341664,15.033296,15.033296,15.297059,15.811388,13.928388,7.211103,10.0,12.206556,13.601471,15.811388,16.401219,15.620499,14.866069,13.453624,12.041595,10.630146,9.219544,8.062258,6.708204,6.0,7.28011,9.433981,12.206556,14.21267,16.278821,16.970563,18.384776,17.691806,16.278821,13.453624,11.313708,14.21267,16.401219,17.204651,17.204651,16.643317,15.264338,12.529964,9.433981,7.211103,3.605551,2.0,3.605551,5.385165,7.615773,8.944272,11.18034,12.206556,13.601471,14.866069,15.556349,15.620499,15.0,13.601471,11.401754,9.219544,5.830952,10.77033,10.440307,10.440307,9.219544,7.071068,6.082763,4.0,3.162278,3.0,4.123106,5.830952,8.602325,11.401754,14.21267,16.401219,19.209373,21.400935,22.803509,22.803509,22.203603,20.0,16.401219,12.727922,8.062258,5.09902,7.28011,10.77033,13.601471,16.278821,18.248288,19.104973,19.104973,17.029386,15.0,13.0,10.049876,7.071068,4.123106,1.414214,1.414214,3.162278,4.0,6.0,7.071068,8.246211,9.219544,10.440307,10.77033,10.77033,11.7047,12.083046,12.083046
sujin_pick_up_variation_05,0.9,19.235384,21.023796,20.615528,18.027756,15.811388,13.341664,10.198039,7.28011,4.123106,1.0,3.605551,6.708204,8.544004,11.7047,14.866069,17.088007,19.313208,20.880613,20.615528,20.223748,18.027756,16.03122,12.369317,9.433981,7.81025,7.071068,1.0,1.0,3.0,5.0,7.071068,9.219544,10.440307,11.18034,11.661904,11.401754,10.630146,9.219544,8.944272,7.28011,7.071068,6.082763,5.385165,5.0,3.605551,3.162278,2.236068,3.0,5.385165,9.219544,12.041595,15.0,26.41969,24.186773,21.095023,18.027756,13.892444,10.77033,8.062258,7.071068,8.944272,10.630146,12.041595,14.142136,16.278821,17.029386,17.804494,18.601075,18.027756,18.027756,15.811388,14.21267,11.401754,9.848858,10.0,11.401754,13.416408,14.764823,7.28011,4.0,3.162278,6.082763,9.486833,12.649111,15.811388,17.720045,19.416488,19.104973,19.026298,18.027756,15.132746,14.317821,11.401754,9.486833,7.28011,5.0,3.605551,5.385165,9.055385,13.152946,17.262677,20.615528,24.041631,25.632011,10.049876,9.0,9.055385,8.062258,7.28011,6.324555,4.472136,2.828427,2.0,2.828427,4.472136,7.28011,10.198039,13.152946,15.132746,19.104973,20.223748,23.086793,23.086793,22.022716,21.023796,18.0,13.038405,9.219544,3.605551,5.0,9.219544,13.038405,15.0,17.029386,19.104973,19.104973,18.248288,16.278821,14.317821,12.649111,9.848858,7.211103,4.242641,3.162278,2.236068,3.605551,4.123106,6.0,7.0,7.071068,8.246211,9.219544,9.486833,9.486833,10.440307,10.440307
