sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
sujin_sit_normal_03,0.0,1.0,3.0,7.071068,9.486833,12.165525,14.317821,14.317821,14.317821,14.317821,14.317821,13.152946,12.041595,11.0,10.049876,8.062258,7.28011,6.708204,5.656854,5.0,4.123106,4.123106,3.605551,3.605551,3.0,3.162278,4.242641,19.235384,21.023796,22.847319,23.769729,21.540659,20.615528,17.088007,13.0,8.944272,4.242641,2.236068,5.385165,8.062258,11.0,14.0,16.0,17.029386,19.104973,20.099751,20.223748,21.377558,20.615528,18.681542,16.763055,13.601471,10.440307,25.0,25.612497,22.671568,20.518285,16.278821,13.453624,10.0,8.062258,7.28011,7.0,7.28011,8.944272,9.433981,10.816654,12.206556,13.038405,13.601471,13.601471,12.806248,12.041595,10.816654,9.848858,10.049876,10.049876,11.401754,11.7047,11.401754,7.28011,3.605551,2.236068,7.28011,12.165525,16.492423,19.646883,21.18962,22.472205,21.931712,21.954498,20.248457,18.601075,16.278821,14.142136,11.313708,8.485281,5.830952,5.0,6.403124,9.433981,13.892444,18.35756,21.095023,23.853721,12.658910500000001,11.423575,9.972878999999999,8.4176585,5.733964,4.2976209999999995,3.162278,4.0388435000000005,5.8941444999999995,8.4176585,11.323431500000002,13.9567245,16.362201,19.239902,21.2473955,23.060295,23.9836515,23.9836515,22.8997,19.496287,15.70407,11.240950999999999,8.303131,8.377261,12.427689,16.762038,11.4679275,13.571068,15.678030499999998,16.5596135,17.513878,16.3815275,15.3815275,13.7993125,11.684658500000001,9.0990195,6.6814365,4.130649,2.236068,1.618034,2.8027755,5.377937,6.5769155,8.7328775,10.5352265,12.4278335,13.678113,14.578391,15.064604500000002,16.51802,15.7653915,15.673603499999999
sujin_sit_normal_03,0.1,1.414214,5.385165,8.602325,12.206556,14.422205,15.811388,17.204651,16.643317,16.124515,15.264338,14.317821,14.317821,13.0,11.401754,10.198039,9.055385,8.0,6.082763,5.385165,4.472136,2.828427,3.162278,2.0,1.414214,2.236068,3.605551,21.587033,24.041631,25.0,26.248809,24.351591,22.472205,19.313208,14.866069,10.440307,5.09902,2.828427,5.09902,8.602325,11.401754,13.453624,16.278821,17.691806,18.384776,20.518285,20.615528,20.615528,20.615528,18.601075,17.204651,13.892444,9.433981,6.403124,7.071068,9.055385,10.440307,12.649111,13.0,13.601471,13.601471,12.369317,12.369317,11.401754,10.440307,9.486833,8.544004,8.062258,7.81025,8.602325,8.544004,10.440307,11.045361,12.041595,13.0,12.0,12.041595,10.049876,8.246211,18.11077,20.223748,22.36068,23.537205,23.769729,20.880613,18.681542,14.866069,10.77033,7.28011,3.0,2.0,4.472136,6.708204,8.944272,12.083046,13.928388,15.524175,17.464249,18.248288,19.104973,19.026298,18.0,17.029386,14.035669,10.198039,12.658910500000001,11.423575,9.972878999999999,8.4176585,5.733964,4.2976209999999995,3.162278,4.0388435000000005,5.8941444999999995,8.4176585,11.323431500000002,13.9567245,16.362201,19.239902,21.2473955,23.060295,23.9836515,23.9836515,22.8997,19.496287,15.70407,11.240950999999999,8.303131,8.377261,12.427689,16.762038,11.4679275,13.571068,15.678030499999998,16.5596135,17.513878,16.3815275,15.3815275,13.7993125,11.684658500000001,9.0990195,6.6814365,4.130649,2.236068,1.618034,2.8027755,5.377937,6.5769155,8.7328775,10.5352265,12.4278335,13.678113,14.578391,15.064604500000002,16.51802,15.7653915,15.673603499999999
sujin_sit_normal_03,0.2,26.832816,25.942244,23.706539,20.59126,17.0,13.038405,9.433981,6.403124,2.828427,1.414214,3.0,5.09902,6.708204,8.062258,8.602325,10.0,12.041595,10.630146,11.401754,11.661904,11.7047,11.401754,11.18034,11.0,11.045361,9.219544,6.0,2.0,3.605551,8.544004,13.928388,18.384776,22.847319,25.079872,26.400758,27.313001,25.495098,24.166092,21.931712,19.313208,16.155494,13.601471,10.198039,7.0,4.472136,4.0,7.211103,11.313708,15.0,19.723083,22.825424,25.059928,6.082763,6.403124,8.062258,10.440307,11.401754,12.649111,12.649111,12.649111,11.7047,11.7047,10.77033,9.848858,8.544004,7.28011,7.071068,7.071068,7.615773,8.602325,9.899495,10.630146,12.206556,12.206556,12.529964,11.18034,9.848858,8.544004,17.204651,20.0,22.022716,22.671568,22.627417,21.213203,18.384776,14.866069,11.313708,7.071068,4.472136,2.236068,4.123106,6.082763,9.219544,11.18034,13.341664,15.811388,17.088007,17.888544,18.35756,18.867962,18.027756,16.643317,14.422205,11.18034,13.416408,13.038405,11.401754,9.219544,7.071068,5.0,2.0,2.828427,5.385165,8.246211,11.18034,13.341664,16.492423,18.681542,20.880613,22.135944,24.351591,24.351591,22.135944,19.646883,16.278821,11.0,7.615773,7.28011,11.18034,15.231546,11.661904,13.601471,15.0,15.620499,17.029386,16.278821,15.556349,14.142136,12.041595,9.899495,7.071068,4.242641,1.414214,2.236068,4.472136,6.324555,8.544004,9.486833,11.18034,13.152946,14.035669,15.0,16.03122,15.297059,15.811388,15.64705125
sujin_sit_normal_03,0.30000000000000004,26.248809,25.0,23.086793,20.880613,17.088007,13.0,8.544004,5.385165,2.236068,1.0,3.162278,5.09902,6.324555,8.944272,10.29563,11.18034,12.206556,12.806248,12.727922,12.806248,12.529964,13.0,12.369317,12.041595,12.0,10.049876,6.082763,2.828427,4.242641,8.944272,14.317821,18.384776,22.472205,25.079872,26.925824,27.313001,26.400758,24.166092,21.540659,18.384776,15.811388,13.341664,10.198039,7.0,4.472136,3.0,5.656854,9.433981,14.317821,17.464249,21.18962,24.351591,5.830952,5.830952,7.071068,10.049876,11.18034,12.165525,12.165525,12.165525,12.041595,12.041595,11.045361,9.055385,9.055385,7.28011,7.615773,7.071068,7.81025,8.944272,10.440307,11.18034,12.041595,13.038405,13.0,12.0,10.049876,8.246211,18.973666,21.18962,23.4094,23.769729,24.166092,21.931712,19.235384,16.124515,11.661904,8.062258,5.09902,2.236068,4.0,6.082763,9.219544,11.18034,13.152946,16.03122,17.0,18.027756,19.235384,19.235384,18.248288,16.278821,14.317821,11.045361,13.892444,12.083046,10.440307,8.544004,6.324555,4.472136,2.236068,3.0,5.830952,8.062258,10.816654,13.038405,16.124515,17.888544,20.615528,21.540659,24.698178,23.769729,22.472205,20.615528,16.552945,12.206556,8.944272,8.246211,11.401754,15.0,10.29563,12.083046,13.928388,14.56022,15.524175,14.317821,13.341664,11.18034,9.055385,8.062258,5.09902,3.162278,1.0,1.0,3.162278,5.09902,6.324555,8.544004,9.486833,11.18034,12.529964,14.422205,15.0,15.620499,15.556349,15.620499
sujin_sit_normal_03,0.4,26.07681,26.07681,23.086793,21.095023,17.262677,14.142136,9.219544,6.324555,3.605551,2.0,3.605551,5.09902,7.071068,9.0,10.0,10.049876,12.369317,11.7047,12.083046,12.206556,12.041595,12.041595,11.661904,10.77033,10.440307,10.198039,6.082763,2.236068,3.605551,8.246211,13.341664,18.439089,22.36068,24.515301,26.476405,26.683328,25.70992,24.515301,21.587033,19.235384,16.124515,14.0,10.049876,7.28011,5.0,4.0,6.403124,9.848858,13.601471,17.464249,22.36068,23.194827,15.652476,15.583046,15.0423315,15.246773999999998,14.181025000000002,13.019202499999999,11.6670175,10.4243275,10.124754,9.4272595,9.366486,9.908327,10.0,10.109772,10.6305695,10.737787999999998,11.443631499999999,11.6754925,11.707339000000001,11.852350000000001,12.330952,12.233327,12.27735,12.200877,12.020889,11.4309125,15.891034999999999,15.222977,14.1726175,12.5974135,15.0789305,16.212775,18.014693,17.424716500000002,16.9866535,15.366913,13.463307499999999,11.523761,11.865081499999999,12.020814999999999,12.1483345,12.8157645,11.993293999999999,12.109772,11.483936,11.0655925,11.741897999999999,13.045007,15.8146135,16.227352500000002,17.5117055,17.252074,12.649111,11.401754,9.219544,8.246211,6.324555,4.472136,3.605551,5.0,6.324555,9.486833,12.083046,13.928388,17.088007,18.973666,21.84033,22.803509,24.738634,24.738634,22.561028,20.880613,17.088007,13.038405,10.0,10.0,12.083046,15.620499,10.29563,11.7047,13.601471,13.152946,14.035669,13.0,11.045361,9.219544,7.28011,5.385165,3.605551,2.0,2.236068,4.0,5.0,7.071068,7.28011,9.486833,9.848858,11.661904,12.206556,13.453624,14.142136,14.21267,14.422205,13.892444
sujin_sit_normal_03,0.5,2.236068,2.828427,6.324555,9.486833,11.7047,13.601471,14.866069,15.231546,15.231546,14.317821,13.892444,13.038405,11.401754,10.630146,9.219544,8.062258,6.708204,5.09902,5.09902,3.605551,3.605551,3.162278,3.0,3.162278,3.605551,4.123106,21.931712,23.769729,24.698178,25.298221,24.041631,21.84033,18.681542,14.56022,9.848858,5.656854,4.0,5.656854,8.062258,10.29563,13.0,14.866069,16.763055,17.720045,18.681542,18.439089,19.235384,19.104973,18.027756,16.03122,14.0,10.0,24.596748,24.166092,22.847319,19.313208,16.155494,13.0,9.848858,7.211103,5.656854,6.324555,6.082763,7.0,8.062258,9.219544,10.198039,11.401754,11.401754,11.7047,12.083046,11.661904,11.313708,11.401754,12.083046,12.369317,13.152946,14.035669,14.317821,10.198039,5.0,3.0,7.81025,12.727922,16.970563,20.518285,23.430749,23.600847,23.853721,22.825424,21.931712,19.313208,17.720045,15.297059,13.152946,10.049876,7.071068,3.605551,4.0,8.062258,12.206556,17.204651,20.248457,23.323808,6.403124,8.485281,10.630146,11.401754,12.206556,12.206556,12.529964,12.529964,12.083046,11.18034,11.18034,8.944272,8.602325,7.071068,6.324555,7.071068,9.433981,12.041595,15.811388,20.59126,23.706539,25.495098,26.832816,27.313001,26.0,23.4094,6.0,5.385165,5.0,5.385165,7.0,8.246211,9.848858,11.661904,12.806248,12.727922,12.806248,12.206556,11.661904,11.18034,10.77033,9.486833,8.246211,7.071068,6.082763,5.0,4.123106,2.0,1.414214,1.0,2.236068,4.472136
sujin_sit_normal_03,0.6000000000000001,3.0,2.236068,5.0,8.602325,10.816654,12.206556,13.601471,14.21267,15.0,14.21267,13.453624,12.041595,11.401754,10.0,9.433981,8.544004,7.071068,6.082763,5.385165,5.0,4.472136,4.123106,4.123106,3.605551,3.605551,4.123106,21.377558,23.537205,24.738634,24.738634,23.769729,21.84033,18.681542,14.56022,10.198039,6.0,3.605551,5.09902,8.062258,10.816654,12.806248,14.866069,16.970563,17.691806,18.439089,19.209373,19.416488,18.867962,18.35756,15.652476,13.416408,9.848858,6.082763,5.385165,7.071068,9.219544,10.816654,11.661904,12.529964,11.661904,11.661904,11.401754,10.816654,10.0,9.433981,8.944272,7.615773,8.246211,8.0,9.055385,9.486833,9.848858,10.816654,10.816654,10.0,9.219544,7.81025,7.211103,19.924859,23.086793,25.0,26.925824,25.70992,23.769729,20.615528,16.492423,12.165525,8.246211,4.472136,2.0,5.0,8.062258,10.29563,13.038405,15.0,16.401219,17.691806,19.104973,19.849433,20.615528,18.601075,17.204651,15.0,12.041595,13.416408,12.083046,9.848858,7.615773,5.830952,4.242641,3.0,5.0,7.81025,9.899495,12.806248,15.0,17.029386,19.849433,21.931712,24.083189,24.839485,24.207437,22.803509,20.248457,16.552945,13.341664,10.440307,10.630146,13.601471,17.117243,12.206556,13.892444,15.231546,16.763055,16.278821,16.124515,14.0,13.038405,10.198039,8.944272,6.403124,4.472136,4.0,4.472136,5.830952,6.708204,8.062258,9.0,10.049876,11.401754,11.7047,12.529964,13.601471,14.142136,14.21267,14.422205
sujin_sit_normal_03,0.7000000000000001,14.1708175,13.400189000000001,14.143183,14.6395665,14.579418999999998,13.038405,12.0427725,10.606602,9.6485295,7.6589105,7.170832,8.386108499999999,8.852350000000001,9.385165,9.244682999999998,9.8328105,9.1957215,9.017138,8.708204,8.100341499999999,8.1410255,7.984263,7.764982,7.9056945,7.885538,8.0721905,14.306019,14.1037185,14.6558105,17.247549,19.1126625,21.0219525,20.8650055,20.180583499999997,18.647344,17.001446,14.889028,15.282261,15.1329305,15.117692,14.658612999999999,13.701306500000001,13.2581095,11.4740975,11.291452999999999,11.360211999999999,12.573646499999999,13.829316500000001,14.9580005,16.420386999999998,16.512492,16.4678255,6.082763,4.242641,6.324555,8.062258,9.0,10.0,10.0,10.0,10.0,10.049876,9.055385,9.055385,8.062258,8.0,7.071068,7.28011,7.615773,7.81025,8.485281,8.602325,9.433981,10.29563,8.944272,8.544004,7.28011,6.082763,18.867962,21.633308,23.600847,24.413111,24.207437,22.022716,19.209373,15.620499,12.041595,7.81025,4.472136,2.236068,3.162278,6.0,8.0,11.0,13.038405,15.033296,16.278821,17.464249,17.720045,18.027756,17.088007,16.155494,13.928388,11.401754,7.211103,9.899495,10.630146,12.041595,12.206556,13.038405,13.416408,13.416408,13.0,11.7047,10.77033,9.848858,8.062258,6.403124,5.385165,7.071068,8.944272,12.806248,16.970563,21.260292,23.430749,25.612497,27.018512,27.018512,25.0,21.633308,3.162278,3.0,2.828427,4.0,6.082763,8.246211,9.848858,11.661904,12.206556,12.806248,12.727922,12.727922,12.041595,11.401754,10.0,9.433981,7.615773,7.615773,6.324555,5.385165,4.123106,3.0,1.0,1.414214,2.236068,4.472136
sujin_sit_normal_03,0.8,4.472136,4.123106,6.403124,9.433981,11.18034,12.529964,13.416408,13.416408,14.764823,14.422205,12.806248,12.041595,11.313708,10.0,9.433981,7.615773,7.071068,6.0,5.385165,5.0,4.472136,4.123106,4.0,3.162278,3.605551,4.0,20.615528,22.671568,24.758837,24.758837,23.345235,20.615528,17.029386,12.806248,8.485281,4.472136,3.605551,6.324555,9.055385,12.041595,15.033296,17.029386,18.027756,19.0,20.0,20.024984,20.024984,20.099751,18.11077,16.278821,13.341664,10.440307,24.413111,24.698178,22.472205,19.235384,16.124515,13.038405,9.433981,6.403124,5.830952,5.09902,5.09902,6.324555,7.615773,8.944272,10.29563,10.29563,11.661904,11.401754,12.041595,11.401754,11.661904,11.7047,12.165525,13.0,13.038405,13.341664,13.928388,10.440307,5.09902,3.0,8.062258,12.806248,18.439089,22.022716,23.600847,25.238859,24.186773,23.259407,21.540659,19.924859,17.464249,15.297059,12.041595,10.049876,6.082763,3.605551,4.123106,8.602325,12.041595,17.029386,20.615528,22.803509,13.601471,11.401754,10.0,8.602325,5.830952,5.09902,4.123106,5.656854,7.81025,10.630146,12.806248,15.620499,17.691806,19.79899,21.213203,23.345235,24.083189,24.083189,21.931712,19.79899,16.401219,12.083046,10.0,10.0,13.601471,17.088007,11.401754,13.0,13.892444,14.422205,14.21267,13.453624,12.041595,9.219544,7.211103,4.472136,2.236068,1.0,2.828427,3.605551,5.830952,7.615773,8.544004,10.440307,11.18034,12.041595,14.0,15.033296,15.297059,15.524175,14.866069,15.231546
sujin_sit_normal_03,0.9,26.248809,25.495098,23.345235,20.615528,17.029386,14.21267,10.0,6.403124,4.242641,1.414214,1.0,3.605551,5.385165,7.615773,8.246211,9.219544,11.18034,11.0,11.18034,11.401754,11.7047,11.18034,10.630146,10.630146,9.433981,8.944272,5.385165,2.236068,4.472136,9.486833,15.524175,19.924859,24.351591,26.570661,28.79236,29.154759,27.730849,25.495098,22.36068,18.788294,16.155494,12.649111,10.198039,7.071068,5.656854,7.071068,9.219544,13.0,16.124515,19.416488,22.803509,24.207437,5.0,6.0,8.246211,10.77033,11.661904,13.416408,13.416408,13.416408,13.0,12.649111,12.083046,10.77033,9.848858,9.433981,8.602325,8.485281,8.602325,9.848858,9.486833,11.045361,11.0,11.045361,11.045361,10.198039,9.219544,7.615773,20.59126,23.323808,25.553865,26.925824,26.07681,23.853721,20.808652,16.401219,12.806248,7.81025,3.605551,1.0,3.605551,6.708204,8.944272,11.7047,13.601471,15.297059,17.117243,18.027756,19.0,19.026298,18.027756,17.029386,14.035669,10.0,13.038405,11.18034,10.29563,8.062258,5.0,3.605551,4.0,5.830952,7.81025,10.0,12.806248,14.866069,17.804494,20.0,21.633308,23.021729,23.853721,23.853721,22.203603,19.209373,15.556349,12.083046,10.0,11.661904,14.21267,18.35756,11.313708,14.21267,15.0,16.124515,15.231546,14.866069,13.341664,11.18034,9.0,6.082763,4.472136,2.828427,2.236068,3.605551,5.385165,6.082763,8.062258,9.0,10.049876,11.401754,12.649111,13.416408,14.422205,14.21267,14.866069,14.866069
