sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51
sujin_walk_normal_11,0.0,20.615528,19.849433,18.439089,17.029386,15.0,13.601471,11.661904,11.18034,10.77033,9.486833,9.219544,9.219544,10.049876,10.049876,10.0,11.0,11.0,12.041595,11.045361,11.18034,10.198039,9.219544,7.28011,6.324555,6.324555,5.09902,9.055385,9.055385,10.440307,13.928388,16.552945,19.313208,20.880613,22.561028,22.203603,21.0,19.026298,17.117243,14.142136,12.165525,11.0,9.055385,8.944272,9.433981,10.630146,12.727922,15.620499,17.029386,18.601075,19.849433,20.615528,22.022716,17.029386,15.132746,12.041595,10.0,7.28011,6.403124,7.81025,8.944272,10.77033,11.7047,13.0,13.0,13.928388,14.866069,14.866069,15.524175,15.132746,16.0,17.262677,18.973666,21.023796,23.323808,25.238859,25.806976,25.806976,24.207437,8.062258,7.071068,6.708204,6.403124,7.071068,9.219544,10.29563,12.806248,13.453624,13.038405,12.529964,11.7047,10.440307,8.062258,6.0,3.0,1.0,1.414214,4.242641,7.071068,10.0,12.529964,15.231546,16.763055,18.248288,18.027756,21.633308,20.808652,20.0,16.401219,14.21267,12.806248,10.816654,8.944272,8.944272,8.544004,8.246211,8.246211,8.062258,9.219544,9.055385,9.055385,9.055385,9.0,9.055385,10.198039,10.440307,11.7047,13.0,13.0,13.601471,12.369317,11.401754,9.219544,7.28011,7.071068,10.29563,13.453624,17.029386,19.209373,20.0,21.095023,20.59126,19.697716,18.027756,16.492423,14.317821,12.165525,10.198039,9.219544,8.062258,8.485281,9.433981,13.0,15.231546,18.384776,21.023796,21.470911
sujin_walk_normal_11,0.1,21.095023,20.099751,20.099751,17.029386,16.03122,15.033296,13.0,11.045361,10.198039,9.486833,8.544004,8.944272,9.433981,10.0,10.0,10.630146,12.041595,12.206556,12.206556,11.661904,11.18034,10.77033,8.544004,7.28011,5.09902,4.123106,8.246211,9.433981,10.630146,13.453624,16.401219,19.104973,21.931712,22.022716,22.472205,21.470911,19.697716,17.088007,14.866069,12.649111,10.29563,8.602325,8.602325,8.944272,11.7047,13.341664,15.297059,17.262677,18.248288,19.235384,21.095023,21.095023,8.062258,10.816654,13.038405,15.264338,16.552945,17.088007,15.811388,14.56022,14.56022,12.649111,11.7047,9.848858,10.0,9.899495,10.816654,12.083046,13.601471,15.297059,17.117243,17.029386,17.0,16.03122,15.297059,13.928388,12.806248,12.206556,8.246211,10.198039,13.038405,14.0,15.033296,14.142136,13.601471,10.77033,8.062258,5.656854,3.162278,2.828427,5.0,6.324555,8.944272,10.0,10.630146,11.401754,11.661904,12.083046,11.401754,10.198039,9.055385,7.071068,4.123106,2.236068,21.633308,20.808652,20.0,16.401219,14.21267,12.806248,10.816654,8.944272,8.944272,8.544004,8.246211,8.246211,8.062258,9.219544,9.055385,9.055385,9.055385,9.0,9.055385,10.198039,10.440307,11.7047,13.0,13.0,13.601471,12.369317,11.401754,9.219544,7.28011,7.071068,10.29563,13.453624,17.029386,19.209373,20.0,21.095023,20.59126,19.697716,18.027756,16.492423,14.317821,12.165525,10.198039,9.219544,8.062258,8.485281,9.433981,13.0,15.231546,18.384776,21.023796,21.470911
sujin_walk_normal_11,0.2,17.464249,18.439089,17.262677,17.117243,17.117243,16.03122,16.03122,15.033296,14.035669,13.038405,13.152946,13.152946,12.165525,11.18034,10.198039,9.219544,9.219544,8.062258,7.0,7.0,7.071068,7.28011,7.28011,7.28011,7.071068,6.0,22.022716,23.323808,24.166092,23.086793,21.587033,18.248288,15.297059,12.369317,10.29563,11.313708,11.401754,13.892444,15.264338,16.643317,17.204651,17.029386,17.691806,16.970563,16.970563,16.278821,16.278821,15.811388,16.124515,16.552945,17.464249,17.720045,19.313208,18.681542,16.492423,13.341664,9.219544,6.708204,5.0,5.09902,7.0,9.055385,11.045361,12.041595,13.038405,15.0,16.0,17.0,16.03122,16.278821,16.763055,17.0,18.601075,20.518285,21.260292,22.803509,23.600847,23.853721,13.341664,12.165525,10.0,7.071068,3.162278,2.236068,6.0,9.055385,12.369317,13.928388,14.317821,14.422205,14.21267,12.727922,10.816654,8.944272,7.615773,5.09902,2.0,1.414214,4.472136,8.062258,11.401754,14.866069,17.804494,20.248457,16.260387,15.9216745,15.720970000000001,15.5775605,13.779272,13.403209,11.946221999999999,10.550331499999999,9.743333,9.5087635,9.439456,9.0138785,8.7481195,9.018153,8.7732985,9.044579,9.353188500000002,10.169901,10.0990195,10.5073465,10.440724,10.296111,9.800516,9.208204,8.519202499999999,7.5174915,14.655844,14.212889,14.809984,15.278168999999998,16.9124865,17.348247,17.3770435,16.7260785,15.4067835,14.4380325,12.727922,12.646068,12.6023255,12.657107,12.7909665,12.6080045,12.7326005,12.1055515,12.215440000000001,13.257747,14.2195445,15.859973499999999,16.92228,17.314574,17.088371000000002,17.0
sujin_walk_normal_11,0.30000000000000004,18.027756,17.464249,17.464249,16.552945,16.124515,16.124515,15.264338,13.892444,13.892444,13.892444,13.416408,12.529964,11.18034,11.18034,10.77033,9.848858,9.433981,9.433981,8.602325,9.219544,8.485281,8.485281,8.485281,8.485281,7.81025,7.211103,20.615528,21.540659,21.470911,20.808652,19.209373,16.278821,13.453624,10.816654,9.486833,10.0,12.041595,13.152946,15.132746,16.03122,16.0,17.029386,16.124515,16.278821,15.297059,15.132746,14.035669,14.0,15.033296,15.297059,16.763055,18.027756,20.124612,18.867962,17.204651,15.0,11.401754,9.433981,6.324555,6.0,6.324555,7.615773,8.944272,10.29563,12.529964,13.416408,14.317821,15.231546,16.552945,17.0,18.027756,17.804494,18.384776,19.849433,20.808652,21.633308,21.954498,21.470911,13.0,12.041595,10.049876,7.28011,3.162278,1.0,4.242641,7.81025,9.899495,12.041595,13.601471,13.416408,12.649111,12.369317,11.045361,10.0,8.246211,6.082763,4.123106,2.236068,3.0,6.0,10.0,13.038405,16.278821,18.681542,10.0,11.401754,12.529964,13.416408,13.416408,14.317821,13.416408,12.529964,11.661904,10.29563,10.29563,9.433981,8.944272,8.944272,8.544004,9.486833,9.486833,10.198039,10.198039,10.198039,9.219544,8.062258,7.071068,6.0,4.123106,3.605551,17.204651,19.416488,21.095023,21.954498,21.470911,19.697716,17.464249,14.317821,10.29563,7.211103,5.830952,6.0,7.28011,8.544004,10.440307,12.649111,14.317821,15.297059,17.029386,17.0,17.029386,17.117243,16.124515,15.033296,13.0,11.18034
sujin_walk_normal_11,0.4,19.209373,17.804494,16.401219,14.142136,12.041595,10.816654,8.944272,8.246211,9.055385,9.055385,9.055385,10.049876,10.198039,11.18034,11.18034,12.165525,12.041595,12.041595,11.045361,10.049876,9.055385,7.071068,6.082763,5.385165,5.385165,5.0,6.403124,7.211103,8.246211,11.045361,15.033296,18.11077,20.223748,21.587033,21.18962,21.023796,18.867962,17.204651,14.21267,12.041595,9.219544,7.615773,6.082763,6.324555,8.602325,10.630146,13.453624,16.278821,18.384776,19.849433,21.260292,21.260292,5.385165,7.071068,9.486833,12.083046,14.317821,14.866069,15.811388,15.524175,15.297059,15.132746,14.035669,13.038405,12.041595,12.165525,11.401754,10.77033,11.661904,12.041595,13.453624,14.422205,14.764823,15.231546,15.524175,14.142136,14.0,13.341664,8.944272,12.083046,14.764823,16.643317,17.804494,17.029386,16.278821,14.866069,11.401754,8.602325,5.0,2.236068,2.236068,4.123106,7.28011,8.544004,10.29563,12.206556,14.21267,14.866069,15.811388,16.124515,15.231546,13.928388,11.7047,8.544004,23.021729,22.022716,18.439089,17.029386,14.21267,11.401754,9.433981,8.062258,7.615773,7.28011,7.071068,7.071068,7.071068,8.062258,8.0,8.0,8.0,8.062258,8.246211,9.848858,10.29563,12.083046,13.416408,13.0,13.0,12.369317,11.401754,9.219544,7.615773,8.062258,10.77033,13.892444,16.643317,18.867962,19.235384,20.124612,19.313208,18.973666,16.492423,15.132746,13.038405,12.041595,9.055385,8.246211,7.615773,8.485281,9.433981,12.529964,16.552945,18.788294,21.470911,22.825424
sujin_walk_normal_11,0.5,20.71209,19.3005375,16.106303500000003,14.019202499999999,11.650147,9.343259,8.524937999999999,8.335579,8.7745455,9.994937,10.3349125,11.356596,12.156854,12.5207975,12.9849915,12.0254325,12.5016125,11.184658500000001,10.0020395,9.004144499999999,7.473564,7.100429,5.5901700000000005,5.263115,5.328427,5.701562,6.555664,5.8941444999999995,8.123105500000001,11.045361,15.083020999999999,17.528571,20.6066015,21.828025500000003,22.2321755,21.5438665,19.704286,17.7104535,15.480569,12.390905499999999,9.680329,7.566663,5.5908915,5.8941444999999995,7.440659,10.816654,13.654426,17.0,19.4792335,21.282967,23.1727685,23.021729,2.828427,5.09902,8.544004,12.083046,13.928388,16.155494,16.763055,16.492423,16.278821,15.132746,14.142136,13.152946,11.18034,10.198039,8.246211,8.062258,7.071068,7.28011,8.0,9.219544,10.77033,12.529964,13.601471,13.453624,13.601471,12.529964,8.944272,11.661904,13.892444,16.643317,17.204651,17.204651,16.401219,14.21267,12.041595,8.485281,5.656854,2.236068,1.0,3.605551,6.708204,8.544004,11.401754,13.152946,14.035669,16.0,16.124515,16.278821,16.492423,14.56022,11.7047,8.246211,23.021729,22.203603,20.0,17.804494,14.21267,12.806248,10.0,8.062258,7.28011,7.071068,7.0,7.071068,7.071068,8.062258,8.246211,9.486833,9.486833,10.77033,11.18034,12.529964,13.892444,14.764823,14.764823,15.231546,13.928388,13.601471,10.77033,8.062258,6.403124,6.0,8.544004,11.661904,14.764823,17.492856,18.788294,19.697716,19.313208,17.720045,16.278821,15.132746,13.038405,11.0,9.0,8.062258,6.324555,7.071068,9.433981,11.18034,15.231546,18.384776,21.023796,22.36068
sujin_walk_normal_11,0.6000000000000001,22.472205,20.880613,18.027756,14.317821,10.816654,9.219544,8.062258,8.246211,9.0,10.198039,10.198039,11.18034,11.18034,11.18034,11.18034,10.198039,10.049876,9.219544,8.246211,7.615773,6.708204,5.830952,5.656854,5.0,5.0,4.472136,8.602325,6.082763,7.615773,10.630146,15.556349,19.79899,23.430749,25.806976,26.41969,25.495098,24.698178,20.880613,18.439089,15.297059,11.18034,8.544004,5.830952,5.09902,7.071068,10.77033,13.416408,17.888544,21.470911,23.259407,25.495098,25.079872,4.472136,6.403124,8.944272,12.083046,13.416408,14.764823,15.264338,15.0,14.21267,13.453624,12.727922,11.313708,9.899495,9.219544,8.602325,7.615773,8.062258,9.055385,10.440307,12.083046,13.038405,13.601471,14.21267,13.453624,13.601471,12.529964,10.198039,13.152946,15.524175,17.720045,18.973666,18.973666,17.464249,15.652476,13.416408,10.29563,6.708204,4.123106,2.236068,3.162278,6.082763,8.0,10.049876,12.165525,13.601471,13.928388,14.764823,15.811388,15.0,13.601471,11.401754,8.602325,25.0,23.769729,21.587033,19.235384,15.297059,12.165525,9.486833,7.615773,5.830952,5.0,5.830952,6.324555,7.071068,9.055385,9.055385,10.049876,12.0,12.0,13.0,13.0,13.038405,13.038405,13.038405,12.041595,12.0,11.0,11.18034,8.062258,4.472136,5.385165,9.219544,13.038405,16.643317,19.416488,20.808652,21.400935,21.260292,20.518285,18.439089,16.401219,13.892444,12.529964,9.433981,7.81025,5.830952,6.0,8.246211,12.083046,15.652476,19.235384,22.847319,23.769729
sujin_walk_normal_11,0.7000000000000001,11.18034,13.892444,15.264338,15.264338,16.124515,15.264338,15.264338,13.038405,11.661904,10.0,9.219544,7.81025,7.071068,5.830952,5.385165,5.09902,5.09902,5.09902,5.385165,5.830952,6.403124,6.403124,6.403124,5.656854,4.242641,4.242641,18.788294,18.973666,20.615528,20.223748,18.027756,15.0,12.041595,8.062258,4.123106,3.162278,5.385165,8.062258,10.29563,12.083046,13.0,15.231546,14.866069,15.811388,15.811388,15.524175,13.601471,11.7047,10.29563,9.219544,7.211103,8.062258,6.708204,7.81025,9.219544,11.401754,12.806248,14.21267,14.142136,13.453624,13.601471,13.038405,11.661904,11.661904,10.29563,10.0,10.0,9.899495,10.630146,11.661904,12.083046,13.0,12.649111,12.369317,12.041595,12.0,11.18034,11.18034,10.0,12.806248,15.0,17.204651,18.35756,18.35756,17.888544,16.155494,13.928388,10.440307,7.615773,5.830952,3.605551,4.0,6.082763,7.28011,9.219544,11.18034,12.041595,14.0,14.142136,14.56022,13.601471,13.0,11.7047,9.219544,5.385165,7.0,9.219544,11.401754,12.649111,13.601471,13.601471,13.341664,12.165525,11.045361,11.045361,10.049876,9.055385,8.062258,7.071068,7.28011,6.708204,6.403124,5.656854,5.830952,5.385165,6.082763,6.0,6.082763,6.708204,5.830952,19.026298,21.023796,24.0,24.020824,24.020824,21.023796,19.026298,15.033296,12.041595,8.0,4.472136,4.123106,5.09902,8.246211,9.486833,12.649111,13.601471,15.297059,17.262677,18.11077,18.0,18.0,16.03122,15.0,12.0,9.219544
sujin_walk_normal_11,0.8,12.083046,15.231546,16.763055,17.720045,18.973666,18.027756,16.763055,15.811388,13.928388,12.083046,10.77033,8.246211,7.071068,6.0,4.123106,5.0,5.830952,7.615773,8.544004,9.486833,10.440307,10.77033,10.77033,9.848858,8.944272,7.211103,21.023796,22.203603,22.561028,23.086793,21.540659,18.788294,14.764823,10.29563,7.071068,5.830952,7.211103,9.486833,12.369317,14.56022,16.763055,18.027756,18.384776,19.697716,18.788294,18.788294,17.888544,15.231546,13.928388,10.198039,9.055385,8.062258,18.166413499999997,18.373376999999998,18.3387785,16.794382,14.3792565,12.155507499999999,9.460407,7.413437999999999,5.8698084999999995,4.7541355,6.035534,6.946605,8.640055,10.109772,11.59017,13.0,14.5178345,15.6560585,16.6624075,17.8243935,18.894401000000002,20.835842999999997,21.5581985,22.18153,21.8201265,20.4131115,16.5622575,16.683414,14.4329195,12.261002,9.031129,5.597087,4.1828734999999995,5.597087,8.3005815,10.4787185,12.6653925,13.01561,13.60578,13.0336945,12.688437,12.279267,11.264982,10.332756,8.9109345,7.354102,5.5908915,5.1925825,5.405125,8.142118,11.3137085,13.870840999999999,8.544004,11.045361,12.165525,14.317821,15.524175,15.297059,15.297059,15.132746,14.142136,13.038405,12.0,11.0,10.0,10.049876,9.055385,8.246211,7.615773,8.062258,7.81025,7.071068,6.403124,5.830952,5.385165,5.09902,5.0,4.472136,19.416488,21.633308,24.186773,24.596748,23.706539,21.931712,18.788294,15.231546,11.18034,7.81025,5.385165,6.082763,8.062258,10.0,12.206556,14.422205,16.124515,17.888544,19.697716,19.924859,19.646883,19.646883,18.248288,16.492423,13.601471,11.18034
sujin_walk_normal_11,0.9,10.816654,13.453624,16.278821,17.029386,19.104973,18.439089,18.439089,17.691806,15.620499,14.866069,12.041595,11.401754,9.219544,7.211103,5.385165,5.0,4.472136,5.656854,6.403124,7.211103,8.602325,9.433981,9.433981,9.219544,6.403124,5.656854,20.615528,22.135944,23.769729,24.186773,22.022716,19.026298,15.132746,10.049876,6.0,2.828427,4.472136,7.211103,10.816654,13.038405,13.892444,16.124515,16.124515,17.0,17.888544,17.888544,17.0,15.264338,12.806248,11.313708,9.433981,8.062258,10.29563,7.81025,5.830952,6.082763,7.211103,9.219544,11.313708,12.041595,13.453624,13.453624,14.866069,14.866069,14.21267,14.866069,15.811388,15.264338,16.124515,15.231546,15.524175,14.142136,13.038405,12.369317,12.206556,12.806248,13.0,15.132746,4.0,8.0,12.165525,14.866069,18.384776,20.124612,20.248457,20.615528,18.384776,17.029386,14.422205,12.083046,8.246211,6.0,3.0,1.414214,2.236068,5.09902,7.28011,9.848858,12.206556,14.866069,16.278821,16.401219,16.643317,15.264338,24.596748,22.825424,21.095023,18.027756,15.264338,12.529964,9.848858,8.246211,8.0,7.071068,7.28011,8.246211,8.544004,8.544004,9.848858,10.29563,10.29563,10.816654,11.401754,12.041595,12.041595,12.727922,13.453624,12.727922,13.453624,12.806248,11.18034,8.544004,5.656854,6.0,8.944272,13.038405,16.643317,19.235384,21.023796,20.615528,20.248457,19.646883,17.262677,16.124515,14.035669,12.0,10.049876,8.062258,6.708204,7.071068,8.944272,12.649111,16.763055,19.924859,22.135944,23.769729
