sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
yena_bending_normal_01,0.0,25.632011,25.079872,24.166092,21.023796,17.888544,13.892444,10.0,6.403124,2.236068,2.236068,5.0,8.602325,10.816654,13.892444,17.0,19.235384,20.615528,21.931712,21.931712,20.615528,18.384776,15.231546,11.18034,7.211103,3.605551,3.605551,11.401754,10.0,8.062258,5.09902,3.605551,5.0,8.544004,11.7047,14.317821,15.652476,17.0,17.888544,17.0,16.552945,15.231546,14.317821,12.083046,9.848858,7.211103,4.242641,3.162278,5.830952,10.77033,14.866069,18.973666,23.086793,17.720045,13.928388,11.661904,9.219544,9.486833,11.045361,13.0,15.0,16.0,17.117243,17.262677,17.464249,17.720045,16.763055,15.811388,14.56022,13.152946,13.038405,13.601471,14.764823,16.401219,19.104973,20.518285,21.213203,21.213203,19.79899,8.246211,6.082763,3.162278,1.414214,5.385165,8.544004,10.77033,13.416408,14.422205,14.21267,14.142136,12.206556,10.816654,8.062258,5.385165,3.162278,1.414214,2.828427,6.403124,9.219544,12.727922,16.278821,18.867962,21.470911,21.931712,21.18962,1.618034,3.216989,7.6366805,10.998497,13.654426,15.8884955,17.0229005,17.246428,17.0229005,15.8884955,15.2086495,13.892444,11.872475,8.7732985,5.9907045,3.162278,2.699173,6.9941569999999995,11.426687999999999,15.9679515,19.531685500000002,22.291871999999998,24.3316065,24.2553105,23.412166499999998,21.1355865,14.23377,15.8815275,15.8815275,16.670272,16.385621999999998,15.081564,12.9223265,11.330952,8.955558,7.385231,6.035534,5.464986,6.2429435,6.708204,7.936254,9.63471,10.998497,12.589537499999999,14.7746835,15.442011,17.1279555,18.2940035,17.2600895,16.5085155,14.4329045,10.9299715
yena_bending_normal_01,0.1,25.495098,24.33105,24.083189,21.023796,18.027756,14.035669,10.0,6.0,3.605551,4.0,6.324555,8.544004,12.083046,15.231546,17.088007,19.924859,20.615528,22.561028,22.203603,21.095023,19.026298,16.03122,12.041595,8.062258,4.472136,4.0,11.7047,11.7047,9.486833,8.062258,6.082763,5.0,6.324555,8.0,10.049876,11.18034,13.341664,14.142136,13.341664,13.152946,13.152946,12.041595,11.045361,9.055385,7.28011,5.830952,5.385165,8.062258,11.401754,14.56022,18.681542,23.086793,17.464249,20.615528,21.18962,21.84033,20.615528,18.439089,15.132746,12.165525,10.198039,7.615773,6.403124,6.708204,8.062258,11.0,14.0,16.0,19.0,21.0,21.0,22.0,21.0,19.0,17.117243,14.317821,12.083046,10.630146,11.045361,13.038405,15.132746,15.297059,15.297059,13.341664,11.401754,8.544004,5.385165,1.0,2.236068,5.0,7.211103,9.433981,10.77033,11.7047,13.341664,13.152946,13.0,12.041595,11.045361,9.055385,6.0,2.828427,5.09902,9.848858,1.618034,3.216989,7.6366805,10.998497,13.654426,15.8884955,17.0229005,17.246428,17.0229005,15.8884955,15.2086495,13.892444,11.872475,8.7732985,5.9907045,3.162278,2.699173,6.9941569999999995,11.426687999999999,15.9679515,19.531685500000002,22.291871999999998,24.3316065,24.2553105,23.412166499999998,21.1355865,14.23377,15.8815275,15.8815275,16.670272,16.385621999999998,15.081564,12.9223265,11.330952,8.955558,7.385231,6.035534,5.464986,6.2429435,6.708204,7.936254,9.63471,10.998497,12.589537499999999,14.7746835,15.442011,17.1279555,18.2940035,17.2600895,16.5085155,14.4329045,10.9299715
yena_bending_normal_01,0.2,25.079872,26.07681,23.0,21.023796,17.029386,13.038405,9.055385,5.0,2.828427,3.162278,6.708204,9.433981,13.038405,16.124515,18.35756,20.124612,22.847319,23.4094,23.086793,22.135944,19.924859,16.492423,12.649111,8.062258,4.242641,4.123106,12.041595,11.313708,10.0,7.615773,6.082763,5.385165,7.81025,9.848858,11.7047,14.317821,14.317821,15.524175,15.524175,14.56022,13.601471,12.649111,10.440307,9.486833,6.082763,4.123106,4.123106,7.0,11.18034,16.492423,19.416488,22.36068,20.615528,23.4094,24.041631,23.769729,21.377558,19.235384,16.124515,13.152946,10.198039,7.615773,7.071068,6.708204,9.055385,11.045361,14.0,17.0,20.0,21.0,23.0,23.021729,22.022716,20.024984,18.248288,15.524175,13.0,11.401754,10.77033,12.083046,13.416408,13.892444,13.038405,10.816654,7.81025,5.0,2.236068,2.0,4.242641,6.403124,8.602325,9.848858,10.77033,11.401754,12.165525,12.041595,11.0,10.049876,7.071068,5.0,2.828427,4.123106,8.944272,13.416408,23.706539,23.706539,22.36068,18.788294,15.231546,11.18034,6.708204,3.162278,1.414214,4.472136,8.944272,12.529964,15.652476,18.788294,21.931712,24.698178,26.248809,26.925824,25.495098,23.194827,20.024984,15.0,10.198039,4.472136,2.236068,6.082763,9.0,7.28011,6.403124,7.615773,9.055385,11.045361,13.341664,14.56022,15.811388,16.155494,16.155494,15.652476,13.892444,13.038405,11.401754,10.630146,9.219544,7.81025,5.385165,3.0,3.162278,6.082763,10.77033,14.317821,18.35756,21.470911
yena_bending_normal_01,0.30000000000000004,5.0,5.0,7.28011,11.045361,13.0,15.033296,16.124515,16.278821,17.464249,16.763055,15.811388,13.928388,13.0,11.18034,8.944272,6.324555,4.0,2.828427,5.0,8.246211,11.401754,13.601471,15.524175,16.278821,17.262677,16.124515,5.830952,8.602325,10.630146,12.041595,13.453624,13.453624,13.453624,12.041595,10.630146,8.602325,6.708204,5.0,3.605551,4.242641,6.324555,8.544004,10.440307,12.649111,14.56022,15.811388,16.552945,17.464249,17.0,16.124515,13.892444,10.29563,15.811388,12.369317,7.0,4.242641,7.0,10.198039,13.601471,15.524175,17.464249,18.248288,19.235384,19.104973,18.027756,18.027756,16.03122,14.142136,12.369317,10.29563,9.433981,10.198039,13.152946,16.763055,19.313208,20.124612,20.59126,20.248457,8.602325,5.656854,2.0,3.162278,7.28011,10.77033,13.416408,14.764823,15.811388,15.0,13.453624,12.041595,9.219544,7.211103,4.472136,1.0,2.236068,6.324555,9.219544,13.152946,17.0,20.024984,22.203603,24.515301,24.738634,23.086793,2.236068,2.0,6.082763,10.049876,12.041595,14.142136,15.132746,15.132746,15.033296,14.142136,13.152946,12.041595,10.049876,8.0,5.09902,1.414214,2.828427,7.071068,11.045361,15.0,18.11077,20.223748,21.587033,22.803509,21.18962,19.313208,10.440307,12.649111,13.0,14.317821,13.416408,12.529964,10.29563,9.433981,7.071068,5.830952,4.0,4.472136,5.0,6.708204,7.28011,9.055385,10.0,11.045361,13.152946,14.317821,15.524175,15.811388,15.811388,14.866069,12.649111,9.486833
yena_bending_normal_01,0.4,22.561028,24.33105,22.090722,20.024984,17.0,14.035669,10.049876,7.0,4.123106,2.236068,4.123106,7.615773,9.848858,11.7047,14.866069,16.492423,19.416488,19.235384,19.104973,18.027756,17.029386,14.035669,11.0,7.28011,3.605551,3.0,10.049876,9.055385,8.0,6.082763,5.830952,5.830952,7.071068,9.055385,11.18034,13.341664,14.56022,14.56022,14.317821,14.317821,13.152946,12.165525,11.045361,9.219544,7.28011,5.830952,5.830952,8.0,10.198039,14.866069,18.027756,21.18962,18.087199,17.015968,15.303445499999999,13.299184,13.4039775,13.541570499999999,14.519202499999999,14.016648,13.539631,12.69544,12.533168,12.62372,13.2506735,14.340771,14.90073,15.328460499999998,16.126452999999998,16.1326715,16.073944,16.837194,17.0584985,18.0698515,18.045454499999998,17.789621500000003,16.7242515,15.87711,10.575414,10.1265785,8.750203,9.6433965,10.423793,10.965952,11.885165,11.0224665,9.905694,8.310249500000001,9.0141735,8.5703075,9.031129,8.1055515,7.758748499999999,6.200877,6.970384,8.591033,10.7926745,11.908327,13.1683935,13.399601,12.815968,13.6491105,15.702213500000001,17.2384345,1.0,3.162278,6.708204,10.77033,13.416408,15.652476,16.552945,16.552945,16.552945,15.652476,15.652476,13.416408,12.529964,9.433981,7.211103,3.605551,1.414214,5.385165,8.944272,13.601471,17.204651,19.849433,21.931712,21.931712,20.615528,19.416488,11.7047,13.601471,14.56022,15.524175,15.297059,14.142136,13.152946,11.0,9.0,7.28011,5.830952,3.605551,4.0,5.385165,6.403124,7.81025,8.602325,10.29563,12.529964,13.928388,14.866069,15.811388,15.811388,14.56022,12.649111,9.486833
yena_bending_normal_01,0.5,26.07681,24.33105,23.537205,20.615528,17.720045,13.928388,9.486833,6.324555,3.0,3.0,6.082763,8.246211,11.401754,14.317821,17.262677,19.104973,21.023796,22.0,22.022716,20.024984,18.11077,15.132746,12.041595,7.071068,4.472136,4.0,12.206556,11.661904,9.848858,8.246211,7.071068,6.403124,8.944272,10.440307,13.341664,14.317821,16.278821,17.262677,16.278821,15.524175,14.56022,13.601471,12.649111,10.440307,8.246211,6.082763,5.0,7.28011,11.0,15.0,19.0,23.0,17.088007,12.083046,7.211103,4.123106,5.0,8.944272,12.083046,14.764823,17.0,17.492856,19.416488,18.601075,18.601075,17.804494,16.401219,15.811388,13.416408,11.401754,10.049876,10.29563,12.041595,14.764823,17.464249,19.924859,20.615528,20.396078,8.0,5.09902,2.828427,3.605551,6.708204,10.440307,13.341664,15.132746,15.033296,15.033296,14.035669,12.165525,10.440307,7.615773,5.0,1.414214,2.0,5.385165,8.602325,12.806248,16.278821,19.209373,22.472205,24.186773,24.596748,23.259407,1.414214,3.0,7.071068,11.18034,13.152946,15.297059,17.262677,17.262677,17.262677,16.278821,16.124515,14.142136,12.041595,10.049876,7.0,3.162278,1.414214,5.385165,10.198039,14.035669,18.0,21.095023,23.345235,23.537205,21.84033,20.248457,11.401754,12.649111,14.866069,14.866069,15.231546,14.317821,12.529964,10.816654,8.485281,6.403124,5.385165,4.0,4.242641,5.0,6.324555,8.062258,9.0,11.18034,12.369317,14.56022,14.866069,16.155494,16.155494,15.231546,13.0,9.848858
yena_bending_normal_01,0.6000000000000001,25.0,26.07681,23.323808,21.470911,17.888544,13.928388,9.848858,6.708204,3.605551,3.605551,5.830952,9.433981,12.206556,15.0,17.804494,19.849433,22.627417,22.627417,22.671568,22.022716,20.0,16.401219,12.806248,8.485281,5.830952,3.605551,12.165525,11.18034,10.049876,8.062258,5.830952,5.830952,7.0,9.219544,11.7047,13.928388,14.317821,15.231546,15.231546,14.866069,13.601471,12.369317,10.440307,8.544004,6.708204,4.242641,5.0,7.211103,11.313708,16.278821,19.849433,22.671568,18.027756,19.924859,20.615528,20.396078,20.223748,18.248288,15.033296,12.041595,9.055385,7.28011,5.0,4.472136,5.09902,7.615773,11.661904,13.892444,16.643317,18.601075,20.0,20.615528,20.615528,19.79899,18.439089,15.811388,13.416408,11.401754,10.0,12.0,13.0,13.038405,12.041595,11.18034,8.246211,5.385165,2.828427,2.828427,4.123106,7.0,9.055385,10.198039,11.401754,12.083046,12.529964,12.206556,12.806248,11.313708,9.219544,7.211103,3.605551,1.0,5.385165,9.848858,24.186773,23.323808,21.633308,19.416488,15.811388,11.401754,7.211103,2.828427,1.414214,5.0,9.219544,12.806248,15.0,18.601075,21.633308,24.186773,25.942244,26.0,25.632011,22.803509,20.396078,16.124515,10.049876,5.0,1.0,4.472136,10.198039,9.0,8.246211,8.602325,9.219544,11.18034,13.601471,14.317821,15.297059,16.124515,16.124515,16.03122,15.0,14.0,13.038405,12.165525,10.198039,8.246211,6.708204,5.0,4.0,6.403124,10.0,13.892444,17.888544,21.470911
yena_bending_normal_01,0.7000000000000001,5.656854,5.0,8.062258,10.816654,14.21267,16.401219,17.204651,18.35756,17.888544,17.464249,17.088007,15.811388,14.56022,12.369317,9.219544,7.28011,3.605551,3.0,5.0,8.602325,12.206556,16.124515,17.492856,18.867962,18.601075,17.804494,7.28011,9.055385,12.041595,14.035669,15.033296,15.033296,15.033296,13.0,12.0,9.055385,7.28011,5.830952,4.472136,5.0,7.28011,9.486833,11.7047,13.928388,16.155494,18.027756,18.681542,19.416488,18.248288,17.464249,15.297059,12.369317,19.416488,21.633308,23.323808,22.825424,21.023796,18.788294,16.552945,13.416408,11.18034,8.602325,6.403124,5.09902,6.324555,9.433981,11.401754,14.21267,17.029386,19.79899,21.213203,21.931712,21.260292,20.615528,18.027756,15.652476,13.601471,11.045361,10.198039,12.369317,13.152946,13.152946,13.038405,11.0,9.055385,6.324555,4.242641,3.0,4.242641,6.708204,8.544004,9.219544,10.049876,11.045361,11.18034,11.401754,10.77033,8.944272,7.211103,5.0,1.414214,2.828427,7.071068,11.401754,2.0,2.828427,6.403124,10.0,12.806248,14.866069,15.620499,17.029386,16.278821,15.620499,14.866069,13.453624,12.041595,9.899495,7.071068,3.605551,1.0,5.385165,10.77033,14.866069,18.681542,20.396078,22.203603,23.086793,23.021729,21.023796,12.0,14.0,14.0,15.033296,14.035669,14.035669,13.152946,11.18034,9.486833,7.211103,5.656854,5.385165,5.0,6.324555,6.708204,7.81025,9.899495,11.401754,13.038405,13.892444,15.652476,15.652476,15.231546,14.317821,13.0,9.848858
yena_bending_normal_01,0.8,25.3966595,25.292890999999997,23.074616,20.5285545,17.5045725,13.833147,9.609772,6.269578,3.5,4.242641,6.5163795,9.6678455,12.1769055,14.7746835,17.894147,19.496287,21.93657,22.522222499999998,22.008356,21.270500499999997,18.770619500000002,15.572445,12.059978000000001,7.906714,5.5413815,5.064495,11.721674499999999,11.2235575,10.737984999999998,9.0154185,8.5,7.409573,9.1252785,11.007191500000001,12.3715525,14.464193999999999,14.796758,15.4330345,14.9330345,14.675558500000001,13.019202499999999,12.5607255,10.9078455,9.272002,7.566663,6.3954835,7.106687,9.6414195,12.9953875,17.012866000000002,20.3222675,23.106454499999998,20.223748,22.36068,23.769729,23.769729,23.086793,20.248457,17.088007,13.928388,11.7047,8.246211,7.0,5.830952,6.403124,9.486833,11.18034,15.132746,17.117243,20.024984,21.023796,22.0,22.022716,20.099751,18.248288,16.763055,14.317821,11.401754,10.77033,13.0,13.0,14.317821,12.529964,11.401754,8.485281,5.830952,4.0,3.605551,5.0,7.071068,9.486833,10.29563,12.206556,12.041595,12.727922,12.206556,11.661904,11.18034,7.615773,5.385165,2.236068,3.0,8.0,13.0,1.414214,3.162278,7.615773,11.18034,13.0,15.652476,16.552945,16.552945,16.552945,15.652476,14.317821,13.0,11.7047,9.486833,6.082763,3.0,2.236068,5.830952,9.848858,14.56022,17.464249,20.223748,22.090722,22.022716,21.0,19.026298,10.816654,12.206556,13.601471,13.601471,13.453624,12.727922,11.313708,9.219544,8.062258,5.385165,4.0,3.605551,4.472136,5.09902,6.082763,7.28011,8.944272,10.29563,13.038405,13.601471,15.0,16.401219,15.620499,14.866069,13.453624,9.219544
yena_bending_normal_01,0.9,7.0,7.615773,10.0,13.453624,14.866069,15.620499,17.204651,17.492856,17.0,16.552945,16.155494,14.866069,12.369317,11.18034,9.219544,6.708204,5.0,6.082763,8.246211,10.77033,14.317821,16.552945,18.384776,19.313208,18.973666,17.720045,5.656854,7.81025,10.0,10.816654,12.206556,13.038405,13.038405,11.661904,10.29563,8.944272,7.28011,6.0,5.385165,5.830952,7.071068,8.602325,10.816654,12.206556,14.21267,14.866069,15.556349,16.278821,16.278821,14.866069,13.453624,10.630146,19.235384,22.203603,23.021729,23.0,21.023796,19.026298,16.03122,13.038405,11.0,8.062258,6.708204,7.211103,8.544004,10.198039,13.152946,16.124515,19.104973,21.023796,22.022716,23.0,23.0,22.022716,20.223748,18.681542,16.552945,14.422205,11.18034,13.416408,14.317821,13.928388,13.601471,11.401754,9.055385,6.0,3.162278,2.236068,4.472136,6.324555,9.055385,10.049876,11.18034,12.369317,12.083046,12.529964,12.206556,10.630146,8.485281,5.656854,2.236068,3.162278,7.28011,11.401754,26.41969,26.41969,23.706539,21.023796,16.552945,13.0,8.544004,4.123106,1.0,5.0,8.602325,12.529964,16.124515,19.235384,22.36068,24.166092,26.0,26.248809,25.0,22.36068,18.248288,14.035669,8.0,2.828427,3.605551,8.062258,9.055385,7.071068,6.708204,6.403124,8.246211,10.0,12.165525,13.341664,14.56022,14.866069,15.231546,14.764823,13.038405,12.806248,12.041595,10.630146,8.602325,7.211103,5.385165,4.123106,4.123106,7.071068,10.77033,15.652476,19.723083,23.323808
