sample_id,time_sec,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51
yena_fall_normal_06,0.0,14.317821,10.816654,6.403124,6.082763,8.602325,12.041595,15.620499,17.029386,18.439089,19.104973,18.384776,17.691806,16.278821,14.866069,12.727922,9.899495,7.615773,6.0,7.211103,10.630146,13.601471,16.401219,17.804494,19.104973,17.691806,16.401219,2.236068,4.123106,9.0,12.0,16.0,18.027756,19.104973,19.416488,18.681542,17.720045,14.866069,11.7047,8.544004,6.082763,3.0,2.236068,4.123106,7.211103,10.29563,14.422205,17.492856,20.248457,23.323808,23.706539,24.596748,21.931712,22.561028,22.803509,21.18962,18.973666,17.088007,13.928388,11.7047,10.440307,9.055385,9.0,9.219544,9.486833,10.77033,10.77033,12.083046,13.0,14.317821,14.764823,15.264338,16.401219,17.029386,17.691806,17.691806,16.970563,16.970563,15.556349,13.601471,10.0,7.211103,4.123106,3.605551,8.062258,11.045361,14.142136,16.492423,17.088007,17.888544,17.492856,16.401219,15.556349,14.21267,13.038405,11.661904,9.433981,8.602325,7.071068,8.062258,9.486833,12.165525,15.033296,18.11077,20.099751,4.785578,6.2281165000000005,8.062258,10.440307,12.684658500000001,14.541322000000001,15.710787,15.710787,16.066373,15.1333255,13.9588845,12.7909665,10.6891895,8.3951075,6.324555,3.3839145000000004,1.7071070000000002,4.828427,8.2525245,11.8072235,14.8784825,17.102606,18.807764,18.2602965,16.763589,14.403124,20.2041155,21.8309125,23.749952,23.60831,22.593940000000003,19.431908,16.081066,12.7476095,8.3322915,4.123106,1.618034,4.8027755,7.4772075000000005,9.972878999999999,11.7097205,13.13246,14.2302495,14.8784825,14.947304500000001,15.076473,14.840861,13.810249500000001,12.170087500000001,11.1465405,9.862081,7.473564
yena_fall_normal_06,0.1,19.209373,20.808652,20.808652,20.248457,18.867962,17.0,13.892444,11.661904,8.602325,6.403124,5.385165,6.082763,7.615773,10.29563,12.529964,14.764823,16.552945,18.027756,17.720045,16.492423,15.297059,13.152946,10.198039,7.28011,6.403124,5.830952,19.79899,19.209373,18.867962,17.0,13.0,9.848858,5.656854,4.123106,6.708204,9.433981,12.206556,13.038405,13.892444,13.892444,14.317821,14.317821,13.0,12.083046,11.18034,9.433981,8.485281,7.211103,7.071068,8.544004,10.816654,13.601471,24.515301,23.769729,23.086793,20.248457,18.384776,16.155494,13.601471,11.401754,10.198039,10.0,10.049876,11.18034,11.401754,13.341664,13.601471,14.56022,15.811388,16.155494,16.552945,17.0,17.492856,18.601075,18.439089,18.439089,18.439089,17.691806,12.369317,10.198039,7.071068,4.472136,5.385165,9.0,12.0,15.0,16.03122,17.464249,17.720045,17.464249,16.124515,15.811388,14.866069,13.453624,11.401754,10.630146,9.219544,8.602325,8.544004,11.18034,13.038405,17.0,20.024984,22.090722,4.785578,6.2281165000000005,8.062258,10.440307,12.684658500000001,14.541322000000001,15.710787,15.710787,16.066373,15.1333255,13.9588845,12.7909665,10.6891895,8.3951075,6.324555,3.3839145000000004,1.7071070000000002,4.828427,8.2525245,11.8072235,14.8784825,17.102606,18.807764,18.2602965,16.763589,14.403124,20.2041155,21.8309125,23.749952,23.60831,22.593940000000003,19.431908,16.081066,12.7476095,8.3322915,4.123106,1.618034,4.8027755,7.4772075000000005,9.972878999999999,11.7097205,13.13246,14.2302495,14.8784825,14.947304500000001,15.076473,14.840861,13.810249500000001,12.170087500000001,11.1465405,9.862081,7.473564
yena_fall_normal_06,0.2,11.401754,9.0,7.615773,7.211103,9.486833,12.165525,14.035669,16.03122,17.029386,16.03122,16.124515,16.124515,15.132746,13.152946,11.045361,9.055385,7.615773,7.81025,9.433981,11.7047,13.601471,15.297059,17.464249,17.720045,17.088007,15.231546,3.162278,6.403124,11.661904,16.124515,20.0,21.931712,23.345235,22.803509,20.808652,18.35756,15.652476,12.083046,8.062258,5.0,3.162278,3.162278,5.0,8.062258,10.77033,13.0,16.155494,18.384776,18.384776,19.313208,18.384776,17.464249,12.083046,12.206556,12.727922,12.041595,13.601471,13.038405,13.892444,13.038405,13.601471,13.038405,13.038405,13.038405,12.529964,13.038405,13.892444,13.416408,14.317821,15.231546,14.866069,14.56022,13.341664,12.165525,11.045361,9.0,7.28011,6.708204,14.317821,17.720045,20.248457,21.023796,21.470911,19.723083,18.601075,16.401219,12.806248,10.630146,7.211103,5.385165,5.0,5.09902,5.830952,8.062258,8.944272,11.18034,13.0,13.601471,15.524175,16.278821,16.124515,16.124515,16.124515,14.317821,4.242641,5.0,7.615773,9.433981,12.806248,14.21267,14.866069,15.556349,15.620499,15.556349,14.142136,12.727922,10.630146,9.219544,5.830952,3.0,3.162278,5.830952,10.0,13.453624,17.029386,18.601075,20.248457,19.723083,18.384776,16.155494,20.59126,22.472205,23.853721,24.413111,22.803509,20.615528,17.029386,12.041595,7.81025,3.162278,2.236068,6.082763,8.544004,10.77033,13.0,15.231546,16.155494,16.552945,17.0,16.643317,16.401219,14.866069,13.453624,12.206556,11.18034,8.246211
yena_fall_normal_06,0.30000000000000004,12.0,9.055385,6.403124,6.324555,9.0,11.18034,13.341664,14.317821,15.524175,16.278821,16.278821,15.297059,14.142136,12.165525,10.198039,8.544004,7.211103,6.708204,9.055385,11.045361,13.152946,15.132746,16.124515,17.029386,16.0,15.033296,4.242641,8.246211,12.369317,16.492423,19.924859,22.847319,24.596748,23.853721,21.400935,19.104973,16.278821,12.727922,9.219544,6.403124,4.0,3.605551,5.830952,8.246211,11.18034,13.152946,16.124515,18.11077,19.104973,20.223748,20.223748,18.248288,21.470911,21.954498,21.095023,19.416488,17.204651,15.811388,13.601471,12.529964,11.18034,10.77033,10.77033,11.401754,11.401754,12.165525,13.152946,13.152946,14.035669,15.0,15.132746,17.262677,17.720045,18.973666,20.248457,20.248457,20.880613,19.924859,12.649111,9.848858,7.615773,4.0,3.605551,6.082763,9.0,12.0,14.142136,14.56022,15.811388,15.652476,15.0,14.142136,13.453624,12.206556,11.661904,10.29563,9.433981,8.602325,9.219544,10.0,11.18034,15.231546,17.464249,18.788294,4.472136,4.123106,7.071068,8.944272,12.083046,13.928388,14.866069,14.866069,14.866069,14.56022,13.601471,12.649111,10.77033,8.944272,5.830952,2.828427,2.236068,6.0,9.219544,12.649111,15.231546,18.35756,18.867962,18.601075,17.029386,14.142136,20.024984,23.086793,24.186773,24.33105,23.345235,20.396078,16.492423,13.341664,8.062258,4.123106,3.0,5.830952,9.219544,11.313708,12.727922,14.142136,15.556349,16.278821,17.029386,15.811388,16.124515,14.317821,13.601471,12.165525,10.0,7.071068
yena_fall_normal_06,0.4,19.252036,20.963343000000002,21.372405999999998,20.1171915,19.149836999999998,16.246428,13.7855355,11.103278,8.4176585,5.903612000000001,5.54951,6.468482,8.0776875,10.5479425,13.042054499999999,14.58146,16.132169,17.299841,17.0026375,15.977038,14.269655,11.9814095,8.986057,7.232691,4.8899799999999995,4.611063,19.032792999999998,19.868102999999998,18.7088575,17.0457825,14.066372999999999,10.4471095,6.0777535,3.3839145000000004,5.3983455,8.007670000000001,10.199942,12.023277,12.9849915,13.453831999999998,13.8361585,13.383388,12.904013500000001,12.0254325,10.852350000000001,9.1670695,7.936254,5.8941444999999995,5.54951,7.473564,10.820268500000001,14.075231500000001,10.440307,11.045361,11.0,11.18034,12.369317,12.649111,12.649111,12.649111,12.649111,12.649111,11.7047,11.7047,11.7047,11.7047,12.083046,12.529964,12.529964,13.038405,13.601471,12.806248,12.041595,11.313708,10.0,8.944272,7.28011,7.0,13.892444,16.552945,19.313208,19.924859,20.615528,19.235384,17.117243,15.033296,12.0,10.049876,7.0,5.09902,3.605551,3.605551,5.09902,6.082763,8.246211,9.486833,10.77033,12.529964,13.892444,14.422205,15.0,15.0,14.21267,13.038405,4.242641,6.0,8.544004,11.18034,13.601471,15.0,16.278821,16.278821,16.278821,16.278821,14.866069,13.453624,12.206556,10.0,6.708204,4.123106,2.236068,4.123106,7.81025,12.041595,14.422205,16.643317,17.888544,17.464249,15.811388,13.341664,22.36068,25.059928,26.41969,26.925824,26.07681,23.600847,18.601075,15.0,10.0,5.385165,2.236068,5.0,8.246211,10.440307,12.649111,13.601471,14.866069,15.231546,15.652476,15.264338,15.0,13.453624,12.041595,10.816654,8.944272,7.071068
yena_fall_normal_06,0.5,17.0,12.649111,9.0,7.81025,10.77033,14.317821,17.262677,19.235384,20.223748,21.377558,20.880613,19.924859,18.027756,15.811388,13.601471,10.198039,8.062258,6.403124,8.944272,12.165525,15.132746,18.027756,20.099751,21.587033,20.880613,19.313208,4.0,7.81025,14.142136,19.104973,23.430749,25.806976,28.301943,27.294688,25.079872,22.472205,18.973666,14.56022,10.77033,7.211103,4.472136,5.09902,7.071068,10.0,13.601471,17.492856,20.59126,23.706539,25.553865,26.925824,26.07681,23.853721,23.086793,22.803509,21.587033,19.416488,17.262677,15.297059,13.341664,11.401754,9.848858,9.433981,9.219544,9.899495,11.313708,11.401754,13.601471,13.601471,14.422205,16.124515,17.0,17.464249,18.027756,18.027756,18.973666,18.681542,18.681542,16.492423,13.038405,10.0,7.0,3.605551,4.123106,8.062258,11.18034,13.892444,16.155494,16.763055,17.464249,17.029386,16.03122,15.132746,13.601471,13.0,10.77033,9.848858,8.544004,8.246211,8.0,9.219544,12.083046,15.231546,17.464249,20.615528,4.0,5.0,6.708204,9.486833,12.369317,13.152946,15.033296,15.033296,15.033296,14.035669,13.038405,11.045361,10.049876,8.062258,5.09902,2.236068,1.414214,5.0,8.062258,12.165525,14.56022,16.763055,18.384776,17.0,16.124515,13.601471,21.023796,22.472205,24.351591,24.041631,23.769729,19.646883,16.492423,12.369317,8.246211,4.242641,3.605551,5.830952,8.944272,12.083046,13.0,15.231546,14.866069,16.155494,16.763055,16.492423,15.297059,14.142136,13.0,11.045361,9.486833,6.708204
yena_fall_normal_06,0.6000000000000001,12.041595,8.602325,4.0,4.472136,7.071068,11.0,13.038405,15.033296,16.03122,17.029386,16.0,16.0,14.0,13.0,11.045361,8.246211,5.830952,5.385165,7.071068,10.440307,13.928388,16.155494,18.027756,18.973666,18.681542,16.492423,2.236068,6.324555,11.401754,15.524175,18.439089,21.377558,23.086793,23.021729,21.0,19.026298,16.124515,13.038405,10.049876,7.0,4.123106,3.162278,4.472136,7.81025,10.630146,13.453624,17.029386,18.439089,21.260292,21.260292,21.931712,19.104973,23.769729,23.259407,21.954498,20.248457,17.492856,14.422205,12.529964,10.29563,8.544004,8.062258,8.0,9.055385,10.198039,11.401754,12.369317,13.601471,14.866069,14.866069,16.155494,16.552945,17.0,16.643317,17.204651,15.620499,15.620499,14.21267,14.21267,10.630146,7.81025,5.09902,5.0,8.062258,12.083046,14.317821,16.124515,18.027756,17.804494,18.384776,16.401219,15.264338,14.764823,13.928388,11.7047,10.440307,8.544004,8.062258,7.81025,9.848858,12.649111,15.524175,18.681542,21.84033,3.0,4.242641,6.324555,9.219544,11.045361,13.0,14.0,14.035669,15.033296,14.035669,14.035669,12.041595,11.0,9.0,6.082763,3.605551,3.0,4.242641,7.615773,11.401754,14.142136,15.033296,17.0,16.03122,15.132746,13.341664,22.561028,25.495098,26.305893,26.172505,25.179357,22.022716,19.026298,15.033296,10.049876,5.385165,3.0,5.656854,8.602325,10.816654,12.529964,14.764823,14.764823,16.552945,15.231546,15.811388,14.56022,14.142136,13.0,11.045361,9.486833,6.708204
yena_fall_normal_06,0.7000000000000001,14.764823,11.18034,7.071068,5.830952,6.708204,10.198039,12.041595,14.035669,15.132746,16.124515,16.278821,15.524175,14.56022,13.601471,11.401754,9.219544,6.0,5.830952,6.708204,9.219544,12.165525,14.035669,16.124515,16.278821,16.492423,14.866069,4.123106,5.0,9.433981,13.892444,17.492856,20.0,22.022716,21.931712,21.260292,20.0,17.204651,14.422205,11.401754,7.81025,5.830952,5.0,5.0,7.211103,10.29563,13.0,16.155494,19.313208,21.540659,22.36068,22.36068,20.59126,17.0676285,17.109772,16.731018,16.5890345,15.763589,14.274577,13.019202499999999,11.3494935,10.9343275,11.109087500000001,10.848692,10.6284805,10.846694500000002,11.544152,11.972135999999999,12.2068565,13.552073,13.2006095,13.92302,14.3162335,14.1809335,14.0529595,13.706823499999999,13.5990195,12.3076015,11.115773,14.6394105,14.149082,13.689930500000001,13.011898,13.5,14.122921000000002,15.229453499999998,14.7195975,14.645554999999998,13.031129,12.013878,11.360211999999999,10.184303,10.7703295,10.586276999999999,10.7912045,10.793492,10.7585135,10.296111,11.334208,11.9330345,13.515797,14.5041025,15.704732,16.814314,16.7686025,8.0,5.0,2.0,1.0,5.0,7.071068,10.049876,11.18034,11.18034,12.369317,11.401754,11.401754,9.848858,8.602325,7.81025,6.324555,6.324555,8.485281,10.29563,13.341664,16.124515,19.0,20.099751,19.416488,17.720045,15.231546,24.413111,26.400758,28.600699,27.802878,26.400758,24.207437,20.0,15.264338,9.848858,7.0,5.656854,7.28011,10.0,12.041595,13.152946,15.297059,15.297059,15.524175,14.866069,14.317821,13.601471,12.727922,13.038405,13.0,12.369317,11.18034
yena_fall_normal_06,0.8,20.099751,15.132746,9.219544,5.0,6.082763,9.433981,13.601471,16.401219,18.027756,18.867962,19.723083,18.35756,17.888544,15.231546,13.416408,10.29563,7.81025,6.324555,7.28011,10.816654,13.601471,17.204651,19.416488,20.248457,20.124612,17.464249,7.81025,9.219544,14.0,19.026298,24.083189,27.018512,30.016662,30.066593,29.274562,27.45906,23.769729,20.615528,16.278821,13.152946,9.0,7.28011,6.403124,8.062258,11.045361,15.297059,19.646883,22.803509,26.925824,28.635642,28.635642,27.294688,21.213203,20.518285,19.849433,17.804494,14.866069,12.806248,11.313708,10.630146,10.0,9.433981,10.29563,11.18034,11.18034,11.661904,13.038405,13.038405,13.892444,13.416408,13.0,13.341664,14.142136,15.033296,17.029386,18.027756,18.027756,18.0,13.928388,10.77033,8.246211,6.082763,5.656854,8.544004,11.401754,13.601471,14.866069,16.552945,16.124515,16.401219,15.556349,14.21267,13.038405,12.529964,10.29563,9.848858,8.602325,9.219544,9.219544,11.401754,13.892444,17.492856,19.416488,20.0,10.77033,9.219544,7.071068,6.324555,5.656854,5.830952,7.28011,8.062258,10.0,10.0,11.045361,10.049876,10.198039,9.219544,9.848858,8.602325,7.81025,7.615773,7.0,6.708204,7.071068,8.062258,8.246211,8.062258,7.28011,5.830952,28.442925,30.805844,33.24154,32.572995,31.016125,27.313001,22.847319,17.464249,12.369317,8.0,7.071068,9.486833,12.165525,14.035669,16.124515,18.11077,18.11077,19.104973,18.11077,17.029386,16.03122,13.152946,13.0,12.206556,11.313708,12.206556
yena_fall_normal_06,0.9,15.033296,17.117243,17.117243,17.262677,16.492423,14.56022,11.401754,9.219544,6.082763,4.123106,4.242641,5.09902,7.071068,9.0,12.0,13.038405,14.035669,15.132746,14.317821,13.341664,12.369317,10.198039,8.062258,6.082763,4.472136,5.0,17.464249,18.35756,18.867962,17.804494,16.278821,12.727922,9.219544,5.830952,4.0,5.830952,6.403124,8.602325,9.433981,10.29563,10.816654,11.661904,11.661904,11.661904,10.816654,10.29563,8.944272,6.708204,5.09902,3.605551,6.324555,9.055385,12.165525,12.649111,14.317821,14.764823,14.764823,15.652476,15.231546,15.231546,13.928388,13.601471,13.601471,12.649111,12.649111,11.7047,12.083046,12.529964,13.892444,14.422205,15.0,15.0,15.0,14.21267,12.806248,11.313708,9.219544,6.708204,13.152946,15.297059,17.720045,18.027756,18.384776,17.0,16.124515,14.422205,12.206556,10.0,8.062258,6.708204,6.082763,6.0,7.0,8.062258,9.055385,11.0,12.041595,13.152946,14.317821,14.56022,14.866069,13.601471,13.601471,12.165525,16.278821,14.035669,12.0,11.18034,9.486833,8.944272,7.211103,7.071068,6.403124,5.830952,5.385165,5.09902,5.0,5.09902,6.324555,6.708204,5.830952,6.708204,6.708204,6.708204,6.708204,5.385165,5.09902,4.123106,4.123106,3.0,5.0,3.162278,6.324555,10.198039,15.297059,19.646883,23.4094,25.079872,25.942244,25.553865,24.413111,21.400935,18.439089,14.866069,10.630146,8.602325,5.09902,4.472136,6.403124,9.848858,12.649111,15.811388,17.720045,18.681542,18.681542,18.681542
