sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51
yena_free_activity_03,0.0,19.697716,20.615528,19.697716,18.384776,16.155494,14.317821,13.416408,11.661904,10.0,8.485281,8.062258,7.28011,8.0,9.055385,11.401754,13.601471,16.492423,18.439089,20.223748,21.023796,21.023796,20.223748,17.720045,13.928388,10.29563,5.830952,7.211103,8.602325,10.0,10.816654,12.206556,11.401754,12.206556,11.401754,11.401754,10.630146,9.899495,10.630146,10.0,10.0,10.0,9.433981,9.433981,9.848858,9.486833,9.219544,10.0,11.18034,12.649111,15.231546,16.552945,18.788294,10.440307,8.062258,8.944272,10.630146,12.806248,15.0,15.811388,15.811388,16.401219,16.401219,15.620499,15.620499,14.866069,13.453624,12.041595,10.0,8.944272,7.28011,7.28011,8.602325,12.727922,15.556349,18.384776,21.260292,22.203603,21.954498,10.440307,12.649111,15.811388,16.763055,18.439089,19.235384,18.11077,17.0,16.0,13.0,11.0,9.055385,7.28011,7.211103,7.81025,9.433981,10.77033,13.0,15.231546,17.088007,18.384776,19.697716,19.697716,19.723083,18.35756,16.124515,18.697342499999998,19.335207999999998,18.4024985,16.824175,14.714755,12.433981,10.1606415,10.3832115,10.987963,11.6579515,11.6109675,11.578471,10.972527,10.963799999999999,10.020280999999999,10.483386,10.963799999999999,11.5547115,11.517726,11.511605,10.4044405,9.4346785,7.8007355,7.637236499999999,8.330952,8.349377,11.0,9.894147,11.892672,14.096605,15.8031925,16.1727885,16.09017,15.035534,13.1245355,12.0433965,12.6681545,13.153226,12.6720295,12.166643,11.601410999999999,11.1840635,10.1394105,9.3384455,11.424707,13.5557675,15.572445,17.610959,18.7522685,18.8400215,17.837861500000002,17.094579500000002
yena_free_activity_03,0.1,12.165525,11.7047,12.529964,13.601471,14.21267,14.866069,15.556349,15.556349,16.278821,16.970563,16.278821,15.620499,15.0,14.422205,14.422205,12.529964,10.0,7.211103,5.830952,6.082763,9.848858,13.416408,17.464249,19.924859,21.213203,22.0,11.18034,10.77033,11.18034,10.29563,10.29563,10.0,10.0,9.899495,9.899495,10.630146,9.899495,9.219544,8.602325,8.062258,8.544004,9.486833,10.198039,12.041595,13.038405,15.033296,16.124515,18.248288,18.439089,17.464249,16.278821,14.142136,20.024984,21.0,21.0,20.024984,18.11077,16.124515,13.152946,11.18034,9.055385,7.0,5.385165,4.242641,5.385165,7.0,9.055385,12.165525,14.142136,17.029386,19.0,20.099751,19.416488,18.681542,17.088007,13.416408,10.29563,5.830952,12.206556,12.806248,12.806248,12.806248,10.816654,10.29563,10.440307,10.049876,11.0,12.165525,13.152946,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,13.038405,12.041595,10.198039,9.486833,8.062258,7.81025,9.219544,12.041595,15.033296,18.697342499999998,19.335207999999998,18.4024985,16.824175,14.714755,12.433981,10.1606415,10.3832115,10.987963,11.6579515,11.6109675,11.578471,10.972527,10.963799999999999,10.020280999999999,10.483386,10.963799999999999,11.5547115,11.517726,11.511605,10.4044405,9.4346785,7.8007355,7.637236499999999,8.330952,8.349377,11.0,9.894147,11.892672,14.096605,15.8031925,16.1727885,16.09017,15.035534,13.1245355,12.0433965,12.6681545,13.153226,12.6720295,12.166643,11.601410999999999,11.1840635,10.1394105,9.3384455,11.424707,13.5557675,15.572445,17.610959,18.7522685,18.8400215,17.837861500000002,17.094579500000002
yena_free_activity_03,0.2,16.278821,16.763055,17.464249,16.643317,17.492856,18.601075,18.439089,19.209373,19.849433,19.104973,19.209373,20.0,19.416488,18.867962,17.888544,15.652476,13.416408,10.29563,7.81025,8.062258,11.18034,16.492423,20.615528,24.186773,27.0,28.284271,12.806248,13.038405,12.529964,11.661904,11.401754,11.313708,11.401754,10.816654,11.661904,12.529964,11.661904,11.18034,11.18034,10.77033,11.401754,11.18034,13.038405,14.0,16.03122,18.027756,20.099751,21.213203,20.223748,20.223748,20.223748,18.11077,19.723083,21.633308,21.400935,20.615528,19.104973,16.278821,13.453624,10.630146,8.602325,5.830952,4.0,4.472136,5.0,7.615773,10.440307,13.341664,15.811388,18.027756,19.697716,20.59126,20.248457,19.209373,16.970563,12.806248,8.602325,4.242641,12.165525,12.165525,13.152946,12.165525,11.045361,10.0,9.219544,8.944272,10.0,11.313708,12.041595,13.453624,14.21267,14.21267,13.453624,14.21267,13.453624,12.727922,11.401754,10.0,7.615773,7.071068,7.28011,8.485281,11.401754,15.264338,27.658633,24.515301,21.587033,15.297059,11.18034,6.0,2.236068,2.828427,6.708204,9.848858,12.083046,14.317821,15.652476,17.464249,17.464249,17.464249,17.464249,16.552945,15.231546,12.083046,8.544004,6.082763,3.0,2.0,4.472136,6.403124,3.162278,1.0,5.0,10.29563,14.317821,18.384776,20.880613,22.803509,23.537205,22.561028,22.36068,20.223748,17.262677,14.317821,12.165525,8.246211,4.472136,2.236068,5.0,8.544004,13.341664,18.248288,22.36068,26.305893,29.427878,30.594117
yena_free_activity_03,0.30000000000000004,19.416488,20.0,18.601075,17.204651,15.811388,13.892444,12.529964,9.848858,8.544004,7.071068,7.0,7.28011,7.211103,8.485281,10.630146,12.806248,15.620499,17.691806,19.104973,20.0,19.723083,18.788294,16.763055,13.152946,9.0,5.0,7.615773,9.848858,11.18034,12.083046,13.416408,12.529964,11.661904,11.661904,10.29563,10.77033,9.486833,9.486833,9.219544,9.219544,9.055385,10.049876,9.0,9.0,9.055385,9.486833,9.433981,10.630146,12.727922,15.0,16.643317,17.204651,13.038405,8.544004,6.0,6.403124,8.944272,10.77033,13.341664,14.56022,15.524175,15.524175,15.811388,15.811388,14.866069,13.928388,13.928388,11.18034,8.944272,5.385165,2.236068,5.0,9.219544,13.601471,18.439089,21.095023,23.0,23.194827,10.29563,12.083046,15.231546,17.088007,19.313208,19.697716,20.124612,19.723083,18.35756,16.643317,13.892444,11.18034,8.246211,7.0,6.324555,7.81025,9.219544,12.206556,13.892444,17.0,19.235384,20.59126,21.954498,22.472205,21.633308,18.867962,8.944272,13.038405,15.811388,18.027756,18.867962,18.867962,18.867962,17.204651,15.811388,13.601471,11.401754,9.219544,6.403124,4.472136,2.0,2.236068,5.0,8.062258,11.18034,13.341664,14.317821,15.297059,15.297059,14.317821,13.152946,11.18034,17.0,19.026298,19.104973,18.248288,17.464249,14.56022,11.401754,7.28011,4.0,1.0,4.242641,7.071068,10.0,12.041595,14.21267,15.620499,16.401219,17.804494,19.209373,19.209373,18.601075,16.401219,13.601471,10.0,5.830952,2.236068
yena_free_activity_03,0.4,19.466549999999998,18.973002,18.316532,17.6452165,16.1400045,14.591944999999999,12.985394,11.404812,9.949366999999999,8.972135999999999,7.936254,7.245606499999999,7.413437999999999,7.936254,10.9310075,12.2857795,15.342886,18.17878,19.676715,20.74202,21.046908000000002,19.656604,17.241037499999997,13.764929500000001,10.6506245,5.9568575,7.8390155,9.949366999999999,10.319173,11.401754,12.649111,12.883498,12.509214,12.0370085,10.9210305,9.842436,9.271109,8.972135999999999,8.828855,9.219544,9.219544,9.693164,9.693164,9.8741765,9.8648055,9.1891265,10.5352265,11.2235575,13.446221999999999,14.400246,16.338729999999998,18.316532,10.630146,8.062258,6.0,7.211103,10.630146,12.806248,14.422205,15.811388,16.643317,16.401219,16.401219,16.401219,16.401219,15.620499,14.21267,12.041595,9.219544,5.830952,3.0,5.385165,9.219544,14.142136,18.439089,21.18962,22.847319,23.323808,9.433981,12.041595,13.453624,16.278821,17.691806,19.849433,19.209373,18.027756,16.643317,15.264338,12.529964,10.0,7.071068,5.385165,6.0,6.708204,8.602325,11.401754,14.21267,16.278821,19.104973,20.518285,20.615528,21.400935,20.0,18.601075,28.460499,24.351591,20.248457,15.811388,10.440307,6.082763,2.828427,3.605551,7.071068,10.0,12.806248,14.422205,15.811388,18.027756,18.867962,18.867962,18.027756,17.204651,15.811388,13.038405,9.433981,5.830952,3.162278,1.0,4.472136,6.403124,3.162278,5.09902,9.219544,14.142136,18.11077,21.023796,23.0,23.0,23.021729,22.022716,20.024984,17.029386,14.035669,11.045361,8.0,5.0,1.414214,3.605551,8.544004,12.649111,17.720045,22.803509,26.248809,29.12044,30.364453,16.101358
yena_free_activity_03,0.5,15.033296,14.317821,13.601471,15.231546,13.416408,14.422205,14.21267,13.601471,15.0,15.620499,15.811388,15.811388,16.643317,15.264338,15.652476,13.928388,12.649111,9.486833,5.830952,5.385165,8.062258,12.649111,17.262677,21.095023,23.086793,23.537205,10.29563,10.29563,9.433981,8.602325,8.602325,8.485281,8.602325,9.433981,10.29563,10.29563,9.433981,10.29563,9.433981,8.944272,8.544004,9.486833,10.198039,12.041595,12.041595,14.035669,15.033296,17.117243,18.248288,17.262677,16.278821,16.124515,11.401754,8.544004,7.071068,7.81025,10.816654,13.416408,14.764823,16.552945,16.552945,16.552945,17.0,17.0,16.124515,16.124515,13.892444,12.206556,9.433981,6.708204,3.162278,5.09902,10.049876,15.033296,18.0,22.090722,23.345235,24.041631,9.899495,12.041595,14.866069,17.029386,18.384776,19.79899,19.849433,18.439089,17.204651,15.0,12.206556,9.219544,7.211103,5.09902,6.082763,7.211103,9.219544,12.041595,14.866069,17.029386,19.104973,21.260292,21.260292,21.213203,21.213203,18.384776,27.730849,25.495098,21.023796,16.552945,11.18034,5.830952,2.236068,2.0,6.082763,9.219544,11.401754,13.601471,14.866069,15.811388,17.720045,17.720045,16.763055,15.811388,13.601471,11.7047,8.544004,5.0,2.236068,2.236068,5.09902,7.071068,4.242641,1.414214,5.09902,8.944272,13.038405,16.401219,19.849433,21.931712,22.627417,21.931712,20.518285,19.104973,16.278821,13.453624,9.899495,7.81025,4.472136,2.236068,5.0,8.544004,14.317821,17.888544,22.36068,26.832816,29.068884,29.966648
yena_free_activity_03,0.6000000000000001,17.0,17.464249,17.088007,16.492423,16.278821,16.124515,17.0,17.029386,17.029386,17.117243,18.027756,18.027756,18.0,19.026298,18.248288,16.492423,14.56022,11.401754,8.062258,5.830952,8.944272,13.928388,19.313208,22.825424,25.0,27.586228,12.041595,11.045361,11.045361,11.0,10.049876,10.198039,10.440307,10.77033,11.18034,12.529964,11.18034,11.18034,11.18034,10.816654,10.816654,10.630146,11.313708,12.806248,14.866069,16.401219,18.439089,19.849433,18.439089,20.518285,19.849433,18.439089,20.223748,22.36068,21.587033,20.615528,18.681542,15.811388,13.601471,10.440307,7.071068,5.0,3.162278,3.162278,5.09902,7.28011,10.77033,13.0,16.155494,18.027756,19.646883,20.396078,20.099751,18.0,16.124515,11.401754,7.28011,3.162278,11.045361,11.18034,11.045361,10.049876,9.055385,7.28011,7.211103,9.219544,10.29563,12.083046,13.416408,14.317821,14.317821,14.764823,13.416408,13.416408,12.529964,11.18034,9.848858,8.246211,7.0,6.324555,7.211103,9.486833,13.152946,16.124515,26.248809,24.083189,19.849433,15.620499,10.630146,5.656854,2.0,3.0,5.385165,8.944272,11.18034,12.529964,13.892444,16.124515,16.124515,16.124515,16.124515,14.764823,13.416408,10.29563,8.062258,5.0,2.236068,2.236068,5.09902,7.0,3.605551,1.414214,5.0,9.055385,13.152946,16.492423,18.973666,20.248457,21.540659,21.023796,20.124612,17.888544,15.652476,13.416408,9.848858,7.28011,4.0,2.236068,4.123106,8.602325,12.806248,17.691806,21.213203,24.758837,27.586228,28.319605
yena_free_activity_03,0.7000000000000001,17.492856,18.027756,17.804494,17.691806,17.691806,17.691806,17.804494,17.204651,18.027756,17.492856,18.027756,18.601075,19.209373,19.849433,18.384776,17.029386,15.0,12.806248,8.485281,7.071068,8.544004,13.892444,18.35756,22.472205,25.96151,27.166155,12.529964,11.661904,11.661904,10.816654,9.848858,10.440307,10.198039,10.049876,11.0,12.0,12.0,12.0,11.0,11.0,11.045361,12.165525,12.369317,13.601471,15.524175,16.763055,17.720045,19.646883,19.646883,19.646883,18.681542,18.027756,9.7434165,6.841616999999999,5.5210095,7.071068,8.7996945,11.291046999999999,13.0657175,14.226332,15.2881055,15.2881055,15.2881055,14.708309499999999,14.708309499999999,13.8671145,12.712354999999999,10.514599,8.154234500000001,5.1925825,3.162278,5.415476,9.6162355,14.329452,18.2006095,20.788589,22.112412,22.349089,9.531129,11.5990195,13.599410500000001,15.585761,17.5622575,18.028102,18.5645685,17.124144,15.649173000000001,13.669327,11.1077005,9.024937999999999,6.04951,4.813903,5.064495,6.8078865,8.145306000000001,10.6217,12.601965,15.1745205,16.6624075,18.1444875,18.6438305,18.681214,18.111108,15.1333255,27.202941,23.086793,20.248457,15.811388,11.401754,6.082763,3.0,2.236068,5.656854,7.81025,10.816654,11.661904,13.038405,14.764823,15.264338,16.124515,15.264338,14.422205,13.038405,9.433981,8.062258,4.472136,2.0,2.236068,5.0,7.211103,4.0,1.414214,3.605551,8.062258,11.7047,15.524175,18.439089,19.416488,20.223748,20.099751,19.026298,17.029386,15.033296,12.041595,9.055385,7.28011,3.605551,2.0,5.0,8.544004,12.649111,17.720045,20.615528,25.0,26.925824,29.12044
yena_free_activity_03,0.8,17.464249,17.720045,17.464249,17.888544,17.888544,17.492856,18.027756,17.204651,17.804494,18.439089,17.804494,18.601075,19.416488,18.867962,19.235384,16.552945,15.811388,12.649111,8.944272,7.211103,9.0,14.317821,19.235384,23.021729,26.07681,27.658633,12.727922,12.041595,11.401754,10.630146,9.899495,9.433981,9.848858,9.848858,11.401754,11.7047,11.7047,11.7047,11.7047,11.401754,11.18034,12.041595,12.0,14.0,15.0,17.0,18.027756,19.026298,20.024984,19.026298,19.026298,18.027756,21.260292,22.022716,21.400935,20.0,18.027756,15.264338,13.038405,10.0,7.81025,6.403124,5.09902,5.09902,6.403124,8.485281,11.401754,13.601471,16.401219,19.104973,20.518285,20.615528,20.808652,19.235384,16.552945,12.649111,8.544004,4.472136,11.401754,11.7047,10.77033,9.486833,9.055385,8.062258,8.544004,9.433981,10.630146,12.041595,13.453624,14.21267,14.21267,13.601471,13.601471,13.601471,12.206556,10.816654,10.0,8.485281,6.708204,7.071068,7.615773,10.816654,13.453624,16.278821,25.0,22.803509,19.209373,15.0,10.0,5.385165,2.236068,3.162278,5.830952,9.219544,12.041595,13.453624,14.866069,16.278821,17.691806,17.691806,17.691806,16.278821,14.866069,12.041595,9.219544,5.656854,2.236068,1.0,3.162278,5.385165,3.162278,1.414214,5.0,9.055385,13.152946,16.492423,19.924859,21.18962,21.540659,21.931712,20.124612,18.788294,15.652476,13.416408,11.18034,7.615773,4.123106,1.414214,3.605551,7.81025,11.401754,15.811388,20.808652,24.207437,26.400758,27.202941
yena_free_activity_03,0.9,17.029386,18.439089,16.278821,15.556349,14.142136,12.727922,12.041595,10.0,9.433981,8.062258,6.708204,6.0,6.082763,7.615773,9.433981,11.661904,14.422205,16.124515,17.888544,18.973666,19.646883,18.11077,16.0,13.152946,9.486833,4.472136,8.062258,9.433981,10.816654,11.401754,12.806248,12.041595,12.041595,11.313708,10.630146,10.0,8.602325,8.062258,8.544004,8.544004,9.219544,9.219544,9.219544,9.055385,9.0,9.055385,9.486833,11.18034,12.206556,13.601471,15.620499,16.401219,19.849433,20.518285,20.518285,18.439089,17.029386,15.0,12.041595,9.899495,7.071068,5.830952,5.0,5.385165,6.403124,8.485281,10.630146,13.453624,15.556349,17.691806,19.209373,20.248457,20.59126,18.384776,15.811388,13.341664,9.486833,5.830952,11.7047,12.649111,12.369317,11.401754,10.77033,10.29563,9.219544,10.0,10.816654,11.18034,13.416408,13.416408,13.892444,13.892444,13.601471,13.601471,12.806248,11.401754,10.0,8.602325,7.28011,7.0,7.615773,9.219544,12.041595,15.0,24.839485,22.022716,18.439089,13.601471,9.433981,5.385165,2.236068,3.162278,5.830952,8.602325,11.401754,12.806248,14.21267,15.620499,17.029386,17.029386,16.278821,15.620499,14.21267,11.401754,8.485281,5.656854,2.236068,1.414214,3.162278,5.385165,3.162278,1.414214,5.0,9.055385,13.341664,16.763055,18.973666,20.248457,21.540659,21.023796,20.124612,17.888544,15.652476,13.416408,10.29563,7.615773,4.123106,1.414214,3.605551,7.071068,11.401754,16.401219,20.0,22.803509,26.400758,26.400758
