sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
yena_free_activity_normal_01,0.0,13.601471,15.811388,15.811388,14.866069,13.601471,13.152946,12.0,12.041595,12.369317,12.649111,13.416408,14.764823,15.264338,16.643317,17.204651,18.601075,19.209373,19.209373,18.439089,17.691806,16.643317,15.811388,18.11077,21.023796,23.086793,25.079872,13.892444,13.601471,13.152946,12.041595,10.049876,7.28011,3.605551,1.0,3.162278,6.403124,9.219544,12.206556,14.317821,15.811388,17.117243,19.0,18.248288,18.681542,18.384776,16.124515,13.601471,10.630146,6.403124,3.0,4.123106,8.246211,22.36068,21.587033,19.646883,15.811388,12.649111,9.219544,7.0,5.0,5.830952,8.246211,10.198039,13.152946,15.297059,17.464249,18.973666,19.313208,21.023796,20.248457,19.209373,16.278821,12.727922,8.485281,5.385165,4.472136,7.071068,10.0,10.049876,11.045361,13.0,14.0,15.0,15.033296,16.03122,16.03122,16.0,16.03122,15.0,14.0,13.0,11.0,9.055385,8.062258,7.615773,6.403124,7.211103,9.486833,11.18034,14.142136,16.03122,19.026298,21.023796,22.090722,23.021729,22.472205,20.59126,16.552945,13.0,8.544004,5.09902,1.0,3.605551,7.615773,10.77033,13.601471,16.492423,19.416488,21.377558,22.203603,23.086793,22.022716,20.0,17.029386,12.041595,6.0,1.414214,6.403124,12.206556,17.804494,8.944272,7.071068,7.615773,9.219544,11.401754,14.764823,17.888544,18.788294,20.124612,20.124612,19.723083,18.35756,15.264338,13.892444,11.18034,8.944272,6.082763,4.0,4.242641,5.0,8.246211,10.77033,14.317821,17.0,19.723083,22.472205
yena_free_activity_normal_01,0.1,11.661904,14.422205,15.0,13.601471,13.601471,12.529964,10.77033,10.198039,10.049876,10.440307,11.18034,11.661904,13.601471,15.620499,16.970563,18.384776,19.104973,19.104973,17.804494,15.811388,13.928388,13.038405,13.341664,16.124515,19.209373,22.022716,9.219544,10.0,9.848858,10.049876,9.055385,8.246211,6.403124,5.385165,5.09902,5.830952,7.615773,9.055385,10.049876,11.401754,13.038405,14.21267,15.556349,15.0,15.652476,14.866069,13.341664,10.198039,7.0,3.0,1.0,5.830952,22.022716,20.099751,17.262677,15.132746,11.18034,8.0,6.324555,5.0,6.324555,9.055385,11.045361,13.038405,15.132746,17.262677,19.416488,19.924859,20.615528,19.235384,18.027756,15.811388,12.206556,8.062258,6.082763,5.830952,9.219544,11.401754,9.0,10.049876,11.045361,12.041595,13.152946,13.152946,14.142136,14.142136,14.317821,13.152946,13.152946,12.165525,10.049876,9.055385,8.246211,7.615773,6.403124,6.403124,6.708204,8.246211,10.0,13.038405,16.03122,18.027756,20.024984,22.022716,23.021729,22.472205,20.59126,16.552945,13.0,8.544004,5.09902,1.0,3.605551,7.615773,10.77033,13.601471,16.492423,19.416488,21.377558,22.203603,23.086793,22.022716,20.0,17.029386,12.041595,6.0,1.414214,6.403124,12.206556,17.804494,8.944272,7.071068,7.615773,9.219544,11.401754,14.764823,17.888544,18.788294,20.124612,20.124612,19.723083,18.35756,15.264338,13.892444,11.18034,8.944272,6.082763,4.0,4.242641,5.0,8.246211,10.77033,14.317821,17.0,19.723083,22.472205
yena_free_activity_normal_01,0.2,8.544004,6.708204,5.0,5.0,6.324555,8.062258,10.0,10.630146,10.630146,10.630146,10.630146,8.602325,8.944272,8.246211,8.062258,8.944272,11.313708,15.620499,19.416488,23.021729,26.627054,29.410882,30.805844,29.206164,27.658633,24.083189,6.082763,6.0,5.09902,4.472136,4.242641,4.123106,4.123106,5.656854,6.403124,7.615773,8.246211,9.055385,9.0,9.055385,8.246211,7.28011,5.385165,3.605551,2.236068,1.414214,3.605551,6.403124,9.433981,11.18034,12.083046,11.7047,11.401754,13.892444,14.422205,15.620499,17.804494,18.601075,18.027756,17.492856,17.0,14.764823,14.317821,12.083046,10.29563,8.062258,6.403124,6.324555,8.0,11.045361,14.142136,17.117243,20.024984,22.022716,22.203603,21.587033,20.248457,17.888544,12.0,12.0,12.041595,11.045361,11.401754,10.440307,9.848858,8.944272,9.433981,9.219544,9.219544,9.219544,10.0,10.816654,11.661904,11.661904,12.529964,12.529964,13.892444,13.416408,14.317821,14.317821,13.0,13.601471,12.369317,11.18034,2.5098825000000002,2.1180339999999998,5.1515439999999995,7.9412175000000005,10.018099,11.804155000000002,12.5016125,12.985394,12.985394,12.104001,10.9210305,8.881774,7.7130115,5.328427,2.9953525,2.236068,5.09902,8.9998285,12.347744500000001,16.848537,19.9624295,22.4350175,23.9709915,24.7285075,23.92193,21.415684,13.2274065,15.247942,16.4496975,16.744613,17.060632,15.405694,14.386444999999998,11.8415125,9.326100499999999,7.8078865,5.6925825,5.415476,6.085044,7.342544,8.78787,10.324486,11.4723705,12.2090625,12.8597875,13.435029,13.880609,14.226811999999999,13.903124,12.6224805,11.491089500000001,8.2153235
yena_free_activity_normal_01,0.30000000000000004,13.341664,11.18034,9.0,8.246211,8.062258,7.81025,8.602325,9.433981,8.944272,9.848858,9.486833,9.219544,10.049876,10.0,11.18034,11.7047,13.416408,15.264338,18.027756,20.248457,22.472205,23.323808,23.706539,22.36068,19.697716,16.552945,5.0,4.242641,3.605551,2.0,1.414214,3.162278,5.0,6.403124,8.062258,9.486833,10.198039,10.0,10.049876,9.219544,8.544004,6.708204,4.472136,3.162278,1.414214,4.0,6.082763,10.049876,13.0,15.033296,15.132746,15.297059,22.203603,21.400935,18.439089,15.556349,13.453624,10.0,7.615773,6.0,6.324555,8.602325,10.816654,12.206556,14.422205,16.124515,17.888544,18.973666,19.646883,19.235384,17.029386,15.0,12.0,9.055385,6.708204,7.211103,8.544004,10.440307,10.049876,12.041595,14.0,15.0,15.0,15.033296,15.0,15.0,15.033296,14.0,14.035669,13.038405,11.0,10.0,9.055385,9.055385,8.246211,8.062258,8.602325,9.899495,11.401754,13.892444,16.124515,17.888544,20.124612,21.954498,2.828427,2.0,5.09902,8.246211,10.440307,12.369317,14.317821,14.317821,14.317821,13.341664,12.369317,11.401754,9.219544,7.071068,4.0,1.414214,2.828427,7.615773,12.649111,16.492423,20.396078,24.186773,26.019224,27.018512,26.172505,23.345235,14.422205,15.811388,17.204651,17.804494,17.029386,16.278821,14.866069,12.806248,10.29563,8.544004,7.0,6.324555,7.071068,8.062258,8.944272,10.440307,11.18034,12.041595,13.038405,14.035669,14.142136,14.317821,13.601471,12.649111,11.7047,8.944272
yena_free_activity_normal_01,0.4,13.152946,11.045361,8.0,5.385165,5.0,6.082763,7.071068,7.28011,8.544004,8.544004,8.062258,7.211103,7.071068,7.211103,7.071068,7.28011,9.433981,12.041595,15.620499,19.209373,22.803509,25.0,26.248809,25.495098,24.083189,20.518285,7.28011,7.615773,7.211103,5.656854,5.385165,5.0,5.0,5.830952,8.246211,9.0,10.049876,11.401754,10.77033,11.18034,10.0,9.219544,7.071068,5.656854,2.828427,1.0,4.123106,8.062258,12.041595,14.0,16.0,16.124515,10.0234485,11.721674499999999,13.8857225,15.540262,16.999433,17.3747155,17.7342375,16.831948,16.464315499999998,15.226712500000001,13.764982,12.09017,10.2169905,8.133244,6.555531,6.201562,8.154234500000001,10.77033,14.244304,17.720045,19.8324725,21.5724575,21.988607000000002,21.613699500000003,19.8768345,17.0921145,12.8487865,12.350154499999999,11.4059625,11.852350000000001,11.721674499999999,11.2235575,11.18034,10.1239575,9.768354500000001,8.972135999999999,8.828855,8.8524125,8.881774,9.472135999999999,10.556142,10.556142,11.239279,12.2200795,12.9223265,13.673034,14.052557,14.1412385,13.371317,12.768335,12.064838,10.725815,24.839485,23.430749,21.400935,18.027756,14.764823,11.18034,6.324555,3.162278,4.0,6.708204,9.219544,12.727922,14.866069,17.804494,20.0,21.633308,22.472205,23.259407,21.540659,18.973666,14.317821,9.055385,3.162278,4.472136,10.049876,16.0,9.219544,9.848858,10.630146,13.038405,15.231546,18.027756,20.615528,21.587033,23.537205,23.537205,22.561028,21.377558,19.416488,17.262677,15.132746,13.038405,10.049876,8.544004,6.403124,7.28011,9.055385,11.7047,14.764823,18.027756,21.400935,23.430749
yena_free_activity_normal_01,0.5,15.620499,12.041595,9.219544,5.0,3.162278,4.472136,6.082763,8.062258,10.0,11.0,11.045361,10.049876,9.219544,8.246211,5.830952,5.385165,6.324555,10.0,15.556349,21.260292,25.495098,29.732137,31.827661,32.526912,31.112698,27.586228,10.29563,11.18034,11.18034,12.083046,10.77033,9.486833,8.246211,6.0,3.605551,3.162278,4.472136,7.071068,8.602325,8.944272,9.848858,9.486833,8.246211,7.28011,5.09902,1.414214,2.828427,6.403124,10.0,12.806248,15.620499,17.691806,8.602325,10.440307,13.038405,15.033296,17.029386,17.029386,18.11077,18.248288,17.464249,15.524175,14.866069,12.649111,10.440307,8.246211,7.0,5.830952,7.81025,10.29563,14.317821,17.0,20.248457,22.203603,22.671568,22.671568,21.400935,18.867962,11.7047,10.77033,11.18034,11.18034,11.661904,11.661904,11.401754,11.401754,9.219544,9.219544,8.602325,7.615773,7.28011,8.062258,9.0,10.0,11.045361,12.041595,12.165525,13.152946,14.142136,14.142136,14.142136,13.341664,11.401754,10.77033,21.213203,19.79899,17.691806,15.620499,12.206556,8.602325,4.472136,1.0,2.828427,5.0,8.062258,10.29563,12.529964,15.652476,16.155494,18.027756,18.973666,18.681542,17.262677,15.033296,12.0,8.062258,3.162278,2.236068,8.062258,12.369317,8.544004,8.602325,8.602325,9.848858,11.18034,13.038405,15.0,17.029386,18.027756,19.026298,18.027756,17.0,16.0,14.0,12.0,10.049876,8.246211,5.385165,5.0,5.0,6.708204,10.0,12.041595,15.556349,17.691806,20.518285
yena_free_activity_normal_01,0.6000000000000001,8.062258,11.045361,12.165525,12.165525,12.369317,10.198039,8.246211,5.09902,3.162278,3.0,5.09902,8.544004,11.7047,14.866069,17.720045,20.615528,22.561028,23.345235,23.194827,21.095023,18.248288,14.56022,12.206556,13.038405,15.524175,19.235384,4.123106,2.828427,2.0,3.605551,5.830952,6.324555,8.0,8.062258,8.544004,7.615773,6.403124,5.0,2.236068,1.414214,3.162278,5.656854,8.062258,10.77033,13.341664,14.035669,15.0,14.142136,13.341664,10.440307,7.071068,4.472136,9.486833,10.816654,12.727922,15.620499,17.029386,17.691806,18.384776,17.691806,17.804494,16.401219,14.422205,12.206556,10.816654,8.602325,5.656854,5.09902,6.708204,9.433981,13.601471,16.643317,19.235384,20.615528,22.135944,21.587033,19.235384,17.029386,12.369317,12.369317,13.341664,13.152946,13.152946,13.038405,13.038405,12.0,11.045361,10.198039,8.544004,8.944272,8.602325,9.219544,10.630146,11.401754,12.206556,13.038405,14.422205,15.264338,16.124515,15.264338,15.264338,14.764823,13.416408,10.440307,25.495098,24.515301,22.203603,18.11077,14.035669,10.0,5.0,1.414214,4.123106,8.062258,11.045361,14.0,17.0,20.024984,22.090722,23.194827,24.33105,23.537205,22.803509,19.313208,15.231546,10.29563,3.605551,3.162278,9.433981,14.866069,9.848858,9.055385,10.198039,11.18034,14.21267,16.970563,19.104973,21.260292,22.803509,23.430749,22.671568,21.260292,18.439089,17.029386,14.21267,12.206556,9.433981,6.324555,5.09902,5.830952,8.062258,12.041595,16.124515,19.416488,22.561028,25.70992
yena_free_activity_normal_01,0.7000000000000001,7.671184,10.050373,11.543478,12.5972705,12.10356,11.045361,9.0276925,8.062258,6.5163795,6.363961,7.6366805,9.5082705,11.423575,13.3009075,15.877856999999999,17.502443,20.107959,20.322816000000003,20.322816000000003,19.8602505,18.486833,17.18996,15.905694,16.703186000000002,18.24005,20.195124999999997,3.3839145000000004,3.1795869999999997,4.1925825,5.6671045,7.525248,7.673698,9.2512825,9.1480435,8.5,7.6586395000000005,6.269578,4.242641,2.5,2.1180339999999998,4.7360679999999995,7.7130115,9.924845000000001,12.54,14.561995,15.679246,16.320709,16.066373,14.516648,11.582762500000001,9.024937999999999,5.733964,21.377558,22.090722,19.026298,16.0,13.0,9.0,6.324555,4.242641,5.0,8.246211,10.440307,12.369317,15.297059,17.117243,19.026298,19.026298,21.095023,19.416488,18.027756,16.155494,13.0,9.486833,6.0,5.0,6.708204,9.848858,10.0,12.0,13.038405,13.038405,13.152946,13.152946,14.317821,14.56022,14.56022,14.866069,13.601471,13.601471,12.369317,11.401754,9.486833,8.544004,7.615773,6.403124,6.403124,7.071068,8.0,11.18034,13.601471,16.763055,19.924859,20.880613,25.495098,24.758837,22.627417,19.104973,14.866069,10.0,5.830952,2.0,3.605551,7.071068,9.899495,13.453624,17.029386,19.209373,21.400935,23.021729,23.853721,23.706539,21.931712,19.313208,15.524175,10.198039,4.123106,3.605551,9.486833,15.132746,9.219544,8.062258,8.944272,9.899495,13.038405,15.231546,18.027756,19.924859,20.880613,21.84033,19.924859,19.646883,17.720045,15.524175,13.341664,11.18034,9.0,6.082763,5.0,5.0,7.615773,11.401754,14.866069,18.384776,21.931712,24.083189
yena_free_activity_normal_01,0.8,4.123106,7.211103,8.602325,9.219544,10.0,9.219544,7.81025,6.708204,7.071068,7.0,8.246211,9.848858,11.661904,12.806248,15.620499,16.278821,19.104973,19.79899,19.79899,19.849433,18.601075,17.888544,16.492423,17.029386,19.104973,21.587033,7.211103,7.211103,7.0,7.28011,8.602325,9.219544,9.848858,10.198039,10.049876,9.486833,7.81025,5.830952,5.0,5.0,5.385165,8.062258,10.440307,12.206556,14.142136,15.811388,16.124515,16.155494,14.56022,12.165525,10.049876,5.385165,23.600847,21.931712,19.79899,16.278821,13.453624,9.219544,6.708204,5.0,5.830952,7.81025,11.401754,12.806248,15.620499,18.384776,19.104973,20.615528,21.095023,20.59126,18.384776,15.811388,12.649111,9.848858,6.403124,5.09902,7.071068,9.486833,9.899495,10.630146,11.401754,12.806248,13.038405,13.892444,13.892444,14.764823,14.764823,14.764823,13.416408,13.416408,12.529964,10.816654,10.29563,8.544004,7.071068,6.082763,7.28011,7.81025,10.630146,12.206556,14.764823,18.35756,21.095023,22.472205,1.414214,5.09902,7.615773,10.29563,12.529964,13.892444,14.764823,14.764823,13.892444,12.529964,11.18034,10.29563,7.615773,5.385165,3.162278,1.414214,4.242641,7.81025,11.661904,15.652476,18.788294,21.540659,23.086793,22.803509,22.36068,20.099751,13.416408,14.317821,15.231546,16.155494,15.811388,13.928388,12.369317,10.198039,8.0,6.082763,5.0,5.385165,6.0,7.071068,8.246211,9.848858,11.18034,12.529964,13.038405,13.601471,14.21267,14.21267,13.453624,11.313708,9.219544,5.830952
yena_free_activity_normal_01,0.9,12.649111,11.18034,9.433981,7.071068,5.830952,5.09902,5.09902,5.385165,5.656854,5.830952,6.324555,7.0,7.071068,7.615773,9.433981,10.630146,13.038405,14.764823,16.763055,19.646883,21.377558,22.203603,23.086793,22.022716,20.0,18.027756,6.082763,6.708204,8.485281,10.0,11.18034,12.369317,13.038405,14.035669,14.317821,13.928388,13.892444,13.601471,11.313708,10.0,8.944272,7.28011,5.09902,4.123106,2.236068,4.123106,6.403124,8.602325,10.29563,13.0,13.928388,13.601471,23.086793,21.023796,18.0,16.0,11.0,7.071068,5.0,5.09902,8.062258,10.440307,13.341664,15.524175,17.262677,19.104973,21.023796,22.022716,22.090722,21.377558,18.681542,15.811388,12.369317,8.062258,6.708204,7.211103,9.848858,13.0,8.246211,10.049876,11.0,12.0,13.038405,14.142136,15.132746,15.132746,15.132746,15.132746,14.035669,14.035669,11.045361,10.049876,8.062258,7.28011,5.385165,5.0,5.09902,7.0,10.198039,12.369317,15.811388,18.973666,20.880613,23.537205,3.0,4.472136,7.071068,10.0,11.0,12.0,13.0,13.0,13.0,12.0,11.0,9.055385,7.071068,5.09902,2.236068,2.236068,5.385165,8.246211,13.038405,16.03122,20.0,22.090722,24.33105,24.515301,23.086793,21.18962,12.041595,12.806248,14.21267,13.601471,13.601471,12.206556,10.816654,8.944272,7.28011,6.0,5.0,5.830952,7.071068,8.062258,10.0,11.045361,12.165525,14.142136,14.317821,14.56022,14.866069,14.866069,13.928388,12.083046,10.29563,7.211103
