sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
yena_pick_up_normal_01,0.0,26.627054,26.41969,24.596748,20.615528,18.027756,13.928388,9.848858,7.211103,5.385165,6.0,9.219544,12.649111,14.56022,17.464249,20.396078,22.203603,24.020824,24.0,23.021729,22.090722,18.11077,15.033296,11.045361,7.615773,7.211103,9.055385,12.083046,12.083046,10.77033,8.544004,7.0,5.385165,7.071068,8.944272,10.77033,13.0,13.928388,13.928388,14.764823,14.764823,13.892444,13.038405,10.816654,9.433981,8.062258,7.071068,8.246211,10.0,13.453624,17.691806,21.260292,23.430749,15.652476,18.35756,20.59126,19.723083,20.59126,18.35756,17.0,13.416408,11.18034,8.062258,5.385165,2.236068,1.414214,4.472136,7.615773,10.77033,14.56022,17.262677,19.026298,20.0,20.099751,18.439089,16.763055,13.892444,11.401754,8.062258,8.602325,12.206556,14.422205,16.401219,17.204651,17.804494,16.401219,14.21267,12.206556,8.544004,8.062258,6.324555,7.211103,7.211103,8.944272,10.440307,11.401754,12.165525,13.152946,13.038405,13.0,11.18034,9.486833,7.81025,7.615773,9.055385,2.699173,4.9497475,8.109049,11.0511055,13.8297425,14.985148500000001,16.03856,16.03856,16.03856,15.106348,14.183147,12.8928625,10.6891895,7.912056999999999,5.1925825,2.5322475,3.817207,7.8366965,12.2200795,16.1821665,20.1693055,22.440155500000003,23.650519,23.120967,22.836574499999998,19.9353155,10.3580745,11.401754,12.628943,12.903124,13.4833965,12.449640500000001,12.1242855,10.7201535,9.056066999999999,7.772002,6.0466845,5.328427,4.4953579999999995,4.5,4.9286505,6.0299890000000005,7.211103,8.944272,9.96357,11.7748285,13.735383500000001,14.5842075,14.5842075,13.590270499999999,11.605443000000001,8.7328775
yena_pick_up_normal_01,0.1,6.082763,6.403124,8.602325,11.18034,13.416408,14.764823,16.124515,15.264338,16.401219,14.866069,14.142136,12.041595,11.401754,9.219544,7.071068,5.0,4.123106,6.403124,10.0,13.038405,16.124515,18.027756,19.416488,20.0,19.209373,17.029386,5.830952,8.544004,9.486833,11.7047,12.649111,13.928388,13.928388,13.0,10.77033,9.486833,7.071068,6.0,5.385165,5.0,6.403124,8.062258,10.29563,12.083046,13.416408,14.764823,15.264338,15.811388,15.811388,15.0,12.806248,10.816654,18.0,20.024984,22.022716,22.090722,21.023796,19.026298,16.03122,13.038405,10.0,7.0,4.0,1.0,3.162278,7.071068,10.198039,13.152946,16.03122,19.0,21.095023,21.377558,20.615528,18.973666,17.0,13.601471,10.630146,7.615773,9.055385,12.041595,14.035669,15.033296,16.124515,15.033296,14.0,12.0,9.219544,7.615773,6.403124,6.324555,8.0,9.219544,9.486833,11.18034,11.661904,12.206556,12.806248,11.313708,10.630146,8.944272,7.28011,5.385165,7.211103,11.18034,2.699173,4.9497475,8.109049,11.0511055,13.8297425,14.985148500000001,16.03856,16.03856,16.03856,15.106348,14.183147,12.8928625,10.6891895,7.912056999999999,5.1925825,2.5322475,3.817207,7.8366965,12.2200795,16.1821665,20.1693055,22.440155500000003,23.650519,23.120967,22.836574499999998,19.9353155,10.3580745,11.401754,12.628943,12.903124,13.4833965,12.449640500000001,12.1242855,10.7201535,9.056066999999999,7.772002,6.0466845,5.328427,4.4953579999999995,4.5,4.9286505,6.0299890000000005,7.211103,8.944272,9.96357,11.7748285,13.735383500000001,14.5842075,14.5842075,13.590270499999999,11.605443000000001,8.7328775
yena_pick_up_normal_01,0.2,6.708204,7.0,10.198039,12.083046,14.317821,15.652476,17.088007,16.763055,17.262677,16.124515,15.033296,14.0,12.0,11.0,8.0,6.324555,4.242641,6.082763,9.055385,11.401754,14.56022,17.720045,18.681542,19.416488,18.248288,17.117243,5.0,7.211103,9.219544,11.401754,12.041595,12.806248,12.806248,11.401754,9.899495,8.485281,7.211103,6.708204,5.0,6.324555,6.708204,9.433981,10.816654,11.661904,14.422205,14.764823,16.552945,16.552945,16.155494,15.231546,13.0,11.18034,16.970563,19.79899,20.518285,21.260292,19.849433,17.691806,15.556349,12.727922,9.899495,6.403124,3.605551,1.0,2.236068,5.830952,9.219544,12.041595,15.556349,17.029386,18.601075,19.235384,18.788294,18.027756,15.297059,12.0,9.219544,6.403124,8.602325,10.816654,14.422205,15.0,15.811388,15.0,14.422205,11.661904,9.848858,8.062258,6.324555,6.403124,7.211103,8.544004,10.198039,11.18034,11.045361,12.0,12.041595,12.165525,11.401754,9.848858,7.211103,6.324555,8.246211,10.816654,23.194827,23.086793,21.095023,18.027756,14.0,10.0,6.082763,3.605551,4.472136,8.485281,12.041595,15.811388,19.416488,22.203603,25.238859,27.45906,29.154759,29.529646,27.730849,24.698178,20.248457,15.524175,9.0,5.0,5.09902,8.485281,9.219544,8.944272,8.485281,8.944272,9.219544,10.0,11.401754,12.529964,12.806248,13.453624,14.21267,13.892444,13.416408,12.649111,12.369317,12.041595,11.0,10.049876,8.062258,5.385165,2.236068,2.236068,7.0,11.0,16.124515,19.104973
yena_pick_up_normal_01,0.30000000000000004,26.683328,27.294688,25.079872,22.022716,19.026298,15.033296,11.045361,7.071068,4.472136,5.385165,8.0,11.045361,14.035669,17.029386,19.0,21.095023,23.194827,23.345235,23.537205,21.587033,18.681542,15.524175,11.18034,7.071068,5.656854,7.071068,11.313708,10.630146,9.219544,9.433981,8.246211,7.0,8.544004,10.0,12.041595,14.21267,14.866069,14.866069,15.0,14.422205,13.892444,12.529964,10.29563,9.433981,8.485281,7.211103,8.062258,10.198039,12.649111,17.464249,21.540659,23.4094,19.416488,15.297059,9.055385,4.123106,3.162278,7.81025,11.401754,15.0,17.804494,19.209373,20.615528,21.260292,20.518285,21.213203,19.209373,16.643317,14.317821,10.198039,5.385165,5.09902,9.433981,14.142136,18.867962,21.931712,23.086793,23.345235,15.652476,13.416408,10.816654,8.485281,6.082763,8.544004,11.401754,14.142136,15.556349,17.691806,17.029386,17.029386,15.0,13.892444,12.083046,10.198039,9.055385,8.944272,9.899495,13.892444,17.088007,19.646883,23.537205,25.495098,26.305893,25.317978,22.472205,23.021729,21.633308,18.867962,15.264338,10.29563,6.708204,2.0,3.0,6.324555,10.29563,13.892444,17.492856,21.095023,24.698178,26.07681,28.017851,28.600699,27.018512,24.758837,20.518285,15.0,9.848858,5.09902,6.324555,9.219544,9.219544,9.219544,9.848858,10.049876,10.198039,10.77033,11.661904,12.727922,13.601471,13.416408,13.601471,13.341664,14.035669,13.0,13.152946,12.369317,11.401754,9.848858,7.615773,5.385165,2.236068,2.236068,5.830952,10.816654,15.264338,18.867962
yena_pick_up_normal_01,0.4,5.0,6.324555,9.0,12.041595,14.142136,16.124515,17.029386,18.0,18.11077,17.262677,16.492423,14.56022,12.649111,11.401754,9.219544,6.0,4.472136,5.385165,8.062258,12.0,15.033296,17.117243,19.104973,19.026298,19.0,17.0,5.09902,7.0,9.055385,10.049876,11.045361,12.041595,11.045361,10.049876,9.055385,7.28011,6.708204,5.0,4.472136,6.082763,7.071068,9.055385,11.045361,13.038405,14.035669,15.033296,16.0,17.029386,16.124515,15.132746,13.152946,10.0,18.31002,17.501147000000003,14.9247165,12.380462999999999,10.259593500000001,12.4514545,13.641201500000001,13.9379145,14.328951,13.313795500000001,12.640393999999999,11.934688,13.1633545,14.3405225,15.232193,15.554107,16.3102495,15.475503999999999,14.404326,14.16568,15.631539499999999,17.083627,17.7947135,17.929923000000002,17.1026315,15.6726175,10.9179455,11.3640015,10.6925345,9.986544,10.115883,10.676619500000001,11.961638,12.020889,12.0340895,11.9336865,11.323921,11.103639,10.870750000000001,10.4243275,10.199942,9.880462999999999,9.736077,10.623105500000001,11.109772,13.032759500000001,13.7907795,14.924433,16.1647,16.3259665,16.763748,17.3234845,3.605551,4.123106,8.602325,11.313708,14.142136,16.278821,17.691806,17.691806,16.970563,16.970563,15.556349,14.142136,11.313708,9.219544,6.403124,2.236068,3.605551,7.81025,12.727922,17.691806,22.022716,25.0,26.627054,25.553865,24.186773,21.470911,8.544004,10.198039,11.18034,12.041595,12.041595,12.165525,11.7047,11.18034,10.0,9.219544,7.211103,6.708204,6.0,5.09902,5.656854,6.708204,8.246211,10.0,11.045361,13.152946,14.56022,15.811388,16.763055,15.524175,13.601471,10.198039
yena_pick_up_normal_01,0.5,5.0,7.071068,10.0,12.041595,15.033296,17.029386,18.0,18.027756,18.11077,17.262677,16.278821,14.56022,12.649111,10.440307,8.246211,6.0,5.830952,5.830952,9.055385,13.038405,15.0,19.0,20.0,21.023796,20.024984,18.027756,5.09902,6.082763,9.055385,10.049876,11.0,11.0,11.0,10.0,9.0,7.071068,5.385165,5.0,4.472136,5.09902,7.0,8.062258,10.049876,12.041595,13.0,14.035669,15.132746,15.297059,15.297059,14.142136,12.165525,8.062258,15.297059,18.248288,19.104973,20.099751,20.099751,18.027756,16.03122,14.035669,11.045361,8.246211,6.324555,3.605551,4.0,5.830952,9.899495,12.806248,15.811388,18.027756,19.723083,21.023796,20.615528,19.924859,17.464249,15.033296,12.0,8.246211,9.055385,12.165525,14.142136,15.132746,16.278821,15.132746,13.341664,11.401754,7.615773,6.403124,4.123106,4.123106,5.656854,7.211103,9.848858,10.440307,11.18034,12.041595,13.0,12.041595,11.18034,9.219544,6.708204,3.605551,4.472136,8.062258,18.601075,19.209373,19.209373,16.401219,13.453624,9.899495,6.403124,3.162278,2.236068,5.09902,8.246211,10.77033,14.317821,17.464249,19.235384,21.954498,23.323808,23.600847,22.803509,21.260292,17.691806,13.453624,8.602325,4.123106,1.0,5.656854,7.071068,7.615773,7.211103,7.071068,7.615773,8.246211,8.0,9.219544,9.848858,10.29563,10.630146,11.313708,11.401754,10.816654,11.18034,10.77033,9.486833,8.246211,7.071068,5.0,3.162278,3.0,5.0,9.219544,12.806248,15.811388
yena_pick_up_normal_01,0.6000000000000001,5.830952,6.708204,9.055385,13.038405,15.033296,17.029386,17.117243,17.464249,17.720045,17.088007,15.652476,14.764823,12.529964,10.29563,8.944272,6.082763,5.385165,6.403124,10.440307,13.601471,16.492423,19.646883,20.880613,21.18962,20.248457,18.384776,7.071068,8.0,10.049876,11.045361,13.152946,13.038405,13.152946,12.165525,10.198039,8.246211,7.615773,6.403124,5.0,6.324555,7.071068,9.055385,10.049876,12.041595,13.038405,15.132746,16.124515,16.492423,16.492423,14.56022,12.649111,10.198039,19.416488,13.601471,9.433981,4.123106,2.0,7.211103,10.816654,13.892444,16.124515,18.35756,19.235384,20.124612,20.124612,20.124612,18.35756,18.027756,15.620499,13.038405,10.440307,11.401754,12.806248,15.811388,19.697716,21.84033,23.345235,23.194827,13.453624,11.313708,8.602325,6.082763,5.830952,8.544004,11.045361,14.0,15.132746,16.278821,15.524175,14.866069,13.416408,10.816654,8.485281,5.830952,5.0,5.0,8.246211,11.045361,15.524175,19.313208,21.931712,24.596748,25.553865,24.698178,22.472205,23.4094,21.540659,18.973666,15.811388,12.649111,8.246211,4.0,2.236068,5.830952,9.219544,12.727922,16.278821,19.849433,22.803509,25.0,27.202941,28.301943,26.41969,24.596748,20.615528,15.811388,10.198039,4.0,2.236068,6.708204,9.219544,8.062258,8.246211,8.0,8.544004,8.602325,9.219544,10.29563,11.7047,12.369317,12.041595,12.0,12.165525,12.369317,11.7047,11.18034,10.29563,8.602325,7.81025,5.830952,3.0,3.605551,7.0,11.18034,14.866069,18.973666
yena_pick_up_normal_01,0.7000000000000001,22.135944,20.615528,20.124612,17.492856,14.422205,11.401754,8.602325,5.830952,3.0,4.242641,5.830952,8.944272,11.18034,13.038405,15.0,17.804494,17.691806,19.104973,18.439089,17.029386,15.0,12.206556,8.485281,5.830952,5.09902,6.403124,9.848858,9.848858,8.944272,8.602325,8.485281,7.615773,8.062258,9.0,10.198039,11.18034,12.369317,12.165525,12.165525,12.041595,11.045361,11.0,9.055385,8.062258,6.082763,5.830952,6.403124,8.544004,11.18034,14.142136,17.262677,20.223748,15.811388,19.416488,21.377558,21.213203,21.095023,20.024984,18.027756,15.033296,12.041595,9.219544,6.708204,5.0,5.0,7.615773,10.816654,13.453624,16.970563,19.849433,22.022716,23.021729,23.323808,22.36068,20.248457,17.464249,14.035669,11.18034,8.246211,11.18034,14.317821,16.278821,17.262677,16.124515,15.033296,12.0,10.049876,7.615773,5.656854,5.09902,5.385165,7.81025,9.219544,10.816654,11.18034,12.649111,13.341664,13.152946,12.0,10.049876,7.28011,4.242641,4.472136,8.602325,2.828427,3.162278,7.071068,10.0,12.041595,15.033296,16.03122,17.029386,17.029386,16.03122,16.03122,14.035669,12.041595,10.049876,7.071068,3.162278,1.0,6.082763,10.440307,15.811388,19.313208,21.931712,24.186773,24.698178,23.600847,22.022716,10.77033,11.7047,13.341664,13.341664,14.142136,13.038405,12.0,11.045361,9.486833,8.944272,7.211103,6.403124,5.385165,6.0,6.324555,7.211103,7.81025,9.433981,10.29563,12.649111,13.601471,14.56022,15.297059,14.317821,12.369317,9.486833
yena_pick_up_normal_01,0.8,6.555664,7.671184,10.024937999999999,12.205456,14.4390205,15.8125845,17.1460315,17.0586215,17.029386,16.5622575,15.664139500000001,13.741900000000001,12.761131500000001,10.810323499999999,8.650798,6.535534,5.1515439999999995,6.7233625,9.222125,12.041882999999999,15.01561,17.029488,18.5645685,18.5645685,18.6704955,17.358955,5.6622775,7.473564,9.2255915,11.356596,12.200877,12.5207975,12.5207975,11.7424,10.59017,8.7147765,6.737096,5.6080585,5.5908915,5.5908915,6.8023325,8.7745455,10.5693405,12.6316875,13.6980165,14.920998,16.165159,16.537032500000002,15.9679515,14.846483,12.843758,10.514599,16.278821,19.104973,20.024984,20.024984,19.026298,18.0,16.0,13.0,10.0,8.062258,5.09902,2.828427,3.162278,5.656854,9.433981,12.529964,15.652476,18.027756,19.924859,20.396078,20.223748,19.026298,17.117243,14.56022,11.661904,9.219544,7.81025,11.401754,12.806248,14.866069,15.620499,14.866069,14.142136,12.206556,10.29563,8.246211,7.071068,6.708204,7.81025,8.062258,9.486833,10.198039,11.045361,11.045361,11.18034,10.440307,9.848858,8.602325,6.403124,5.0,6.403124,8.944272,20.615528,20.615528,19.646883,17.720045,13.601471,10.77033,6.708204,2.828427,1.414214,5.09902,9.0,12.041595,15.132746,18.248288,22.36068,23.769729,27.202941,26.925824,26.400758,24.186773,20.248457,16.401219,10.630146,4.472136,1.0,5.0,9.219544,8.062258,7.071068,8.062258,9.433981,10.630146,12.041595,13.601471,14.764823,15.652476,14.317821,14.56022,13.341664,13.152946,12.041595,12.041595,10.198039,9.219544,7.615773,5.830952,4.472136,4.472136,7.211103,10.77033,14.56022,17.720045
yena_pick_up_normal_01,0.9,5.0,6.324555,9.0,12.041595,14.142136,15.132746,17.029386,17.0,17.117243,16.278821,15.297059,14.56022,12.649111,10.440307,9.486833,7.071068,4.472136,5.0,7.071068,11.0,14.035669,16.03122,17.029386,18.027756,17.0,16.03122,8.246211,10.198039,12.041595,14.035669,15.033296,15.033296,14.035669,13.038405,11.0,8.062258,7.28011,5.0,4.472136,6.082763,8.062258,10.198039,12.165525,14.142136,16.124515,17.029386,18.0,18.027756,17.117243,16.124515,14.142136,10.0,16.492423,18.973666,20.248457,19.697716,19.697716,17.888544,14.764823,12.529964,9.848858,7.28011,6.0,5.0,6.708204,9.486833,12.165525,15.132746,18.027756,20.0,22.022716,22.090722,22.36068,21.587033,19.313208,17.0,14.866069,13.601471,8.062258,10.77033,13.0,14.866069,14.56022,14.317821,12.041595,10.0,7.28011,5.0,4.123106,5.385165,7.071068,8.602325,9.848858,11.401754,12.165525,13.038405,13.0,12.041595,10.440307,8.544004,5.830952,3.0,4.472136,8.0,21.18962,21.540659,20.248457,17.464249,14.317821,10.77033,6.708204,3.162278,1.414214,4.472136,8.062258,11.661904,15.264338,18.027756,21.400935,24.083189,25.495098,26.172505,25.612497,23.853721,20.59126,16.552945,10.440307,5.0,2.236068,5.0,10.29563,9.486833,9.055385,9.219544,10.29563,12.041595,13.453624,15.0,15.811388,15.264338,14.764823,14.317821,12.649111,12.369317,11.18034,10.049876,9.0,8.062258,6.324555,5.0,3.0,5.0,7.211103,10.77033,14.866069,18.027756
