sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51
yena_pick_up_variation_02,0.0,22.472205,21.470911,19.723083,17.492856,14.21267,11.313708,9.219544,7.211103,5.385165,4.123106,3.0,1.414214,2.0,3.162278,3.605551,5.0,7.071068,7.81025,9.219544,10.0,11.661904,12.083046,12.649111,12.369317,12.041595,11.0,11.18034,7.0,2.236068,5.830952,11.7047,16.492423,21.587033,25.317978,27.294688,28.284271,27.073973,26.07681,23.086793,20.099751,17.117243,14.142136,10.198039,6.324555,2.828427,2.236068,6.0,10.049876,14.142136,17.464249,20.880613,22.135944,9.486833,10.440307,11.18034,11.18034,11.661904,10.816654,10.0,8.602325,8.062258,7.615773,8.246211,8.062258,10.0,12.0,13.0,16.0,17.0,19.0,20.024984,20.024984,19.026298,17.029386,15.0,13.038405,11.401754,10.29563,14.764823,16.552945,17.088007,17.720045,17.464249,16.278821,13.152946,11.18034,8.246211,6.708204,5.656854,5.385165,6.0,7.0,8.0,8.0,9.055385,9.055385,9.219544,9.219544,8.544004,8.544004,7.28011,8.246211,8.246211,9.219544,15.5940095,15.448644,14.825021,14.4330015,13.305383500000001,12.4739835,11.891546,11.3978355,10.6925345,10.6305695,10.737787999999998,10.737787999999998,11.007191500000001,11.4679275,11.4679275,12.345353,12.9849915,13.3009075,13.606571,13.947217,13.7993125,14.3007355,14.21557,13.829316500000001,12.7195445,11.451756999999999,15.2764725,15.117692,15.100354500000002,14.7124265,15.633970000000001,16.511358,17.4413645,16.654103499999998,16.226812,15.0498755,14.229168,12.864823,12.2337695,11.854102000000001,11.663298000000001,11.8007355,11.8517495,11.8342755,11.0093665,12.087909,12.028799500000002,13.2462115,14.2462115,15.264046,15.6485295,16.28011
yena_pick_up_variation_02,0.1,3.0,3.162278,5.09902,7.28011,8.544004,8.944272,9.433981,10.0,9.899495,9.219544,9.219544,9.219544,8.602325,8.602325,8.602325,7.81025,7.81025,7.071068,5.830952,5.385165,5.09902,4.123106,2.236068,2.236068,2.236068,2.828427,20.248457,24.186773,25.942244,26.400758,25.079872,23.4094,19.924859,15.811388,10.440307,5.385165,1.0,3.0,7.071068,10.198039,13.152946,14.317821,16.492423,17.720045,18.973666,18.973666,19.313208,18.788294,17.0,13.892444,12.206556,8.485281,11.7047,12.083046,12.529964,13.038405,12.206556,12.041595,10.630146,10.0,9.219544,8.602325,8.944272,9.486833,11.18034,13.152946,15.297059,17.262677,19.416488,20.615528,21.84033,21.84033,20.880613,19.924859,17.720045,15.132746,14.0,12.369317,13.928388,15.811388,18.439089,18.248288,18.11077,16.03122,14.035669,11.045361,9.219544,7.615773,5.656854,6.324555,7.28011,8.062258,9.055385,10.049876,10.198039,10.440307,10.440307,10.440307,9.848858,9.848858,9.848858,9.486833,9.486833,9.486833,15.5940095,15.448644,14.825021,14.4330015,13.305383500000001,12.4739835,11.891546,11.3978355,10.6925345,10.6305695,10.737787999999998,10.737787999999998,11.007191500000001,11.4679275,11.4679275,12.345353,12.9849915,13.3009075,13.606571,13.947217,13.7993125,14.3007355,14.21557,13.829316500000001,12.7195445,11.451756999999999,15.2764725,15.117692,15.100354500000002,14.7124265,15.633970000000001,16.511358,17.4413645,16.654103499999998,16.226812,15.0498755,14.229168,12.864823,12.2337695,11.854102000000001,11.663298000000001,11.8007355,11.8517495,11.8342755,11.0093665,12.087909,12.028799500000002,13.2462115,14.2462115,15.264046,15.6485295,16.28011
yena_pick_up_variation_02,0.2,4.123106,3.605551,5.0,7.071068,8.544004,8.944272,9.433981,9.433981,9.433981,9.219544,8.485281,7.81025,7.81025,7.81025,7.81025,7.071068,7.071068,6.403124,5.830952,5.09902,4.0,4.472136,3.605551,3.162278,3.162278,3.605551,20.124612,24.166092,26.0,26.570661,26.248809,23.769729,20.615528,15.297059,10.198039,6.0,1.414214,4.123106,7.28011,11.401754,13.341664,15.524175,17.720045,18.973666,19.924859,20.248457,19.697716,19.235384,17.0,15.264338,12.806248,8.485281,9.055385,9.055385,8.246211,8.246211,8.544004,9.848858,9.848858,12.083046,12.649111,12.649111,13.341664,13.152946,14.035669,13.038405,13.038405,12.165525,11.401754,12.083046,12.806248,14.21267,17.204651,19.723083,21.095023,23.021729,23.600847,22.203603,6.0,4.0,2.828427,4.123106,7.615773,11.18034,13.416408,15.231546,15.811388,16.492423,15.297059,14.142136,13.038405,11.045361,10.0,8.062258,7.071068,6.324555,6.708204,7.211103,8.602325,8.944272,9.848858,9.848858,10.440307,10.198039,19.235384,18.35756,18.027756,17.204651,15.0,14.21267,12.806248,12.206556,12.206556,11.401754,11.401754,11.401754,11.401754,11.401754,11.401754,10.816654,10.29563,10.77033,10.198039,11.045361,12.041595,14.317821,14.317821,15.524175,16.278821,15.297059,16.763055,13.341664,10.049876,8.246211,8.485281,10.816654,13.928388,17.088007,18.384776,20.124612,20.59126,20.0,19.104973,17.691806,15.811388,15.264338,13.416408,12.083046,10.29563,8.602325,8.485281,9.433981,11.18034,13.0,15.231546,17.464249
yena_pick_up_variation_02,0.30000000000000004,27.513633,25.0,23.769729,20.396078,17.117243,14.035669,11.0,8.062258,5.09902,3.162278,1.414214,1.0,1.0,3.162278,5.09902,6.324555,7.28011,9.219544,10.198039,12.041595,12.0,13.038405,12.369317,12.649111,12.083046,10.816654,14.21267,9.219544,4.123106,5.0,12.649111,18.788294,24.186773,28.301943,31.064449,31.064449,30.232433,28.017851,25.806976,21.633308,18.027756,14.764823,10.29563,5.385165,2.236068,3.605551,8.485281,13.601471,18.35756,21.470911,24.596748,27.313001,11.401754,10.198039,10.198039,10.049876,10.0,11.045361,12.041595,13.0,14.0,15.033296,15.132746,15.297059,15.524175,14.56022,14.56022,13.341664,13.038405,13.038405,13.601471,15.652476,18.027756,20.808652,23.021729,24.413111,24.698178,23.323808,6.082763,4.0,3.605551,6.082763,9.055385,12.041595,15.033296,17.0,18.027756,18.11077,17.262677,16.492423,14.56022,12.649111,10.440307,9.486833,9.219544,8.0,8.062258,9.055385,10.198039,11.18034,11.045361,12.0,12.041595,11.045361,9.848858,9.433981,9.219544,9.219544,9.219544,8.602325,9.433981,8.602325,8.062258,8.062258,7.615773,7.615773,8.246211,9.219544,10.198039,11.045361,12.041595,13.038405,14.035669,14.035669,13.038405,12.0,10.049876,8.062258,5.385165,4.242641,17.029386,19.849433,21.931712,23.345235,23.430749,22.803509,20.0,17.204651,13.038405,10.0,7.071068,5.0,5.0,5.385165,7.211103,8.602325,10.29563,11.18034,13.0,13.928388,14.56022,15.297059,15.132746,15.132746,14.142136,13.152946
yena_pick_up_variation_02,0.4,21.213203,20.396078,18.439089,15.811388,12.649111,10.29563,7.211103,5.656854,2.828427,2.236068,1.0,1.0,2.236068,3.605551,5.656854,5.656854,7.81025,8.485281,9.899495,10.630146,11.401754,11.661904,11.7047,11.401754,11.18034,10.049876,11.18034,7.211103,3.0,5.385165,11.045361,16.03122,20.223748,24.33105,25.495098,26.683328,25.96151,23.769729,21.587033,19.416488,16.278821,13.152946,9.055385,6.0,3.162278,2.828427,6.324555,10.198039,13.152946,17.029386,20.024984,21.023796,11.401754,12.369317,12.165525,12.041595,12.0,12.041595,11.045361,10.049876,9.0,8.0,8.246211,8.544004,9.848858,11.661904,13.892444,16.124515,18.35756,19.235384,20.124612,20.124612,19.697716,17.464249,15.652476,13.601471,12.041595,10.816654,15.0,17.029386,18.384776,18.439089,17.804494,15.811388,13.601471,11.401754,8.485281,7.211103,6.082763,6.082763,7.615773,8.544004,8.944272,9.848858,9.486833,10.440307,10.198039,10.198039,9.219544,9.219544,8.246211,8.246211,8.544004,9.486833,20.248457,19.924859,18.681542,17.720045,15.524175,14.56022,13.601471,12.649111,12.649111,11.7047,12.083046,11.7047,12.083046,13.0,12.649111,12.083046,12.083046,11.401754,11.313708,12.206556,13.416408,14.866069,16.763055,18.681542,18.681542,18.027756,13.601471,10.77033,8.602325,6.708204,8.0,10.77033,15.231546,17.464249,19.313208,20.880613,21.377558,20.099751,19.0,18.11077,15.297059,14.56022,12.649111,10.440307,9.219544,8.0,9.219544,9.848858,12.083046,14.764823,17.0,17.888544
yena_pick_up_variation_02,0.5,13.128446,12.5475115,12.6590735,12.903340499999999,12.204539,11.000164999999999,9.880462999999999,8.902439000000001,7.436393499999999,6.896212,5.9497475,6.0677815,5.609772,6.671325,7.3023545,7.5967425,7.5106765,8.0776875,8.278531000000001,7.934675,8.200877,8.3188305,8.142118,7.6019365,7.663901500000001,7.1150905,16.517530999999998,15.703191,14.327879,16.6887255,19.2211765,20.7143845,21.588278000000003,21.5247585,19.932478,17.2424055,15.348283499999999,14.1244045,14.705674,15.050078500000001,14.5608995,14.56022,13.004713500000001,12.0552595,10.692388,10.101254,12.5564245,13.845447499999999,15.221167999999999,15.8561205,16.212775,15.4159895,9.486833,8.544004,7.615773,8.062258,8.602325,9.219544,10.630146,11.401754,12.806248,13.038405,13.892444,13.416408,13.0,13.0,13.0,12.083046,11.661904,12.041595,12.206556,14.317821,17.088007,18.973666,20.880613,22.135944,22.472205,21.540659,6.082763,3.162278,2.0,5.0,7.81025,11.401754,13.601471,15.811388,16.124515,16.552945,15.231546,13.928388,12.649111,11.401754,9.219544,7.615773,6.708204,6.403124,7.071068,7.81025,9.219544,9.219544,10.630146,10.630146,10.816654,10.29563,11.18034,10.77033,10.29563,10.816654,10.0,10.630146,10.630146,9.899495,9.219544,9.899495,9.219544,9.219544,9.433981,10.816654,11.18034,12.083046,13.416408,14.317821,14.317821,14.866069,13.928388,12.649111,11.401754,8.246211,6.082763,4.123106,17.029386,19.209373,22.203603,23.021729,23.323808,21.470911,20.124612,16.552945,13.416408,10.29563,7.071068,5.830952,6.0,7.28011,8.544004,9.486833,10.77033,12.369317,13.341664,15.132746,16.03122,16.0,16.03122,16.03122,15.033296,13.0
yena_pick_up_variation_02,0.6000000000000001,21.400935,20.808652,18.867962,16.124515,14.317821,10.77033,8.246211,6.082763,4.0,3.162278,1.414214,1.0,2.236068,3.162278,4.123106,5.09902,7.0,8.062258,9.219544,9.219544,10.77033,11.18034,10.816654,10.630146,9.899495,10.0,10.77033,6.324555,2.236068,4.242641,10.0,14.764823,19.235384,22.36068,24.166092,25.079872,24.698178,22.847319,20.615528,18.788294,15.652476,12.529964,8.944272,5.830952,2.236068,2.236068,6.403124,10.0,13.453624,16.278821,19.79899,21.213203,10.29563,10.29563,8.944272,9.486833,9.219544,10.049876,11.045361,12.165525,13.341664,14.56022,14.866069,14.317821,14.317821,14.317821,14.764823,13.928388,12.649111,13.152946,13.038405,15.524175,17.088007,19.697716,21.931712,22.847319,22.847319,22.472205,5.0,2.236068,3.605551,6.324555,10.198039,12.649111,15.811388,17.464249,17.888544,18.35756,16.643317,15.811388,14.21267,12.206556,10.0,9.433981,8.062258,7.615773,8.062258,9.055385,10.049876,11.045361,11.18034,12.369317,11.7047,12.083046,19.924859,21.18962,20.248457,18.788294,16.552945,15.231546,14.317821,13.0,12.083046,11.7047,11.7047,11.7047,11.7047,11.7047,11.401754,11.401754,11.18034,11.0,11.18034,11.7047,12.529964,14.422205,16.401219,17.029386,17.204651,17.204651,16.124515,13.416408,9.219544,7.28011,8.485281,12.083046,15.811388,19.313208,21.023796,22.825424,22.472205,22.203603,20.518285,19.104973,17.204651,15.264338,13.892444,11.661904,10.29563,9.219544,8.602325,9.848858,11.401754,14.317821,16.492423,18.439089
yena_pick_up_variation_02,0.7000000000000001,3.162278,3.0,5.385165,7.211103,9.219544,10.630146,11.401754,10.816654,10.816654,10.29563,10.29563,9.848858,9.848858,8.944272,8.944272,8.062258,7.211103,6.403124,5.0,5.385165,4.0,4.472136,4.472136,5.09902,5.09902,5.385165,20.615528,23.600847,26.627054,27.45906,26.925824,24.186773,21.470911,16.552945,11.18034,6.324555,1.0,3.605551,8.062258,10.29563,13.892444,16.124515,17.492856,20.248457,20.808652,22.203603,22.022716,21.260292,19.104973,16.970563,13.453624,10.0,10.816654,12.206556,12.727922,13.453624,12.806248,12.206556,10.29563,9.433981,8.944272,7.81025,7.81025,8.062258,8.944272,10.77033,12.649111,14.866069,17.088007,18.973666,19.313208,19.313208,19.313208,18.384776,15.811388,14.317821,13.038405,12.165525,14.764823,16.124515,17.204651,17.029386,16.278821,14.142136,12.041595,8.485281,6.403124,4.123106,4.472136,5.656854,7.211103,8.602325,9.219544,10.630146,9.899495,10.630146,9.219544,9.219544,8.602325,7.81025,7.071068,7.81025,8.062258,8.944272,9.0,9.219544,8.544004,9.433981,8.602325,9.219544,8.485281,8.485281,8.485281,8.485281,8.602325,7.81025,8.062258,8.944272,9.848858,9.848858,11.7047,12.369317,12.649111,12.369317,12.165525,11.045361,10.049876,8.062258,6.324555,5.0,16.552945,20.615528,22.472205,23.086793,24.041631,22.561028,20.396078,17.117243,14.142136,10.198039,7.615773,5.0,4.123106,5.0,7.071068,9.219544,10.049876,12.041595,14.035669,15.0,15.132746,15.297059,15.524175,15.524175,13.341664,13.152946
yena_pick_up_variation_02,0.8,2.828427,4.472136,6.403124,8.485281,10.0,11.661904,12.529964,12.083046,12.083046,11.7047,10.440307,11.401754,10.198039,10.198039,9.219544,9.219544,8.544004,7.615773,6.403124,5.0,3.605551,3.162278,2.828427,3.162278,4.0,4.472136,20.248457,23.769729,25.495098,26.832816,25.942244,24.186773,21.095023,17.204651,12.206556,7.81025,2.828427,1.0,5.0,7.81025,11.401754,12.806248,15.0,16.401219,18.027756,18.867962,19.723083,18.35756,16.552945,14.317821,12.369317,9.219544,10.556142,10.5479425,9.946648,9.8600895,9.79021,10.4566605,10.810323499999999,11.291046999999999,11.423575,11.317976000000002,11.6544135,12.104305,12.905694,12.815073,14.174210500000001,14.9330345,16.0570055,16.711397,17.083627,17.7757905,18.817763999999997,19.5424085,19.695763499999998,19.83086,18.8490585,18.5556965,9.655845,8.7781745,9.902247,11.7064605,13.8957705,13.929516,14.7744435,13.8704465,12.6537895,11.402247,9.9027975,9.693722000000001,9.62368,9.1957215,8.7732985,8.322541999999999,8.459963,8.9907165,9.02804,9.492155499999999,9.829925500000002,9.9754555,10.1646285,10.642308,10.2110105,10.39509,21.84033,20.880613,20.248457,18.384776,17.464249,15.231546,13.0,11.7047,11.7047,10.440307,10.198039,10.198039,11.045361,11.045361,12.0,12.0,13.038405,13.341664,13.601471,14.317821,15.264338,16.643317,17.204651,17.804494,17.804494,16.401219,13.601471,10.0,6.708204,5.09902,6.403124,9.848858,13.601471,17.088007,19.697716,20.124612,20.808652,20.615528,19.104973,17.804494,15.811388,13.892444,12.083046,9.848858,8.062258,7.211103,7.211103,8.246211,11.18034,14.035669,16.124515,19.235384
yena_pick_up_variation_02,0.9,2.236068,2.236068,5.09902,7.28011,9.486833,9.848858,11.18034,11.661904,10.816654,11.401754,10.630146,9.899495,9.899495,9.899495,8.485281,7.81025,7.071068,5.830952,4.472136,4.0,2.236068,2.236068,3.162278,3.605551,4.242641,5.0,18.384776,21.18962,24.041631,25.0,24.738634,22.561028,19.235384,15.132746,11.045361,7.071068,2.0,2.0,6.0,9.0,11.045361,14.035669,16.124515,17.117243,18.248288,19.416488,19.416488,18.681542,18.027756,14.866069,13.0,8.944272,9.848858,11.18034,11.18034,12.206556,12.206556,11.401754,10.630146,9.899495,8.485281,7.81025,6.708204,7.28011,9.055385,10.049876,12.0,15.033296,17.029386,19.026298,20.0,21.0,20.0,19.026298,17.029386,14.317821,12.649111,11.661904,12.041595,14.317821,16.763055,17.088007,17.0,16.124515,14.422205,12.206556,9.219544,6.403124,3.162278,2.236068,3.605551,5.385165,6.324555,7.28011,7.615773,8.062258,8.602325,8.602325,7.81025,7.81025,7.81025,7.211103,7.211103,7.615773,18.601075,19.209373,18.439089,17.691806,15.556349,14.142136,12.727922,11.313708,10.630146,10.0,9.219544,9.433981,9.433981,9.433981,9.433981,9.433981,10.77033,10.198039,11.18034,12.0,13.038405,14.142136,15.132746,15.297059,15.132746,14.142136,14.866069,12.041595,9.433981,7.071068,6.708204,9.219544,12.206556,15.264338,17.804494,19.209373,19.104973,18.439089,18.027756,17.0,14.866069,13.601471,12.165525,10.198039,9.219544,7.615773,7.211103,8.485281,10.29563,13.416408,15.652476,17.0
yena_pick_up_variation_02,1.0,4.472136,2.236068,4.0,6.082763,7.615773,8.944272,10.29563,10.816654,10.816654,10.0,10.0,9.899495,9.219544,8.485281,8.485281,8.485281,7.81025,6.403124,5.385165,4.123106,3.0,3.605551,3.162278,4.0,3.605551,4.242641,18.788294,21.540659,24.698178,25.298221,25.0,22.803509,20.396078,16.278821,12.165525,8.062258,3.0,1.0,5.09902,8.246211,11.18034,13.341664,15.297059,17.720045,18.681542,18.973666,19.313208,19.697716,18.788294,16.124515,13.892444,10.816654,9.486833,10.440307,10.77033,12.083046,12.529964,11.661904,11.401754,10.0,9.219544,8.602325,8.062258,7.615773,8.246211,9.0,12.0,13.038405,16.03122,18.11077,19.104973,20.099751,20.024984,19.026298,18.11077,15.297059,13.601471,12.083046,9.486833,11.401754,14.142136,15.033296,15.0,15.033296,14.142136,12.165525,10.198039,7.071068,5.0,3.162278,2.828427,4.123106,5.09902,6.082763,6.324555,7.28011,7.615773,7.615773,7.211103,7.211103,7.211103,6.708204,6.708204,7.615773,19.313208,19.697716,18.35756,17.492856,16.124515,13.892444,12.529964,11.18034,9.848858,9.486833,9.486833,9.486833,9.486833,10.440307,10.440307,10.198039,11.18034,11.045361,11.045361,12.165525,12.649111,13.928388,15.231546,15.652476,15.652476,14.317821,14.764823,12.083046,8.544004,7.0,6.403124,8.944272,12.649111,15.811388,17.088007,18.788294,19.723083,18.601075,17.691806,17.029386,15.811388,13.892444,12.083046,9.848858,8.944272,8.602325,7.81025,8.944272,10.440307,13.341664,16.492423,17.720045
yena_pick_up_variation_02,1.1,22.803509,22.803509,20.880613,18.384776,16.155494,13.416408,10.29563,7.211103,5.0,2.828427,1.0,1.0,3.162278,4.472136,5.830952,7.211103,8.602325,10.816654,10.816654,12.529964,13.0,13.601471,13.341664,12.041595,12.041595,11.18034,13.152946,10.049876,4.123106,2.236068,7.615773,13.341664,18.248288,22.203603,24.083189,26.019224,26.019224,25.019992,23.021729,21.023796,18.027756,15.132746,12.165525,9.219544,5.385165,2.236068,3.605551,7.071068,11.0,15.033296,18.11077,20.396078,10.29563,8.944272,8.944272,9.486833,9.219544,10.0,11.0,13.0,14.035669,15.132746,16.278821,16.763055,17.088007,16.552945,16.552945,16.552945,15.811388,14.317821,14.0,16.278821,18.027756,21.023796,24.166092,26.0,26.925824,26.570661,13.341664,12.165525,10.049876,8.062258,4.472136,3.162278,5.385165,8.062258,10.29563,11.18034,13.0,12.649111,12.369317,11.18034,11.045361,10.0,9.055385,9.055385,8.062258,8.062258,8.062258,9.055385,9.219544,9.486833,10.77033,10.77033,10.547618499999999,9.747846,10.1445825,10.793492,10.905242999999999,11.8517495,12.2857795,11.247024,11.6109675,11.247024,10.804669,10.462888,10.0320635,10.315073,10.6506245,11.146025,12.095934,12.973186,14.1231045,14.579967,14.713144499999999,13.950942,12.883498,11.707339000000001,9.524937999999999,7.640055,15.342367499999998,18.8372365,20.623772000000002,22.4690205,21.57987,21.420165,18.8373195,16.1550205,12.6916295,9.271109,6.354102,4.3027755,4.352285500000001,5.5908915,7.6231055,9.5990195,11.09017,12.5972705,14.675558500000001,15.4330345,16.130466,16.457576500000002,15.878380499999999,15.878380499999999,14.708309499999999,12.712354999999999
yena_pick_up_variation_02,1.2000000000000002,4.123106,3.605551,5.09902,7.0,9.0,10.049876,10.198039,10.440307,10.440307,10.77033,9.848858,9.848858,8.944272,8.944272,7.615773,7.615773,6.324555,6.082763,5.0,4.123106,3.605551,2.236068,3.0,2.828427,3.605551,3.162278,20.0,23.345235,25.455844,26.907248,26.248809,24.207437,20.808652,16.643317,12.206556,7.071068,3.162278,3.162278,6.0,9.055385,12.041595,14.142136,16.278821,17.262677,18.439089,18.681542,18.681542,18.973666,17.464249,15.231546,13.038405,10.0,13.038405,14.0,14.035669,13.038405,12.165525,11.18034,10.198039,8.062258,7.0,6.324555,7.211103,7.81025,10.0,12.206556,15.264338,18.027756,20.0,21.400935,22.803509,22.671568,21.260292,19.104973,16.401219,13.038405,10.440307,9.055385,7.81025,10.630146,12.806248,15.0,16.124515,16.124515,16.124515,14.764823,12.529964,11.18034,8.062258,6.403124,5.0,3.605551,3.0,3.162278,4.472136,5.0,5.830952,5.830952,7.211103,8.062258,8.944272,9.848858,10.440307,11.401754,23.323808,22.203603,20.615528,18.439089,16.278821,14.21267,12.206556,10.29563,10.77033,10.440307,12.165525,12.165525,13.152946,15.132746,15.297059,16.278821,16.278821,16.278821,16.124515,15.0,15.132746,14.56022,14.764823,15.811388,15.620499,16.278821,12.806248,10.0,5.656854,4.0,5.656854,10.816654,13.892444,16.643317,19.209373,20.518285,21.260292,20.808652,18.35756,17.464249,15.811388,13.341664,12.165525,10.198039,8.246211,7.211103,7.81025,9.848858,13.0,15.811388,19.313208,21.023796
