sample_id,time_sec,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51
yena_sit_move_normal_01,0.0,20.124612,18.35756,15.264338,12.806248,10.0,9.486833,10.049876,12.041595,13.038405,15.132746,16.03122,17.029386,18.027756,18.027756,18.11077,17.117243,15.297059,13.152946,9.0,6.324555,5.385165,9.055385,12.369317,15.811388,18.027756,19.924859,2.236068,4.242641,8.602325,11.661904,16.643317,18.867962,21.633308,22.203603,22.022716,21.213203,19.79899,17.029386,14.21267,11.401754,9.219544,6.403124,4.123106,5.09902,6.403124,9.899495,12.727922,16.278821,18.439089,21.400935,22.472205,23.323808,16.278821,12.041595,10.0,6.403124,2.236068,1.0,4.472136,7.28011,9.219544,11.401754,13.341664,15.132746,16.124515,17.117243,17.029386,17.029386,16.03122,14.142136,11.18034,8.246211,5.0,3.162278,5.830952,9.848858,11.7047,13.601471,11.0,14.142136,17.464249,19.924859,21.18962,21.931712,21.023796,18.788294,16.552945,13.416408,11.18034,8.062258,3.605551,1.0,2.0,4.123106,7.071068,9.055385,12.041595,14.035669,15.132746,16.492423,18.027756,18.788294,18.867962,19.416488,4.0,5.656854,8.062258,11.18034,13.416408,14.764823,15.264338,14.422205,13.601471,12.806248,11.313708,9.219544,7.81025,5.656854,3.605551,2.0,3.605551,6.324555,10.198039,13.341664,15.297059,17.464249,17.720045,18.027756,16.763055,14.866069,10.440307,13.601471,15.811388,17.720045,18.681542,18.973666,17.720045,15.811388,12.649111,9.848858,8.062258,5.656854,4.123106,5.09902,7.211103,8.602325,11.401754,12.806248,15.0,15.811388,17.492856,17.0,17.0,14.764823,12.529964,9.433981
yena_sit_move_normal_01,0.1,11.045361,13.0,15.033296,16.03122,17.029386,16.0,15.0,13.038405,12.041595,10.049876,8.0,6.082763,5.0,5.830952,7.28011,10.049876,13.0,16.0,19.0,20.0,21.023796,20.024984,19.026298,17.029386,13.152946,10.198039,15.0,16.0,16.03122,16.03122,15.033296,12.041595,9.0,6.082763,3.605551,4.0,6.708204,8.602325,10.816654,11.661904,12.529964,14.317821,15.231546,15.811388,15.524175,15.297059,14.142136,13.152946,12.165525,9.486833,8.602325,8.062258,16.763055,13.928388,11.18034,8.062258,3.605551,3.605551,5.830952,8.602325,10.630146,13.453624,14.866069,16.278821,17.029386,17.029386,17.029386,17.029386,14.866069,12.041595,8.602325,6.082763,5.0,7.28011,10.0,12.041595,14.317821,10.29563,13.601471,16.278821,19.79899,21.260292,22.022716,21.400935,20.808652,18.601075,15.811388,12.806248,10.0,6.403124,3.605551,1.0,2.236068,4.472136,6.708204,9.433981,12.083046,13.601471,15.297059,17.117243,19.0,19.104973,19.416488,20.112569999999998,4.0,5.656854,8.062258,11.18034,13.416408,14.764823,15.264338,14.422205,13.601471,12.806248,11.313708,9.219544,7.81025,5.656854,3.605551,2.0,3.605551,6.324555,10.198039,13.341664,15.297059,17.464249,17.720045,18.027756,16.763055,14.866069,10.440307,13.601471,15.811388,17.720045,18.681542,18.973666,17.720045,15.811388,12.649111,9.848858,8.062258,5.656854,4.123106,5.09902,7.211103,8.602325,11.401754,12.806248,15.0,15.811388,17.492856,17.0,17.0,14.764823,12.529964,9.433981
yena_sit_move_normal_01,0.2,21.954498,20.59126,18.35756,15.264338,12.041595,9.219544,8.246211,9.0,10.198039,12.649111,13.928388,15.811388,16.763055,18.681542,19.416488,19.416488,18.248288,16.492423,14.56022,11.18034,8.485281,7.28011,9.219544,12.083046,15.264338,17.204651,4.123106,1.0,4.242641,7.81025,12.806248,16.278821,19.104973,20.518285,21.260292,21.400935,19.416488,18.35756,15.652476,13.0,10.440307,7.28011,5.09902,2.236068,2.236068,5.0,8.602325,12.806248,16.278821,19.104973,21.400935,23.600847,19.235384,16.124515,13.416408,9.848858,5.830952,1.414214,2.0,6.082763,9.219544,11.18034,14.142136,15.132746,17.117243,18.11077,19.026298,19.026298,19.104973,17.117243,15.297059,11.401754,8.062258,5.830952,5.385165,7.81025,10.29563,12.649111,10.29563,13.928388,16.763055,19.646883,21.377558,22.203603,22.203603,20.223748,18.11077,16.124515,13.152946,10.198039,7.28011,4.472136,2.236068,2.236068,4.0,6.082763,8.246211,10.77033,12.529964,15.811388,17.029386,19.79899,20.615528,20.808652,16.9621425,17.427978,17.498814499999998,16.5946605,15.402956499999998,13.0112605,11.374259499999999,8.9308615,8.618034,9.4346785,10.113891500000001,10.9299715,11.8208745,11.7361435,11.7195445,11.702270500000001,11.8402815,12.617299000000001,13.374382999999998,13.09017,12.409081,11.4317895,9.690686000000001,9.658886,10.9685685,11.9147255,11.460073000000001,11.6396285,10.973733,11.2781745,10.2781745,10.7781745,12.653188,13.5275475,13.39282,12.919003,12.3491865,11.486833,11.2896085,11.096090499999999,11.4021425,11.280604,11.291046999999999,10.942834,10.481672,10.3115975,11.717802,14.647281500000002,16.2783565,18.1702685,18.945011,18.423455
yena_sit_move_normal_01,0.30000000000000004,9.219544,12.041595,14.0,16.03122,16.03122,17.029386,16.0,15.0,13.038405,11.045361,9.0,7.0,5.385165,4.242641,6.082763,8.062258,11.401754,14.866069,18.027756,19.313208,21.540659,21.540659,20.248457,19.313208,15.811388,12.649111,15.264338,17.204651,17.204651,16.401219,15.620499,13.453624,10.630146,7.071068,3.605551,1.0,3.162278,6.708204,8.544004,10.77033,12.649111,13.341664,14.142136,15.033296,16.03122,16.03122,16.03122,14.035669,13.038405,11.0,9.219544,7.211103,11.18034,13.892444,16.643317,18.601075,18.601075,19.209373,18.439089,17.029386,15.620499,13.453624,10.630146,8.602325,5.830952,3.0,3.162278,6.082763,10.440307,13.928388,17.464249,19.235384,21.954498,22.472205,21.633308,20.0,17.204651,14.21267,16.0,16.0,14.035669,12.165525,8.246211,4.472136,1.0,3.162278,6.0,9.0,11.0,12.0,13.0,13.0,13.038405,13.152946,13.341664,12.649111,13.0,12.083046,10.816654,9.219544,7.211103,5.09902,3.162278,5.09902,25.317978,24.186773,22.090722,19.026298,15.0,11.0,7.0,4.123106,2.236068,4.472136,7.211103,9.433981,11.661904,13.416408,15.231546,17.088007,17.720045,17.720045,17.464249,15.297059,12.369317,8.246211,5.385165,3.0,5.0,8.062258,14.142136,12.727922,10.630146,7.615773,5.0,5.0,8.246211,11.045361,14.0,15.0,17.0,18.027756,17.117243,16.124515,15.297059,13.341664,11.401754,9.219544,7.071068,5.09902,5.385165,8.0,12.369317,16.492423,19.416488,23.537205
yena_sit_move_normal_01,0.4,21.633308,20.248457,15.811388,12.806248,9.219544,6.324555,7.071068,8.062258,10.630146,12.727922,14.142136,16.278821,17.691806,18.439089,19.209373,17.804494,17.204651,15.0,12.041595,7.81025,4.123106,4.472136,9.055385,13.0,17.029386,19.026298,2.236068,2.236068,6.708204,11.18034,15.652476,19.697716,21.931712,23.769729,24.351591,24.041631,21.84033,19.416488,17.262677,14.142136,11.18034,8.062258,5.09902,2.236068,3.162278,5.656854,9.219544,13.453624,16.970563,19.849433,22.803509,23.600847,11.401754,14.21267,16.970563,17.691806,18.439089,18.439089,17.804494,15.811388,14.422205,11.661904,9.433981,7.81025,5.0,3.0,4.242641,7.28011,11.18034,15.033296,18.027756,20.0,22.0,22.022716,22.022716,20.024984,17.029386,14.035669,17.088007,16.552945,14.764823,12.529964,10.0,5.0,3.0,4.123106,6.0,8.0,11.045361,12.041595,13.038405,13.038405,13.0,13.0,13.038405,12.165525,12.369317,10.77033,9.848858,8.062258,5.656854,2.236068,1.414214,5.09902,29.0,28.071338,25.179357,22.203603,17.262677,14.142136,10.049876,6.082763,4.242641,6.082763,9.055385,11.045361,14.035669,16.124515,19.104973,19.416488,20.880613,20.880613,20.248457,18.027756,14.866069,11.7047,7.071068,4.472136,5.09902,7.071068,14.422205,13.038405,10.816654,7.615773,5.0,4.472136,7.0,10.198039,13.341664,15.297059,17.262677,17.117243,17.029386,16.0,15.033296,14.035669,11.045361,10.0,7.071068,5.0,6.324555,10.0,15.132746,19.104973,23.086793,27.073973
yena_sit_move_normal_01,0.5,14.229168,14.3442975,13.973085000000001,13.1339115,11.4236595,10.577747,9.9330345,10.002297500000001,10.7944305,11.240950999999999,10.998814,11.301688,10.648678499999999,11.1336255,12.399495,14.1642675,15.307822,16.13861,15.9330345,15.095024,13.866,12.093037,12.562306,13.9358045,14.323977,14.3179955,9.4349445,8.7693645,11.1925825,13.210072499999999,14.764823,15.67878,15.901678,14.8241815,13.5079995,12.6339675,12.619429499999999,13.354102000000001,12.8743275,12.3264885,12.205456,10.913472500000001,9.899495,8.9308615,8.0,9.752716,11.0489635,12.3715525,12.955715,13.513878,13.843298,13.2935165,17.0,15.033296,11.045361,8.062258,4.0,1.0,3.162278,6.324555,8.944272,12.083046,13.416408,15.264338,16.643317,16.643317,18.027756,18.027756,17.204651,15.811388,12.529964,8.944272,5.09902,2.828427,5.0,8.544004,11.18034,13.892444,9.433981,12.727922,16.278821,18.439089,20.808652,21.633308,21.954498,20.59126,18.867962,16.124515,13.892444,10.816654,7.211103,4.472136,2.236068,2.828427,5.0,8.062258,10.29563,13.0,15.811388,17.464249,19.416488,20.223748,20.024984,4.6708305,4.123106,5.385165,8.062258,10.0,13.038405,14.0,14.035669,14.035669,13.152946,12.369317,11.401754,10.77033,8.544004,6.708204,4.123106,2.0,3.162278,5.09902,8.544004,10.77033,13.928388,16.155494,17.088007,16.763055,15.811388,14.56022,8.602325,11.401754,13.601471,16.401219,17.204651,17.204651,15.811388,13.601471,12.206556,9.219544,7.071068,4.472136,4.123106,5.0,7.211103,8.944272,11.18034,12.529964,14.764823,17.0,17.492856,18.027756,17.204651,15.811388,13.601471,10.29563
yena_sit_move_normal_01,0.6000000000000001,18.788294,16.552945,13.0,9.219544,5.09902,3.605551,5.0,7.28011,10.77033,13.416408,15.652476,16.552945,18.788294,19.697716,19.697716,19.697716,18.384776,16.552945,13.416408,8.944272,4.472136,1.414214,6.708204,11.18034,15.652476,18.35756,4.472136,3.605551,6.324555,11.18034,15.033296,19.026298,21.0,23.021729,24.020824,23.021729,22.022716,20.024984,17.029386,14.035669,11.0,8.0,5.09902,2.236068,2.236068,5.385165,8.544004,13.0,15.231546,17.464249,19.697716,21.023796,12.529964,15.652476,17.464249,19.313208,19.313208,18.973666,18.681542,16.763055,15.524175,13.341664,10.440307,7.28011,5.385165,3.605551,3.605551,6.403124,10.29563,13.928388,16.763055,18.973666,20.615528,20.615528,20.396078,18.248288,16.278821,13.152946,17.117243,17.029386,15.033296,12.0,9.055385,6.082763,2.828427,2.828427,5.385165,8.246211,10.440307,11.18034,12.369317,12.369317,12.649111,13.0,13.0,12.529964,12.206556,10.630146,8.485281,7.211103,5.0,2.0,2.0,4.242641,29.274562,28.284271,25.179357,21.023796,16.03122,11.045361,6.082763,3.605551,4.123106,7.071068,9.899495,12.727922,15.620499,17.804494,19.416488,21.095023,21.954498,21.954498,20.124612,17.888544,14.317821,9.848858,5.0,2.236068,5.09902,9.0,15.033296,12.165525,10.198039,6.708204,3.605551,5.0,8.602325,12.529964,14.764823,17.464249,18.788294,18.788294,17.888544,17.0,15.264338,13.038405,10.816654,9.433981,5.385165,3.605551,6.0,10.049876,15.297059,21.377558,24.515301,28.442925
yena_sit_move_normal_01,0.7000000000000001,7.211103,10.630146,12.727922,14.142136,14.866069,14.866069,14.142136,12.727922,10.630146,9.219544,7.071068,4.242641,1.414214,2.0,4.472136,8.062258,11.661904,15.264338,18.867962,20.248457,21.633308,21.633308,20.808652,18.601075,15.811388,12.206556,15.132746,16.124515,16.124515,16.124515,14.142136,12.165525,9.219544,6.324555,2.828427,2.236068,5.0,7.615773,9.486833,11.401754,12.369317,13.152946,14.142136,14.035669,14.035669,14.0,13.0,11.0,10.0,7.071068,4.472136,4.472136,19.104973,16.401219,13.601471,9.219544,5.0,1.414214,3.162278,6.324555,9.486833,11.7047,13.601471,15.524175,16.492423,17.464249,18.439089,18.439089,17.464249,15.524175,12.649111,9.848858,5.656854,4.123106,5.830952,9.486833,12.369317,15.132746,9.486833,13.038405,16.0,19.026298,21.095023,22.203603,22.203603,21.213203,19.235384,16.278821,14.142136,11.18034,7.071068,4.0,2.0,1.0,3.162278,6.082763,8.246211,11.7047,14.317821,16.124515,19.416488,20.615528,21.931712,22.627417,5.0,7.615773,10.440307,13.601471,14.56022,15.524175,14.866069,15.231546,14.764823,12.529964,10.816654,9.219544,7.81025,5.0,3.162278,2.828427,5.385165,8.062258,11.045361,14.142136,16.124515,18.248288,18.248288,18.439089,17.464249,14.317821,11.18034,13.892444,15.652476,17.0,17.888544,17.888544,16.124515,14.764823,11.661904,9.433981,7.071068,4.472136,4.123106,5.830952,7.81025,10.630146,12.041595,14.866069,15.556349,16.278821,17.029386,17.804494,17.029386,14.21267,12.041595,7.81025
yena_sit_move_normal_01,0.8,17.0,13.892444,10.630146,7.211103,5.0,5.656854,8.062258,11.18034,13.0,14.866069,17.088007,18.027756,19.313208,19.697716,19.313208,18.384776,16.552945,14.317821,9.848858,4.472136,5.385165,10.77033,15.231546,18.384776,20.124612,2.236068,5.09902,9.848858,13.892444,17.492856,21.095023,23.323808,24.698178,24.698178,23.323808,21.954498,18.867962,16.124515,13.038405,9.433981,6.708204,3.162278,1.0,3.605551,7.211103,10.816654,13.601471,16.643317,18.867962,19.723083,19.723083,11.8407545,19.3365905,16.7462115,13.324555499999999,9.7434165,5.733964,1.9142135,2.5322475,5.751072000000001,8.3322915,10.9310075,13.3007355,15.0,16.405694,17.6023255,18.3005375,17.6023255,17.6023255,15.694426499999999,12.347744500000001,9.215552500000001,5.464986,2.207107,5.0,8.365746000000001,11.721674499999999,13.8007355,8.640901,12.464193999999999,15.347540500000001,18.3498165,20.8006905,20.7790835,20.9408825,19.656604,17.446250499999998,14.9330345,11.955628,9.326762500000001,5.9568575,3.0811390000000003,1.414214,2.236068,5.328427,7.7130115,9.7434165,12.2879365,14.4534795,17.2468175,19.156604,20.843392,21.786941499999998,22.36068,5.385165,7.071068,10.440307,12.649111,13.928388,14.866069,15.524175,14.317821,14.142136,12.041595,11.0,9.0,7.0,5.0,3.162278,2.236068,4.123106,7.615773,10.29563,12.529964,14.764823,17.0,17.464249,17.464249,15.811388,13.601471,10.198039,13.152946,15.524175,17.464249,18.681542,17.720045,16.492423,14.56022,12.369317,10.198039,7.071068,5.385165,5.0,6.324555,9.0,10.049876,12.041595,14.035669,16.0,18.0,18.027756,18.11077,17.117243,15.033296,12.041595,9.055385
yena_sit_move_normal_01,0.9,17.204651,14.422205,11.18034,9.219544,7.28011,7.81025,10.29563,11.7047,14.866069,15.811388,17.720045,18.973666,18.973666,20.248457,19.313208,18.384776,16.155494,12.649111,8.544004,3.0,3.605551,8.485281,13.453624,17.029386,20.615528,22.022716,1.414214,5.385165,10.440307,14.317821,18.439089,21.587033,24.515301,25.317978,25.179357,24.186773,22.203603,20.099751,16.03122,13.038405,10.0,6.0,3.162278,2.0,4.472136,8.062258,11.18034,13.892444,16.643317,19.416488,20.0,19.209373,17.804494,15.811388,12.529964,8.944272,5.385165,2.236068,3.162278,6.403124,9.219544,11.401754,13.601471,15.811388,17.204651,18.601075,18.601075,19.209373,17.804494,17.029386,14.142136,10.630146,6.403124,1.414214,3.605551,7.071068,10.630146,12.806248,10.77033,14.764823,18.601075,20.518285,22.627417,22.671568,22.803509,21.400935,19.416488,15.811388,13.038405,9.433981,5.656854,3.162278,2.828427,4.123106,6.082763,9.219544,11.7047,13.928388,15.652476,18.35756,19.416488,20.615528,20.518285,21.213203,5.385165,7.211103,10.29563,13.0,14.317821,14.317821,14.764823,14.422205,13.601471,12.806248,10.630146,8.485281,7.071068,5.0,3.162278,3.162278,5.0,7.615773,10.77033,13.601471,15.811388,17.464249,18.384776,17.464249,16.552945,13.416408,10.29563,13.038405,15.264338,17.0,18.35756,17.888544,17.0,14.764823,12.529964,9.433981,7.81025,5.0,5.0,5.830952,7.81025,9.899495,11.313708,14.142136,14.866069,17.029386,17.804494,17.804494,17.204651,15.0,12.041595,9.219544
