sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
yena_sit_to_stand_normal_01,0.0,4.242641,5.0,7.615773,11.661904,13.038405,14.764823,15.652476,16.552945,16.155494,15.524175,15.524175,13.341664,12.165525,10.049876,7.071068,4.472136,3.162278,4.472136,7.81025,11.401754,15.0,17.804494,19.849433,19.849433,19.849433,19.104973,7.071068,9.055385,11.045361,13.038405,14.035669,14.035669,13.038405,12.041595,10.0,8.0,6.082763,4.472136,4.472136,5.09902,7.071068,8.246211,10.440307,12.369317,14.317821,15.132746,16.03122,17.029386,16.03122,15.0,13.0,10.049876,18.35756,20.808652,22.203603,22.022716,19.849433,17.691806,14.142136,10.630146,8.602325,5.385165,4.123106,6.403124,8.944272,12.083046,15.231546,18.384776,20.615528,22.847319,22.847319,22.472205,21.18962,17.720045,14.317821,11.0,8.544004,7.81025,9.433981,12.206556,14.422205,15.0,14.21267,13.453624,11.313708,7.81025,5.0,2.236068,1.414214,4.242641,6.403124,8.944272,9.848858,11.401754,12.369317,13.152946,12.041595,11.0,9.055385,7.071068,3.162278,1.414214,6.708204,11.18034,11.3216585,11.904171,12.094037,12.1093725,11.242231499999999,10.141762,8.7693645,9.5622575,11.317854,12.1434655,13.540667,13.991760500000002,14.451660500000001,14.560220000000001,14.081139,13.6244045,16.7568165,18.1493425,19.7421685,20.0579985,19.359501,18.1798485,15.7024565,14.658989,15.402964,15.638489499999999,7.6055515,7.440659,7.1934065,7.187478,7.0276925,6.081139,5.581139,5.1627019999999995,4.561553,4.7182515,3.3996895,2.943175,3.817207,4.130649,3.707107,4.0,4.618034,5.7360679999999995,6.082763,6.815688,7.0276925,7.717520499999999,8.560472,10.2201535,10.531129,11.180340000000001
yena_sit_to_stand_normal_01,0.1,27.166155,26.476405,24.738634,21.84033,18.027756,13.601471,10.440307,7.0,4.472136,6.324555,9.055385,12.041595,15.0,18.027756,21.095023,23.194827,24.515301,24.738634,24.041631,23.086793,19.924859,16.763055,12.369317,8.0,5.0,6.082763,10.29563,8.944272,7.615773,6.082763,4.123106,5.0,7.071068,9.0,12.041595,13.0,14.035669,15.0,14.0,14.035669,13.152946,11.045361,10.049876,8.0,7.071068,5.830952,5.830952,9.219544,13.0,17.0,21.0,24.020824,18.439089,21.213203,22.090722,22.090722,20.024984,18.027756,15.0,12.0,9.055385,6.324555,5.656854,5.09902,8.062258,11.401754,14.56022,16.763055,18.973666,21.18962,21.18962,21.18962,19.313208,16.552945,13.892444,9.219544,6.708204,6.082763,9.055385,11.18034,13.038405,14.035669,14.035669,12.0,10.049876,8.246211,4.472136,2.236068,2.236068,5.09902,6.082763,8.062258,9.486833,10.77033,11.18034,11.661904,11.661904,10.630146,9.219544,6.403124,2.828427,2.236068,6.082763,11.401754,11.3216585,11.904171,12.094037,12.1093725,11.242231499999999,10.141762,8.7693645,9.5622575,11.317854,12.1434655,13.540667,13.991760500000002,14.451660500000001,14.560220000000001,14.081139,13.6244045,16.7568165,18.1493425,19.7421685,20.0579985,19.359501,18.1798485,15.7024565,14.658989,15.402964,15.638489499999999,7.6055515,7.440659,7.1934065,7.187478,7.0276925,6.081139,5.581139,5.1627019999999995,4.561553,4.7182515,3.3996895,2.943175,3.817207,4.130649,3.707107,4.0,4.618034,5.7360679999999995,6.082763,6.815688,7.0276925,7.717520499999999,8.560472,10.2201535,10.531129,11.180340000000001
yena_sit_to_stand_normal_01,0.2,24.166092,22.825424,21.954498,18.867962,16.401219,12.206556,8.602325,5.385165,3.162278,4.472136,7.28011,10.198039,13.341664,16.492423,18.681542,20.880613,21.540659,22.847319,22.36068,20.124612,18.35756,14.764823,10.77033,7.071068,4.472136,5.385165,9.433981,8.602325,7.211103,5.0,4.123106,3.605551,5.830952,8.062258,9.848858,11.18034,12.083046,13.0,12.529964,11.661904,11.661904,10.29563,9.433981,6.708204,5.385165,4.123106,5.0,7.615773,11.401754,14.56022,18.973666,21.18962,18.867962,21.095023,21.470911,21.931712,19.697716,17.464249,14.317821,12.083046,8.062258,5.656854,5.0,7.615773,9.433981,12.806248,15.620499,18.439089,21.260292,23.430749,23.430749,22.671568,20.518285,17.691806,14.21267,11.18034,8.062258,7.615773,9.848858,13.0,14.317821,14.866069,14.866069,13.341664,11.18034,8.062258,5.0,2.236068,1.414214,4.123106,6.0,8.0,9.055385,10.198039,11.401754,11.7047,11.18034,10.29563,8.602325,6.403124,2.236068,2.236068,6.403124,11.401754,16.763055,16.763055,14.56022,11.7047,8.544004,5.385165,2.0,2.236068,5.830952,9.433981,12.529964,15.652476,18.788294,21.931712,24.698178,26.925824,26.570661,26.570661,24.351591,21.18962,17.088007,11.18034,5.656854,3.605551,7.28011,11.18034,8.0,8.246211,8.544004,9.433981,9.219544,9.219544,7.81025,6.708204,4.472136,3.0,1.414214,2.236068,3.605551,5.0,6.403124,6.403124,7.211103,6.403124,6.403124,5.0,4.123106,4.472136,6.403124,10.29563,13.928388,15.811388
yena_sit_to_stand_normal_01,0.30000000000000004,4.472136,5.09902,7.81025,11.313708,13.453624,15.556349,16.278821,17.029386,16.401219,16.643317,15.264338,13.416408,12.083046,9.848858,7.615773,5.0,3.0,5.0,8.944272,12.083046,16.155494,18.788294,20.124612,21.023796,20.59126,19.235384,8.062258,10.198039,11.18034,13.341664,14.317821,14.317821,14.317821,12.369317,10.440307,8.246211,6.708204,5.0,4.472136,5.0,6.324555,8.062258,10.29563,12.529964,13.416408,15.231546,16.155494,17.088007,16.763055,15.524175,13.601471,10.440307,13.0,8.544004,5.09902,5.385165,8.062258,11.401754,14.56022,16.492423,18.248288,19.235384,19.104973,18.027756,17.029386,16.03122,14.142136,11.18034,8.944272,6.708204,9.055385,13.0,16.643317,20.0,22.803509,24.083189,23.430749,22.022716,9.433981,7.615773,5.09902,2.236068,3.162278,5.0,7.81025,9.433981,11.18034,10.77033,10.77033,9.219544,8.062258,6.0,4.123106,2.236068,2.236068,5.385165,8.062258,11.0,14.142136,17.464249,19.924859,20.248457,21.023796,19.235384,5.0,7.615773,10.29563,12.206556,14.422205,15.264338,16.124515,15.652476,15.652476,13.928388,13.928388,11.7047,9.486833,6.324555,2.236068,2.0,6.082763,11.18034,16.278821,20.396078,24.515301,25.495098,26.476405,26.683328,24.515301,20.396078,8.062258,7.81025,7.071068,6.403124,5.09902,5.0,4.472136,4.242641,5.0,5.385165,5.385165,5.385165,4.472136,3.605551,2.236068,2.0,2.828427,5.0,6.708204,8.944272,9.848858,10.77033,10.440307,10.440307,8.062258,6.082763
yena_sit_to_stand_normal_01,0.4,22.803509,22.803509,21.633308,19.723083,16.124515,12.529964,8.944272,5.830952,3.162278,4.472136,7.071068,9.219544,11.401754,14.21267,16.970563,18.384776,20.518285,21.260292,20.615528,19.416488,17.204651,13.601471,10.630146,6.403124,4.0,5.0,8.246211,7.28011,6.324555,4.472136,3.605551,4.123106,5.830952,8.485281,9.899495,12.041595,12.727922,12.727922,12.727922,12.041595,11.401754,10.0,8.602325,7.81025,5.656854,4.123106,5.385165,7.81025,11.313708,14.866069,17.691806,20.518285,14.6795965,14.5382705,12.7835795,12.9379745,14.676327999999998,15.3055635,15.794802999999998,15.4878625,14.714755,13.866283,13.257747,12.3410575,12.777557,13.7191115,14.4534795,14.367042999999999,14.5774245,15.3735625,16.326431,18.1702685,19.970917,20.094054,19.8898195,18.789071999999997,17.8465685,15.891708000000001,9.1374645,9.688314,8.321978,8.0,8.9142135,10.432124,10.607602,10.246834499999999,9.206452,7.987434,6.5827625,7.0226805,7.04951,7.343420500000001,7.266500499999999,7.1178485,6.5207975,7.603278,9.265555500000001,10.514599,11.443631499999999,12.008496000000001,11.912127,11.017529,13.130146,14.076822499999999,18.35756,17.0,15.652476,13.0,9.848858,6.708204,3.605551,2.236068,5.0,8.062258,11.661904,14.422205,18.027756,20.808652,23.430749,24.839485,26.248809,25.495098,24.083189,20.518285,16.278821,11.401754,6.324555,3.605551,8.0,11.18034,6.324555,7.211103,8.485281,9.433981,9.848858,9.486833,9.219544,8.0,6.082763,5.09902,2.236068,2.0,2.236068,3.605551,4.472136,6.324555,6.324555,6.324555,5.385165,5.0,5.0,6.082763,8.246211,11.7047,14.317821,16.124515
yena_sit_to_stand_normal_01,0.5,25.96151,26.476405,24.186773,22.090722,19.026298,14.0,10.0,6.324555,3.605551,5.0,7.28011,10.77033,13.928388,17.088007,19.924859,21.84033,23.537205,24.33105,24.186773,22.090722,19.026298,15.033296,11.18034,6.708204,4.472136,6.324555,10.440307,9.486833,8.544004,6.403124,5.830952,6.0,7.28011,10.29563,11.661904,13.892444,15.264338,15.264338,15.652476,14.317821,13.0,13.0,10.77033,8.944272,7.211103,6.403124,7.071068,9.219544,12.649111,17.464249,20.615528,23.4094,15.0,10.630146,6.403124,4.123106,7.211103,10.77033,13.928388,16.155494,17.464249,18.35756,19.723083,19.416488,18.601075,17.204651,15.811388,13.892444,11.7047,10.0,10.29563,12.806248,17.0,20.615528,23.4094,25.298221,25.298221,24.041631,11.313708,9.219544,7.211103,3.162278,1.0,4.242641,7.81025,9.433981,11.18034,13.0,12.649111,11.18034,10.049876,9.0,6.082763,4.472136,1.414214,2.0,5.09902,8.544004,12.529964,15.811388,18.439089,20.518285,21.931712,20.615528,16.763055,16.763055,14.866069,11.7047,9.486833,6.324555,3.0,3.162278,5.09902,9.055385,12.165525,16.124515,19.104973,22.022716,24.0,26.0,27.018512,28.017851,26.0,23.0,18.027756,13.341664,8.602325,7.28011,9.486833,13.038405,8.062258,9.219544,10.0,10.440307,11.18034,11.401754,11.313708,10.0,8.062258,6.082763,4.0,3.605551,3.162278,5.09902,5.830952,6.403124,7.071068,7.071068,7.071068,5.830952,5.09902,4.472136,6.403124,8.944272,11.7047,14.866069
yena_sit_to_stand_normal_01,0.6000000000000001,5.385165,7.28011,9.433981,11.401754,13.453624,15.620499,16.401219,17.204651,17.492856,16.552945,15.231546,13.928388,12.649111,10.440307,8.544004,5.830952,4.472136,4.123106,7.211103,10.630146,14.142136,17.691806,18.439089,19.209373,19.209373,17.204651,5.656854,7.81025,10.630146,12.206556,13.601471,12.806248,12.806248,12.206556,10.816654,9.433981,7.615773,6.082763,5.09902,5.830952,6.403124,8.485281,9.899495,11.313708,13.453624,14.142136,14.866069,16.401219,15.811388,14.422205,12.206556,10.0,17.888544,20.124612,21.954498,22.472205,20.808652,18.439089,15.620499,13.453624,10.0,7.615773,6.0,6.324555,8.485281,10.630146,14.21267,16.401219,20.615528,21.400935,22.022716,23.430749,21.260292,19.209373,15.811388,13.416408,9.219544,8.246211,8.602325,10.29563,13.416408,13.928388,14.866069,13.601471,11.401754,9.055385,6.082763,4.0,1.0,3.162278,5.385165,7.615773,9.433981,11.401754,12.041595,12.727922,12.806248,12.206556,10.816654,8.602325,5.656854,4.0,5.656854,10.29563,17.888544,17.888544,15.652476,13.416408,10.29563,6.708204,3.162278,2.236068,4.123106,7.28011,10.440307,13.601471,16.763055,19.646883,22.561028,23.537205,24.738634,24.738634,22.803509,19.924859,15.231546,10.816654,6.708204,6.708204,9.433981,13.0,7.211103,7.211103,7.615773,8.062258,9.219544,9.848858,9.433981,9.899495,9.433981,8.544004,8.062258,7.28011,8.062258,7.81025,7.81025,8.062258,7.615773,7.615773,6.324555,4.472136,2.828427,3.162278,5.656854,8.944272,12.529964,15.231546
yena_sit_to_stand_normal_01,0.7000000000000001,23.693433,23.810197000000002,22.503556,20.0498755,16.8363515,13.038405,9.5,5.751072000000001,3.6675440000000004,5.3983455,8.7481195,11.804155000000002,14.8432715,17.760306,20.59126,22.146196,24.2588415,25.1757955,24.849089,23.106454499999998,20.6383455,16.627739,12.824555499999999,8.2062875,6.0466845,7.6366805,11.1128505,10.615108,9.63471,8.3078865,6.363961,6.0777535,7.385231,8.866522,9.9128575,11.5642035,12.9849915,13.4833965,13.076473,12.509214,11.8855355,11.401754,9.7087915,8.246211,6.6978115,5.5413815,6.7237115,8.4852815,11.323431500000002,15.3387285,18.618564499999998,21.2952775,12.083046,9.055385,8.544004,10.630146,12.806248,15.811388,17.204651,18.601075,19.849433,19.79899,19.104973,17.804494,17.204651,15.811388,13.453624,11.313708,9.848858,10.0,12.649111,16.124515,20.248457,23.021729,25.238859,26.07681,25.553865,23.706539,8.246211,7.071068,5.0,2.236068,1.414214,3.162278,6.082763,8.0,8.062258,8.246211,8.544004,7.615773,5.830952,4.472136,2.236068,2.236068,2.236068,5.09902,7.071068,10.198039,12.649111,14.866069,17.0,18.35756,18.027756,16.643317,3.162278,6.403124,9.848858,13.0,13.928388,15.811388,17.088007,17.088007,16.155494,15.231546,13.928388,11.7047,9.486833,7.071068,4.123106,4.123106,7.615773,10.816654,14.866069,19.104973,22.022716,24.207437,25.0,23.600847,21.633308,18.35756,12.041595,13.038405,14.142136,13.341664,13.0,10.816654,9.899495,8.602325,8.544004,8.062258,7.0,6.324555,5.830952,4.242641,3.605551,3.162278,4.242641,5.830952,7.615773,9.486833,11.18034,12.165525,13.152946,12.165525,10.198039,7.615773
yena_sit_to_stand_normal_01,0.8,22.825424,21.931712,20.615528,18.973666,15.524175,12.369317,8.246211,5.385165,3.162278,4.472136,7.211103,9.899495,12.727922,15.620499,18.601075,21.095023,22.825424,23.706539,23.259407,21.540659,19.313208,15.231546,11.18034,7.81025,5.385165,6.708204,10.29563,10.0,9.219544,7.81025,6.708204,6.082763,7.28011,8.062258,10.0,10.630146,12.041595,12.041595,12.041595,11.401754,11.401754,10.816654,8.602325,7.81025,6.403124,5.385165,5.0,7.28011,10.816654,13.601471,16.401219,19.416488,17.492856,13.601471,9.899495,6.708204,7.28011,9.219544,12.727922,14.866069,16.970563,18.384776,19.104973,19.209373,19.209373,18.439089,17.691806,16.278821,15.264338,14.56022,15.0,16.763055,20.124612,23.021729,25.0,26.248809,26.248809,24.758837,15.0,13.416408,11.7047,9.0,6.708204,5.385165,7.28011,8.602325,10.630146,12.529964,12.649111,12.165525,12.0,10.198039,8.544004,7.211103,5.0,3.0,3.605551,7.071068,9.848858,13.601471,17.029386,19.79899,21.400935,21.633308,19.209373,18.601075,16.401219,13.601471,9.219544,5.830952,2.236068,2.0,6.082763,9.219544,13.152946,16.124515,18.11077,21.095023,23.086793,24.083189,25.079872,24.083189,22.203603,18.248288,13.601471,8.062258,5.0,7.071068,11.18034,14.866069,5.0,5.830952,7.81025,8.944272,11.7047,12.369317,13.038405,12.0,11.045361,9.219544,7.615773,6.403124,5.830952,6.082763,6.0,7.28011,6.324555,6.324555,5.385165,4.123106,2.236068,4.123106,6.708204,11.661904,15.0,17.804494
yena_sit_to_stand_normal_01,0.9,20.0,20.248457,18.35756,17.464249,15.231546,11.7047,8.544004,5.830952,5.0,5.0,7.28011,9.848858,12.083046,14.866069,17.720045,19.416488,21.213203,23.086793,22.0,22.0,20.024984,16.03122,13.0,9.219544,7.211103,7.615773,10.049876,11.045361,10.049876,9.055385,8.062258,7.28011,6.403124,5.830952,6.324555,7.071068,9.055385,9.055385,10.049876,10.049876,10.198039,9.219544,9.219544,8.246211,7.071068,7.0,7.28011,8.062258,10.0,12.041595,14.866069,17.691806,10.77033,7.28011,4.472136,6.708204,9.055385,12.0,15.0,16.03122,17.029386,17.117243,17.262677,16.278821,15.524175,14.317821,12.165525,10.0,8.544004,9.219544,11.7047,15.132746,19.026298,21.0,24.020824,25.019992,24.020824,22.022716,8.485281,7.211103,5.09902,3.605551,4.472136,6.082763,8.544004,9.433981,10.0,10.630146,10.0,9.433981,7.615773,5.385165,3.0,2.0,1.414214,4.123106,7.071068,10.0,12.165525,15.524175,17.088007,18.384776,17.888544,17.0,7.071068,8.544004,11.401754,13.341664,14.142136,15.297059,15.524175,14.866069,13.928388,13.416408,11.18034,8.944272,7.615773,5.09902,2.828427,5.0,9.486833,14.317821,17.888544,21.954498,24.186773,25.553865,25.553865,23.853721,21.095023,17.204651,12.727922,12.206556,11.661904,9.848858,8.062258,7.28011,6.403124,6.708204,7.071068,8.0,8.062258,8.246211,7.28011,6.324555,4.123106,2.0,1.414214,3.162278,5.0,6.403124,8.485281,9.899495,10.630146,9.433981,8.944272,7.071068
