sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
yena_stand_normal_06,0.0,23.537205,21.377558,18.248288,15.132746,11.045361,7.0,4.123106,1.414214,2.828427,4.472136,6.324555,8.246211,9.055385,11.045361,12.041595,13.0,13.038405,13.0,12.0,11.0,9.0,7.0,5.0,2.236068,1.0,2.236068,4.123106,2.236068,4.472136,8.246211,13.038405,17.0,20.024984,22.090722,23.194827,24.186773,23.345235,21.377558,19.416488,16.492423,14.317821,11.18034,8.062258,4.0,1.414214,3.605551,7.28011,11.401754,16.492423,19.646883,22.561028,24.515301,5.830952,8.602325,12.806248,15.0,16.124515,17.0,17.0,15.652476,15.231546,13.0,11.7047,9.848858,7.615773,5.830952,3.605551,4.123106,7.211103,10.630146,14.142136,17.691806,21.260292,24.207437,24.413111,25.553865,25.059928,23.259407,16.492423,16.492423,15.524175,14.317821,12.649111,12.083046,10.0,9.899495,9.433981,9.486833,11.401754,12.165525,12.041595,13.0,14.0,15.0,15.0,15.033296,16.03122,16.0,15.0,14.0,13.0,11.0,7.071068,4.123106,19.2643375,18.1257075,17.4257775,15.622837,13.26725,11.543478,9.556331499999999,7.2111025,6.2981295,5.8078865,5.7117875,5.0413815,5.081139,4.653568,4.354102,4.6157755,4.496615,4.0,4.496615,4.319596,4.640055,5.207107,5.609772,6.533689,6.9937450000000005,7.211103,17.708244,18.3600225,18.090239,18.917051999999998,19.150768499999998,19.1142235,19.630184,20.011898000000002,19.270329500000003,18.8024755,18.6144645,18.0292555,16.852515,16.314472000000002,15.953092999999999,16.1554945,16.51969,16.2984975,16.739917,16.7715415,17.3587725,18.1240935,19.321571,21.4004755,22.596407,22.115773
yena_stand_normal_06,0.1,25.238859,23.600847,20.0,16.401219,12.041595,8.485281,5.0,2.0,3.162278,4.123106,6.324555,8.062258,10.0,11.401754,11.401754,12.041595,12.727922,12.727922,12.041595,11.313708,9.219544,7.071068,4.242641,2.236068,1.0,3.162278,5.0,2.0,4.123106,8.062258,13.601471,17.691806,19.79899,22.671568,23.430749,24.207437,22.803509,21.400935,18.601075,17.204651,13.601471,11.401754,7.81025,4.242641,1.0,4.123106,8.944272,13.038405,17.492856,20.808652,24.413111,26.07681,19.79899,19.209373,16.401219,12.806248,9.433981,6.403124,2.236068,2.828427,5.09902,8.062258,10.198039,12.369317,14.56022,15.811388,18.027756,18.788294,20.124612,19.723083,18.867962,18.027756,15.264338,13.416408,10.77033,9.055385,9.219544,9.433981,9.219544,11.401754,13.601471,16.401219,18.439089,19.104973,18.384776,18.439089,17.691806,17.029386,14.21267,13.453624,12.041595,9.899495,8.602325,8.062258,6.324555,6.0,6.324555,8.602325,9.899495,12.041595,15.0,17.804494,19.209373,20.518285,19.2643375,18.1257075,17.4257775,15.622837,13.26725,11.543478,9.556331499999999,7.2111025,6.2981295,5.8078865,5.7117875,5.0413815,5.081139,4.653568,4.354102,4.6157755,4.496615,4.0,4.496615,4.319596,4.640055,5.207107,5.609772,6.533689,6.9937450000000005,7.211103,17.708244,18.3600225,18.090239,18.917051999999998,19.150768499999998,19.1142235,19.630184,20.011898000000002,19.270329500000003,18.8024755,18.6144645,18.0292555,16.852515,16.314472000000002,15.953092999999999,16.1554945,16.51969,16.2984975,16.739917,16.7715415,17.3587725,18.1240935,19.321571,21.4004755,22.596407,22.115773
yena_stand_normal_06,0.2,3.162278,7.0,10.0,13.038405,14.035669,15.033296,15.033296,14.142136,13.152946,11.401754,10.440307,8.246211,7.28011,5.385165,3.605551,1.414214,1.414214,3.0,5.09902,8.246211,10.440307,11.401754,12.369317,13.341664,12.369317,11.18034,17.691806,19.104973,20.615528,20.808652,19.416488,17.492856,13.892444,10.29563,5.830952,2.236068,3.0,6.0,9.055385,12.041595,14.035669,16.124515,18.248288,19.235384,20.223748,20.396078,20.396078,19.235384,17.464249,14.317821,10.440307,6.324555,19.924859,18.973666,15.231546,12.529964,8.062258,4.472136,1.0,3.162278,5.830952,8.944272,11.18034,13.416408,15.231546,17.088007,18.973666,19.646883,21.377558,21.095023,20.099751,18.027756,16.124515,13.341664,11.7047,10.0,10.0,10.77033,9.848858,12.369317,15.297059,17.464249,19.646883,19.924859,21.18962,19.697716,19.697716,17.888544,15.652476,14.317821,12.083046,10.440307,8.246211,8.062258,6.0,5.830952,5.656854,8.062258,9.486833,12.165525,16.124515,18.248288,20.223748,20.396078,29.274562,27.0,25.079872,19.416488,14.866069,9.486833,6.082763,3.162278,3.162278,5.09902,7.071068,7.28011,8.544004,8.062258,7.81025,7.211103,6.324555,5.09902,3.605551,5.0,6.324555,8.602325,9.219544,9.848858,9.219544,8.0,17.262677,17.117243,16.0,16.124515,16.763055,17.464249,18.35756,19.416488,19.209373,19.104973,19.79899,19.79899,20.518285,20.518285,20.518285,19.79899,18.439089,16.278821,14.142136,12.206556,10.440307,11.045361,14.866069,19.697716,24.166092,28.460499
yena_stand_normal_06,0.30000000000000004,4.123106,8.062258,10.816654,14.422205,15.264338,15.811388,15.811388,15.0,14.21267,13.453624,11.313708,9.899495,7.81025,5.830952,4.472136,2.0,1.0,3.162278,5.830952,8.602325,10.0,11.401754,12.806248,12.806248,13.038405,11.661904,18.0,20.099751,20.396078,20.615528,18.681542,17.088007,13.928388,10.77033,6.324555,2.0,2.236068,5.830952,9.219544,12.041595,13.453624,16.278821,17.691806,19.79899,19.79899,20.518285,19.79899,18.384776,16.278821,14.142136,10.630146,5.0,7.615773,11.401754,14.56022,16.492423,18.027756,18.384776,17.464249,16.552945,15.652476,14.317821,12.529964,9.848858,7.615773,5.09902,3.162278,4.0,8.062258,12.165525,16.278821,20.223748,23.086793,26.019224,27.0,27.018512,26.07681,24.186773,14.317821,14.317821,13.928388,12.083046,10.29563,9.219544,8.062258,8.246211,9.0,10.198039,11.401754,12.649111,13.0,13.416408,14.317821,14.764823,14.764823,16.124515,15.264338,14.764823,14.764823,13.892444,11.661904,8.602325,5.656854,3.0,5.385165,7.211103,9.486833,11.7047,13.0,13.416408,13.038405,11.401754,9.899495,7.81025,5.830952,4.123106,2.0,2.236068,3.162278,4.242641,5.0,5.385165,6.324555,6.0,5.0,4.0,2.236068,2.0,3.605551,17.117243,19.104973,21.213203,21.213203,21.377558,20.223748,19.104973,17.029386,15.0,13.038405,12.165525,10.440307,9.433981,8.485281,8.944272,11.401754,13.152946,16.124515,18.248288,20.396078,21.587033,21.84033,21.18962,19.697716,16.552945,12.083046,20.7302495
yena_stand_normal_06,0.4,4.123106,7.28011,11.401754,12.649111,15.524175,15.524175,15.297059,14.317821,13.038405,11.045361,10.049876,8.0,7.0,4.0,2.236068,2.236068,5.0,7.0,9.055385,11.045361,13.038405,13.038405,13.038405,12.041595,11.045361,17.029386,18.248288,19.416488,19.646883,18.681542,15.811388,12.649111,9.486833,5.385165,1.0,3.162278,5.830952,8.944272,12.529964,14.764823,16.552945,17.888544,19.697716,20.615528,20.615528,20.248457,19.313208,16.763055,13.928388,9.848858,4.472136,15.247549,19.913322,18.449531999999998,14.6336075,11.352350000000001,7.807536,4.123106,2.5,5.1213204999999995,7.701562,11.0,13.103278,15.121945,16.3249425,18.3983895,19.6643605,20.865744,21.318925,20.8985065,19.219544499999998,17.0416575,14.019202499999999,11.75175,9.272002,8.177126999999999,8.272002,8.3834715,9.056066999999999,11.543478,14.5842075,16.5742315,17.6827655,18.3436885,18.9277885,17.592146999999997,16.520938,15.064604500000002,13.3772085,11.44252,9.626712,7.531129,5.54951,4.352285500000001,3.605551,4.2976209999999995,6.646933,9.031129,12.104001,14.610985,17.682433500000002,19.794597000000003,20.7790835,20.396078,7.211103,8.062258,10.198039,12.369317,13.152946,13.038405,13.0,11.045361,9.486833,8.062258,6.403124,4.472136,4.0,3.605551,3.605551,4.123106,5.09902,5.09902,5.385165,4.472136,3.162278,2.0,1.414214,3.0,5.09902,7.071068,19.849433,22.671568,24.083189,24.041631,24.041631,22.627417,20.518285,18.439089,16.643317,16.124515,14.317821,13.341664,12.041595,11.045361,11.7047,13.416408,15.264338,17.204651,19.416488,22.203603,23.853721,24.186773,23.259407,21.540659,18.027756,13.0
yena_stand_normal_06,0.5,24.738634,23.537205,20.615528,16.763055,12.649111,8.544004,5.0,2.236068,2.236068,4.0,6.082763,8.062258,10.198039,11.401754,12.649111,12.649111,13.601471,13.601471,12.649111,10.77033,9.486833,6.324555,4.123106,1.0,2.236068,4.123106,5.09902,2.236068,3.605551,7.81025,12.206556,16.124515,20.124612,21.540659,23.4094,23.086793,21.84033,20.880613,18.439089,15.524175,13.601471,9.486833,6.324555,3.605551,1.414214,5.0,10.049876,14.142136,17.262677,22.203603,24.33105,25.495098,8.0,11.0,14.0,15.0,16.03122,16.124515,16.124515,15.297059,13.341664,11.401754,10.440307,9.219544,7.28011,5.0,3.605551,5.385165,8.062258,11.0,14.0,17.0,19.026298,21.213203,22.36068,22.561028,22.135944,20.615528,13.152946,12.165525,11.18034,10.049876,9.055385,8.544004,8.062258,9.219544,10.630146,10.816654,11.661904,11.661904,11.661904,12.083046,12.083046,12.083046,13.0,13.0,13.928388,13.0,11.7047,11.7047,9.486833,7.28011,5.0,3.605551,25.0,22.090722,18.439089,13.601471,8.944272,4.472136,1.0,2.236068,4.123106,6.082763,6.082763,7.0,6.082763,6.324555,5.830952,4.472136,4.123106,5.0,6.324555,8.062258,10.049876,11.401754,12.083046,12.806248,12.041595,10.0,16.124515,16.0,15.524175,17.464249,18.35756,20.248457,21.633308,22.203603,21.400935,21.400935,20.0,18.439089,18.384776,16.970563,16.278821,15.620499,14.21267,13.038405,12.083046,12.165525,13.038405,15.811388,20.248457,23.4094,26.248809,28.635642
yena_stand_normal_06,0.6000000000000001,23.0,20.024984,17.029386,14.142136,10.198039,6.324555,3.605551,2.0,3.605551,6.324555,8.062258,9.055385,10.0,11.045361,13.038405,13.038405,13.152946,12.041595,12.041595,10.198039,8.062258,6.082763,4.123106,2.0,1.0,2.0,4.123106,1.414214,4.242641,8.062258,12.083046,17.088007,19.924859,21.587033,22.561028,23.345235,22.203603,21.095023,18.11077,16.124515,13.038405,11.045361,7.071068,4.123106,1.0,4.123106,8.0,12.0,17.0,20.0,22.022716,24.020824,7.071068,10.198039,13.341664,15.297059,16.278821,18.11077,17.117243,17.117243,16.03122,15.033296,13.0,11.0,9.0,6.082763,3.162278,2.236068,6.403124,10.630146,14.866069,19.79899,23.345235,27.018512,28.600699,28.84441,27.784888,26.832816,14.866069,14.866069,14.21267,12.727922,10.630146,10.29563,8.544004,9.0,9.219544,9.848858,10.816654,11.401754,12.806248,13.453624,14.142136,14.866069,15.620499,15.620499,15.620499,15.620499,15.0,14.21267,13.601471,10.0,6.708204,4.0,10.630146,12.806248,14.422205,15.0,14.866069,14.866069,13.892444,11.7047,10.198039,9.219544,6.708204,5.830952,6.082763,6.082763,6.708204,7.071068,7.211103,6.708204,6.082763,5.09902,2.236068,1.0,2.828427,5.656854,8.602325,11.18034,19.849433,20.615528,22.803509,21.400935,21.260292,19.849433,19.104973,17.804494,18.027756,17.492856,17.0,16.552945,16.155494,14.56022,14.317821,15.033296,15.033296,18.11077,18.027756,20.024984,21.023796,21.0,20.0,18.027756,15.0,11.045361
yena_stand_normal_06,0.7000000000000001,24.0,22.0,19.0,15.0,11.0,7.071068,3.162278,1.414214,4.0,6.0,8.062258,10.049876,12.041595,13.038405,13.152946,14.317821,14.317821,13.341664,12.369317,10.440307,9.486833,6.324555,3.605551,1.414214,1.414214,3.0,4.123106,2.0,5.656854,9.433981,13.928388,18.027756,20.615528,22.561028,24.515301,24.33105,23.194827,21.095023,19.104973,17.117243,14.142136,10.198039,8.246211,4.472136,2.0,4.472136,8.246211,13.038405,17.029386,21.023796,23.021729,25.0,7.28011,8.944272,11.661904,13.416408,14.764823,15.652476,15.231546,15.231546,13.928388,12.649111,10.440307,8.246211,6.324555,4.123106,1.414214,2.236068,6.082763,9.486833,13.0,17.464249,20.59126,22.472205,23.600847,24.083189,23.345235,21.931712,13.892444,13.892444,12.529964,12.083046,10.440307,9.055385,8.062258,8.944272,10.0,10.630146,11.401754,12.206556,12.529964,12.529964,13.416408,14.317821,14.317821,15.231546,14.866069,14.866069,13.601471,12.649111,11.401754,8.246211,6.0,3.162278,9.848858,12.165525,14.035669,15.033296,16.278821,15.524175,14.866069,13.416408,11.401754,10.0,8.062258,6.082763,4.123106,3.605551,4.0,5.385165,6.403124,7.81025,7.615773,7.28011,6.0,5.385165,3.605551,3.162278,4.472136,6.0,16.401219,17.804494,20.0,20.0,19.416488,18.027756,18.35756,17.464249,16.763055,16.492423,15.297059,15.132746,14.035669,13.038405,13.341664,14.56022,14.317821,16.552945,17.888544,20.124612,21.023796,21.540659,20.248457,18.027756,14.866069,12.529964
yena_stand_normal_06,0.8,14.8794185,15.7858445,15.8174685,14.815446,13.929516,11.882024000000001,10.5125405,8.533345,9.196912,9.0,9.4579015,9.353188500000002,8.5898025,8.7422585,8.0207975,6.818911,7.5192025,7.2111025,8.236754,8.322541999999999,8.2800225,7.6170115,7.1879405,5.885165,6.0922719999999995,6.053275,11.894147,11.242262499999999,12.5018595,15.265652500000002,16.7172415,18.026390999999997,18.196519,16.836389,15.5771285,13.6227335,12.519788499999999,13.7039405,13.491546499999998,14.0529595,13.5275475,13.6966005,12.3955565,11.765205000000002,12.4624295,15.050078500000001,16.5502535,18.243018,18.876357499999997,19.180154,17.8465685,5.09902,5.830952,8.062258,10.816654,13.038405,13.892444,13.892444,13.892444,13.416408,12.083046,10.77033,9.848858,7.615773,5.385165,3.162278,1.0,3.162278,7.071068,10.440307,13.601471,17.088007,21.023796,22.825424,23.853721,24.413111,22.803509,21.260292,11.661904,11.18034,10.77033,9.486833,9.055385,8.062258,8.246211,8.062258,9.219544,10.630146,10.0,10.816654,11.661904,11.18034,12.083046,13.0,12.649111,12.649111,12.649111,12.369317,12.369317,11.401754,10.198039,7.071068,5.0,2.236068,8.246211,11.0,14.035669,15.0,15.033296,15.297059,13.601471,12.083046,10.0,8.602325,7.28011,6.082763,6.403124,7.211103,8.246211,9.055385,9.486833,10.29563,9.899495,8.062258,6.082763,5.09902,4.472136,6.082763,7.211103,9.433981,17.088007,18.384776,19.697716,21.023796,19.723083,20.248457,18.601075,17.691806,17.691806,16.401219,15.811388,14.764823,13.928388,13.341664,13.038405,14.035669,15.132746,16.492423,17.720045,19.924859,20.615528,19.646883,18.439089,16.492423,12.649111,9.433981
yena_stand_normal_06,0.9,24.698178,23.323808,19.723083,16.124515,11.661904,8.062258,4.472136,2.236068,5.0,7.211103,8.944272,9.848858,11.7047,12.083046,13.0,12.649111,12.649111,11.401754,10.198039,9.219544,7.071068,4.0,2.236068,1.414214,2.828427,5.656854,3.0,5.385165,10.049876,14.035669,17.117243,21.587033,22.803509,24.041631,24.698178,22.847319,21.540659,19.697716,17.088007,13.928388,11.401754,8.246211,4.0,2.236068,5.0,9.219544,13.601471,18.027756,21.633308,24.698178,26.07681,5.464986,19.104973,17.262677,14.317821,10.440307,7.28011,3.0,1.0,4.242641,7.071068,9.899495,12.041595,14.866069,16.401219,18.601075,20.248457,20.59126,21.023796,20.615528,19.313208,15.811388,13.0,10.29563,7.071068,6.082763,9.219544,10.77033,10.29563,12.529964,14.764823,17.0,17.492856,18.027756,18.027756,16.643317,15.811388,13.892444,13.038405,10.29563,9.486833,8.246211,7.0,5.09902,4.472136,5.0,6.708204,9.219544,11.045361,14.0,16.0,18.0,20.0,21.023796,22.671568,19.79899,15.0,11.18034,6.324555,2.0,1.414214,4.123106,6.082763,7.0,8.246211,8.544004,9.433981,8.485281,8.944272,9.055385,9.219544,10.0,11.401754,13.0,14.142136,15.033296,14.56022,14.317821,12.806248,10.0,16.03122,15.297059,16.155494,16.643317,17.804494,19.104973,19.849433,19.209373,18.027756,18.35756,16.552945,16.763055,15.297059,15.132746,15.033296,15.033296,14.142136,14.317821,13.0,13.601471,14.866069,16.643317,19.235384,22.36068,25.059928,24.698178
