sample_id,time_sec,rx1_sub_0,rx1_sub_1,rx1_sub_2,rx1_sub_3,rx1_sub_4,rx1_sub_5,rx1_sub_6,rx1_sub_7,rx1_sub_8,rx1_sub_9,rx1_sub_10,rx1_sub_11,rx1_sub_12,rx1_sub_13,rx1_sub_14,rx1_sub_15,rx1_sub_16,rx1_sub_17,rx1_sub_18,rx1_sub_19,rx1_sub_20,rx1_sub_21,rx1_sub_22,rx1_sub_23,rx1_sub_24,rx1_sub_25,rx1_sub_26,rx1_sub_27,rx1_sub_28,rx1_sub_29,rx1_sub_30,rx1_sub_31,rx1_sub_32,rx1_sub_33,rx1_sub_34,rx1_sub_35,rx1_sub_36,rx1_sub_37,rx1_sub_38,rx1_sub_39,rx1_sub_40,rx1_sub_41,rx1_sub_42,rx1_sub_43,rx1_sub_44,rx1_sub_45,rx1_sub_46,rx1_sub_47,rx1_sub_48,rx1_sub_49,rx1_sub_50,rx1_sub_51,rx3_sub_0,rx3_sub_1,rx3_sub_2,rx3_sub_3,rx3_sub_4,rx3_sub_5,rx3_sub_6,rx3_sub_7,rx3_sub_8,rx3_sub_9,rx3_sub_10,rx3_sub_11,rx3_sub_12,rx3_sub_13,rx3_sub_14,rx3_sub_15,rx3_sub_16,rx3_sub_17,rx3_sub_18,rx3_sub_19,rx3_sub_20,rx3_sub_21,rx3_sub_22,rx3_sub_23,rx3_sub_24,rx3_sub_25,rx3_sub_26,rx3_sub_27,rx3_sub_28,rx3_sub_29,rx3_sub_30,rx3_sub_31,rx3_sub_32,rx3_sub_33,rx3_sub_34,rx3_sub_35,rx3_sub_36,rx3_sub_37,rx3_sub_38,rx3_sub_39,rx3_sub_40,rx3_sub_41,rx3_sub_42,rx3_sub_43,rx3_sub_44,rx3_sub_45,rx3_sub_46,rx3_sub_47,rx3_sub_48,rx3_sub_49,rx3_sub_50,rx3_sub_51,rx2_sub_0,rx2_sub_1,rx2_sub_2,rx2_sub_3,rx2_sub_4,rx2_sub_5,rx2_sub_6,rx2_sub_7,rx2_sub_8,rx2_sub_9,rx2_sub_10,rx2_sub_11,rx2_sub_12,rx2_sub_13,rx2_sub_14,rx2_sub_15,rx2_sub_16,rx2_sub_17,rx2_sub_18,rx2_sub_19,rx2_sub_20,rx2_sub_21,rx2_sub_22,rx2_sub_23,rx2_sub_24,rx2_sub_25,rx2_sub_26,rx2_sub_27,rx2_sub_28,rx2_sub_29,rx2_sub_30,rx2_sub_31,rx2_sub_32,rx2_sub_33,rx2_sub_34,rx2_sub_35,rx2_sub_36,rx2_sub_37,rx2_sub_38,rx2_sub_39,rx2_sub_40,rx2_sub_41,rx2_sub_42,rx2_sub_43,rx2_sub_44,rx2_sub_45,rx2_sub_46,rx2_sub_47,rx2_sub_48,rx2_sub_49,rx2_sub_50,rx2_sub_51
yena_walk_normal_12,0.0,8.062258,12.369317,14.56022,16.492423,18.439089,18.439089,18.11077,16.124515,15.033296,13.038405,11.045361,9.055385,7.28011,4.472136,4.472136,6.0,8.246211,10.77033,12.083046,14.317821,15.231546,16.155494,15.231546,14.317821,12.083046,9.848858,15.620499,17.691806,19.104973,19.104973,17.691806,14.866069,12.727922,9.219544,5.830952,3.0,3.162278,6.0,8.0,10.049876,12.041595,13.0,14.035669,15.132746,16.492423,16.763055,16.155494,14.317821,13.0,9.848858,7.28011,4.472136,10.816654,10.630146,10.29563,11.401754,13.038405,14.035669,15.033296,15.033296,15.132746,15.297059,15.524175,15.524175,14.866069,13.928388,13.0,12.083046,10.77033,9.486833,7.071068,6.324555,6.403124,7.211103,9.219544,11.18034,12.165525,13.038405,11.7047,13.928388,16.552945,17.888544,18.35756,18.027756,16.401219,15.620499,13.453624,10.630146,9.219544,7.211103,5.09902,5.0,6.324555,6.708204,8.944272,11.18034,13.416408,15.231546,17.088007,18.027756,17.720045,17.720045,17.464249,14.56022,2.0,5.0,8.944272,12.083046,13.892444,14.764823,13.892444,13.038405,11.401754,9.899495,8.602325,6.708204,5.09902,4.123106,4.242641,5.09902,6.0,7.615773,8.602325,10.0,9.848858,11.18034,12.041595,12.369317,12.083046,12.206556,10.630146,12.806248,15.264338,16.552945,17.088007,17.720045,16.278821,15.132746,13.0,11.045361,7.28011,5.385165,3.162278,2.828427,5.385165,8.246211,12.041595,15.033296,18.027756,20.0,21.023796,22.022716,21.0,19.0,16.0,11.0
yena_walk_normal_12,0.1,7.28011,10.049876,14.035669,16.124515,17.117243,17.262677,16.492423,15.524175,14.56022,11.7047,10.77033,7.28011,6.082763,4.123106,3.605551,5.09902,8.0,11.045361,13.152946,15.132746,17.117243,17.117243,17.029386,15.132746,14.035669,11.045361,16.155494,18.384776,18.384776,18.384776,17.464249,16.552945,13.416408,10.29563,6.403124,4.123106,4.472136,5.830952,8.062258,9.848858,12.083046,13.892444,15.264338,15.811388,17.029386,17.691806,16.278821,15.620499,14.21267,10.630146,7.071068,3.605551,12.165525,10.0,9.486833,10.816654,11.313708,12.806248,12.806248,14.21267,14.866069,14.866069,14.866069,14.21267,14.422205,13.601471,13.892444,11.661904,10.816654,8.602325,7.071068,5.385165,6.082763,7.211103,9.219544,11.401754,11.401754,12.806248,13.038405,15.264338,18.35756,19.697716,20.615528,19.924859,19.646883,17.464249,15.132746,13.038405,11.045361,8.062258,5.385165,5.0,5.830952,6.324555,8.246211,10.198039,12.369317,14.317821,16.763055,18.027756,19.313208,19.313208,18.788294,16.155494,2.0,5.0,8.944272,12.083046,13.892444,14.764823,13.892444,13.038405,11.401754,9.899495,8.602325,6.708204,5.09902,4.123106,4.242641,5.09902,6.0,7.615773,8.602325,10.0,9.848858,11.18034,12.041595,12.369317,12.083046,12.206556,10.630146,12.806248,15.264338,16.552945,17.088007,17.720045,16.278821,15.132746,13.0,11.045361,7.28011,5.385165,3.162278,2.828427,5.385165,8.246211,12.041595,15.033296,18.027756,20.0,21.023796,22.022716,21.0,19.0,16.0,11.0
yena_walk_normal_12,0.2,26.0,24.020824,20.024984,15.033296,11.0,7.071068,4.242641,5.0,7.28011,9.848858,12.649111,13.928388,15.811388,16.492423,16.278821,16.124515,17.117243,15.132746,12.165525,10.198039,6.324555,5.0,5.0,7.615773,10.0,10.630146,8.544004,6.0,6.403124,9.848858,13.341664,16.124515,19.026298,21.023796,22.022716,22.090722,20.099751,19.235384,16.278821,14.56022,11.7047,8.544004,5.385165,2.236068,3.0,7.28011,10.77033,14.866069,18.681542,23.537205,26.305893,27.073973,12.041595,10.29563,10.198039,10.049876,11.401754,12.649111,13.0,13.928388,14.866069,14.56022,15.297059,14.142136,14.142136,14.035669,13.038405,13.038405,11.0,9.055385,7.28011,5.830952,4.472136,6.0,8.246211,10.77033,12.083046,12.529964,13.0,16.0,18.027756,20.223748,20.396078,20.615528,19.924859,18.027756,15.231546,13.0,10.77033,8.544004,6.082763,5.09902,5.385165,7.211103,8.485281,10.630146,13.453624,14.866069,16.278821,18.439089,18.601075,19.209373,18.601075,17.204651,3.0,8.109772,11.0207975,13.571068,14.9496825,15.121945,14.418734,12.8487865,11.2934635,9.5087635,7.5135175,6.1055515,4.3027755,3.6426920000000003,4.123106,5.0367964999999995,5.751072000000001,7.343420500000001,8.7996945,10.024937999999999,11.553227,12.5607255,13.741900000000001,14.606335,14.948784499999999,13.495864000000001,13.229175999999999,15.731932,17.7460025,18.853024,19.564978500000002,18.845903,17.753096,15.6783465,13.4745575,11.109772,8.2169905,5.771602,3.6426920000000003,4.4953579999999995,7.3023545,10.54849,13.582762500000001,16.1727885,18.856353,20.9396785,22.045220999999998,22.045220999999998,20.7817065,17.729135499999998,13.1704145,10.440307
yena_walk_normal_12,0.30000000000000004,7.81025,12.206556,14.422205,17.204651,18.027756,18.601075,18.439089,17.029386,14.866069,12.727922,11.313708,9.219544,7.071068,4.472136,4.123106,5.0,6.708204,9.486833,11.7047,13.601471,15.811388,15.811388,14.866069,13.928388,12.649111,9.486833,15.524175,17.464249,18.439089,18.439089,17.262677,15.132746,12.041595,9.055385,5.09902,2.828427,4.472136,6.403124,8.485281,10.630146,12.806248,14.21267,15.811388,16.643317,16.124515,16.552945,16.155494,15.811388,13.601471,10.440307,7.615773,3.605551,12.041595,10.77033,10.0,11.313708,13.038405,13.416408,14.764823,14.764823,15.264338,15.811388,16.401219,15.620499,14.866069,14.866069,14.866069,13.453624,11.313708,9.899495,8.062258,6.324555,6.082763,7.211103,8.485281,10.816654,12.206556,13.038405,11.313708,14.142136,16.278821,17.804494,18.027756,17.492856,17.0,15.652476,13.0,10.77033,8.944272,6.708204,5.656854,5.385165,6.082763,7.0,9.055385,11.045361,13.038405,15.0,16.03122,18.11077,18.248288,18.248288,17.262677,16.124515,31.048349,29.12044,25.632011,20.615528,15.652476,10.816654,5.656854,3.0,3.162278,5.0,6.324555,7.615773,8.944272,9.219544,9.899495,10.29563,10.440307,11.045361,11.18034,11.18034,11.401754,11.401754,9.848858,8.246211,7.071068,5.656854,16.278821,15.033296,12.165525,9.848858,7.81025,7.0,8.944272,11.313708,14.422205,17.464249,18.973666,20.396078,21.213203,21.095023,20.024984,20.0,17.0,15.033296,10.049876,5.09902,1.0,7.071068,14.142136,20.223748,26.305893,29.427878
yena_walk_normal_12,0.4,22.36068,20.615528,17.720045,13.601471,9.486833,5.09902,2.236068,3.0,5.830952,7.615773,9.848858,12.083046,12.649111,13.601471,14.56022,14.317821,13.341664,12.369317,11.18034,8.544004,5.385165,3.162278,4.472136,7.071068,9.219544,10.816654,6.403124,6.082763,6.708204,9.899495,13.892444,16.552945,19.697716,21.540659,21.540659,21.023796,20.615528,17.888544,16.124515,13.892444,10.816654,8.602325,5.830952,3.0,2.236068,6.082763,10.049876,13.038405,17.029386,21.0,23.021729,24.083189,23.345235,24.186773,23.086793,22.022716,19.026298,17.0,14.0,11.045361,9.055385,7.615773,7.211103,7.211103,8.944272,10.77033,13.601471,15.811388,18.027756,20.248457,21.18962,22.472205,22.847319,21.931712,21.023796,18.788294,15.652476,13.416408,11.401754,10.0,7.211103,5.385165,4.123106,4.242641,6.324555,9.219544,10.440307,12.649111,13.416408,13.892444,13.892444,13.601471,13.453624,12.727922,12.041595,12.041595,9.899495,10.0,8.944272,10.198039,12.041595,15.132746,18.248288,20.396078,2.236068,4.123106,8.062258,10.198039,12.165525,12.369317,12.369317,11.7047,9.848858,8.544004,7.211103,5.656854,4.242641,2.236068,1.414214,2.0,2.828427,4.472136,6.324555,8.062258,9.055385,10.440307,12.083046,12.206556,13.453624,12.806248,12.165525,14.866069,17.088007,18.384776,19.235384,19.723083,18.027756,16.401219,14.866069,12.727922,9.219544,7.211103,4.123106,2.828427,4.0,7.28011,10.77033,13.416408,17.0,19.235384,21.470911,21.470911,21.023796,19.697716,16.155494,10.77033
yena_walk_normal_12,0.5,24.738634,21.84033,18.027756,14.866069,9.486833,5.385165,2.236068,3.0,6.324555,8.544004,10.77033,12.649111,13.601471,14.317821,16.278821,16.124515,15.033296,14.142136,12.041595,9.055385,6.324555,4.242641,4.123106,6.403124,8.485281,10.630146,7.211103,6.0,7.211103,10.630146,14.422205,17.888544,20.615528,21.931712,22.847319,22.847319,21.931712,20.124612,17.0,13.892444,11.661904,8.602325,5.385165,3.0,3.162278,7.0,11.045361,15.033296,19.026298,22.0,25.079872,26.305893,17.3393805,16.727785,15.652476,15.3452275,15.348858,14.626766,14.103866499999999,13.483466,11.995497,11.597501999999999,10.71821,10.701562,10.854102000000001,11.639753500000001,12.096006,13.071068,14.076473,14.0373735,14.0276925,14.035534,12.736068,13.247425999999999,13.511898,13.153204,13.302038,12.456233000000001,12.3715525,13.6365705,13.7321245,13.117692,12.554124,12.208244,12.341919,12.728302,12.6290155,12.041595,11.109772,10.623386,9.7636505,9.658910500000001,9.493318,10.5697455,10.8011625,11.965859,12.390905499999999,13.017334,13.5990195,14.17878,14.984317,16.358341,17.018625999999998,17.7104535,28.231188,26.832816,22.472205,18.027756,12.806248,7.81025,3.605551,1.0,3.0,6.0,8.0,9.055385,9.486833,11.18034,11.401754,12.806248,13.416408,15.297059,16.03122,16.278821,16.155494,15.264338,13.453624,11.18034,8.062258,7.211103,19.235384,17.464249,16.492423,14.035669,11.18034,10.816654,10.29563,11.18034,13.038405,14.56022,17.464249,18.35756,19.723083,20.248457,20.0,20.0,17.804494,16.278821,12.727922,9.433981,6.082763,7.81025,13.928388,19.924859,23.769729,27.202941
yena_walk_normal_12,0.6000000000000001,7.615773,10.816654,13.038405,15.264338,16.124515,17.0,15.231546,14.866069,12.649111,10.440307,9.486833,7.28011,5.385165,2.828427,2.0,3.605551,6.403124,8.602325,11.401754,12.806248,14.21267,14.866069,14.21267,13.453624,10.630146,8.602325,16.643317,18.867962,19.723083,19.723083,18.35756,16.552945,13.0,9.486833,6.0,3.605551,5.09902,7.071068,9.219544,11.401754,13.341664,15.297059,16.124515,17.117243,17.0,17.029386,17.117243,15.132746,13.152946,10.198039,7.071068,3.605551,22.135944,22.803509,21.587033,20.396078,18.248288,16.124515,14.035669,11.045361,8.062258,6.324555,5.0,5.830952,6.324555,8.062258,11.0,13.0,16.0,18.0,20.0,21.023796,22.022716,22.090722,21.095023,20.099751,17.117243,14.142136,12.529964,10.816654,9.433981,6.403124,3.605551,3.162278,5.656854,8.062258,10.29563,11.661904,13.601471,13.453624,14.142136,13.453624,12.806248,13.038405,11.661904,11.18034,9.433981,8.602325,7.81025,8.544004,10.0,12.165525,15.524175,17.720045,6.324555,8.062258,9.848858,11.661904,13.038405,13.038405,12.206556,11.661904,9.848858,8.246211,7.071068,5.09902,3.605551,4.123106,5.09902,6.403124,8.602325,10.77033,12.165525,15.033296,16.492423,19.235384,20.615528,21.260292,22.472205,21.540659,11.401754,13.0,14.56022,16.278821,17.029386,17.117243,17.464249,16.763055,16.552945,15.264338,13.601471,11.313708,8.602325,6.324555,5.09902,5.656854,7.615773,10.198039,13.038405,16.0,18.027756,18.11077,18.11077,17.117243,15.297059,11.7047
yena_walk_normal_12,0.7000000000000001,15.3888035,16.1376815,15.9053385,14.167732,13.5557675,11.793616,9.6433965,9.752716,9.519202499999999,10.0,10.0,9.5207975,9.5178345,8.652207,8.158910500000001,9.3949785,10.406286999999999,10.7944305,11.240950999999999,10.923841,10.5,10.141762,9.4471705,10.211102499999999,10.2263835,9.326762500000001,13.1869125,13.4255785,14.4187355,15.29563,16.160792999999998,16.802934999999998,16.111368,14.7340005,13.319802,12.404326,12.5,12.542302,12.4200215,12.427689,11.985904999999999,11.0640355,10.7462115,9.6620375,10.310421999999999,11.944272,13.771366,14.8981315,15.53286,15.8486335,15.735829,15.039936,22.472205,23.323808,22.825424,21.470911,18.788294,17.464249,14.866069,11.7047,9.848858,8.062258,7.071068,6.708204,7.071068,8.0,11.045361,13.038405,16.124515,18.11077,20.099751,21.095023,22.022716,22.022716,22.022716,20.024984,18.0,15.0,12.083046,11.18034,8.544004,6.324555,4.123106,3.605551,6.082763,8.062258,10.049876,13.038405,14.142136,14.317821,14.56022,13.928388,14.317821,13.416408,12.529964,11.661904,10.29563,9.848858,9.219544,9.0,10.440307,13.416408,15.264338,18.027756,9.0,7.28011,6.403124,6.708204,8.544004,8.246211,8.246211,6.324555,5.385165,3.605551,2.828427,2.236068,2.236068,3.162278,4.0,5.09902,6.708204,7.81025,9.433981,11.7047,13.038405,15.132746,16.763055,18.788294,19.416488,19.79899,9.486833,11.661904,15.620499,17.691806,19.209373,20.248457,20.124612,19.697716,19.313208,16.763055,14.56022,11.401754,8.062258,4.0,1.414214,3.605551,7.615773,12.083046,15.231546,18.788294,20.615528,22.847319,22.847319,21.931712,19.697716,17.088007
yena_walk_normal_12,0.8,7.211103,10.630146,13.453624,14.866069,15.620499,16.401219,15.264338,13.892444,12.529964,11.18034,8.944272,6.708204,4.472136,3.605551,3.0,4.242641,6.403124,10.0,11.401754,12.806248,14.21267,14.866069,14.21267,12.041595,10.630146,9.219544,17.464249,20.396078,20.223748,21.213203,19.235384,17.029386,14.0,10.049876,6.324555,5.0,5.0,7.28011,8.944272,11.18034,13.416408,14.317821,15.231546,16.763055,17.464249,17.262677,16.03122,15.033296,14.0,11.0,7.0,3.605551,12.041595,10.198039,8.062258,8.485281,8.944272,10.77033,12.649111,13.601471,13.928388,14.866069,15.231546,15.652476,16.124515,15.811388,15.811388,15.0,15.0,13.601471,10.816654,8.944272,7.071068,5.09902,6.403124,7.615773,9.219544,11.18034,10.0,13.038405,14.764823,16.552945,17.464249,18.027756,16.763055,15.524175,13.341664,11.18034,9.219544,6.324555,5.0,4.472136,5.09902,6.0,8.062258,11.045361,13.038405,15.033296,17.0,18.027756,19.104973,19.235384,18.248288,17.262677,23.345235,22.561028,20.396078,17.464249,14.142136,10.049876,8.062258,6.324555,5.656854,5.830952,6.708204,7.211103,7.211103,7.81025,7.81025,8.544004,10.049876,10.198039,12.083046,12.041595,11.401754,11.7047,11.045361,10.440307,10.630146,11.7047,22.022716,20.808652,18.35756,15.231546,12.369317,9.055385,7.81025,8.544004,11.0,14.56022,18.027756,19.697716,22.36068,22.825424,23.259407,23.706539,21.023796,20.124612,17.464249,13.0,7.615773,2.236068,5.09902,11.0,16.03122,20.024984
yena_walk_normal_12,0.9,25.298221,22.472205,19.313208,15.231546,10.77033,7.28011,4.472136,4.472136,7.071068,9.0,11.0,13.0,14.035669,14.142136,15.132746,15.132746,14.317821,13.341664,11.401754,8.062258,6.0,3.162278,3.162278,5.09902,7.615773,8.944272,9.219544,7.28011,6.708204,9.219544,13.892444,17.464249,20.248457,21.18962,22.472205,21.540659,20.615528,18.788294,15.652476,13.038405,10.0,7.211103,4.472136,2.236068,3.0,7.071068,11.045361,15.033296,19.026298,22.203603,24.33105,26.683328,12.0,10.049876,7.615773,7.071068,7.615773,8.246211,10.198039,11.18034,13.152946,13.341664,13.341664,13.601471,13.928388,13.928388,14.317821,13.416408,13.416408,11.18034,8.944272,7.615773,5.0,3.605551,4.123106,6.082763,8.246211,10.440307,12.083046,14.317821,17.088007,18.973666,19.924859,19.646883,19.416488,17.262677,15.297059,13.152946,10.198039,8.246211,6.324555,5.656854,5.385165,6.082763,8.0,11.0,13.0,15.0,17.029386,18.11077,19.104973,20.099751,19.235384,17.117243,22.847319,22.36068,20.59126,17.0,13.416408,10.77033,7.071068,6.082763,5.385165,6.403124,6.403124,7.81025,7.211103,8.062258,9.219544,10.0,10.198039,11.18034,12.041595,12.529964,12.369317,12.0,11.7047,11.313708,10.77033,12.041595,22.825424,21.023796,19.313208,16.492423,13.038405,10.440307,8.485281,10.440307,12.0,15.297059,18.027756,20.615528,22.36068,23.259407,23.259407,23.259407,21.931712,20.615528,17.464249,13.928388,8.944272,3.605551,5.0,10.440307,15.811388,19.924859
