experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_205406,2026-06-24T20:54:06.460399+09:00,skeleton,RX3,10.816654,10.630146,9.899495,9.219544,7.81025,6.403124,6.403124,6.708204,7.615773,9.219544,11.401754,12.369317,13.928388,16.552945,18.35756,19.416488,20.615528,20.518285,19.79899,18.384776,16.278821,14.422205,13.0,13.038405,14.142136,15.524175,11.7047,10.198039,10.049876,10.29563,13.453624,14.866069,16.970563,18.384776,19.104973,18.439089,17.204651,16.124515,13.416408,12.083046,10.77033,9.486833,7.28011,6.324555,5.385165,5.830952,5.830952,6.708204,7.28011,8.062258,9.0,10.198039
20260624_205406,2026-06-24T20:54:06.492205+09:00,skeleton,RX1,21.095023,22.0,20.024984,18.11077,15.033296,12.041595,10.049876,8.246211,7.211103,7.071068,8.062258,8.544004,10.198039,12.165525,14.035669,16.03122,18.11077,20.223748,21.377558,21.84033,21.18962,19.313208,16.552945,12.083046,8.246211,7.071068,11.661904,10.630146,9.219544,7.81025,5.830952,5.09902,5.09902,6.324555,8.062258,8.944272,10.29563,10.29563,11.18034,11.18034,11.7047,11.7047,10.440307,9.486833,8.544004,6.708204,5.0,5.09902,8.246211,11.7047,15.811388,18.681542
20260624_205406,2026-06-24T20:54:06.520106+09:00,skeleton,RX2,15.0,15.0,15.0,14.035669,14.142136,14.142136,14.317821,14.142136,15.132746,16.124515,17.029386,17.0,18.11077,19.235384,19.646883,19.924859,20.248457,19.313208,18.027756,16.492423,16.124515,16.03122,16.278821,18.027756,18.788294,20.124612,6.708204,8.062258,8.944272,9.848858,9.486833,9.486833,9.486833,9.486833,8.246211,8.544004,8.544004,7.615773,7.615773,7.615773,7.615773,8.544004,8.544004,9.486833,10.440307,11.401754,12.165525,13.038405,14.035669,15.033296,16.0,16.0
20260624_205406,2026-06-24T20:54:06.549312+09:00,skeleton,RX3,6.324555,7.615773,8.944272,9.848858,10.29563,11.401754,11.313708,11.313708,10.630146,10.816654,9.433981,8.602325,7.81025,7.071068,7.211103,7.615773,10.049876,12.0,15.033296,17.117243,20.099751,22.090722,23.086793,22.090722,20.024984,18.11077,18.027756,19.723083,21.954498,21.954498,21.470911,19.235384,17.0,13.892444,10.816654,8.485281,7.211103,6.324555,7.0,7.071068,7.071068,8.062258,8.062258,8.0,8.062258,8.062258,8.246211,7.28011,6.708204,6.708204,5.830952,5.385165
20260624_205406,2026-06-24T20:54:06.582383+09:00,skeleton,RX1,10.816654,12.369317,13.038405,16.03122,18.11077,19.026298,19.104973,19.026298,19.104973,18.11077,17.029386,16.124515,16.124515,15.297059,14.56022,12.649111,12.529964,12.041595,12.206556,14.866069,17.464249,21.377558,24.515301,26.925824,27.856777,26.832816,9.0,12.041595,14.317821,15.524175,17.088007,17.0,16.643317,14.422205,13.601471,12.206556,9.433981,8.062258,7.28011,6.0,6.324555,8.062258,9.899495,13.453624,14.866069,17.691806,19.849433,21.633308,22.472205,20.59126,19.235384,16.124515
20260624_205406,2026-06-24T20:54:06.609446+09:00,skeleton,RX2,15.264338,15.264338,14.764823,14.317821,13.928388,13.928388,14.866069,14.866069,16.155494,16.155494,17.0,18.35756,19.416488,20.615528,20.518285,21.213203,20.518285,20.518285,19.104973,17.691806,15.811388,16.552945,15.524175,17.117243,19.026298,20.0,7.071068,8.062258,9.219544,10.440307,10.440307,10.440307,9.486833,9.486833,8.544004,8.544004,7.28011,7.28011,7.28011,8.246211,8.062258,8.062258,9.219544,9.486833,11.7047,11.7047,13.0,14.317821,14.764823,15.264338,15.811388,16.643317
20260624_205406,2026-06-24T20:54:06.639697+09:00,skeleton,RX3,10.0,9.899495,8.602325,9.433981,7.211103,6.403124,5.656854,6.403124,7.615773,8.944272,11.18034,12.529964,13.892444,15.811388,17.691806,19.104973,19.209373,20.0,19.416488,18.027756,16.401219,14.142136,12.206556,12.649111,13.152946,15.0,12.649111,10.198039,9.055385,10.29563,12.206556,14.142136,16.970563,16.970563,17.691806,17.029386,17.204651,15.264338,13.416408,12.083046,9.486833,9.219544,7.28011,7.28011,6.324555,5.385165,6.324555,6.324555,7.071068,8.062258,8.062258,9.486833
20260624_205406,2026-06-24T20:54:06.669378+09:00,skeleton,RX1,8.602325,8.602325,11.18034,12.649111,13.601471,14.56022,14.866069,14.866069,14.56022,13.601471,12.649111,12.369317,12.369317,11.18034,11.045361,10.0,10.049876,9.486833,10.29563,11.313708,14.21267,16.401219,19.209373,21.260292,21.213203,21.400935,7.28011,8.944272,10.816654,11.401754,12.041595,12.041595,11.401754,10.816654,9.433981,8.602325,6.403124,5.656854,4.472136,4.123106,5.0,6.324555,7.615773,9.848858,11.7047,13.601471,15.524175,16.278821,16.124515,16.03122,14.035669,12.041595
20260624_205406,2026-06-24T20:54:06.700432+09:00,skeleton,RX2,17.691806,18.384776,17.691806,17.691806,17.029386,16.401219,15.0,13.601471,13.038405,12.206556,11.401754,10.630146,11.313708,12.041595,13.601471,15.264338,17.0,19.235384,21.470911,23.259407,23.706539,24.186773,24.186773,22.472205,21.095023,17.492856,6.082763,6.082763,6.324555,5.830952,5.830952,6.403124,7.071068,7.81025,8.485281,8.485281,8.485281,8.485281,7.81025,8.602325,7.81025,8.602325,7.211103,8.602325,8.602325,9.219544,9.899495,11.313708,12.041595,13.453624,14.866069,16.278821
20260624_205406,2026-06-24T20:54:06.730249+09:00,skeleton,RX3,11.045361,11.045361,10.198039,9.219544,8.246211,7.071068,7.0,7.28011,8.544004,9.848858,12.083046,13.601471,15.524175,18.11077,19.026298,21.023796,22.203603,22.203603,20.396078,19.235384,17.117243,15.0,13.341664,13.892444,14.866069,16.278821,13.0,11.661904,10.630146,11.661904,13.341664,15.132746,18.027756,19.104973,19.104973,19.235384,18.439089,16.763055,15.231546,13.416408,11.661904,10.816654,8.602325,7.81025,7.81025,7.211103,7.211103,7.211103,7.81025,9.219544,9.433981,10.77033
