experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_204934,2026-06-24T20:49:34.266812+09:00,skeleton,RX2,19.849433,17.804494,15.0,10.816654,7.28011,5.385165,6.708204,10.198039,14.0,17.0,20.0,23.0,25.019992,26.019224,27.073973,27.294688,26.476405,23.769729,19.924859,13.928388,8.544004,1.0,6.403124,13.601471,19.104973,24.758837,5.830952,6.324555,7.28011,7.28011,6.082763,5.09902,4.123106,2.236068,1.0,2.236068,3.605551,5.0,5.830952,6.708204,6.708204,7.615773,8.246211,8.062258,9.0,9.219544,10.77033,11.661904,14.21267,16.278821,19.104973,20.615528
20260624_204934,2026-06-24T20:49:34.296673+09:00,skeleton,RX3,16.492423,14.142136,12.165525,8.544004,6.708204,5.0,6.082763,8.062258,10.198039,12.165525,14.142136,16.03122,17.0,19.104973,19.235384,20.615528,19.924859,18.973666,16.155494,13.0,9.486833,5.09902,3.162278,7.28011,10.77033,14.317821,5.0,4.0,5.0,7.211103,10.29563,14.317821,16.552945,17.888544,18.788294,18.35756,18.35756,17.492856,15.811388,13.601471,12.206556,10.29563,9.486833,8.246211,8.0,10.198039,11.401754,13.928388,15.231546,17.088007,18.027756,18.973666
20260624_204934,2026-06-24T20:49:34.310988+09:00,skeleton,RX1,23.4094,23.706539,22.472205,20.808652,17.804494,14.21267,12.206556,8.944272,7.28011,7.0,7.28011,8.944272,9.433981,12.206556,13.601471,15.811388,17.204651,19.723083,20.124612,19.313208,18.973666,16.763055,13.601471,9.848858,8.485281,8.544004,14.866069,14.317821,13.416408,12.529964,11.18034,9.486833,8.062258,8.062258,9.219544,9.848858,10.77033,11.7047,12.649111,12.649111,12.369317,13.341664,12.165525,12.165525,11.18034,9.219544,8.544004,7.81025,8.944272,12.369317,15.297059,18.439089
20260624_204934,2026-06-24T20:49:34.311419+09:00,skeleton,RX2,10.440307,12.041595,14.0,15.033296,16.03122,15.132746,15.132746,14.142136,12.165525,10.198039,8.062258,6.082763,3.162278,1.0,3.0,7.0,11.0,14.035669,18.027756,20.099751,22.203603,23.537205,22.561028,21.84033,18.973666,16.155494,2.0,2.0,1.414214,2.236068,3.162278,3.605551,3.605551,4.242641,4.242641,3.605551,3.605551,3.162278,3.162278,3.0,3.162278,3.605551,3.605551,4.472136,5.385165,6.324555,7.071068,7.0,7.071068,7.28011,8.062258,8.485281
20260624_204934,2026-06-24T20:49:34.313884+09:00,skeleton,RX3,17.464249,15.231546,12.649111,8.944272,6.403124,4.472136,5.09902,7.615773,10.29563,12.083046,15.231546,17.088007,17.720045,19.416488,21.213203,21.023796,21.0,20.024984,18.11077,14.035669,10.0,5.09902,4.123106,7.211103,11.401754,14.866069,4.472136,4.0,4.242641,6.708204,10.440307,13.341664,15.524175,17.720045,17.720045,18.027756,18.027756,17.088007,15.231546,13.416408,12.083046,10.77033,9.219544,9.0,8.246211,9.848858,11.661904,13.892444,15.811388,18.027756,18.867962,19.723083
20260624_204934,2026-06-24T20:49:34.324385+09:00,skeleton,RX1,23.086793,24.0,23.086793,21.213203,18.439089,15.297059,13.152946,10.0,8.062258,8.944272,8.602325,9.899495,11.401754,13.038405,15.264338,16.643317,19.416488,20.615528,21.931712,21.931712,20.615528,18.601075,15.811388,12.041595,9.433981,10.198039,13.152946,13.038405,12.041595,11.0,10.049876,8.246211,7.615773,7.81025,8.485281,10.0,10.816654,11.401754,12.806248,12.041595,12.727922,12.727922,12.041595,12.041595,10.630146,9.899495,8.602325,8.246211,9.0,13.152946,16.492423,19.416488
20260624_204934,2026-06-24T20:49:34.354979+09:00,skeleton,RX2,20.248457,18.601075,15.0,11.313708,7.211103,5.09902,7.071068,10.77033,13.601471,17.464249,20.396078,22.36068,24.515301,26.683328,28.160256,27.202941,26.925824,24.166092,20.124612,15.264338,9.219544,2.0,6.708204,13.038405,18.439089,23.345235,5.09902,6.324555,6.324555,6.708204,5.830952,4.472136,3.605551,2.236068,1.0,2.236068,3.605551,3.605551,5.0,6.403124,7.071068,7.071068,7.211103,7.615773,8.246211,9.055385,10.049876,12.369317,15.231546,17.0,18.867962,20.248457
20260624_204934,2026-06-24T20:49:34.386465+09:00,skeleton,RX3,18.973666,17.088007,13.928388,10.198039,8.0,5.385165,6.403124,8.944272,10.77033,13.601471,16.155494,17.888544,19.723083,21.633308,22.022716,21.931712,23.345235,21.260292,18.439089,15.620499,10.630146,7.211103,3.605551,7.28011,11.045361,15.033296,5.09902,3.605551,5.09902,8.544004,12.529964,15.264338,18.867962,20.59126,21.470911,21.470911,20.124612,19.697716,18.384776,16.155494,13.928388,11.18034,10.0,9.219544,9.433981,10.77033,13.341664,15.132746,17.262677,20.223748,21.377558,20.615528
20260624_204934,2026-06-24T20:49:34.419002+09:00,skeleton,RX1,23.345235,23.345235,22.803509,20.248457,17.492856,14.422205,11.401754,9.219544,8.062258,7.28011,8.0,9.219544,11.401754,12.649111,14.866069,16.763055,18.681542,20.396078,21.213203,21.095023,20.024984,18.0,15.0,11.045361,8.944272,9.899495,12.806248,12.529964,11.661904,9.848858,8.062258,6.403124,5.830952,6.324555,7.071068,9.0,10.0,11.0,12.041595,12.041595,12.165525,12.165525,11.401754,10.440307,9.486833,8.062258,7.0,6.708204,8.485281,11.661904,16.124515,19.416488
20260624_204934,2026-06-24T20:49:34.445013+09:00,skeleton,RX2,23.537205,22.561028,19.646883,14.866069,10.29563,7.211103,7.071068,10.0,14.142136,17.804494,21.400935,24.207437,27.018512,29.068884,31.144823,31.112698,29.732137,27.018512,23.021729,17.492856,10.77033,2.236068,7.071068,14.764823,21.540659,26.925824,6.403124,7.071068,6.403124,6.403124,5.830952,3.605551,2.0,1.414214,3.605551,5.385165,6.324555,7.615773,7.615773,8.544004,8.944272,9.433981,9.219544,9.219544,10.29563,11.7047,14.142136,16.03122,19.104973,22.36068,24.515301
