experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_152810,2026-06-25T15:28:10.158070+09:00,skeleton,RX1,7.211103,4.123106,5.0,8.062258,11.18034,14.866069,17.088007,18.681542,18.973666,18.973666,18.973666,18.027756,17.088007,14.866069,13.0,8.544004,5.09902,2.236068,6.708204,12.206556,18.027756,23.323808,28.178006,30.870698,31.016125,30.083218,5.830952,6.403124,8.485281,9.219544,10.0,9.433981,9.848858,9.848858,8.944272,8.544004,6.324555,6.082763,4.123106,2.828427,4.123106,6.0,7.071068,10.198039,12.369317,14.56022,16.763055,17.720045,18.027756,18.027756,16.763055,13.928388
20260625_152810,2026-06-25T15:28:10.188445+09:00,skeleton,RX2,25.553865,24.698178,24.698178,20.248457,17.492856,12.529964,8.062258,4.472136,1.0,4.242641,6.403124,10.630146,12.806248,16.401219,19.209373,21.400935,22.803509,23.853721,23.323808,20.59126,18.384776,14.56022,10.049876,5.830952,5.0,8.062258,10.0,8.062258,5.09902,5.0,7.28011,10.049876,14.0,16.03122,18.11077,19.235384,19.235384,19.235384,18.439089,16.492423,13.601471,11.7047,9.848858,7.211103,5.0,2.236068,3.0,7.071068,10.440307,14.317821,19.235384,21.470911
20260625_152810,2026-06-25T15:28:10.221058+09:00,skeleton,RX3,9.0,13.038405,16.124515,18.248288,21.213203,21.213203,20.223748,19.235384,17.262677,15.297059,13.341664,11.18034,9.055385,6.082763,3.162278,1.0,4.123106,7.071068,10.049876,13.038405,15.033296,16.0,16.0,16.0,15.0,13.038405,14.21267,16.278821,15.556349,16.278821,14.21267,12.206556,9.433981,5.830952,2.236068,1.414214,4.472136,6.708204,10.29563,11.18034,14.317821,14.764823,16.552945,17.888544,18.788294,18.788294,18.35756,16.124515,13.892444,10.816654,7.81025,3.162278
20260625_152810,2026-06-25T15:28:10.248488+09:00,skeleton,RX1,19.235384,21.095023,20.223748,19.104973,17.117243,14.142136,11.18034,8.246211,5.385165,2.828427,3.605551,5.830952,8.944272,12.083046,15.231546,18.788294,21.470911,22.825424,23.853721,23.021729,22.022716,18.439089,14.866069,9.899495,5.0,6.082763,6.082763,6.324555,5.830952,5.0,4.242641,4.472136,4.123106,4.123106,5.385165,5.830952,7.211103,7.81025,7.81025,7.81025,7.81025,7.071068,5.656854,5.0,3.162278,2.236068,4.123106,7.0,10.0,14.035669,16.124515
20260625_152810,2026-06-25T15:28:10.278391+09:00,skeleton,RX2,1.0,3.0,8.062258,11.045361,14.035669,16.124515,17.117243,18.248288,17.262677,17.262677,16.124515,14.142136,12.041595,10.049876,7.0,4.123106,3.162278,5.0,8.602325,13.892444,16.552945,20.615528,22.135944,22.803509,22.561028,20.223748,13.341664,16.278821,18.439089,19.416488,19.416488,18.248288,16.124515,14.142136,11.045361,8.0,5.09902,2.828427,2.236068,5.0,7.211103,8.944272,10.77033,12.369317,14.317821,15.132746,16.03122,16.0,16.0,15.0,12.041595,9.055385
20260625_152810,2026-06-25T15:28:10.308828+09:00,skeleton,RX3,8.246211,13.341664,16.124515,18.11077,20.223748,21.213203,20.223748,19.235384,17.117243,15.132746,14.142136,12.041595,9.055385,6.082763,3.0,3.162278,7.28011,10.198039,12.369317,14.56022,15.811388,16.763055,15.811388,14.866069,13.0,15.0,15.264338,16.124515,15.652476,15.231546,13.0,9.486833,6.324555,3.162278,4.123106,7.071068,9.219544,11.18034,13.152946,15.132746,16.278821,17.262677,18.248288,18.248288,17.464249,16.492423,14.317821,10.440307,6.708204,2.828427
20260625_152810,2026-06-25T15:28:10.338363+09:00,skeleton,RX1,6.403124,5.0,5.656854,10.29563,13.0,16.155494,18.027756,19.924859,21.18962,21.18962,20.248457,19.313208,18.384776,16.155494,13.928388,10.440307,6.082763,2.828427,6.324555,13.0,18.788294,24.596748,28.231188,31.622777,32.015621,31.575307,7.81025,8.485281,8.485281,9.219544,10.0,10.816654,10.29563,10.29563,9.848858,8.944272,7.615773,6.082763,4.0,3.162278,3.162278,6.0,7.28011,9.486833,11.7047,13.928388,15.811388,18.027756,18.027756,17.088007,16.155494,13.416408
20260625_152810,2026-06-25T15:28:10.369963+09:00,skeleton,RX2,23.430749,24.207437,22.022716,19.209373,15.620499,12.041595,7.071068,3.605551,1.414214,5.09902,8.246211,10.77033,14.317821,17.088007,19.697716,20.615528,21.931712,23.259407,22.825424,21.095023,18.027756,13.453624,10.0,6.082763,5.0,8.0,9.433981,7.615773,5.0,3.605551,6.0,10.198039,13.928388,16.155494,17.464249,19.697716,19.697716,18.788294,17.888544,16.124515,15.264338,12.206556,10.0,7.81025,5.0,2.236068,3.0,5.830952,10.0,14.21267,18.384776,21.260292
20260625_152810,2026-06-25T15:28:10.399109+09:00,skeleton,RX3,28.635642,25.495098,21.931712,17.464249,12.083046,7.211103,2.828427,2.0,5.385165,8.544004,10.77033,13.416408,15.652476,17.888544,18.788294,18.788294,18.788294,18.384776,16.552945,13.928388,11.18034,7.211103,3.605551,1.0,4.123106,6.324555,3.0,2.236068,5.385165,9.433981,13.453624,16.278821,18.439089,20.615528,20.615528,20.808652,19.416488,18.027756,14.422205,12.206556,10.0,7.071068,3.605551,2.236068,4.0,8.246211,12.649111,17.464249,21.931712,25.079872,28.635642,29.966648
20260625_152810,2026-06-25T15:28:10.433245+09:00,skeleton,RX1,20.0,21.0,20.0,19.026298,17.029386,14.0,11.0,8.0,5.09902,2.828427,2.828427,5.830952,8.944272,11.18034,15.652476,18.35756,21.095023,23.021729,23.600847,23.430749,21.931712,18.384776,14.21267,9.219544,4.242641,1.414214,5.09902,5.09902,5.385165,5.0,4.242641,4.472136,4.123106,5.0,6.082763,5.830952,7.211103,7.81025,7.81025,9.219544,8.485281,8.485281,7.81025,7.071068,5.0,4.472136,3.162278,4.472136,8.062258,10.049876,14.0,16.0
