experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_205238,2026-06-26T20:52:38.327253+09:00,skeleton,RX2,22.135944,18.788294,14.764823,9.433981,5.0,1.0,3.605551,5.830952,7.615773,9.486833,9.219544,9.055385,9.0,7.071068,6.324555,4.242641,3.0,4.242641,6.082763,9.055385,11.401754,12.529964,12.806248,12.041595,10.0,6.403124,11.7047,12.806248,15.0,19.723083,23.706539,25.942244,28.178006,28.653098,27.784888,25.553865,23.853721,21.954498,18.867962,17.0,14.317821,11.7047,10.198039,8.062258,8.062258,8.602325,11.7047,15.297059,18.11077,22.203603,24.33105,24.515301
20260626_205238,2026-06-26T20:52:38.356633+09:00,skeleton,RX3,25.0,22.803509,20.0,15.0,11.401754,7.211103,5.0,6.403124,8.485281,11.401754,13.601471,15.620499,17.804494,19.104973,19.79899,20.518285,19.104973,18.439089,14.866069,11.313708,7.81025,4.0,4.472136,8.062258,12.0,14.035669,5.385165,3.0,2.0,5.830952,10.0,14.21267,17.029386,18.601075,19.416488,20.248457,18.867962,18.35756,15.652476,13.416408,10.77033,8.944272,5.830952,3.605551,4.472136,7.071068,11.401754,15.620499,19.104973,22.671568,25.455844,26.248809
20260626_205238,2026-06-26T20:52:38.392058+09:00,skeleton,RX1,17.720045,16.155494,15.652476,14.764823,12.206556,12.041595,10.0,8.944272,8.246211,9.0,9.219544,10.77033,13.0,14.317821,16.155494,17.088007,18.027756,17.720045,16.278821,15.297059,13.341664,9.486833,7.211103,6.403124,7.071068,9.0,3.605551,7.071068,10.630146,14.21267,16.643317,18.788294,21.18962,21.587033,21.213203,20.099751,18.027756,15.132746,12.165525,8.062258,6.082763,4.242641,5.09902,8.0,11.0,14.035669,16.03122,18.027756,19.0,20.0,19.104973,18.11077
20260626_205238,2026-06-26T20:52:38.417188+09:00,skeleton,RX2,10.0,13.892444,16.643317,18.027756,18.601075,17.691806,15.556349,13.453624,10.816654,8.062258,5.385165,3.0,2.0,3.605551,6.403124,8.062258,9.486833,10.049876,10.049876,9.486833,8.062258,6.403124,6.0,6.403124,8.544004,9.0,26.07681,27.0,28.017851,26.019224,24.020824,21.0,17.117243,14.56022,11.661904,12.041595,12.083046,12.369317,13.038405,14.0,15.033296,16.278821,17.464249,18.681542,18.973666,18.973666,18.027756,17.088007,15.231546,11.18034,7.81025,4.123106
20260626_205238,2026-06-26T20:52:38.447185+09:00,skeleton,RX3,8.485281,11.401754,15.0,16.401219,17.804494,17.691806,16.970563,15.556349,14.866069,13.453624,10.630146,8.485281,5.656854,4.123106,3.162278,5.830952,8.544004,11.401754,15.524175,17.464249,18.439089,19.646883,19.416488,17.464249,15.524175,11.401754,13.601471,14.866069,15.811388,15.811388,15.811388,13.928388,10.77033,8.544004,5.09902,2.0,2.236068,5.0,7.071068,9.219544,10.0,12.206556,13.038405,14.764823,14.764823,15.231546,13.928388,12.649111,11.7047,8.944272,6.403124,4.123106
20260626_205238,2026-06-26T20:52:38.476847+09:00,skeleton,RX1,15.264338,16.552945,16.155494,17.088007,17.720045,17.464249,18.439089,17.464249,16.492423,16.492423,15.524175,13.601471,12.369317,10.198039,8.0,7.28011,9.219544,10.630146,15.0,17.204651,20.615528,21.931712,22.671568,22.803509,21.095023,18.788294,13.038405,13.416408,13.0,12.649111,10.440307,8.246211,6.324555,4.242641,5.0,7.28011,9.486833,12.369317,14.142136,15.033296,15.0,15.132746,15.297059,14.317821,13.341664,11.18034,10.0,10.198039,9.848858,11.401754,12.727922,14.866069
20260626_205238,2026-06-26T20:52:38.507020+09:00,skeleton,RX2,24.041631,20.615528,16.278821,11.045361,6.082763,2.236068,2.236068,6.324555,8.544004,10.77033,11.18034,11.661904,12.206556,11.401754,9.899495,8.602325,7.615773,5.0,4.242641,5.0,6.708204,8.602325,9.899495,10.0,8.944272,6.708204,8.062258,7.615773,10.0,14.317821,18.384776,21.540659,23.769729,25.079872,25.079872,24.166092,21.931712,19.697716,17.088007,14.866069,11.401754,9.055385,7.071068,5.0,6.324555,8.062258,12.649111,16.552945,20.124612,23.259407,26.400758,26.925824
20260626_205238,2026-06-26T20:52:38.537305+09:00,skeleton,RX3,25.70992,23.769729,19.646883,15.524175,11.7047,7.211103,5.385165,6.082763,8.944272,11.661904,14.422205,16.643317,18.867962,20.59126,21.470911,21.931712,21.540659,19.697716,16.155494,12.529964,8.062258,4.472136,5.0,8.544004,12.369317,14.317821,6.403124,3.605551,2.236068,5.0,10.198039,13.341664,16.492423,18.439089,20.223748,20.223748,19.104973,18.027756,16.03122,14.0,11.0,8.0,5.09902,3.605551,4.0,7.615773,11.661904,16.124515,19.235384,23.259407,26.0,26.570661
20260626_205238,2026-06-26T20:52:38.571295+09:00,skeleton,RX1,17.088007,16.763055,16.492423,14.142136,14.035669,12.0,11.045361,9.486833,8.602325,9.219544,10.816654,12.529964,13.416408,15.652476,17.0,18.35756,18.867962,18.601075,17.029386,15.620499,12.806248,10.816654,8.544004,7.0,8.544004,9.433981,4.472136,7.615773,11.18034,14.035669,17.029386,19.104973,19.646883,20.248457,20.124612,18.35756,16.401219,13.453624,10.630146,7.81025,5.385165,4.123106,5.656854,8.602325,11.401754,13.601471,16.401219,17.804494,17.804494,18.601075,18.027756,17.492856
20260626_205238,2026-06-26T20:52:38.599700+09:00,skeleton,RX2,8.602325,12.529964,15.264338,18.027756,18.601075,17.804494,16.278821,14.866069,12.806248,10.0,6.708204,4.123106,3.162278,3.0,4.472136,6.403124,7.81025,9.433981,9.848858,9.486833,9.055385,7.071068,4.472136,3.162278,3.605551,5.385165,23.021729,24.207437,25.612497,24.839485,23.430749,19.209373,15.811388,12.529964,9.219544,8.246211,7.81025,9.433981,10.440307,12.165525,14.035669,16.03122,17.0,19.026298,19.026298,20.099751,19.104973,18.11077,16.124515,12.165525,8.246211,3.605551
20260626_205238,2026-06-26T20:52:38.630421+09:00,skeleton,RX3,23.769729,21.18962,18.973666,14.866069,10.77033,5.830952,3.162278,4.242641,7.81025,10.0,12.206556,15.0,17.204651,19.209373,19.849433,19.104973,19.104973,17.691806,14.866069,11.401754,6.708204,3.162278,5.09902,9.055385,12.369317,14.56022,5.0,2.236068,2.236068,6.0,10.049876,14.142136,16.278821,18.248288,20.223748,19.104973,19.104973,18.027756,16.0,13.0,11.045361,9.0,6.0,3.605551,3.0,5.830952,9.433981,14.422205,18.027756,21.095023,23.706539,24.596748
20260626_205238,2026-06-26T20:52:38.658136+09:00,skeleton,RX1,15.132746,16.03122,16.0,16.124515,16.124515,16.278821,16.278821,16.278821,16.278821,15.297059,14.142136,12.165525,11.18034,9.219544,7.615773,6.403124,7.615773,10.440307,13.152946,15.132746,17.464249,18.681542,20.248457,18.788294,18.35756,15.811388,13.416408,13.601471,12.727922,11.313708,9.219544,7.81025,5.0,4.0,5.830952,7.81025,10.630146,12.806248,13.892444,14.764823,15.231546,15.811388,14.56022,14.56022,13.341664,11.401754,9.848858,10.0,10.630146,11.18034,12.649111,13.601471
20260626_205238,2026-06-26T20:52:38.686910+09:00,skeleton,RX2,25.298221,21.587033,17.262677,12.041595,7.0,2.0,2.236068,5.09902,8.544004,9.848858,11.661904,12.206556,12.041595,12.041595,10.816654,8.944272,8.062258,5.09902,5.0,5.09902,6.403124,8.602325,9.848858,9.219544,9.0,6.082763,11.18034,11.313708,13.928388,18.248288,22.090722,25.079872,28.071338,29.068884,29.154759,28.160256,26.172505,24.186773,21.095023,18.027756,15.0,13.038405,10.198039,8.062258,6.708204,8.0,11.401754,15.652476,20.59126,23.706539,25.942244,27.730849
20260626_205238,2026-06-26T20:52:38.718515+09:00,skeleton,RX3,8.0,11.18034,14.317821,16.278821,17.262677,18.248288,17.117243,17.029386,15.0,13.0,12.0,9.0,6.082763,4.123106,3.162278,4.472136,7.81025,11.313708,14.21267,17.804494,19.209373,20.0,20.0,17.804494,15.0,12.806248,13.601471,14.866069,16.763055,15.811388,15.524175,13.341664,10.440307,8.246211,4.472136,1.414214,2.236068,5.09902,7.071068,9.055385,11.18034,12.369317,13.601471,14.866069,14.866069,15.231546,15.652476,13.892444,12.529964,9.848858,7.28011,4.123106
20260626_205238,2026-06-26T20:52:38.748547+09:00,skeleton,RX1,15.556349,14.866069,14.21267,13.601471,12.206556,10.29563,8.544004,8.062258,7.071068,8.544004,8.944272,10.816654,12.206556,13.601471,15.811388,16.124515,17.0,16.552945,16.155494,13.928388,11.7047,9.848858,7.81025,7.211103,7.28011,9.055385,3.0,6.0,9.055385,11.401754,13.928388,15.652476,16.643317,17.029386,16.970563,16.401219,13.892444,12.529964,8.944272,6.708204,4.242641,4.123106,5.09902,6.708204,9.433981,11.661904,13.416408,14.764823,14.764823,16.124515,16.124515,15.811388
20260626_205238,2026-06-26T20:52:38.777219+09:00,skeleton,RX2,21.954498,18.601075,15.0,10.630146,5.656854,2.236068,2.0,5.09902,7.28011,9.219544,10.049876,10.0,10.049876,10.198039,9.486833,8.062258,5.656854,4.472136,3.162278,3.162278,5.09902,7.615773,8.062258,7.81025,6.708204,5.385165,10.77033,10.0,11.7047,15.811388,19.849433,22.671568,24.839485,25.612497,25.612497,25.0,23.021729,20.808652,18.601075,16.401219,13.453624,11.313708,8.602325,6.324555,5.09902,7.071068,10.29563,13.928388,18.027756,21.18962,23.4094,24.166092
