experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_190230,2026-06-26T19:02:31.017796+09:00,skeleton,RX3,21.213203,20.518285,19.849433,18.439089,17.029386,16.278821,14.866069,13.453624,13.453624,12.041595,12.041595,12.041595,11.401754,11.401754,9.899495,10.630146,8.602325,9.486833,10.049876,11.045361,13.341664,15.524175,17.720045,18.681542,19.235384,19.104973,13.601471,11.401754,8.485281,6.324555,6.324555,8.602325,12.041595,14.866069,17.029386,17.204651,18.35756,18.384776,16.763055,16.278821,16.03122,14.035669,13.0,12.0,11.0,9.219544,9.486833,10.29563,12.041595,14.866069,16.970563,19.104973
20260626_190230,2026-06-26T19:02:31.048118+09:00,skeleton,RX1,3.162278,5.0,8.062258,10.77033,12.083046,13.0,13.601471,13.601471,12.369317,11.401754,10.440307,9.486833,7.615773,6.708204,5.0,3.605551,3.0,3.605551,5.385165,7.071068,9.0,10.198039,10.440307,10.29563,8.602325,7.071068,19.849433,22.671568,24.758837,25.455844,24.083189,22.022716,18.439089,14.866069,9.899495,5.830952,4.123106,5.830952,8.246211,11.18034,13.038405,15.033296,16.03122,18.027756,19.026298,19.0,19.026298,19.026298,17.117243,14.142136,11.18034,7.28011
20260626_190230,2026-06-26T19:02:31.077811+09:00,skeleton,RX2,20.124612,19.697716,18.027756,15.811388,13.928388,12.083046,10.816654,10.630146,11.313708,12.041595,14.21267,14.21267,15.620499,16.278821,17.691806,17.691806,17.691806,17.204651,17.492856,17.088007,17.464249,19.104973,20.0,22.022716,22.090722,22.090722,11.7047,8.246211,5.385165,2.236068,5.0,9.219544,13.453624,16.278821,17.804494,19.416488,20.124612,19.313208,17.720045,16.278821,14.035669,12.0,10.0,8.062258,6.324555,7.211103,8.485281,10.630146,13.601471,16.278821,19.104973,19.849433
20260626_190230,2026-06-26T19:02:31.107955+09:00,skeleton,RX3,12.165525,12.0,12.041595,11.401754,10.77033,10.77033,10.29563,10.29563,10.29563,9.433981,10.0,9.219544,9.899495,10.630146,12.041595,12.806248,14.21267,15.0,15.620499,14.866069,13.453624,12.041595,9.899495,7.071068,4.472136,2.0,14.764823,17.888544,19.313208,20.880613,20.615528,19.416488,17.262677,15.132746,12.041595,10.049876,7.28011,5.830952,5.0,6.324555,7.071068,9.055385,11.045361,12.165525,13.341664,14.56022,16.155494,17.464249,17.464249,16.155494,16.155494,14.866069
20260626_190230,2026-06-26T19:02:31.137957+09:00,skeleton,RX1,23.706539,22.825424,20.59126,17.492856,13.892444,10.29563,7.211103,4.472136,1.414214,1.0,2.828427,5.0,7.211103,8.602325,10.0,10.630146,11.313708,11.401754,11.661904,10.77033,9.055385,8.062258,7.211103,7.211103,7.071068,7.071068,9.219544,7.071068,5.656854,8.062258,12.041595,16.124515,20.223748,23.345235,24.186773,25.179357,24.083189,23.086793,20.024984,18.027756,15.033296,12.165525,9.219544,6.708204,5.0,5.09902,7.81025,11.401754,13.892444,18.35756,21.023796,22.36068
20260626_190230,2026-06-26T19:02:31.167705+09:00,skeleton,RX2,20.124612,19.723083,18.027756,15.811388,13.601471,11.661904,10.77033,10.198039,11.045361,12.0,13.0,15.0,16.0,17.029386,18.027756,18.027756,19.0,18.027756,18.248288,17.720045,17.888544,19.416488,20.615528,20.518285,21.931712,21.213203,12.041595,9.219544,5.0,2.236068,5.09902,10.049876,14.035669,17.262677,18.681542,19.313208,20.124612,19.416488,17.804494,15.556349,13.453624,12.206556,9.433981,7.81025,6.403124,6.324555,8.062258,11.0,14.0,16.03122,19.235384,20.615528
20260626_190230,2026-06-26T19:02:31.197862+09:00,skeleton,RX3,13.928388,13.892444,13.038405,12.806248,12.041595,12.727922,11.313708,10.630146,10.630146,10.0,10.0,9.433981,9.848858,10.77033,11.7047,13.601471,14.866069,15.811388,17.088007,16.155494,16.155494,14.317821,12.083046,9.848858,6.708204,4.123106,14.422205,17.204651,19.209373,19.79899,20.518285,18.439089,16.401219,14.21267,11.401754,9.219544,7.071068,5.385165,6.0,6.082763,8.246211,9.486833,10.440307,12.369317,13.341664,15.132746,16.124515,16.03122,16.0,16.03122,15.033296,14.142136
20260626_190230,2026-06-26T19:02:31.228146+09:00,skeleton,RX1,2.828427,5.0,8.246211,10.77033,12.649111,13.928388,13.928388,14.866069,13.0,13.0,12.083046,10.77033,9.486833,7.28011,6.0,4.123106,2.828427,4.0,5.830952,7.071068,8.602325,9.848858,10.440307,10.049876,10.0,8.246211,22.0,25.019992,26.07681,27.166155,26.305893,24.33105,20.396078,16.278821,12.041595,7.071068,4.242641,6.0,8.246211,11.18034,13.892444,15.811388,17.204651,18.601075,19.209373,19.849433,20.518285,19.104973,17.691806,15.556349,12.806248,8.602325
20260626_190230,2026-06-26T19:02:31.258743+09:00,skeleton,RX2,7.81025,10.630146,12.806248,13.601471,14.422205,14.764823,15.231546,13.928388,12.649111,11.401754,10.77033,8.944272,7.81025,7.81025,8.544004,10.198039,13.0,15.033296,17.117243,18.248288,19.416488,18.681542,17.720045,16.155494,13.416408,11.401754,15.0,17.029386,19.104973,19.79899,19.209373,18.601075,15.811388,11.661904,8.062258,4.472136,2.236068,2.236068,5.09902,7.28011,9.486833,10.77033,12.083046,13.038405,12.806248,12.727922,12.041595,10.816654,8.602325,6.403124,5.0,4.0
20260626_190230,2026-06-26T19:02:31.287840+09:00,skeleton,RX3,18.027756,18.027756,17.088007,15.811388,15.231546,14.317821,13.0,12.083046,13.0,13.0,12.649111,12.649111,12.369317,12.369317,11.18034,11.18034,9.486833,8.944272,8.485281,8.944272,11.7047,14.317821,16.492423,18.681542,18.973666,19.697716,12.529964,10.29563,7.81025,5.385165,6.082763,8.062258,10.816654,13.038405,14.764823,16.155494,16.763055,16.278821,16.124515,15.0,14.142136,12.165525,11.401754,10.440307,10.198039,10.0,10.049876,11.401754,12.649111,15.231546,16.155494,18.027756
20260626_190230,2026-06-26T19:02:31.317839+09:00,skeleton,RX1,2.236068,4.123106,6.708204,10.0,10.0,11.401754,12.041595,11.401754,12.041595,11.401754,10.0,8.602325,8.062258,6.708204,5.385165,4.123106,3.162278,2.236068,4.0,5.385165,6.403124,7.071068,8.062258,7.28011,7.071068,6.0,19.235384,21.023796,23.259407,22.847319,22.472205,21.18962,18.027756,14.866069,10.77033,7.211103,4.472136,5.09902,7.071068,9.219544,10.816654,13.038405,14.764823,15.652476,17.0,17.0,17.888544,16.552945,15.231546,13.928388,10.77033,7.28011
20260626_190230,2026-06-26T19:02:31.348430+09:00,skeleton,RX2,19.104973,17.0,15.033296,13.038405,9.0,7.071068,5.830952,5.830952,7.615773,9.486833,11.401754,13.601471,14.56022,16.763055,17.088007,18.027756,17.720045,16.492423,16.03122,15.132746,13.928388,14.422205,16.970563,18.439089,19.416488,19.723083,12.165525,9.055385,5.0,5.09902,10.198039,14.56022,18.027756,20.124612,21.095023,20.0,19.849433,16.970563,15.0,12.206556,9.433981,7.211103,4.242641,3.0,4.472136,7.81025,11.401754,14.422205,17.0,19.313208,19.924859
20260626_190230,2026-06-26T19:02:31.378035+09:00,skeleton,RX3,12.083046,13.0,12.649111,12.369317,12.369317,12.165525,11.18034,10.198039,9.055385,8.0,8.062258,8.246211,8.544004,9.848858,11.18034,12.529964,14.764823,16.124515,17.0,17.0,16.552945,15.231546,13.0,10.77033,6.708204,4.242641,13.038405,15.0,17.029386,18.11077,18.248288,17.464249,15.524175,13.601471,10.440307,8.246211,6.082763,5.09902,4.472136,5.656854,6.403124,7.81025,8.602325,10.630146,11.313708,12.727922,13.453624,14.21267,14.21267,13.453624,13.453624,12.806248
20260626_190230,2026-06-26T19:02:31.407892+09:00,skeleton,RX1,27.730849,27.730849,24.596748,20.124612,16.552945,13.0,8.544004,5.09902,3.162278,2.236068,4.123106,5.830952,7.81025,10.0,10.816654,11.661904,13.892444,13.416408,12.649111,12.165525,12.0,11.18034,8.944272,8.485281,7.615773,7.071068,12.165525,9.0,7.211103,8.246211,12.041595,17.262677,21.587033,24.515301,26.476405,27.45906,26.305893,25.179357,22.203603,20.099751,16.124515,14.142136,10.198039,6.708204,3.605551,4.472136,8.602325,13.416408,17.464249,22.847319,26.0,27.313001
20260626_190230,2026-06-26T19:02:31.438891+09:00,skeleton,RX2,18.027756,17.888544,16.124515,13.892444,11.661904,9.848858,9.219544,9.0,9.055385,11.401754,12.369317,13.601471,15.524175,16.492423,17.464249,17.464249,18.681542,17.088007,16.552945,15.811388,15.556349,17.204651,18.35756,19.697716,20.248457,19.924859,13.601471,10.29563,6.708204,2.236068,3.162278,7.0,12.041595,15.297059,17.720045,19.313208,19.235384,18.601075,17.029386,14.866069,13.601471,11.661904,9.433981,7.211103,5.656854,5.385165,7.0,9.055385,12.041595,15.033296,17.029386,18.11077
20260626_190230,2026-06-26T19:02:31.467848+09:00,skeleton,RX3,19.416488,18.439089,17.464249,15.524175,13.928388,13.416408,13.416408,13.038405,13.892444,15.264338,15.652476,15.231546,15.811388,15.524175,15.297059,13.152946,13.152946,10.440307,8.944272,9.219544,11.18034,14.56022,16.492423,19.646883,19.924859,20.615528,11.313708,9.219544,7.615773,7.0,9.486833,10.29563,13.038405,15.264338,16.552945,17.088007,16.763055,16.492423,15.132746,14.035669,13.0,12.041595,11.0,11.0,10.049876,10.198039,12.369317,13.601471,15.811388,18.027756,18.973666,19.646883
20260626_190230,2026-06-26T19:02:31.500496+09:00,skeleton,RX1,28.79236,26.925824,24.698178,20.615528,17.464249,13.416408,9.486833,6.324555,3.0,1.0,2.828427,4.242641,6.403124,7.81025,10.0,10.630146,11.313708,12.806248,12.206556,11.661904,10.77033,10.049876,8.246211,8.062258,7.81025,7.28011,11.401754,8.062258,5.385165,6.324555,11.045361,16.492423,20.615528,23.769729,25.70992,26.683328,26.476405,25.317978,22.36068,20.223748,17.262677,14.317821,10.440307,6.708204,5.0,5.385165,8.602325,12.529964,17.088007,21.18962,25.298221,28.460499
20260626_190230,2026-06-26T19:02:31.536263+09:00,skeleton,RX2,17.492856,16.401219,16.278821,13.453624,11.313708,9.219544,8.062258,8.246211,9.055385,10.0,12.041595,13.038405,14.035669,15.0,17.0,17.0,17.029386,16.124515,15.524175,15.231546,15.811388,16.278821,17.804494,19.416488,20.248457,19.723083,14.317821,10.77033,8.544004,4.472136,1.414214,6.324555,10.440307,13.928388,15.652476,18.027756,17.804494,17.691806,16.401219,15.264338,13.416408,10.77033,9.486833,7.28011,5.830952,5.0,6.082763,9.055385,11.045361,14.142136,16.492423,17.088007
20260626_190230,2026-06-26T19:02:31.558015+09:00,skeleton,RX3,21.095023,19.723083,17.0,16.124515,14.422205,12.806248,12.727922,12.041595,12.806248,12.806248,14.21267,14.142136,14.142136,15.0,15.0,13.601471,13.601471,12.041595,10.630146,9.848858,11.18034,13.0,16.03122,17.117243,19.026298,19.0,10.0,8.602325,6.324555,5.09902,7.211103,9.219544,12.806248,14.866069,15.556349,17.029386,16.643317,17.0,15.231546,14.56022,12.165525,12.165525,10.198039,10.198039,8.544004,8.944272,10.0,12.806248,15.620499,17.029386,20.0,20.0
20260626_190230,2026-06-26T19:02:31.588021+09:00,skeleton,RX1,27.892651,25.96151,24.041631,18.973666,16.155494,11.7047,8.544004,5.09902,2.0,1.414214,2.828427,5.656854,7.211103,9.219544,9.219544,10.630146,12.041595,12.806248,11.661904,10.77033,10.198039,9.0,8.246211,7.071068,6.708204,7.071068,12.083046,9.219544,7.615773,9.219544,13.892444,18.601075,22.803509,26.400758,27.802878,28.84441,28.301943,26.41969,24.186773,21.470911,18.35756,15.264338,12.206556,8.485281,6.324555,5.830952,8.944272,12.649111,16.492423,21.587033,25.495098,26.683328
20260626_190230,2026-06-26T19:02:31.617642+09:00,skeleton,RX2,17.888544,17.088007,15.811388,13.601471,11.401754,9.848858,8.062258,8.485281,8.602325,10.29563,11.661904,13.038405,13.892444,15.811388,16.643317,17.204651,16.643317,17.0,15.231546,15.524175,15.033296,16.124515,17.464249,18.973666,20.248457,19.313208,14.035669,11.0,8.0,4.0,2.236068,5.656854,9.899495,13.453624,15.811388,17.492856,17.888544,17.720045,16.278821,15.033296,13.0,11.045361,9.055385,7.071068,6.082763,5.830952,7.071068,8.602325,11.401754,14.21267,16.970563,17.804494
20260626_190230,2026-06-26T19:02:31.652335+09:00,skeleton,RX3,21.023796,19.026298,18.11077,16.03122,14.0,13.038405,12.165525,12.369317,13.341664,13.341664,14.317821,14.142136,15.132746,15.033296,15.0,14.035669,13.0,12.0,10.198039,10.29563,11.313708,13.601471,16.124515,18.027756,19.416488,20.0,10.77033,8.944272,7.071068,6.324555,8.062258,10.440307,13.601471,15.524175,16.278821,17.117243,18.0,17.117243,15.297059,14.56022,13.0,12.083046,11.18034,9.848858,9.486833,10.049876,11.0,13.038405,15.132746,17.117243,20.099751,21.023796
20260626_190230,2026-06-26T19:02:31.680882+09:00,skeleton,RX1,25.317978,24.33105,22.203603,19.104973,15.132746,12.041595,8.062258,5.09902,3.162278,2.236068,4.0,5.0,7.0,8.062258,9.055385,10.198039,10.440307,11.18034,10.0,9.219544,8.062258,7.28011,7.071068,6.708204,7.071068,9.848858,7.211103,5.385165,6.708204,11.313708,14.866069,19.209373,22.022716,24.083189,25.495098,24.758837,23.345235,21.213203,18.384776,15.556349,13.453624,10.0,7.615773,5.0,5.0,8.062258,11.045361,16.124515,19.416488,22.561028,24.515301
20260626_190230,2026-06-26T19:02:31.707668+09:00,skeleton,RX2,18.681542,17.464249,15.652476,13.416408,10.77033,9.486833,8.062258,8.062258,9.219544,11.401754,12.649111,14.56022,15.524175,17.464249,17.262677,18.248288,18.439089,16.492423,16.155494,15.264338,15.556349,16.401219,18.35756,20.124612,20.615528,20.615528,12.806248,10.630146,7.071068,3.162278,3.162278,8.0,12.0,15.033296,17.262677,18.439089,19.313208,18.788294,16.643317,15.0,12.727922,11.313708,9.219544,7.81025,5.830952,6.082763,8.062258,11.18034,13.152946,16.03122,18.0,19.104973
20260626_190230,2026-06-26T19:02:31.738976+09:00,skeleton,RX3,13.038405,14.21267,14.866069,14.866069,14.142136,14.142136,13.453624,12.041595,10.630146,9.899495,9.219544,8.062258,8.544004,9.219544,11.18034,13.038405,15.033296,17.029386,18.11077,18.11077,18.248288,17.262677,14.56022,12.369317,9.486833,5.09902,13.416408,16.124515,18.027756,18.601075,18.439089,16.278821,15.556349,12.727922,10.630146,8.602325,6.708204,6.082763,6.082763,7.28011,8.544004,9.486833,11.401754,11.401754,13.341664,14.317821,14.142136,15.132746,14.035669,14.142136,13.341664,12.649111
20260626_190230,2026-06-26T19:02:31.767823+09:00,skeleton,RX1,25.612497,24.413111,21.633308,18.601075,15.264338,12.206556,8.602325,5.656854,2.828427,1.414214,2.0,4.0,5.09902,7.071068,8.062258,9.219544,10.0,10.0,10.049876,10.440307,8.944272,8.485281,8.062258,8.062258,8.062258,7.615773,10.816654,7.615773,5.09902,7.211103,10.440307,15.297059,19.104973,21.213203,23.345235,24.515301,23.769729,22.803509,19.924859,17.720045,14.56022,12.165525,9.055385,6.0,4.242641,5.0,7.615773,12.206556,16.401219,20.0,22.803509,24.839485
