experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_203337,2026-06-25T20:33:37.022685+09:00,skeleton,RX2,30.413813,27.45906,24.33105,18.681542,13.928388,9.433981,5.385165,5.385165,8.485281,11.401754,14.422205,16.124515,17.492856,19.723083,19.723083,19.723083,18.867962,17.492856,14.764823,10.77033,7.28011,4.123106,4.123106,7.28011,10.77033,13.416408,6.708204,4.0,4.472136,7.0,11.401754,14.317821,17.888544,19.416488,21.400935,22.022716,20.518285,19.79899,18.439089,16.401219,13.601471,10.816654,8.602325,5.0,1.0,4.0,9.055385,14.317821,19.235384,24.33105,28.284271,30.265492
20260625_203337,2026-06-25T20:33:37.051632+09:00,skeleton,RX3,25.70992,23.537205,21.377558,17.262677,13.152946,9.055385,5.0,1.0,3.0,6.082763,9.0,11.045361,14.035669,16.0,18.0,19.026298,19.0,19.026298,18.11077,15.132746,12.165525,8.246211,4.472136,2.236068,4.123106,7.0,6.403124,3.605551,2.236068,5.0,9.055385,12.369317,14.866069,16.155494,17.464249,17.888544,17.0,15.652476,13.416408,12.083046,9.848858,6.324555,4.123106,1.414214,2.236068,6.403124,9.848858,13.0,17.088007,21.18962,24.041631,25.96151
20260625_203337,2026-06-25T20:33:37.082394+09:00,skeleton,RX1,3.162278,3.605551,7.81025,11.313708,14.142136,16.970563,17.691806,17.691806,17.691806,17.029386,15.620499,14.21267,12.806248,10.630146,8.602325,5.656854,2.828427,1.414214,4.0,8.062258,11.18034,14.317821,16.278821,17.117243,18.11077,17.029386,13.892444,15.652476,16.155494,15.811388,15.811388,13.601471,10.77033,8.544004,7.211103,5.656854,4.472136,4.0,4.472136,5.656854,5.830952,7.615773,9.219544,11.18034,13.038405,15.132746,17.117243,18.11077,17.117243,16.278821,14.317821,11.18034
20260625_203337,2026-06-25T20:33:37.111947+09:00,skeleton,RX2,7.0,11.18034,14.317821,16.763055,18.027756,18.973666,18.027756,16.763055,14.56022,12.649111,10.440307,8.544004,6.708204,4.242641,3.0,4.242641,7.211103,9.848858,11.7047,14.866069,15.811388,16.763055,15.811388,14.56022,13.601471,10.440307,15.297059,17.464249,17.720045,18.027756,16.155494,15.231546,12.529964,9.433981,6.403124,3.605551,2.236068,3.0,5.09902,7.615773,10.29563,11.661904,13.038405,15.0,15.620499,17.029386,16.970563,15.556349,14.142136,11.401754,8.062258,5.09902
20260625_203337,2026-06-25T20:33:37.147077+09:00,skeleton,RX1,4.123106,2.236068,7.211103,10.816654,15.0,17.204651,19.209373,19.209373,19.209373,18.439089,17.029386,15.620499,13.453624,11.313708,8.485281,5.656854,2.236068,3.0,6.324555,10.440307,13.928388,18.027756,19.924859,21.84033,21.587033,21.377558,15.620499,18.384776,18.439089,18.439089,17.204651,15.0,12.806248,9.899495,8.062258,7.28011,6.082763,6.324555,6.403124,7.211103,8.544004,9.219544,11.045361,14.0,17.029386,19.026298,21.023796,22.022716,22.022716,21.0,18.0,14.035669
20260625_203337,2026-06-25T20:33:37.147227+09:00,skeleton,RX1,24.207437,23.345235,21.213203,19.79899,16.278821,12.806248,8.485281,4.242641,1.0,3.0,6.324555,8.544004,11.7047,13.601471,16.763055,17.720045,19.646883,19.416488,19.416488,19.235384,17.117243,14.035669,11.045361,7.071068,4.123106,1.0,4.472136,3.0,4.242641,6.708204,9.486833,11.401754,13.601471,14.56022,14.56022,13.601471,13.601471,13.341664,12.165525,11.045361,11.0,10.049876,9.055385,8.062258,6.324555,4.472136,3.162278,5.0,8.602325,13.038405,17.204651,20.808652
20260625_203337,2026-06-25T20:33:37.151315+09:00,skeleton,RX3,5.0,9.219544,12.727922,15.620499,17.029386,18.601075,18.601075,18.027756,17.204651,15.811388,14.422205,12.206556,10.0,7.211103,4.242641,2.0,4.0,7.28011,10.77033,13.928388,16.552945,18.788294,19.235384,18.867962,18.027756,15.811388,14.21267,16.278821,18.384776,17.691806,17.029386,15.0,12.206556,8.602325,5.385165,2.0,2.236068,5.0,7.071068,9.899495,11.313708,13.453624,14.866069,16.278821,17.029386,17.029386,17.204651,16.643317,15.264338,11.661904,8.944272,5.09902
20260625_203337,2026-06-25T20:33:37.151540+09:00,skeleton,RX3,5.656854,9.219544,12.806248,15.620499,17.804494,18.601075,18.867962,18.867962,17.492856,16.124515,14.764823,12.529964,10.29563,7.615773,4.472136,1.414214,2.236068,6.708204,10.29563,13.416408,16.124515,18.35756,18.867962,18.601075,17.804494,15.620499,15.0,16.278821,17.691806,18.384776,17.691806,14.21267,11.401754,8.602325,5.0,1.414214,2.236068,4.472136,7.211103,9.433981,12.206556,13.601471,15.0,15.620499,17.029386,16.970563,16.970563,16.278821,14.21267,12.041595,8.602325,4.472136
20260625_203337,2026-06-25T20:33:37.151633+09:00,skeleton,RX3,24.758837,23.345235,20.518285,16.278821,12.727922,7.81025,3.605551,4.242641,7.81025,10.0,12.806248,15.0,17.204651,18.867962,20.248457,20.248457,20.808652,19.416488,16.401219,14.21267,9.899495,5.830952,3.162278,4.123106,7.071068,6.082763,3.162278,3.162278,6.403124,10.0,13.892444,15.652476,17.888544,18.384776,19.313208,18.384776,17.088007,15.231546,13.0,10.29563,8.062258,5.830952,2.828427,1.414214,4.123106,7.615773,12.529964,15.811388,19.416488,22.803509,24.839485
20260625_203337,2026-06-25T20:33:37.157920+09:00,skeleton,RX2,7.071068,11.7047,14.317821,17.464249,17.888544,19.235384,17.888544,16.552945,15.652476,13.416408,11.661904,9.433981,6.403124,5.0,4.0,5.0,8.062258,9.848858,12.649111,14.56022,15.524175,16.492423,16.492423,15.524175,13.601471,10.440307,16.124515,17.262677,19.416488,18.439089,17.720045,15.811388,13.0,10.77033,7.211103,5.0,2.0,2.236068,4.123106,6.324555,8.944272,11.18034,12.529964,14.422205,15.0,16.401219,15.620499,15.620499,13.453624,10.630146,8.062258,4.0
