experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_183922,2026-06-26T18:39:22.210701+09:00,skeleton,RX3,25.495098,24.698178,22.472205,18.973666,15.811388,13.0,10.29563,9.219544,8.602325,8.544004,9.219544,10.198039,12.165525,13.152946,13.152946,14.142136,14.142136,13.038405,13.038405,12.165525,11.7047,11.661904,12.727922,13.601471,15.264338,16.124515,12.649111,8.246211,4.472136,1.414214,6.324555,10.440307,14.56022,18.027756,19.697716,21.095023,20.808652,20.518285,19.104973,17.204651,15.264338,13.416408,11.18034,8.944272,5.830952,4.472136,6.082763,8.944272,13.038405,17.492856,21.095023,23.323808
20260626_183922,2026-06-26T18:39:22.241031+09:00,skeleton,RX1,27.784888,26.07681,23.323808,20.248457,16.643317,12.529964,8.944272,6.708204,4.123106,2.236068,3.0,4.123106,5.09902,6.324555,8.246211,9.219544,9.055385,10.0,11.18034,11.401754,10.77033,11.18034,10.816654,10.630146,9.899495,9.219544,4.472136,1.0,6.082763,12.165525,17.117243,22.090722,26.019224,28.0,29.017236,28.071338,27.166155,24.186773,21.213203,18.11077,14.035669,11.045361,7.28011,5.0,6.0,8.062258,12.041595,14.866069,20.0,22.203603,25.238859,27.45906
20260626_183922,2026-06-26T18:39:22.270797+09:00,skeleton,RX2,7.211103,8.944272,10.77033,12.369317,13.152946,14.035669,14.0,13.038405,13.152946,12.369317,11.401754,9.486833,8.246211,6.0,5.830952,6.403124,9.486833,13.152946,16.03122,20.024984,22.0,24.020824,25.019992,24.020824,23.086793,20.024984,6.082763,5.09902,4.472136,3.605551,4.0,5.385165,7.211103,7.81025,9.899495,10.630146,11.313708,11.401754,12.041595,11.401754,11.401754,10.816654,10.29563,9.848858,8.544004,8.246211,6.324555,5.09902,3.162278,2.236068,2.0,3.605551
20260626_183922,2026-06-26T18:39:22.300498+09:00,skeleton,RX3,26.019224,25.079872,23.194827,20.223748,17.117243,14.035669,12.0,9.219544,8.544004,8.602325,10.630146,11.313708,12.041595,13.453624,14.142136,14.866069,14.866069,14.21267,13.601471,13.416408,12.649111,12.041595,13.038405,13.601471,14.866069,15.231546,12.0,8.0,4.123106,2.236068,7.211103,10.816654,15.620499,18.439089,20.518285,21.260292,22.203603,20.59126,18.788294,18.027756,15.524175,14.142136,11.18034,9.055385,7.28011,5.656854,7.071068,10.0,14.035669,18.11077,22.090722,24.020824
20260626_183922,2026-06-26T18:39:22.332531+09:00,skeleton,RX1,23.600847,22.803509,20.615528,17.204651,14.21267,11.401754,7.81025,5.0,2.828427,1.414214,2.0,4.0,5.09902,6.0,8.0,8.062258,9.055385,9.486833,9.848858,9.433981,10.0,9.899495,9.219544,8.602325,8.062258,8.062258,3.0,1.414214,6.082763,11.18034,16.492423,19.646883,23.086793,25.632011,26.0,26.0,24.596748,22.36068,18.788294,16.552945,13.0,10.440307,8.0,5.385165,5.0,7.0,10.440307,13.416408,16.124515,19.416488,22.803509,23.600847
20260626_183922,2026-06-26T18:39:22.360718+09:00,skeleton,RX2,14.866069,13.341664,11.18034,9.055385,7.071068,5.385165,4.242641,5.09902,7.0,9.0,12.041595,14.0,16.0,19.026298,20.223748,21.213203,22.36068,22.36068,20.396078,18.248288,15.033296,11.18034,9.433981,10.29563,12.165525,16.0,9.433981,12.206556,13.601471,15.0,15.811388,16.401219,15.620499,14.21267,12.041595,9.899495,7.81025,6.403124,3.605551,2.0,2.236068,4.123106,6.082763,7.28011,9.219544,10.77033,12.083046,13.892444,15.0,16.278821,16.401219,16.124515
20260626_183922,2026-06-26T18:39:22.390681+09:00,skeleton,RX3,8.062258,7.28011,8.062258,10.0,11.313708,12.041595,12.041595,12.041595,11.313708,11.313708,9.899495,9.219544,8.602325,8.062258,7.615773,8.246211,9.055385,11.045361,12.165525,13.341664,13.341664,13.601471,12.649111,10.77033,9.486833,8.062258,18.35756,21.095023,23.021729,24.207437,23.430749,21.931712,19.79899,16.278821,12.041595,8.485281,5.656854,3.162278,2.828427,4.472136,7.615773,9.848858,11.18034,13.892444,15.811388,16.401219,17.029386,18.384776,16.970563,16.278821,14.142136,11.401754
20260626_183922,2026-06-26T18:39:22.420938+09:00,skeleton,RX1,23.769729,22.561028,20.615528,17.464249,14.317821,11.18034,8.062258,5.0,3.162278,2.0,3.162278,5.0,6.403124,7.81025,7.81025,8.602325,10.29563,9.848858,10.440307,10.198039,11.0,11.045361,11.18034,10.440307,9.486833,8.544004,5.0,1.0,5.0,10.198039,14.142136,18.11077,22.090722,24.083189,25.079872,24.020824,23.0,21.023796,18.0,16.0,12.0,9.055385,6.324555,3.605551,3.0,5.656854,8.944272,13.0,15.811388,19.924859,22.803509,23.769729
20260626_183922,2026-06-26T18:39:22.451043+09:00,skeleton,RX2,7.615773,8.944272,10.816654,12.041595,13.453624,13.453624,13.601471,13.038405,12.529964,12.083046,11.18034,9.848858,8.602325,7.071068,6.708204,8.0,10.198039,13.0,16.124515,18.867962,21.633308,23.853721,23.853721,23.853721,22.472205,20.248457,6.708204,5.830952,4.123106,3.0,2.828427,4.0,6.082763,8.062258,10.198039,11.18034,12.165525,12.041595,12.041595,12.0,12.0,11.045361,10.198039,9.486833,8.544004,7.615773,5.830952,4.472136,3.605551,2.0,1.414214,4.123106
20260626_183922,2026-06-26T18:39:22.483043+09:00,skeleton,RX3,7.81025,7.211103,8.246211,10.049876,11.0,11.045361,11.045361,11.045361,11.0,10.049876,10.0,8.0,8.062258,7.28011,6.708204,7.81025,8.485281,10.0,10.816654,12.083046,12.083046,12.083046,11.18034,9.848858,8.544004,6.324555,18.027756,21.023796,23.0,24.020824,23.021729,22.090722,19.104973,16.124515,12.165525,8.062258,5.0,2.828427,3.0,5.09902,7.615773,10.440307,12.369317,13.341664,15.297059,17.117243,17.029386,18.0,17.029386,16.03122,14.0,12.041595
