experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_180134,2026-06-26T18:01:34.814556+09:00,skeleton,RX3,8.062258,8.944272,11.661904,13.892444,15.264338,15.264338,14.764823,14.317821,13.416408,11.7047,11.7047,9.848858,8.944272,8.062258,7.071068,7.211103,6.708204,8.246211,9.055385,9.0,9.055385,9.219544,8.544004,8.062258,7.211103,6.403124,20.808652,23.600847,24.207437,24.839485,22.671568,21.213203,17.691806,14.142136,9.899495,5.830952,4.0,4.472136,5.830952,8.062258,9.433981,11.401754,13.453624,14.142136,15.620499,15.811388,16.124515,15.652476,14.317821,13.0,10.29563,8.485281
20260626_180134,2026-06-26T18:01:34.843236+09:00,skeleton,RX1,8.246211,12.0,14.035669,16.03122,17.117243,17.117243,17.262677,16.124515,15.132746,13.152946,12.165525,10.440307,8.544004,6.708204,5.0,4.242641,3.0,3.605551,5.656854,8.062258,9.433981,11.661904,11.661904,12.206556,11.313708,10.630146,18.601075,21.633308,23.323808,23.706539,22.847319,19.924859,16.492423,12.369317,7.28011,3.605551,3.162278,6.403124,9.433981,11.661904,14.422205,15.811388,17.204651,17.804494,18.601075,18.601075,18.027756,16.643317,14.422205,11.18034,8.246211,6.324555
20260626_180134,2026-06-26T18:01:34.872772+09:00,skeleton,RX2,8.485281,4.472136,2.0,2.236068,5.830952,8.062258,10.29563,11.661904,12.529964,12.529964,13.0,13.601471,13.152946,12.0,11.18034,11.18034,10.630146,10.816654,11.401754,12.0,12.369317,12.529964,12.041595,12.206556,12.083046,11.18034,12.529964,15.811388,17.691806,21.213203,21.260292,22.671568,21.400935,20.0,17.492856,14.764823,11.7047,9.219544,7.071068,6.403124,6.708204,8.062258,10.049876,12.369317,13.928388,15.652476,17.492856,18.027756,17.804494,17.804494,16.278821,14.142136
20260626_180134,2026-06-26T18:01:34.907255+09:00,skeleton,RX3,24.596748,23.323808,20.248457,17.204651,13.038405,10.29563,7.28011,6.0,5.830952,7.071068,7.81025,9.219544,10.630146,12.041595,12.806248,12.806248,13.453624,14.21267,13.601471,13.038405,12.529964,12.649111,12.165525,12.041595,12.0,11.0,12.041595,7.071068,4.242641,7.071068,12.083046,15.652476,19.235384,21.023796,22.472205,22.472205,20.880613,19.235384,17.029386,15.0,12.041595,10.198039,8.062258,6.0,4.472136,5.830952,8.246211,11.401754,15.524175,19.646883,23.086793,24.698178
20260626_180134,2026-06-26T18:01:34.932713+09:00,skeleton,RX1,23.345235,21.377558,18.248288,15.132746,11.045361,8.062258,5.385165,4.472136,5.0,6.324555,8.062258,9.433981,10.0,12.041595,13.453624,13.453624,13.453624,14.21267,13.601471,12.206556,10.816654,7.211103,5.0,2.236068,1.414214,3.0,7.615773,5.0,4.123106,7.071068,11.401754,16.401219,20.518285,23.345235,24.083189,24.207437,23.853721,21.954498,19.235384,15.652476,12.083046,8.944272,5.830952,3.605551,2.828427,6.324555,10.198039,14.142136,18.248288,21.213203,24.186773,25.317978
20260626_180134,2026-06-26T18:01:34.964663+09:00,skeleton,RX2,9.219544,6.082763,2.236068,1.414214,5.09902,7.071068,9.055385,11.0,12.0,12.041595,12.165525,12.369317,11.7047,11.18034,10.630146,10.0,9.848858,10.049876,10.198039,10.816654,11.313708,13.038405,13.0,14.142136,13.038405,12.369317,10.0,13.416408,16.552945,18.384776,19.924859,20.615528,20.396078,19.235384,17.029386,14.0,11.045361,8.544004,7.071068,5.385165,7.071068,8.062258,10.630146,12.041595,13.601471,16.124515,16.552945,18.027756,18.681542,18.681542,17.464249,15.297059
20260626_180134,2026-06-26T18:01:34.992774+09:00,skeleton,RX3,8.544004,11.401754,13.453624,15.556349,16.970563,16.278821,17.029386,16.401219,15.811388,14.422205,13.038405,11.661904,10.0,9.219544,8.602325,8.062258,8.544004,9.055385,10.0,10.049876,11.401754,10.440307,10.77033,8.944272,7.81025,7.071068,19.697716,21.931712,23.706539,23.323808,22.472205,19.416488,15.811388,12.206556,8.062258,5.385165,3.162278,4.472136,7.28011,9.219544,10.440307,12.649111,13.416408,15.264338,15.811388,16.278821,16.278821,15.620499,15.0,12.806248,10.630146,8.062258
20260626_180134,2026-06-26T18:01:35.027997+09:00,skeleton,RX1,7.615773,10.049876,13.038405,15.0,16.0,16.0,16.0,15.0,14.035669,12.041595,11.18034,9.219544,7.28011,5.385165,3.605551,2.236068,3.162278,4.242641,7.211103,8.944272,10.29563,12.206556,12.206556,12.806248,12.041595,11.313708,19.235384,21.023796,22.847319,23.086793,22.803509,20.396078,16.278821,12.165525,8.246211,3.605551,4.123106,6.403124,9.899495,12.727922,15.556349,16.970563,17.691806,18.384776,19.104973,18.439089,18.439089,16.970563,14.866069,11.401754,8.944272,5.0
20260626_180134,2026-06-26T18:01:35.052644+09:00,skeleton,RX2,10.198039,6.082763,3.162278,1.0,4.123106,7.28011,9.219544,10.440307,11.7047,12.083046,12.529964,12.206556,12.041595,10.630146,10.29563,10.198039,9.055385,9.848858,9.899495,10.29563,11.18034,12.0,13.341664,13.0,12.206556,12.041595,10.440307,14.142136,17.029386,19.0,21.0,21.023796,21.095023,20.099751,17.262677,14.56022,12.083046,9.433981,7.211103,6.324555,7.28011,8.944272,10.630146,12.806248,14.422205,16.124515,17.464249,18.384776,18.973666,18.681542,17.464249,15.297059
20260626_180134,2026-06-26T18:01:35.083009+09:00,skeleton,RX3,9.055385,10.77033,13.0,14.764823,16.124515,17.0,15.652476,15.231546,14.866069,12.649111,11.7047,10.77033,9.848858,8.944272,7.81025,8.485281,7.81025,8.544004,9.219544,9.055385,10.049876,9.0,9.055385,8.246211,7.615773,5.830952,19.849433,22.627417,23.345235,24.083189,22.022716,20.615528,15.811388,12.206556,8.485281,5.0,3.0,4.242641,6.708204,8.062258,10.816654,11.401754,13.453624,14.21267,15.0,15.264338,15.652476,15.231546,13.928388,12.083046,10.29563,8.485281
