experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_181941,2026-06-26T18:19:41.606149+09:00,skeleton,RX1,22.36068,20.124612,18.35756,16.552945,14.317821,11.7047,9.219544,8.062258,7.071068,6.324555,7.211103,7.81025,8.485281,9.899495,11.313708,11.313708,11.401754,11.661904,11.18034,9.848858,8.246211,6.082763,5.0,3.0,2.0,1.0,5.656854,7.28011,10.0,13.038405,17.117243,20.099751,22.022716,24.020824,24.186773,22.561028,20.880613,18.973666,16.155494,13.928388,10.440307,9.055385,8.062258,8.062258,9.899495,11.401754,13.892444,16.552945,18.788294,21.023796,22.36068,23.259407
20260626_181941,2026-06-26T18:19:41.636117+09:00,skeleton,RX2,11.18034,13.0,14.317821,14.317821,15.264338,15.264338,16.401219,17.204651,17.691806,17.029386,17.691806,17.691806,16.970563,16.278821,14.866069,13.601471,11.18034,10.0,9.848858,12.041595,16.401219,19.723083,22.825424,25.059928,25.553865,25.059928,3.0,2.236068,5.656854,8.944272,12.649111,15.524175,18.248288,20.099751,20.0,20.099751,19.235384,17.464249,15.811388,13.416408,10.816654,9.219544,7.071068,5.0,2.828427,1.0,1.0,2.236068,3.605551,6.403124,7.81025
20260626_181941,2026-06-26T18:19:41.666296+09:00,skeleton,RX3,25.612497,24.839485,21.931712,18.384776,14.866069,11.401754,7.211103,6.082763,5.09902,5.0,7.071068,8.485281,9.219544,10.630146,12.041595,12.727922,13.453624,12.806248,12.806248,12.041595,10.630146,9.219544,7.81025,7.211103,5.385165,5.09902,8.485281,5.0,4.123106,5.830952,9.486833,13.341664,16.492423,18.439089,19.924859,21.18962,20.615528,19.235384,17.492856,15.811388,13.601471,11.401754,9.433981,6.708204,6.0,6.708204,9.219544,13.038405,16.643317,21.633308,24.413111,25.806976
20260626_181941,2026-06-26T18:19:41.697309+09:00,skeleton,RX1,24.041631,23.086793,21.18962,18.027756,15.524175,12.369317,10.049876,8.062258,6.708204,7.071068,7.81025,8.944272,10.29563,12.083046,12.529964,13.601471,14.21267,13.453624,12.806248,10.816654,8.944272,7.615773,4.472136,2.236068,1.414214,1.414214,7.211103,6.708204,8.0,12.165525,15.297059,19.235384,22.203603,23.021729,24.020824,23.086793,21.377558,19.646883,16.763055,14.56022,11.18034,9.0,7.071068,8.062258,9.219544,11.18034,13.601471,16.763055,18.681542,21.587033,23.769729,24.738634
20260626_181941,2026-06-26T18:19:41.726070+09:00,skeleton,RX2,9.433981,8.544004,9.219544,9.0,9.055385,9.219544,8.544004,8.062258,7.211103,6.403124,6.708204,7.0,9.219544,11.7047,13.416408,16.124515,18.867962,20.808652,22.203603,22.203603,21.400935,18.601075,15.620499,12.727922,8.602325,5.385165,16.155494,18.788294,19.235384,20.248457,18.601075,17.029386,14.142136,11.401754,8.062258,4.472136,3.0,2.0,3.605551,4.242641,7.211103,7.615773,8.544004,9.219544,9.0,9.055385,9.219544,8.944272,9.433981,9.433981,10.0,9.219544
20260626_181941,2026-06-26T18:19:41.756392+09:00,skeleton,RX3,24.596748,22.847319,20.248457,17.464249,13.0,10.29563,7.211103,5.830952,6.082763,6.082763,7.28011,8.246211,9.486833,10.440307,11.18034,12.165525,12.165525,13.152946,12.165525,12.165525,11.18034,10.198039,9.486833,7.615773,8.062258,7.211103,9.433981,6.403124,4.123106,5.830952,10.0,12.529964,16.124515,18.35756,19.416488,20.0,19.209373,19.104973,16.278821,14.21267,12.206556,10.816654,8.602325,7.071068,4.472136,6.082763,8.944272,11.661904,16.643317,20.248457,22.472205,24.186773
20260626_181941,2026-06-26T18:19:41.786085+09:00,skeleton,RX1,25.0,24.0,21.023796,18.027756,16.03122,13.0,10.198039,7.615773,6.403124,6.708204,7.28011,9.219544,10.049876,12.041595,13.152946,13.341664,14.866069,13.416408,13.038405,10.630146,9.219544,7.211103,4.472136,2.0,1.0,7.071068,6.324555,9.055385,12.649111,16.155494,20.248457,23.086793,24.738634,24.33105,25.179357,23.021729,20.0,18.027756,15.033296,12.0,10.198039,7.615773,7.81025,8.944272,11.18034,14.035669,17.0,20.024984,22.022716,25.019992,25.019992
20260626_181941,2026-06-26T18:19:41.816547+09:00,skeleton,RX2,8.246211,8.062258,7.81025,8.602325,9.486833,10.198039,10.049876,10.0,9.055385,9.486833,9.433981,9.219544,10.29563,11.7047,14.142136,16.03122,19.026298,20.099751,21.213203,22.36068,21.377558,19.416488,16.492423,12.649111,8.944272,5.0,17.0,20.024984,21.095023,20.396078,19.646883,17.088007,14.317821,10.816654,7.81025,5.385165,4.472136,4.472136,7.071068,8.0,9.219544,10.77033,11.18034,10.816654,10.630146,11.401754,10.29563,9.848858,10.198039,10.049876,10.0,9.0
20260626_181941,2026-06-26T18:19:41.846101+09:00,skeleton,RX3,25.612497,23.430749,21.260292,17.691806,14.866069,10.630146,8.062258,5.09902,5.385165,6.403124,7.071068,9.219544,9.219544,10.630146,11.313708,12.727922,12.727922,12.727922,12.041595,11.313708,11.313708,10.0,9.433981,8.062258,7.615773,7.28011,10.816654,7.615773,5.09902,5.830952,9.219544,13.152946,16.124515,18.11077,19.235384,20.615528,19.924859,19.313208,17.888544,16.124515,14.422205,12.206556,9.433981,6.708204,5.09902,5.830952,8.602325,11.661904,16.124515,19.723083,23.853721,24.413111
20260626_181941,2026-06-26T18:19:41.876011+09:00,skeleton,RX1,12.041595,13.152946,15.524175,16.763055,17.088007,18.027756,18.027756,16.763055,16.763055,15.297059,14.142136,12.041595,10.0,8.0,6.0,4.0,2.236068,3.0,5.09902,7.28011,8.062258,8.0,8.062258,8.246211,8.062258,6.403124,22.472205,24.413111,25.495098,24.758837,23.430749,20.615528,17.029386,12.727922,9.433981,8.062258,9.219544,11.18034,13.892444,16.124515,17.492856,19.723083,20.124612,21.023796,21.023796,20.124612,20.124612,19.235384,18.35756,15.811388,13.453624,12.206556
