experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_124946,2026-06-25T12:49:46.109405+09:00,skeleton,RX3,17.720045,13.928388,11.661904,9.219544,9.486833,11.045361,13.0,15.0,16.0,17.117243,17.262677,17.464249,17.720045,16.763055,15.811388,14.56022,13.152946,13.038405,13.601471,14.764823,16.401219,19.104973,20.518285,21.213203,21.213203,19.79899,8.246211,6.082763,3.162278,1.414214,5.385165,8.544004,10.77033,13.416408,14.422205,14.21267,14.142136,12.206556,10.816654,8.062258,5.385165,3.162278,1.414214,2.828427,6.403124,9.219544,12.727922,16.278821,18.867962,21.470911,21.931712,21.18962
20260625_124946,2026-06-25T12:49:46.139010+09:00,skeleton,RX1,25.632011,25.079872,24.166092,21.023796,17.888544,13.892444,10.0,6.403124,2.236068,2.236068,5.0,8.602325,10.816654,13.892444,17.0,19.235384,20.615528,21.931712,21.931712,20.615528,18.384776,15.231546,11.18034,7.211103,3.605551,3.605551,11.401754,10.0,8.062258,5.09902,3.605551,5.0,8.544004,11.7047,14.317821,15.652476,17.0,17.888544,17.0,16.552945,15.231546,14.317821,12.083046,9.848858,7.211103,4.242641,3.162278,5.830952,10.77033,14.866069,18.973666,23.086793
20260625_124946,2026-06-25T12:49:46.169032+09:00,skeleton,RX2,1.0,3.605551,8.062258,11.18034,13.416408,15.652476,16.552945,17.0,16.552945,15.652476,14.764823,13.892444,11.661904,8.602325,5.656854,3.162278,3.162278,7.28011,12.083046,16.124515,19.416488,22.022716,23.345235,23.430749,22.803509,20.248457,14.866069,16.763055,16.763055,17.720045,16.492423,15.297059,13.038405,11.0,8.062258,6.708204,5.0,5.09902,6.082763,6.708204,7.81025,9.219544,10.816654,12.529964,14.317821,15.231546,16.763055,17.720045,16.492423,15.524175,13.601471,10.198039
20260625_124946,2026-06-25T12:49:46.200282+09:00,skeleton,RX3,17.464249,20.615528,21.18962,21.84033,20.615528,18.439089,15.132746,12.165525,10.198039,7.615773,6.403124,6.708204,8.062258,11.0,14.0,16.0,19.0,21.0,21.0,22.0,21.0,19.0,17.117243,14.317821,12.083046,10.630146,11.045361,13.038405,15.132746,15.297059,15.297059,13.341664,11.401754,8.544004,5.385165,1.0,2.236068,5.0,7.211103,9.433981,10.77033,11.7047,13.341664,13.152946,13.0,12.041595,11.045361,9.055385,6.0,2.828427,5.09902,9.848858
20260625_124946,2026-06-25T12:49:46.229304+09:00,skeleton,RX1,25.495098,24.33105,24.083189,21.023796,18.027756,14.035669,10.0,6.0,3.605551,4.0,6.324555,8.544004,12.083046,15.231546,17.088007,19.924859,20.615528,22.561028,22.203603,21.095023,19.026298,16.03122,12.041595,8.062258,4.472136,4.0,11.7047,11.7047,9.486833,8.062258,6.082763,5.0,6.324555,8.0,10.049876,11.18034,13.341664,14.142136,13.341664,13.152946,13.152946,12.041595,11.045361,9.055385,7.28011,5.830952,5.385165,8.062258,11.401754,14.56022,18.681542,23.086793
20260625_124946,2026-06-25T12:49:46.259327+09:00,skeleton,RX2,2.236068,2.828427,7.211103,10.816654,13.892444,16.124515,17.492856,17.492856,17.492856,16.124515,15.652476,13.892444,12.083046,8.944272,6.324555,3.162278,2.236068,6.708204,10.77033,15.811388,19.646883,22.561028,25.317978,25.079872,24.020824,22.022716,13.601471,15.0,15.0,15.620499,16.278821,14.866069,12.806248,11.661904,9.848858,8.062258,7.071068,5.830952,6.403124,6.708204,8.062258,10.049876,11.18034,12.649111,15.231546,15.652476,17.492856,18.867962,18.027756,17.492856,15.264338,11.661904
20260625_124946,2026-06-25T12:49:46.289564+09:00,skeleton,RX3,20.615528,23.4094,24.041631,23.769729,21.377558,19.235384,16.124515,13.152946,10.198039,7.615773,7.071068,6.708204,9.055385,11.045361,14.0,17.0,20.0,21.0,23.0,23.021729,22.022716,20.024984,18.248288,15.524175,13.0,11.401754,10.77033,12.083046,13.416408,13.892444,13.038405,10.816654,7.81025,5.0,2.236068,2.0,4.242641,6.403124,8.602325,9.848858,10.77033,11.401754,12.165525,12.041595,11.0,10.049876,7.071068,5.0,2.828427,4.123106,8.944272,13.416408
20260625_124946,2026-06-25T12:49:46.318679+09:00,skeleton,RX1,25.079872,26.07681,23.0,21.023796,17.029386,13.038405,9.055385,5.0,2.828427,3.162278,6.708204,9.433981,13.038405,16.124515,18.35756,20.124612,22.847319,23.4094,23.086793,22.135944,19.924859,16.492423,12.649111,8.062258,4.242641,4.123106,12.041595,11.313708,10.0,7.615773,6.082763,5.385165,7.81025,9.848858,11.7047,14.317821,14.317821,15.524175,15.524175,14.56022,13.601471,12.649111,10.440307,9.486833,6.082763,4.123106,4.123106,7.0,11.18034,16.492423,19.416488,22.36068
20260625_124946,2026-06-25T12:49:46.349982+09:00,skeleton,RX2,23.706539,23.706539,22.36068,18.788294,15.231546,11.18034,6.708204,3.162278,1.414214,4.472136,8.944272,12.529964,15.652476,18.788294,21.931712,24.698178,26.248809,26.925824,25.495098,23.194827,20.024984,15.0,10.198039,4.472136,2.236068,6.082763,9.0,7.28011,6.403124,7.615773,9.055385,11.045361,13.341664,14.56022,15.811388,16.155494,16.155494,15.652476,13.892444,13.038405,11.401754,10.630146,9.219544,7.81025,5.385165,3.0,3.162278,6.082763,10.77033,14.317821,18.35756,21.470911
20260625_124946,2026-06-25T12:49:46.381226+09:00,skeleton,RX3,15.811388,12.369317,7.0,4.242641,7.0,10.198039,13.601471,15.524175,17.464249,18.248288,19.235384,19.104973,18.027756,18.027756,16.03122,14.142136,12.369317,10.29563,9.433981,10.198039,13.152946,16.763055,19.313208,20.124612,20.59126,20.248457,8.602325,5.656854,2.0,3.162278,7.28011,10.77033,13.416408,14.764823,15.811388,15.0,13.453624,12.041595,9.219544,7.211103,4.472136,1.0,2.236068,6.324555,9.219544,13.152946,17.0,20.024984,22.203603,24.515301,24.738634,23.086793
