experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_161005,2026-06-26T16:10:05.277284+09:00,skeleton,RX2,8.0,9.219544,9.486833,10.77033,11.7047,12.083046,13.0,12.649111,12.083046,11.7047,11.18034,10.29563,10.0,9.899495,10.0,9.433981,10.77033,11.401754,11.18034,11.045361,11.045361,11.0,10.049876,9.055385,8.062258,8.544004,11.045361,15.0,19.104973,21.377558,24.041631,24.351591,23.769729,20.615528,17.888544,13.928388,9.486833,6.082763,5.0,6.708204,8.062258,11.045361,12.041595,14.317821,15.297059,15.811388,16.155494,16.552945,14.764823,13.416408,12.083046,10.77033
20260626_161005,2026-06-26T16:10:05.302139+09:00,skeleton,RX3,26.400758,26.400758,25.0,22.203603,19.416488,15.811388,12.206556,9.219544,6.403124,4.123106,4.472136,5.656854,7.211103,8.062258,9.848858,11.18034,13.0,13.0,12.649111,12.369317,12.165525,11.0,10.049876,9.486833,8.944272,8.602325,11.313708,7.81025,3.605551,1.0,5.656854,9.899495,13.453624,17.029386,18.601075,18.867962,19.235384,18.788294,17.088007,15.524175,14.142136,13.038405,11.0,9.0,7.0,4.123106,2.236068,5.385165,10.0,14.21267,19.209373,22.022716
20260626_161005,2026-06-26T16:10:05.334055+09:00,skeleton,RX1,29.154759,27.45906,24.413111,20.248457,16.124515,11.661904,7.28011,5.09902,4.242641,6.324555,8.0,11.0,12.0,14.035669,15.033296,16.03122,15.033296,15.132746,13.341664,11.7047,9.433981,8.485281,6.324555,7.071068,7.615773,7.81025,7.211103,3.605551,1.0,4.472136,9.486833,13.928388,19.313208,21.18962,23.086793,23.537205,23.769729,22.36068,20.223748,18.11077,16.0,13.038405,10.049876,6.082763,2.236068,2.236068,7.28011,11.7047,16.155494,21.023796,25.942244,27.784888
20260626_161005,2026-06-26T16:10:05.361774+09:00,skeleton,RX2,19.416488,18.248288,17.117243,16.0,14.0,12.041595,10.198039,9.848858,9.433981,9.219544,11.313708,11.401754,12.206556,13.601471,14.422205,14.422205,14.764823,13.892444,13.416408,11.7047,11.401754,10.198039,10.198039,9.055385,10.049876,9.0,20.615528,18.973666,15.524175,10.440307,4.472136,3.162278,8.944272,14.317821,17.888544,20.59126,23.323808,23.021729,22.803509,21.260292,19.104973,17.029386,14.21267,12.806248,7.81025,7.28011,8.0,9.486833,13.0,15.652476,17.464249,19.313208
20260626_161005,2026-06-26T16:10:05.391814+09:00,skeleton,RX3,6.082763,5.0,6.082763,9.219544,11.401754,12.649111,13.928388,13.601471,13.601471,13.341664,12.369317,11.401754,10.440307,9.486833,7.615773,7.211103,6.403124,6.324555,7.0,8.062258,9.486833,9.848858,10.29563,9.433981,10.0,8.485281,17.0,19.723083,21.095023,22.472205,22.203603,20.0,17.804494,14.21267,10.630146,7.071068,4.242641,1.0,2.0,4.123106,7.071068,9.055385,11.0,14.035669,15.132746,17.464249,18.681542,19.924859,19.313208,18.384776,16.552945,13.601471
20260626_161005,2026-06-26T16:10:05.422094+09:00,skeleton,RX1,27.730849,25.495098,22.36068,18.788294,14.764823,10.29563,6.403124,3.162278,3.605551,5.830952,8.544004,10.440307,11.401754,13.601471,14.866069,14.866069,14.56022,15.524175,14.142136,12.0,10.049876,8.062258,7.81025,7.28011,9.0,9.219544,6.0,2.0,2.0,7.071068,11.18034,15.297059,19.416488,22.561028,23.769729,23.769729,24.041631,23.4094,20.248457,18.384776,15.652476,13.892444,9.433981,7.211103,2.828427,1.414214,6.403124,10.816654,16.401219,20.248457,23.853721,26.41969
20260626_161005,2026-06-26T16:10:05.452819+09:00,skeleton,RX2,8.0,8.246211,8.944272,10.29563,11.18034,12.083046,13.0,13.0,11.7047,10.77033,11.18034,10.29563,8.602325,8.485281,8.602325,8.544004,9.219544,10.049876,11.0,11.045361,11.18034,11.18034,11.18034,10.440307,9.486833,8.544004,10.198039,15.231546,20.124612,23.323808,25.238859,25.0,24.083189,21.260292,17.691806,14.21267,10.29563,6.324555,4.472136,5.656854,7.615773,10.440307,12.649111,14.866069,16.155494,16.552945,16.124515,16.124515,14.422205,13.038405,11.661904,8.944272
20260626_161005,2026-06-26T16:10:05.482083+09:00,skeleton,RX3,26.0,26.0,24.0,21.023796,18.0,15.0,11.045361,8.246211,5.830952,4.472136,5.0,6.324555,8.544004,9.848858,11.18034,12.529964,13.892444,14.422205,13.601471,14.21267,12.727922,12.041595,10.816654,9.848858,9.219544,9.0,13.0,10.0,5.0,5.09902,9.055385,13.152946,17.262677,18.439089,18.973666,19.313208,17.888544,17.492856,15.811388,14.21267,12.727922,10.630146,9.219544,7.211103,3.605551,1.414214,5.0,10.049876,15.0,19.0,22.022716
20260626_161005,2026-06-26T16:10:05.512136+09:00,skeleton,RX1,4.0,6.708204,10.816654,13.601471,14.866069,15.620499,16.401219,15.620499,14.422205,13.601471,12.206556,10.0,9.219544,6.403124,5.385165,4.0,5.0,7.211103,8.544004,10.198039,11.18034,12.0,12.0,11.18034,10.198039,7.28011,15.297059,17.464249,19.416488,19.416488,18.248288,17.262677,14.142136,11.045361,7.0,4.123106,1.0,3.162278,7.071068,10.049876,12.0,14.0,16.03122,17.117243,19.235384,19.416488,19.646883,19.924859,18.027756,15.811388,12.369317,8.062258
20260626_161005,2026-06-26T16:10:05.542160+09:00,skeleton,RX2,7.0,7.28011,8.944272,10.29563,11.661904,11.661904,12.529964,12.529964,11.18034,11.18034,10.29563,9.433981,8.602325,8.485281,8.062258,8.544004,9.219544,10.0,11.045361,11.18034,11.401754,10.440307,10.440307,9.486833,9.848858,8.062258,12.0,16.124515,20.615528,23.4094,26.0,25.495098,24.596748,22.825424,19.235384,15.652476,10.77033,7.071068,5.830952,5.830952,8.246211,11.18034,13.152946,15.297059,16.492423,16.763055,17.088007,16.552945,15.652476,13.416408,12.083046,9.848858
