experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_195134,2026-06-25T19:51:34.350654+09:00,skeleton,RX1,19.697716,20.615528,19.697716,18.384776,16.155494,14.317821,13.416408,11.661904,10.0,8.485281,8.062258,7.28011,8.0,9.055385,11.401754,13.601471,16.492423,18.439089,20.223748,21.023796,21.023796,20.223748,17.720045,13.928388,10.29563,5.830952,7.211103,8.602325,10.0,10.816654,12.206556,11.401754,12.206556,11.401754,11.401754,10.630146,9.899495,10.630146,10.0,10.0,10.0,9.433981,9.433981,9.848858,9.486833,9.219544,10.0,11.18034,12.649111,15.231546,16.552945,18.788294
20260625_195134,2026-06-25T19:51:34.380442+09:00,skeleton,RX2,10.440307,8.062258,8.944272,10.630146,12.806248,15.0,15.811388,15.811388,16.401219,16.401219,15.620499,15.620499,14.866069,13.453624,12.041595,10.0,8.944272,7.28011,7.28011,8.602325,12.727922,15.556349,18.384776,21.260292,22.203603,21.954498,10.440307,12.649111,15.811388,16.763055,18.439089,19.235384,18.11077,17.0,16.0,13.0,11.0,9.055385,7.28011,7.211103,7.81025,9.433981,10.77033,13.0,15.231546,17.088007,18.384776,19.697716,19.697716,19.723083,18.35756,16.124515
20260625_195134,2026-06-25T19:51:34.411089+09:00,skeleton,RX3,28.79236,25.632011,21.540659,16.155494,11.401754,6.0,2.828427,4.123106,7.211103,9.899495,12.041595,14.21267,15.620499,17.804494,17.804494,17.804494,17.804494,16.401219,13.601471,12.206556,8.602325,5.830952,2.0,2.236068,5.0,6.403124,5.0,1.0,4.472136,9.219544,14.142136,18.027756,21.0,23.0,23.086793,23.086793,21.213203,19.235384,16.124515,13.152946,10.049876,7.071068,4.0,1.414214,5.385165,9.848858,14.866069,19.924859,24.351591,28.460499,30.675723,31.953091
20260625_195134,2026-06-25T19:51:34.444275+09:00,skeleton,RX1,12.165525,11.7047,12.529964,13.601471,14.21267,14.866069,15.556349,15.556349,16.278821,16.970563,16.278821,15.620499,15.0,14.422205,14.422205,12.529964,10.0,7.211103,5.830952,6.082763,9.848858,13.416408,17.464249,19.924859,21.213203,22.0,11.18034,10.77033,11.18034,10.29563,10.29563,10.0,10.0,9.899495,9.899495,10.630146,9.899495,9.219544,8.602325,8.062258,8.544004,9.486833,10.198039,12.041595,13.038405,15.033296,16.124515,18.248288,18.439089,17.464249,16.278821,14.142136
20260625_195134,2026-06-25T19:51:34.470267+09:00,skeleton,RX2,20.024984,21.0,21.0,20.024984,18.11077,16.124515,13.152946,11.18034,9.055385,7.0,5.385165,4.242641,5.385165,7.0,9.055385,12.165525,14.142136,17.029386,19.0,20.099751,19.416488,18.681542,17.088007,13.416408,10.29563,5.830952,12.206556,12.806248,12.806248,12.806248,10.816654,10.29563,10.440307,10.049876,11.0,12.165525,13.152946,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,13.038405,12.041595,10.198039,9.486833,8.062258,7.81025,9.219544,12.041595,15.033296
20260625_195134,2026-06-25T19:51:34.500559+09:00,skeleton,RX3,8.602325,13.038405,15.264338,17.492856,18.027756,18.867962,17.492856,16.643317,14.764823,13.416408,11.18034,8.944272,6.324555,4.123106,2.236068,3.162278,4.123106,6.708204,9.433981,10.816654,12.206556,13.038405,13.601471,13.038405,11.661904,10.29563,17.0,18.788294,19.313208,18.973666,17.464249,14.317821,11.18034,7.071068,3.162278,1.0,4.123106,7.071068,9.219544,11.18034,13.152946,15.297059,16.278821,17.262677,17.464249,17.262677,16.278821,15.297059,13.152946,9.219544,5.0,2.236068
20260625_195134,2026-06-25T19:51:34.530002+09:00,skeleton,RX1,16.278821,16.763055,17.464249,16.643317,17.492856,18.601075,18.439089,19.209373,19.849433,19.104973,19.209373,20.0,19.416488,18.867962,17.888544,15.652476,13.416408,10.29563,7.81025,8.062258,11.18034,16.492423,20.615528,24.186773,27.0,28.284271,12.806248,13.038405,12.529964,11.661904,11.401754,11.313708,11.401754,10.816654,11.661904,12.529964,11.661904,11.18034,11.18034,10.77033,11.401754,11.18034,13.038405,14.0,16.03122,18.027756,20.099751,21.213203,20.223748,20.223748,20.223748,18.11077
20260625_195134,2026-06-25T19:51:34.560352+09:00,skeleton,RX2,19.723083,21.633308,21.400935,20.615528,19.104973,16.278821,13.453624,10.630146,8.602325,5.830952,4.0,4.472136,5.0,7.615773,10.440307,13.341664,15.811388,18.027756,19.697716,20.59126,20.248457,19.209373,16.970563,12.806248,8.602325,4.242641,12.165525,12.165525,13.152946,12.165525,11.045361,10.0,9.219544,8.944272,10.0,11.313708,12.041595,13.453624,14.21267,14.21267,13.453624,14.21267,13.453624,12.727922,11.401754,10.0,7.615773,7.071068,7.28011,8.485281,11.401754,15.264338
20260625_195134,2026-06-25T19:51:34.590653+09:00,skeleton,RX3,27.658633,24.515301,21.587033,15.297059,11.18034,6.0,2.236068,2.828427,6.708204,9.848858,12.083046,14.317821,15.652476,17.464249,17.464249,17.464249,17.464249,16.552945,15.231546,12.083046,8.544004,6.082763,3.0,2.0,4.472136,6.403124,3.162278,1.0,5.0,10.29563,14.317821,18.384776,20.880613,22.803509,23.537205,22.561028,22.36068,20.223748,17.262677,14.317821,12.165525,8.246211,4.472136,2.236068,5.0,8.544004,13.341664,18.248288,22.36068,26.305893,29.427878,30.594117
20260625_195134,2026-06-25T19:51:34.619996+09:00,skeleton,RX1,19.416488,20.0,18.601075,17.204651,15.811388,13.892444,12.529964,9.848858,8.544004,7.071068,7.0,7.28011,7.211103,8.485281,10.630146,12.806248,15.620499,17.691806,19.104973,20.0,19.723083,18.788294,16.763055,13.152946,9.0,5.0,7.615773,9.848858,11.18034,12.083046,13.416408,12.529964,11.661904,11.661904,10.29563,10.77033,9.486833,9.486833,9.219544,9.219544,9.055385,10.049876,9.0,9.0,9.055385,9.486833,9.433981,10.630146,12.727922,15.0,16.643317,17.204651
20260625_195134,2026-06-25T19:51:34.653132+09:00,skeleton,RX2,13.038405,8.544004,6.0,6.403124,8.944272,10.77033,13.341664,14.56022,15.524175,15.524175,15.811388,15.811388,14.866069,13.928388,13.928388,11.18034,8.944272,5.385165,2.236068,5.0,9.219544,13.601471,18.439089,21.095023,23.0,23.194827,10.29563,12.083046,15.231546,17.088007,19.313208,19.697716,20.124612,19.723083,18.35756,16.643317,13.892444,11.18034,8.246211,7.0,6.324555,7.81025,9.219544,12.206556,13.892444,17.0,19.235384,20.59126,21.954498,22.472205,21.633308,18.867962
20260625_195134,2026-06-25T19:51:34.680555+09:00,skeleton,RX3,8.944272,13.038405,15.811388,18.027756,18.867962,18.867962,18.867962,17.204651,15.811388,13.601471,11.401754,9.219544,6.403124,4.472136,2.0,2.236068,5.0,8.062258,11.18034,13.341664,14.317821,15.297059,15.297059,14.317821,13.152946,11.18034,17.0,19.026298,19.104973,18.248288,17.464249,14.56022,11.401754,7.28011,4.0,1.0,4.242641,7.071068,10.0,12.041595,14.21267,15.620499,16.401219,17.804494,19.209373,19.209373,18.601075,16.401219,13.601471,10.0,5.830952,2.236068
20260625_195134,2026-06-25T19:51:34.709995+09:00,skeleton,RX1,19.235384,18.248288,18.248288,17.262677,16.124515,14.317821,12.369317,10.440307,9.848858,8.944272,7.81025,7.211103,7.615773,8.062258,11.045361,12.041595,15.033296,18.0,19.104973,20.223748,20.880613,19.313208,16.124515,13.601471,9.899495,5.830952,7.615773,9.848858,10.440307,11.401754,12.649111,12.165525,12.369317,12.369317,10.440307,9.486833,9.486833,8.944272,8.602325,9.219544,9.219544,9.899495,9.899495,9.899495,9.433981,8.944272,10.440307,11.045361,13.0,14.035669,16.124515,18.248288
20260625_195134,2026-06-25T19:51:34.740203+09:00,skeleton,RX2,10.630146,8.062258,6.0,7.211103,10.630146,12.806248,14.422205,15.811388,16.643317,16.401219,16.401219,16.401219,16.401219,15.620499,14.21267,12.041595,9.219544,5.830952,3.0,5.385165,9.219544,14.142136,18.439089,21.18962,22.847319,23.323808,9.433981,12.041595,13.453624,16.278821,17.691806,19.849433,19.209373,18.027756,16.643317,15.264338,12.529964,10.0,7.071068,5.385165,6.0,6.708204,8.602325,11.401754,14.21267,16.278821,19.104973,20.518285,20.615528,21.400935,20.0,18.601075
20260625_195134,2026-06-25T19:51:34.770567+09:00,skeleton,RX3,28.460499,24.351591,20.248457,15.811388,10.440307,6.082763,2.828427,3.605551,7.071068,10.0,12.806248,14.422205,15.811388,18.027756,18.867962,18.867962,18.027756,17.204651,15.811388,13.038405,9.433981,5.830952,3.162278,1.0,4.472136,6.403124,3.162278,5.09902,9.219544,14.142136,18.11077,21.023796,23.0,23.0,23.021729,22.022716,20.024984,17.029386,14.035669,11.045361,8.0,5.0,1.414214,3.605551,8.544004,12.649111,17.720045,22.803509,26.248809,29.12044,30.364453
