experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_162448,2026-06-26T16:24:48.633154+09:00,skeleton,RX2,3.605551,1.414214,2.236068,5.0,8.0,11.0,14.0,17.0,19.026298,21.023796,21.095023,21.095023,21.095023,20.099751,18.027756,15.033296,11.18034,7.81025,7.0,11.661904,16.278821,21.260292,26.248809,28.425341,29.206164,27.802878,21.023796,18.384776,15.524175,11.045361,7.28011,5.385165,8.246211,12.083046,15.264338,17.204651,18.601075,17.804494,17.029386,16.278821,14.866069,14.21267,13.453624,12.041595,10.630146,9.899495,9.899495,9.899495,8.485281,7.81025,7.81025,6.403124
20260626_162448,2026-06-26T16:24:48.662739+09:00,skeleton,RX3,24.166092,24.166092,22.36068,20.124612,17.888544,14.764823,12.083046,8.944272,6.082763,4.0,3.605551,4.472136,6.082763,7.0,9.0,10.049876,11.18034,12.165525,13.341664,12.649111,13.0,13.038405,12.206556,11.401754,11.313708,10.0,14.035669,10.049876,4.123106,2.236068,8.062258,13.416408,17.888544,21.023796,23.259407,24.186773,23.853721,23.021729,20.615528,19.104973,16.278821,14.866069,12.206556,9.433981,7.211103,3.605551,2.236068,5.385165,9.486833,13.0,17.088007,20.615528
20260626_162448,2026-06-26T16:24:48.692834+09:00,skeleton,RX1,17.204651,15.264338,13.416408,11.7047,10.198039,8.0,7.28011,7.211103,7.071068,7.211103,7.211103,7.211103,6.708204,6.708204,6.324555,6.324555,5.09902,4.123106,4.0,3.162278,3.605551,3.605551,3.605551,4.472136,4.472136,5.09902,5.385165,1.0,3.605551,8.944272,13.928388,18.681542,22.36068,24.186773,24.020824,24.020824,22.090722,19.235384,16.278821,12.369317,9.055385,5.0,2.828427,4.123106,6.708204,10.816654,13.601471,15.620499,17.691806,19.104973,19.79899,19.104973
20260626_162448,2026-06-26T16:24:48.727590+09:00,skeleton,RX2,12.041595,12.041595,12.165525,12.369317,12.369317,11.401754,9.219544,7.28011,6.082763,4.123106,3.605551,5.0,7.28011,10.440307,13.0,16.155494,19.697716,21.023796,21.931712,21.470911,20.124612,18.35756,15.264338,11.401754,7.81025,5.09902,11.18034,13.928388,18.027756,20.248457,21.18962,20.880613,19.646883,18.681542,15.297059,12.165525,10.049876,7.071068,5.0,3.162278,1.0,2.236068,2.236068,3.605551,4.472136,5.385165,5.385165,6.324555,7.28011,8.246211,9.055385,10.0
20260626_162448,2026-06-26T16:24:48.753085+09:00,skeleton,RX3,6.403124,5.09902,6.324555,9.433981,12.041595,13.453624,14.142136,14.142136,14.866069,14.866069,14.21267,12.806248,12.041595,11.313708,10.630146,10.0,8.944272,8.246211,8.0,8.062258,7.28011,7.211103,7.071068,6.403124,6.708204,6.324555,21.095023,25.179357,27.166155,28.284271,27.294688,26.305893,22.36068,18.248288,13.341664,9.219544,4.123106,1.414214,3.605551,6.403124,9.219544,11.313708,12.806248,14.422205,16.124515,17.464249,18.973666,18.681542,18.439089,17.262677,15.132746,12.165525
20260626_162448,2026-06-26T16:24:48.782955+09:00,skeleton,RX1,18.248288,16.492423,13.601471,11.18034,10.0,9.219544,7.615773,8.062258,8.0,8.062258,9.219544,8.246211,8.544004,8.544004,7.615773,6.708204,6.708204,5.0,5.0,4.472136,5.385165,5.385165,6.324555,6.324555,6.708204,6.403124,5.830952,2.0,6.082763,12.041595,18.11077,22.36068,25.96151,28.79236,28.635642,28.653098,26.07681,23.600847,19.209373,15.620499,11.401754,8.062258,4.123106,4.242641,7.28011,11.18034,14.035669,17.029386,19.0,21.0,21.023796,21.023796
20260626_162448,2026-06-26T16:24:48.812912+09:00,skeleton,RX2,5.09902,3.162278,1.0,2.236068,5.830952,8.602325,12.206556,15.0,17.804494,19.849433,20.518285,20.518285,21.260292,20.518285,19.209373,15.811388,12.083046,9.0,7.071068,11.18034,17.0,22.203603,27.45906,29.614186,31.780497,30.805844,23.345235,20.615528,16.763055,13.0,7.81025,6.082763,8.485281,12.083046,15.811388,18.439089,18.248288,19.235384,19.104973,18.027756,17.029386,15.033296,14.035669,13.0,12.041595,11.0,11.0,11.0,10.0,10.0,9.055385,9.055385
20260626_162448,2026-06-26T16:24:48.842919+09:00,skeleton,RX3,4.472136,4.472136,7.0,9.486833,10.77033,11.7047,13.0,13.928388,13.601471,13.601471,12.649111,11.7047,10.77033,9.848858,8.944272,8.602325,8.485281,7.211103,6.324555,7.0,7.071068,7.28011,6.708204,6.403124,6.403124,6.403124,19.849433,23.430749,25.495098,25.495098,25.495098,23.345235,20.518285,16.278821,11.313708,7.81025,2.828427,3.605551,5.830952,7.615773,10.440307,11.18034,13.038405,14.0,16.03122,16.124515,16.492423,16.492423,14.866069,12.649111,9.486833
20260626_162448,2026-06-26T16:24:48.876325+09:00,skeleton,RX1,19.313208,17.464249,15.652476,12.806248,11.313708,9.433981,8.544004,9.055385,9.055385,9.219544,9.486833,9.486833,9.486833,9.848858,8.544004,7.615773,7.615773,5.830952,5.0,5.0,4.472136,4.472136,5.385165,5.385165,6.324555,5.830952,6.708204,1.414214,5.0,11.045361,16.0,22.022716,25.179357,27.658633,28.160256,27.856777,25.495098,22.825424,18.867962,15.264338,10.29563,6.324555,4.123106,4.472136,8.0,12.041595,15.132746,18.248288,20.396078,22.36068,22.561028,22.561028
20260626_162448,2026-06-26T16:24:48.902915+09:00,skeleton,RX2,12.041595,13.152946,13.152946,13.341664,12.369317,12.369317,11.401754,9.219544,7.071068,5.0,3.605551,4.472136,6.0,9.219544,12.649111,14.866069,18.384776,19.697716,20.615528,21.023796,19.697716,17.464249,14.764823,10.816654,7.81025,4.472136,10.440307,14.317821,17.262677,19.235384,21.213203,21.095023,20.024984,18.027756,15.0,12.0,9.0,6.082763,4.123106,2.236068,2.0,2.236068,3.162278,4.123106,5.09902,6.082763,6.082763,7.071068,8.062258,9.055385,9.055385,11.045361
