experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_194405,2026-06-25T19:44:05.517305+09:00,skeleton,RX1,11.18034,11.18034,12.806248,14.142136,15.620499,17.204651,18.027756,18.027756,19.416488,19.416488,18.601075,17.804494,17.804494,17.029386,14.866069,13.453624,10.0,7.615773,7.28011,10.816654,15.556349,21.213203,25.495098,28.600699,30.88689,31.016125,11.0,11.0,12.0,12.0,12.0,11.0,11.045361,10.049876,9.219544,8.246211,8.544004,8.062258,6.403124,7.211103,8.062258,9.848858,10.440307,12.649111,14.56022,16.763055,17.088007,18.027756,18.384776,17.088007,15.811388,14.317821
20260625_194405,2026-06-25T19:44:05.544715+09:00,skeleton,RX2,26.305893,26.476405,24.515301,20.615528,16.763055,12.649111,8.544004,4.472136,1.0,4.0,7.071068,10.198039,11.401754,14.317821,17.464249,19.646883,20.248457,21.18962,20.615528,18.788294,15.652476,12.206556,7.81025,3.162278,3.0,6.708204,8.485281,6.708204,5.0,5.830952,8.062258,11.401754,13.152946,16.124515,17.029386,17.029386,18.027756,17.029386,15.0,14.035669,13.038405,12.165525,9.219544,7.615773,5.0,3.162278,4.242641,7.615773,12.369317,16.278821,19.235384,23.194827
20260625_194405,2026-06-25T19:44:05.574675+09:00,skeleton,RX3,8.602325,12.806248,16.401219,18.439089,19.209373,19.849433,18.439089,17.691806,16.278821,14.142136,12.041595,9.899495,7.071068,4.242641,2.236068,1.414214,4.242641,7.071068,9.219544,11.313708,13.453624,13.453624,13.453624,12.806248,11.401754,10.0,17.804494,19.849433,19.104973,19.104973,17.691806,14.21267,10.630146,6.403124,2.828427,1.0,5.0,8.062258,10.816654,13.038405,15.264338,16.643317,18.027756,18.601075,20.0,19.209373,19.209373,17.029386,14.21267,10.630146,6.403124,1.414214
20260625_194405,2026-06-25T19:44:05.609508+09:00,skeleton,RX1,10.0,10.440307,10.29563,12.206556,12.727922,14.142136,14.866069,14.866069,15.556349,15.556349,15.556349,14.866069,14.21267,14.21267,13.601471,11.401754,8.485281,7.211103,6.0,9.486833,13.038405,17.492856,20.59126,23.769729,25.70992,25.179357,10.0,11.0,11.045361,11.045361,11.0,11.0,10.049876,9.055385,9.219544,8.246211,7.28011,6.708204,6.403124,6.403124,7.211103,8.062258,9.848858,10.77033,12.649111,13.928388,15.231546,15.652476,16.124515,14.764823,13.416408,12.649111
20260625_194405,2026-06-25T19:44:05.634756+09:00,skeleton,RX2,1.414214,4.123106,8.0,12.0,14.035669,16.03122,17.029386,17.117243,17.117243,16.03122,15.132746,13.038405,11.045361,9.055385,7.071068,4.123106,4.0,8.062258,11.18034,15.524175,16.763055,19.313208,20.615528,20.124612,18.35756,15.811388,17.720045,18.681542,18.973666,18.973666,18.027756,15.811388,13.928388,11.18034,8.062258,5.656854,4.123106,4.472136,5.0,6.708204,9.486833,11.401754,13.038405,14.035669,15.0,17.0,17.0,17.029386,16.03122,13.038405,10.049876
20260625_194405,2026-06-25T19:44:05.665064+09:00,skeleton,RX3,27.45906,23.853721,20.808652,15.811388,10.630146,5.656854,2.236068,2.236068,5.385165,8.062258,10.816654,12.806248,14.21267,15.620499,16.401219,16.401219,15.620499,15.0,13.601471,10.816654,8.062258,5.385165,3.0,2.236068,4.123106,6.708204,3.0,2.236068,6.403124,9.433981,14.764823,17.888544,20.615528,22.472205,22.472205,22.472205,21.18962,19.313208,16.155494,13.928388,10.77033,7.615773,4.472136,4.472136,8.062258,12.529964,17.492856,21.095023,24.698178,27.45906,28.84441
20260625_194405,2026-06-25T19:44:05.694913+09:00,skeleton,RX1,19.209373,19.209373,17.804494,16.401219,15.0,12.806248,10.630146,8.485281,7.81025,5.385165,5.0,6.708204,7.81025,9.899495,12.727922,14.866069,17.691806,19.416488,21.095023,21.023796,20.248457,18.681542,15.297059,11.045361,8.0,3.162278,7.615773,8.544004,8.944272,9.433981,10.0,10.816654,10.630146,10.630146,10.630146,10.630146,10.630146,10.630146,10.0,10.0,10.0,10.0,9.433981,8.944272,7.28011,7.071068,8.246211,8.944272,10.816654,13.453624,16.278821,17.691806
20260625_194405,2026-06-25T19:44:05.724547+09:00,skeleton,RX2,1.0,4.123106,8.062258,12.0,14.0,16.0,17.029386,17.029386,17.029386,16.03122,15.033296,13.038405,11.045361,9.055385,7.071068,4.123106,4.0,8.062258,12.165525,15.524175,17.720045,20.248457,20.615528,21.023796,19.235384,13.928388,16.155494,17.464249,18.384776,17.464249,16.552945,15.652476,12.529964,10.29563,7.81025,5.0,4.0,4.472136,5.830952,7.28011,9.219544,11.045361,12.041595,14.0,15.033296,16.03122,16.124515,16.124515,15.132746,13.038405,9.055385
20260625_194405,2026-06-25T19:44:05.754871+09:00,skeleton,RX3,26.925824,23.769729,20.248457,14.866069,10.440307,5.09902,1.0,3.605551,5.830952,8.544004,11.7047,13.928388,14.866069,15.811388,16.763055,17.720045,16.763055,15.811388,13.928388,11.7047,8.544004,5.830952,2.828427,1.414214,4.123106,6.0,2.828427,2.236068,6.082763,10.440307,14.866069,18.384776,21.023796,22.36068,22.825424,22.825424,21.470911,19.235384,17.0,13.892444,11.18034,7.615773,4.123106,1.0,3.605551,8.062258,12.529964,16.552945,20.615528,25.079872,27.856777,29.154759
20260625_194405,2026-06-25T19:44:05.784438+09:00,skeleton,RX1,9.219544,9.848858,10.440307,12.165525,14.0,14.0,15.033296,15.033296,15.0,15.0,16.0,15.0,15.033296,14.035669,13.038405,11.045361,9.0,7.071068,6.403124,8.544004,12.369317,16.278821,20.615528,23.4094,24.596748,24.413111,8.485281,9.899495,10.630146,10.630146,10.630146,9.899495,9.219544,9.219544,8.602325,8.062258,6.708204,6.324555,6.082763,6.082763,7.28011,7.615773,8.944272,11.18034,13.0,14.317821,15.231546,16.155494,15.811388,14.866069,14.866069,12.529964
20260625_194405,2026-06-25T19:44:05.814949+09:00,skeleton,RX2,28.160256,27.202941,24.351591,22.472205,17.464249,13.416408,8.944272,5.0,4.123106,7.28011,9.848858,12.083046,15.652476,17.888544,20.59126,21.095023,21.633308,20.615528,19.849433,16.278821,12.806248,8.602325,3.162278,2.0,7.071068,8.602325,7.615773,6.0,5.656854,8.062258,11.401754,14.317821,16.124515,18.11077,18.027756,19.026298,18.027756,16.0,15.0,13.038405,12.041595,10.198039,7.28011,5.0,3.162278,4.242641,8.062258,12.649111,16.763055,21.587033,24.738634
20260625_194405,2026-06-25T19:44:05.845075+09:00,skeleton,RX3,7.071068,10.630146,14.21267,16.401219,17.029386,17.029386,16.401219,15.0,13.601471,12.206556,9.433981,8.062258,5.830952,3.605551,1.414214,2.236068,4.472136,6.708204,8.944272,10.29563,12.083046,12.529964,12.529964,12.083046,11.18034,8.944272,15.620499,16.278821,16.970563,16.278821,15.620499,12.206556,9.433981,5.830952,2.0,2.236068,5.0,7.81025,9.899495,12.041595,13.453624,16.278821,16.278821,17.691806,17.691806,17.691806,17.029386,15.620499,13.453624,10.0,6.403124,1.414214
20260625_194405,2026-06-25T19:44:05.875948+09:00,skeleton,RX1,19.723083,19.235384,19.235384,17.0,15.652476,13.892444,12.206556,9.219544,7.81025,6.708204,7.071068,7.0,8.246211,11.18034,12.529964,15.652476,18.788294,20.615528,21.84033,22.561028,21.095023,20.0,16.03122,13.152946,9.055385,4.0,7.071068,7.28011,8.544004,8.544004,8.944272,9.433981,10.0,10.0,9.219544,10.0,9.899495,9.899495,9.899495,9.899495,9.219544,9.219544,8.602325,7.211103,7.615773,7.071068,8.062258,9.486833,11.18034,13.892444,16.643317,18.027756
20260625_194405,2026-06-25T19:44:05.908829+09:00,skeleton,RX2,26.172505,26.07681,24.020824,21.0,17.029386,12.041595,8.062258,3.162278,1.414214,5.09902,8.062258,11.0,14.035669,16.0,18.0,20.024984,22.090722,22.203603,21.377558,19.416488,16.763055,12.649111,8.944272,3.605551,1.414214,5.385165,8.246211,7.071068,5.830952,6.708204,9.055385,12.041595,15.132746,16.492423,18.439089,19.924859,18.681542,18.973666,18.027756,16.763055,14.317821,12.083046,10.29563,8.602325,5.656854,3.162278,3.605551,7.071068,10.049876,15.132746,19.235384,22.203603
20260625_194405,2026-06-25T19:44:05.934543+09:00,skeleton,RX3,7.071068,11.18034,13.341664,15.524175,16.492423,16.492423,16.763055,14.866069,13.601471,11.7047,10.440307,7.28011,5.385165,3.162278,1.0,1.414214,5.0,6.708204,8.944272,10.29563,12.083046,12.529964,12.529964,12.083046,9.848858,8.944272,14.866069,15.811388,16.492423,16.492423,15.297059,12.165525,9.055385,6.0,2.236068,1.414214,5.385165,7.28011,10.198039,12.165525,13.341664,15.297059,16.492423,17.720045,17.720045,17.720045,16.763055,15.811388,12.649111,9.848858,5.385165,1.414214
20260625_194405,2026-06-25T19:44:05.964710+09:00,skeleton,RX1,10.0,10.29563,11.401754,12.041595,13.0,14.035669,14.035669,15.033296,15.033296,16.03122,15.0,15.0,15.033296,14.035669,13.038405,11.045361,9.0,7.28011,5.656854,7.615773,11.18034,15.132746,19.416488,21.18962,23.259407,23.323808,9.848858,11.18034,10.29563,11.661904,11.18034,11.18034,10.29563,9.848858,9.486833,8.544004,8.246211,8.062258,7.0,7.071068,7.615773,8.944272,10.29563,12.206556,13.038405,14.764823,15.264338,15.652476,17.0,15.652476,14.764823,12.529964
20260625_194405,2026-06-25T19:44:05.995252+09:00,skeleton,RX2,2.828427,3.0,7.28011,11.401754,13.341664,15.524175,16.492423,17.464249,17.464249,16.278821,14.317821,13.152946,11.18034,9.055385,6.0,3.162278,1.414214,5.385165,9.219544,13.038405,17.029386,20.0,22.022716,22.203603,22.36068,20.615528,14.422205,15.811388,18.027756,18.027756,18.027756,16.643317,15.264338,12.529964,9.848858,7.28011,5.0,4.242641,5.09902,7.0,8.246211,10.440307,12.083046,14.317821,16.124515,17.492856,18.867962,18.867962,18.867962,17.204651,14.422205,10.816654
20260625_194405,2026-06-25T19:44:06.026172+09:00,skeleton,RX3,27.45906,24.413111,20.0,15.811388,10.630146,5.656854,2.236068,2.236068,5.830952,7.81025,10.630146,12.727922,14.142136,14.866069,16.278821,16.278821,15.620499,14.866069,12.727922,10.630146,7.81025,5.0,3.0,3.162278,5.0,6.082763,3.162278,2.236068,5.830952,10.77033,14.866069,17.720045,20.615528,22.36068,22.36068,22.36068,21.377558,19.416488,16.492423,13.341664,10.440307,7.28011,4.123106,1.0,3.605551,8.062258,12.529964,17.0,21.954498,24.698178,27.45906,28.301943
20260625_194405,2026-06-25T19:44:06.056669+09:00,skeleton,RX1,19.723083,20.248457,18.867962,17.492856,15.811388,13.038405,11.18034,8.544004,8.062258,7.071068,6.324555,6.403124,8.602325,10.29563,13.0,15.652476,18.35756,20.248457,21.400935,21.931712,21.260292,19.416488,16.124515,12.083046,8.944272,3.605551,7.211103,7.81025,8.485281,8.485281,9.219544,10.0,10.816654,10.816654,10.29563,10.29563,10.77033,10.77033,9.486833,9.486833,9.486833,9.219544,8.246211,8.062258,7.0,7.28011,7.211103,9.899495,11.401754,14.422205,15.264338,17.492856
