experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_180055,2026-06-24T18:00:55.726476+09:00,skeleton,RX2,20.124612,18.35756,15.264338,12.806248,10.0,9.486833,10.049876,12.041595,13.038405,15.132746,16.03122,17.029386,18.027756,18.027756,18.11077,17.117243,15.297059,13.152946,9.0,6.324555,5.385165,9.055385,12.369317,15.811388,18.027756,19.924859,2.236068,4.242641,8.602325,11.661904,16.643317,18.867962,21.633308,22.203603,22.022716,21.213203,19.79899,17.029386,14.21267,11.401754,9.219544,6.403124,4.123106,5.09902,6.403124,9.899495,12.727922,16.278821,18.439089,21.400935,22.472205,23.323808
20260624_180055,2026-06-24T18:00:55.758363+09:00,skeleton,RX3,16.278821,12.041595,10.0,6.403124,2.236068,1.0,4.472136,7.28011,9.219544,11.401754,13.341664,15.132746,16.124515,17.117243,17.029386,17.029386,16.03122,14.142136,11.18034,8.246211,5.0,3.162278,5.830952,9.848858,11.7047,13.601471,11.0,14.142136,17.464249,19.924859,21.18962,21.931712,21.023796,18.788294,16.552945,13.416408,11.18034,8.062258,3.605551,1.0,2.0,4.123106,7.071068,9.055385,12.041595,14.035669,15.132746,16.492423,18.027756,18.788294,18.867962,19.416488
20260624_180055,2026-06-24T18:00:55.792532+09:00,skeleton,RX1,4.0,5.656854,8.062258,11.18034,13.416408,14.764823,15.264338,14.422205,13.601471,12.806248,11.313708,9.219544,7.81025,5.656854,3.605551,2.0,3.605551,6.324555,10.198039,13.341664,15.297059,17.464249,17.720045,18.027756,16.763055,14.866069,10.440307,13.601471,15.811388,17.720045,18.681542,18.973666,17.720045,15.811388,12.649111,9.848858,8.062258,5.656854,4.123106,5.09902,7.211103,8.602325,11.401754,12.806248,15.0,15.811388,17.492856,17.0,17.0,14.764823,12.529964,9.433981
20260624_180055,2026-06-24T18:00:55.818116+09:00,skeleton,RX2,11.045361,13.0,15.033296,16.03122,17.029386,16.0,15.0,13.038405,12.041595,10.049876,8.0,6.082763,5.0,5.830952,7.28011,10.049876,13.0,16.0,19.0,20.0,21.023796,20.024984,19.026298,17.029386,13.152946,10.198039,15.0,16.0,16.03122,16.03122,15.033296,12.041595,9.0,6.082763,3.605551,4.0,6.708204,8.602325,10.816654,11.661904,12.529964,14.317821,15.231546,15.811388,15.524175,15.297059,14.142136,13.152946,12.165525,9.486833,8.602325,8.062258
20260624_180055,2026-06-24T18:00:55.851706+09:00,skeleton,RX3,16.763055,13.928388,11.18034,8.062258,3.605551,3.605551,5.830952,8.602325,10.630146,13.453624,14.866069,16.278821,17.029386,17.029386,17.029386,17.029386,14.866069,12.041595,8.602325,6.082763,5.0,7.28011,10.0,12.041595,14.317821,10.29563,13.601471,16.278821,19.79899,21.260292,22.022716,21.400935,20.808652,18.601075,15.811388,12.806248,10.0,6.403124,3.605551,1.0,2.236068,4.472136,6.708204,9.433981,12.083046,13.601471,15.297059,17.117243,19.0,19.104973,19.416488
20260624_180055,2026-06-24T18:00:55.880020+09:00,skeleton,RX1,4.242641,7.071068,9.055385,12.165525,13.341664,14.317821,15.132746,15.033296,15.0,13.038405,12.165525,10.198039,9.219544,7.071068,5.0,3.605551,3.162278,5.385165,8.944272,11.18034,13.416408,15.652476,16.552945,16.155494,14.866069,12.649111,8.602325,10.630146,12.727922,15.556349,15.556349,15.556349,14.866069,13.453624,10.630146,7.81025,5.385165,4.0,3.605551,4.472136,7.28011,9.219544,11.18034,13.341664,14.56022,15.524175,16.155494,17.088007,16.155494,14.317821,12.083046,8.246211
20260624_180055,2026-06-24T18:00:55.908454+09:00,skeleton,RX2,21.954498,20.59126,18.35756,15.264338,12.041595,9.219544,8.246211,9.0,10.198039,12.649111,13.928388,15.811388,16.763055,18.681542,19.416488,19.416488,18.248288,16.492423,14.56022,11.18034,8.485281,7.28011,9.219544,12.083046,15.264338,17.204651,4.123106,1.0,4.242641,7.81025,12.806248,16.278821,19.104973,20.518285,21.260292,21.400935,19.416488,18.35756,15.652476,13.0,10.440307,7.28011,5.09902,2.236068,2.236068,5.0,8.602325,12.806248,16.278821,19.104973,21.400935,23.600847
20260624_180055,2026-06-24T18:00:55.937647+09:00,skeleton,RX3,19.235384,16.124515,13.416408,9.848858,5.830952,1.414214,2.0,6.082763,9.219544,11.18034,14.142136,15.132746,17.117243,18.11077,19.026298,19.026298,19.104973,17.117243,15.297059,11.401754,8.062258,5.830952,5.385165,7.81025,10.29563,12.649111,10.29563,13.928388,16.763055,19.646883,21.377558,22.203603,22.203603,20.223748,18.11077,16.124515,13.152946,10.198039,7.28011,4.472136,2.236068,2.236068,4.0,6.082763,8.246211,10.77033,12.529964,15.811388,17.029386,19.79899,20.615528,20.808652
20260624_180055,2026-06-24T18:00:55.973324+09:00,skeleton,RX1,29.681644,27.784888,25.942244,21.023796,17.464249,11.7047,7.615773,2.828427,2.236068,5.830952,8.062258,11.661904,14.422205,16.401219,18.439089,19.79899,20.518285,19.849433,17.804494,15.0,11.401754,7.211103,2.828427,3.162278,7.071068,11.18034,14.317821,12.649111,9.219544,7.0,5.0,6.0,10.440307,13.601471,16.155494,18.027756,19.313208,18.973666,18.973666,17.720045,15.524175,13.341664,11.401754,8.544004,6.403124,5.09902,7.28011,12.206556,16.401219,22.022716,25.806976,28.600699
20260624_180055,2026-06-24T18:00:55.996954+09:00,skeleton,RX2,9.219544,12.041595,14.0,16.03122,16.03122,17.029386,16.0,15.0,13.038405,11.045361,9.0,7.0,5.385165,4.242641,6.082763,8.062258,11.401754,14.866069,18.027756,19.313208,21.540659,21.540659,20.248457,19.313208,15.811388,12.649111,15.264338,17.204651,17.204651,16.401219,15.620499,13.453624,10.630146,7.071068,3.605551,1.0,3.162278,6.708204,8.544004,10.77033,12.649111,13.341664,14.142136,15.033296,16.03122,16.03122,16.03122,14.035669,13.038405,11.0,9.219544,7.211103
