experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_160336,2026-06-26T16:03:36.470769+09:00,skeleton,RX2,7.615773,9.055385,11.045361,12.369317,14.866069,16.552945,17.492856,18.601075,19.209373,19.849433,19.849433,18.384776,16.970563,15.620499,12.806248,9.433981,5.385165,3.605551,7.615773,13.038405,18.027756,22.803509,27.018512,29.206164,29.068884,29.068884,10.198039,9.848858,10.0,9.433981,10.198039,11.18034,12.529964,14.21267,15.620499,16.124515,17.088007,16.492423,16.278821,15.033296,15.033296,14.0,12.041595,12.041595,10.049876,9.0,7.0,5.09902,3.605551,3.162278,3.162278,4.242641
20260626_160336,2026-06-26T16:03:36.497381+09:00,skeleton,RX3,26.570661,25.298221,23.769729,20.615528,18.439089,15.297059,12.369317,9.486833,8.944272,7.81025,9.219544,10.0,11.661904,13.601471,14.422205,16.401219,17.029386,18.439089,19.104973,19.104973,19.104973,18.439089,17.029386,16.401219,15.811388,13.892444,12.206556,10.0,7.81025,6.708204,6.0,8.544004,10.29563,12.529964,13.416408,14.866069,15.524175,15.132746,15.033296,14.035669,13.152946,12.369317,11.401754,10.440307,10.049876,10.0,11.18034,12.649111,15.231546,19.235384,22.36068,24.166092
20260626_160336,2026-06-26T16:03:36.527239+09:00,skeleton,RX1,5.385165,9.848858,13.416408,16.155494,17.464249,17.888544,17.888544,16.552945,15.652476,14.317821,12.083046,11.18034,8.944272,6.708204,4.123106,2.0,2.0,3.605551,5.656854,8.062258,9.433981,10.29563,10.77033,10.77033,10.198039,8.0,18.384776,20.518285,21.260292,21.260292,19.849433,17.804494,14.21267,10.630146,7.071068,3.605551,2.236068,5.0,8.246211,10.440307,13.0,15.231546,16.552945,18.384776,19.235384,19.235384,19.235384,18.35756,16.124515,13.038405,9.433981,3.605551
20260626_160336,2026-06-26T16:03:36.557953+09:00,skeleton,RX2,14.317821,14.56022,13.928388,13.0,12.083046,10.29563,8.602325,5.656854,3.605551,2.236068,3.162278,6.082763,8.246211,11.7047,14.866069,17.088007,19.697716,21.540659,21.931712,21.023796,19.697716,17.0,13.038405,10.0,5.0,2.236068,8.062258,9.848858,11.401754,13.152946,13.038405,14.035669,12.369317,11.7047,9.433981,8.485281,7.211103,5.385165,5.0,5.0,5.0,5.385165,6.082763,8.0,8.062258,9.055385,10.198039,11.18034,12.165525,13.038405,13.038405,14.0
20260626_160336,2026-06-26T16:03:36.587720+09:00,skeleton,RX3,25.317978,25.079872,23.021729,21.0,18.027756,15.033296,12.0,10.049876,8.246211,7.615773,8.602325,9.219544,9.899495,11.313708,12.727922,14.866069,16.278821,17.029386,17.804494,17.804494,17.804494,17.804494,17.029386,15.556349,14.142136,13.453624,12.369317,10.440307,8.544004,6.403124,6.324555,8.0,10.198039,12.165525,13.152946,14.035669,15.0,15.132746,14.317821,13.928388,13.416408,12.529964,11.661904,10.816654,10.29563,9.486833,10.198039,12.0,15.132746,18.439089,21.587033,23.537205
20260626_160336,2026-06-26T16:03:36.617486+09:00,skeleton,RX1,26.019224,25.019992,22.0,17.0,13.0,9.055385,5.0,1.0,2.0,5.0,7.0,9.055385,10.049876,12.165525,13.152946,13.152946,15.132746,13.038405,12.0,11.0,9.219544,6.708204,5.0,4.123106,4.472136,5.656854,5.0,1.0,3.0,7.071068,12.041595,15.132746,19.104973,21.213203,22.203603,23.194827,21.377558,20.223748,18.248288,15.132746,12.041595,10.0,7.0,3.162278,1.414214,5.09902,9.055385,14.035669,18.027756,23.0,25.0,26.0
20260626_160336,2026-06-26T16:03:36.647313+09:00,skeleton,RX2,13.928388,14.317821,13.892444,12.206556,11.401754,9.219544,7.81025,5.0,3.162278,1.414214,3.162278,5.830952,8.602325,12.041595,15.620499,18.439089,20.518285,22.671568,22.671568,21.931712,20.518285,17.691806,14.21267,10.816654,6.324555,3.162278,8.485281,11.401754,12.529964,13.928388,13.601471,14.142136,13.0,11.045361,10.440307,7.615773,6.403124,4.472136,4.0,3.605551,5.0,5.385165,6.082763,7.071068,9.0,10.0,11.0,12.041595,12.0,13.0,13.038405,13.341664
20260626_160336,2026-06-26T16:03:36.677652+09:00,skeleton,RX3,10.816654,10.77033,11.18034,13.038405,13.0,14.0,14.0,14.035669,14.142136,13.341664,13.341664,11.7047,11.7047,10.77033,9.848858,9.486833,9.219544,8.062258,8.062258,8.246211,8.944272,9.433981,10.0,9.899495,10.630146,10.0,14.142136,16.278821,18.11077,19.026298,19.0,18.027756,16.124515,14.317821,12.369317,9.219544,7.071068,6.0,5.09902,4.472136,6.403124,7.81025,9.219544,10.630146,12.806248,14.422205,15.264338,16.124515,16.552945,16.552945,14.764823,13.038405
20260626_160336,2026-06-26T16:03:36.707692+09:00,skeleton,RX1,26.248809,24.738634,20.615528,16.763055,12.369317,8.246211,3.162278,1.0,3.162278,6.708204,8.944272,10.29563,12.529964,13.416408,13.892444,16.124515,15.652476,14.764823,14.317821,12.649111,10.440307,8.0,5.09902,3.605551,4.0,4.123106,5.0,1.414214,4.472136,8.544004,13.341664,17.464249,20.396078,22.36068,23.345235,24.33105,23.345235,21.377558,19.416488,16.492423,14.56022,10.77033,7.615773,4.472136,2.0,5.09902,9.0,13.152946,17.464249,22.561028,25.0,26.248809
20260626_160336,2026-06-26T16:03:36.737475+09:00,skeleton,RX2,6.324555,8.062258,10.049876,11.7047,13.0,15.652476,17.204651,17.804494,19.209373,19.104973,19.104973,19.104973,17.691806,15.620499,13.601471,10.0,5.830952,2.236068,5.385165,11.661904,15.811388,21.400935,24.839485,26.907248,28.319605,27.586228,10.049876,9.486833,8.602325,8.602325,9.055385,9.219544,11.661904,13.453624,15.0,16.124515,16.552945,16.763055,16.278821,15.132746,14.142136,14.035669,12.0,11.0,10.0,8.062258,7.071068,5.385165,4.242641,3.162278,4.123106,4.242641
