experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_183640,2026-06-25T18:36:40.504122+09:00,skeleton,RX1,18.439089,19.849433,19.209373,17.804494,16.401219,13.601471,11.661904,8.062258,6.324555,4.0,2.236068,4.123106,7.211103,10.0,14.21267,17.804494,20.0,23.021729,24.186773,24.596748,23.769729,21.18962,16.492423,12.041595,7.071068,2.828427,7.81025,8.485281,8.485281,8.602325,8.062258,7.615773,7.071068,7.0,6.324555,6.403124,7.071068,8.602325,8.944272,8.944272,9.486833,9.486833,9.486833,8.246211,7.28011,5.09902,3.162278,2.0,4.472136,8.602325,11.313708,14.866069
20260625_183640,2026-06-25T18:36:40.534915+09:00,skeleton,RX2,2.236068,5.656854,9.219544,11.401754,13.038405,14.422205,14.764823,13.892444,13.416408,13.0,11.7047,10.440307,9.486833,8.246211,6.082763,4.0,1.414214,2.828427,7.211103,10.29563,13.892444,17.492856,19.723083,20.808652,21.400935,19.849433,13.038405,15.0,16.0,17.029386,17.117243,15.132746,13.152946,11.18034,7.28011,4.123106,1.0,2.236068,4.472136,6.708204,9.848858,11.18034,13.416408,14.317821,15.652476,16.552945,16.552945,16.155494,14.866069,11.7047,9.486833,6.082763
20260625_183640,2026-06-25T18:36:40.564948+09:00,skeleton,RX3,9.219544,12.806248,15.620499,17.691806,18.439089,19.104973,18.384776,16.970563,15.620499,13.601471,12.206556,9.433981,7.615773,5.385165,3.0,2.0,4.472136,7.81025,10.630146,13.453624,15.556349,16.970563,16.970563,16.970563,16.278821,14.866069,15.0,17.029386,16.970563,17.029386,15.0,13.038405,8.944272,5.385165,3.0,2.0,5.0,7.81025,10.0,12.206556,13.601471,14.422205,15.811388,15.811388,17.204651,16.401219,15.620499,14.21267,11.401754,7.81025,4.242641
20260625_183640,2026-06-25T18:36:40.594390+09:00,skeleton,RX1,10.77033,6.403124,5.0,7.81025,10.816654,14.317821,17.088007,18.681542,20.615528,21.587033,21.587033,21.377558,20.615528,19.646883,17.464249,13.601471,9.848858,3.605551,4.123106,11.18034,18.973666,26.0,31.76476,34.669872,37.802116,36.796739,9.486833,10.198039,11.045361,12.041595,12.165525,13.341664,13.928388,13.416408,13.038405,12.206556,10.630146,8.485281,6.403124,4.472136,3.162278,5.0,7.28011,11.045361,14.0,17.0,20.024984,22.022716,23.086793,23.086793,22.090722,19.104973
20260625_183640,2026-06-25T18:36:40.624443+09:00,skeleton,RX2,3.162278,6.403124,9.899495,13.453624,14.866069,16.401219,16.401219,15.811388,15.811388,15.264338,13.892444,12.529964,12.083046,9.486833,7.28011,5.09902,2.0,2.236068,6.403124,10.630146,15.0,18.439089,20.518285,22.627417,22.671568,22.022716,15.132746,17.262677,18.248288,19.646883,19.646883,18.681542,15.811388,12.649111,9.486833,6.324555,3.0,1.0,4.242641,7.071068,9.219544,11.401754,13.601471,15.0,15.811388,16.643317,16.643317,16.643317,15.264338,13.038405,10.29563,6.324555
20260625_183640,2026-06-25T18:36:40.655369+09:00,skeleton,RX3,9.219544,13.152946,16.124515,18.11077,19.104973,19.104973,18.027756,17.0,16.0,14.035669,12.165525,10.198039,7.28011,5.385165,2.828427,1.414214,4.123106,7.071068,10.0,13.0,15.0,16.03122,17.029386,16.124515,16.03122,14.035669,16.0,17.029386,18.248288,17.464249,15.524175,13.0,9.848858,7.211103,3.605551,1.414214,5.0,7.071068,9.219544,11.401754,12.369317,14.56022,15.524175,16.492423,16.492423,16.492423,15.297059,13.341664,11.18034,8.062258,4.0,1.0
20260625_183640,2026-06-25T18:36:40.684780+09:00,skeleton,RX1,18.35756,19.723083,18.867962,18.027756,15.811388,13.601471,11.401754,8.602325,5.656854,2.236068,1.0,3.605551,7.211103,10.816654,13.892444,16.643317,20.59126,22.36068,23.769729,24.351591,22.803509,19.416488,16.124515,11.0,5.09902,1.0,7.28011,6.324555,6.708204,7.211103,6.403124,6.403124,6.708204,6.082763,6.082763,5.830952,6.403124,7.071068,8.602325,9.433981,9.433981,10.29563,8.944272,8.944272,7.615773,6.082763,4.123106,2.828427,5.0,8.544004,11.18034,14.764823
20260625_183640,2026-06-25T18:36:40.715039+09:00,skeleton,RX2,2.236068,7.071068,10.0,13.0,15.033296,16.03122,16.124515,16.278821,16.278821,15.524175,13.601471,12.649111,11.7047,9.848858,8.062258,5.385165,2.236068,2.0,6.324555,10.440307,14.56022,17.464249,20.396078,21.213203,22.203603,21.023796,14.866069,16.763055,18.973666,19.646883,19.646883,18.439089,16.278821,13.152946,9.219544,6.082763,3.162278,1.414214,4.123106,6.082763,8.0,11.045361,12.0,14.0,15.0,16.03122,16.03122,15.132746,14.142136,12.165525,9.219544,5.385165
20260625_183640,2026-06-25T18:36:40.744702+09:00,skeleton,RX3,23.259407,20.615528,17.464249,13.0,9.486833,5.09902,1.0,3.162278,6.082763,8.246211,11.045361,13.038405,14.035669,16.0,17.029386,17.029386,18.11077,17.117243,16.124515,13.152946,11.18034,8.246211,4.123106,1.0,3.0,6.082763,6.0,4.242641,6.082763,9.219544,12.083046,15.264338,17.804494,18.439089,19.104973,19.104973,17.691806,16.278821,14.142136,11.313708,8.485281,5.656854,2.828427,1.0,3.605551,7.211103,11.661904,15.264338,18.35756,22.825424,24.596748,25.495098
20260625_183640,2026-06-25T18:36:40.774034+09:00,skeleton,RX1,18.027756,18.601075,18.601075,17.204651,15.0,12.806248,10.630146,7.81025,5.0,3.0,2.828427,5.0,7.28011,10.440307,13.601471,16.763055,19.646883,22.36068,23.345235,23.194827,22.022716,19.026298,15.132746,10.440307,5.830952,2.0,8.062258,8.602325,7.81025,8.485281,7.211103,8.062258,7.28011,7.071068,7.071068,6.708204,7.211103,7.81025,7.81025,8.602325,9.433981,8.602325,8.944272,8.062258,6.708204,5.385165,3.0,1.414214,4.123106,8.062258,10.816654,13.601471
