experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_151319,2026-06-26T15:13:19.693308+09:00,skeleton,RX1,6.403124,10.630146,14.21267,16.401219,17.804494,18.601075,17.492856,16.643317,15.264338,13.892444,12.083046,9.848858,7.615773,5.830952,3.605551,2.236068,4.472136,7.615773,10.440307,12.369317,14.317821,15.524175,15.524175,15.297059,14.142136,11.18034,17.464249,18.973666,19.924859,20.248457,19.313208,17.464249,13.416408,10.29563,5.830952,2.236068,3.162278,6.0,8.0,10.0,12.0,14.0,15.033296,16.124515,17.262677,16.492423,15.811388,14.866069,12.649111,10.77033,6.708204,3.162278
20260626_151319,2026-06-26T15:13:19.728198+09:00,skeleton,RX2,10.0,10.049876,10.049876,9.055385,8.062258,6.082763,3.162278,2.236068,2.236068,5.0,7.071068,9.219544,11.401754,14.21267,17.204651,18.867962,21.470911,22.847319,22.472205,21.587033,20.223748,17.029386,14.035669,9.848858,7.071068,6.082763,13.892444,15.231546,15.811388,15.297059,14.142136,13.0,10.049876,7.28011,5.0,4.0,5.0,7.81025,10.29563,12.083046,14.317821,15.231546,15.231546,15.811388,15.524175,14.317821,13.152946,11.045361,9.055385,6.708204,7.211103,8.246211
20260626_151319,2026-06-26T15:13:19.752883+09:00,skeleton,RX3,13.0,12.369317,12.041595,12.041595,13.341664,14.56022,14.56022,15.524175,15.524175,16.278821,16.124515,16.03122,16.0,15.0,15.0,14.0,13.038405,11.18034,9.486833,8.602325,8.602325,10.440307,12.041595,13.038405,14.142136,15.297059,13.038405,15.264338,17.888544,19.313208,20.880613,20.615528,20.223748,18.11077,16.03122,14.0,11.0,9.0,7.071068,5.385165,5.0,5.830952,7.615773,9.848858,10.77033,13.416408,14.764823,16.643317,17.204651,17.204651,17.204651,15.811388
20260626_151319,2026-06-26T15:13:19.783371+09:00,skeleton,RX1,7.071068,10.049876,13.038405,16.03122,17.029386,18.11077,17.262677,16.278821,15.297059,13.601471,12.369317,9.486833,7.28011,5.09902,3.0,2.0,4.472136,7.81025,10.630146,12.727922,14.866069,15.556349,15.556349,14.866069,14.21267,12.041595,15.811388,18.027756,18.867962,18.35756,17.0,15.652476,12.083046,8.944272,5.385165,1.0,2.828427,5.656854,7.81025,10.630146,12.041595,14.142136,14.866069,17.029386,16.401219,16.643317,16.124515,14.764823,13.416408,10.29563,6.708204,2.828427
20260626_151319,2026-06-26T15:13:19.813200+09:00,skeleton,RX2,13.0,11.661904,10.630146,10.816654,11.18034,11.7047,12.649111,11.7047,11.7047,12.083046,12.529964,10.816654,10.630146,9.219544,7.211103,5.09902,5.0,6.082763,10.440307,14.764823,18.601075,22.671568,24.758837,27.018512,28.017851,27.294688,8.062258,8.062258,8.602325,9.219544,12.041595,13.341664,14.866069,16.552945,17.0,17.492856,15.811388,14.422205,11.401754,10.0,7.071068,4.472136,3.162278,4.472136,7.071068,10.049876,13.152946,15.132746,17.262677,18.248288,17.262677,16.278821
20260626_151319,2026-06-26T15:13:19.843115+09:00,skeleton,RX3,19.849433,20.615528,20.0,18.601075,16.643317,14.422205,11.661904,9.433981,7.81025,6.403124,6.324555,7.071068,9.0,11.045361,13.152946,16.124515,18.248288,20.223748,22.203603,23.194827,23.194827,23.194827,21.213203,19.235384,16.278821,13.341664,14.035669,12.041595,9.0,6.0,3.162278,3.162278,5.385165,8.062258,10.29563,12.529964,13.0,14.866069,14.317821,14.142136,14.035669,14.035669,13.038405,13.152946,12.165525,11.045361,11.0,10.198039,11.18034,13.038405,15.0,17.691806
20260626_151319,2026-06-26T15:13:19.872854+09:00,skeleton,RX1,6.403124,9.899495,12.727922,14.866069,16.278821,17.029386,16.401219,15.0,13.892444,12.529964,10.29563,8.602325,6.403124,4.242641,2.236068,2.828427,5.385165,8.246211,11.401754,13.341664,15.297059,16.278821,16.278821,16.124515,14.142136,12.165525,17.464249,18.788294,20.59126,20.59126,18.867962,17.492856,13.892444,10.0,6.403124,3.162278,3.605551,5.09902,8.0,10.049876,12.0,13.0,15.033296,16.124515,16.124515,16.278821,15.524175,14.866069,13.0,9.486833,6.324555,2.236068
20260626_151319,2026-06-26T15:13:19.904371+09:00,skeleton,RX2,12.083046,9.219544,9.055385,9.486833,10.29563,11.661904,12.206556,13.038405,12.529964,12.529964,12.083046,11.7047,10.198039,9.055385,7.071068,4.472136,4.0,5.656854,9.848858,14.56022,19.104973,23.0,26.019224,28.160256,29.427878,29.12044,8.944272,10.198039,10.049876,12.083046,13.601471,15.556349,16.401219,17.492856,17.888544,17.464249,17.088007,15.811388,12.649111,10.198039,7.071068,5.0,2.828427,4.123106,6.403124,9.899495,12.806248,15.620499,15.620499,17.029386,17.029386,15.811388
20260626_151319,2026-06-26T15:13:19.933098+09:00,skeleton,RX3,19.209373,20.0,19.416488,17.492856,16.124515,13.892444,11.661904,9.433981,7.81025,6.403124,6.708204,7.071068,9.0,11.045361,13.038405,15.033296,18.027756,20.024984,22.022716,23.021729,23.021729,22.0,21.023796,19.026298,16.03122,13.152946,14.0,12.041595,10.049876,7.071068,4.0,1.414214,3.605551,6.403124,9.433981,11.18034,12.083046,13.601471,13.341664,13.038405,13.0,13.038405,12.165525,12.369317,11.18034,10.198039,10.049876,10.049876,10.440307,12.529964,14.422205,16.401219
20260626_151319,2026-06-26T15:13:19.963317+09:00,skeleton,RX1,6.324555,9.219544,11.7047,14.866069,16.155494,16.155494,15.652476,14.764823,13.892444,12.206556,10.816654,7.81025,5.830952,3.162278,2.0,3.0,5.09902,8.246211,11.7047,13.928388,14.866069,15.811388,17.088007,16.155494,15.231546,12.083046,17.804494,18.601075,19.416488,19.416488,18.867962,16.124515,13.416408,9.848858,6.082763,3.162278,4.0,6.324555,8.944272,11.18034,12.529964,14.764823,16.552945,17.464249,16.763055,17.720045,16.278821,15.132746,14.142136,10.049876,7.071068,3.162278
