experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_213953,2026-06-24T12:39:53.355308Z,skeleton,RX2,12.727922,15.556349,18.384776,19.79899,19.79899,20.518285,18.439089,16.401219,15.0,12.206556,10.0,8.602325,5.656854,4.123106,5.385165,6.403124,10.630146,14.21267,15.620499,17.804494,19.849433,19.849433,19.849433,17.804494,14.866069,11.401754,13.0,13.0,12.649111,12.649111,10.440307,8.246211,6.324555,3.605551,2.0,3.605551,5.656854,7.81025,9.899495,11.313708,12.727922,13.453624,15.0,15.264338,16.124515,16.124515,14.317821,13.416408,11.18034,8.602325,6.708204,7.071068
20260624_213953,2026-06-24T12:39:53.380019Z,skeleton,RX3,27.658633,23.537205,18.439089,12.369317,6.324555,2.0,5.385165,9.486833,13.341664,16.278821,19.416488,21.377558,22.561028,23.537205,23.769729,22.803509,21.84033,18.027756,13.601471,8.246211,4.123106,5.09902,10.29563,15.264338,18.867962,21.095023,4.0,2.236068,4.472136,7.81025,11.313708,14.866069,16.278821,17.029386,17.804494,17.804494,16.401219,15.0,12.806248,10.0,7.81025,4.242641,1.0,4.123106,7.28011,11.7047,16.155494,21.540659,25.632011,29.732137,31.622777,31.048349
20260624_213953,2026-06-24T12:39:53.386783Z,skeleton,RX1,24.083189,23.430749,22.203603,19.416488,16.643317,13.416408,10.77033,7.28011,4.123106,1.0,2.0,5.0,8.0,11.045361,14.035669,16.124515,19.104973,20.223748,20.223748,19.235384,17.262677,14.317821,11.401754,6.324555,2.828427,2.236068,14.21267,10.29563,8.246211,5.385165,6.708204,9.0,11.18034,13.601471,14.866069,14.866069,14.866069,13.928388,12.649111,11.7047,10.440307,8.246211,6.324555,4.472136,2.828427,3.162278,5.0,8.485281,12.041595,15.620499,19.104973,21.213203
20260624_213953,2026-06-24T12:39:53.387462Z,skeleton,RX3,12.649111,15.811388,18.027756,19.313208,19.697716,18.384776,17.464249,15.231546,13.0,10.440307,8.246211,5.09902,3.162278,3.0,5.830952,8.602325,12.041595,15.620499,17.804494,20.0,20.808652,20.808652,19.416488,17.492856,13.892444,10.816654,11.18034,12.083046,13.0,12.649111,10.77033,9.486833,6.708204,4.472136,2.236068,2.236068,3.162278,5.09902,7.071068,9.055385,10.049876,11.045361,12.041595,13.0,13.038405,12.041595,11.045361,10.0,7.0,4.0,1.0,4.472136
20260624_213953,2026-06-24T12:39:53.388399Z,skeleton,RX2,25.0,22.022716,18.027756,14.035669,10.198039,8.062258,6.708204,8.246211,11.045361,13.0,14.0,16.03122,17.029386,19.235384,19.416488,19.646883,18.681542,17.464249,15.524175,12.041595,10.049876,8.062258,8.062258,11.18034,13.038405,15.0,1.0,3.605551,6.403124,9.433981,11.661904,13.892444,15.652476,16.155494,16.763055,15.524175,15.297059,14.142136,11.045361,9.055385,7.0,5.09902,3.605551,4.123106,6.324555,10.440307,13.601471,17.464249,20.615528,23.345235,26.172505,27.073973
20260624_213953,2026-06-24T12:39:53.388506Z,skeleton,RX2,23.259407,20.615528,17.464249,12.529964,8.602325,6.708204,7.0,8.544004,10.816654,13.038405,15.264338,17.0,17.888544,19.313208,19.313208,18.973666,18.681542,16.763055,14.866069,11.661904,9.219544,7.615773,9.055385,11.7047,13.892444,15.811388,1.0,2.828427,6.403124,9.219544,12.041595,14.142136,15.556349,16.278821,16.401219,16.643317,15.264338,13.0,11.7047,9.486833,7.28011,4.472136,2.828427,3.162278,5.656854,9.219544,12.727922,17.029386,20.0,23.853721,25.553865,25.942244
20260624_213953,2026-06-24T12:39:53.409384Z,skeleton,RX1,1.0,3.605551,6.403124,10.0,12.206556,13.892444,14.764823,15.231546,15.811388,15.297059,15.132746,14.035669,13.038405,12.0,10.0,7.0,4.0,1.0,3.162278,7.28011,11.18034,14.317821,16.278821,17.464249,17.464249,16.492423,15.652476,18.027756,20.0,20.615528,20.518285,18.384776,16.278821,13.601471,9.433981,6.708204,5.0,3.605551,5.385165,6.324555,8.062258,10.049876,11.18034,13.341664,14.317821,15.524175,15.811388,15.231546,15.652476,13.416408,11.661904,8.062258
20260624_213953,2026-06-24T12:39:53.440526Z,skeleton,RX2,22.847319,20.248457,17.088007,12.529964,9.433981,6.403124,6.0,8.544004,10.29563,12.529964,14.764823,15.652476,16.155494,18.027756,18.681542,17.720045,17.464249,16.492423,13.601471,11.18034,9.219544,8.062258,9.0,10.198039,13.0,14.764823,2.236068,3.605551,6.403124,8.485281,12.041595,13.453624,15.620499,16.401219,16.643317,16.124515,14.317821,13.0,11.7047,9.486833,7.28011,4.472136,2.828427,3.162278,5.0,8.485281,12.041595,15.620499,19.416488,22.472205,25.059928,24.596748
20260624_213953,2026-06-24T12:39:53.471365Z,skeleton,RX3,26.570661,23.086793,17.720045,10.440307,5.385165,2.236068,6.082763,10.0,14.0,17.0,19.026298,21.023796,22.022716,23.021729,23.021729,21.023796,21.023796,17.029386,12.041595,7.071068,2.828427,6.403124,11.313708,16.278821,19.104973,21.213203,3.0,2.236068,3.605551,7.81025,11.313708,14.866069,16.970563,17.691806,18.439089,18.439089,16.401219,15.0,12.806248,10.0,6.403124,2.828427,4.472136,7.615773,12.529964,17.0,22.36068,25.942244,29.546573,31.780497,31.38471,18.1263165
20260624_213953,2026-06-24T12:39:53.499949Z,skeleton,RX1,4.242641,8.544004,11.401754,14.142136,16.124515,18.027756,18.0,18.027756,18.11077,17.262677,16.278821,14.56022,13.601471,11.7047,8.944272,5.830952,2.828427,2.828427,6.082763,10.0,14.035669,17.029386,19.104973,19.104973,19.104973,18.11077,18.027756,20.024984,22.203603,22.561028,22.135944,19.697716,17.0,14.422205,10.630146,6.403124,4.123106,3.605551,5.385165,7.28011,9.055385,11.045361,12.041595,14.035669,15.132746,16.124515,17.262677,16.278821,15.524175,13.601471,10.77033,7.211103
20260624_213953,2026-06-24T12:39:53.531608Z,skeleton,RX2,24.083189,21.400935,17.804494,14.142136,10.630146,7.615773,7.071068,8.544004,10.816654,13.038405,14.422205,16.643317,17.0,18.384776,19.313208,18.973666,18.681542,16.763055,14.56022,13.0,10.0,8.602325,9.219544,11.18034,13.341664,15.811388,3.162278,4.472136,7.071068,9.055385,12.165525,14.142136,16.492423,16.492423,17.088007,17.464249,15.652476,13.892444,11.661904,9.433981,7.81025,4.472136,3.0,3.605551,5.830952,9.848858,13.416408,17.492856,20.248457,23.600847,26.248809,26.248809
20260624_213953,2026-06-24T12:39:53.562039Z,skeleton,RX3,26.925824,23.4094,18.027756,9.848858,4.472136,1.414214,7.0,11.045361,15.132746,17.262677,20.223748,22.203603,23.194827,23.194827,23.194827,21.095023,20.099751,16.03122,11.045361,6.324555,3.0,6.403124,12.529964,16.552945,20.124612,21.470911,3.162278,2.236068,4.472136,8.602325,11.401754,15.0,17.204651,18.601075,19.416488,18.027756,16.643317,14.422205,13.038405,10.0,7.211103,2.828427,1.0,4.472136,8.062258,12.529964,17.0,22.825424,25.942244,30.413813,32.202484,31.780497
20260624_213953,2026-06-24T12:39:53.591143Z,skeleton,RX1,25.612497,25.0,22.803509,20.0,15.620499,12.727922,10.0,7.28011,5.0,5.0,5.830952,8.246211,10.049876,12.041595,15.0,16.0,18.0,19.0,19.0,18.0,16.0,13.038405,9.219544,6.403124,5.385165,7.071068,12.165525,8.944272,5.656854,4.123106,7.211103,10.198039,13.038405,14.142136,15.524175,16.155494,15.652476,13.892444,12.529964,10.816654,8.062258,6.708204,4.472136,2.0,2.0,4.472136,7.81025,12.041595,15.556349,18.439089,22.671568,24.839485
20260624_213953,2026-06-24T12:39:53.622061Z,skeleton,RX2,10.816654,13.416408,15.652476,17.888544,17.888544,18.35756,18.027756,16.401219,14.21267,13.453624,10.630146,8.485281,6.708204,5.09902,6.324555,8.062258,10.630146,13.453624,16.278821,18.439089,19.849433,20.615528,20.518285,19.104973,16.278821,14.21267,13.416408,14.764823,13.892444,13.892444,12.206556,10.816654,8.602325,6.324555,4.0,3.605551,4.472136,7.28011,8.246211,10.440307,11.401754,12.649111,14.317821,15.652476,15.264338,15.811388,15.620499,13.453624,12.041595,10.0,7.615773,6.082763
