experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_210545,2026-06-24T12:05:45.678214Z,skeleton,RX3,12.649111,16.155494,18.788294,20.59126,19.723083,20.248457,18.601075,17.029386,14.866069,12.041595,10.630146,7.211103,5.09902,4.472136,5.830952,9.486833,13.341664,17.262677,20.396078,23.345235,25.317978,26.305893,25.317978,23.194827,20.099751,17.029386,10.0,8.602325,8.062258,7.615773,6.082763,5.09902,5.0,6.403124,6.708204,7.615773,7.615773,8.944272,8.944272,9.433981,9.219544,9.899495,9.219544,9.433981,8.944272,8.544004,7.28011,6.082763,4.0,3.0,6.082763,24.083189
20260624_210545,2026-06-24T12:05:45.706069Z,skeleton,RX1,4.123106,6.708204,10.29563,13.892444,16.124515,17.0,17.888544,17.464249,16.155494,14.866069,12.649111,11.401754,8.246211,6.324555,3.162278,1.0,3.162278,7.071068,10.198039,13.341664,15.524175,16.763055,18.384776,17.888544,17.0,14.422205,9.433981,11.18034,12.083046,13.928388,14.317821,14.317821,13.0,12.083046,10.440307,8.246211,7.0,6.324555,5.0,5.830952,7.28011,9.055385,10.049876,12.0,14.0,15.0,17.029386,17.029386,16.0,15.0,13.0,9.055385
20260624_210545,2026-06-24T12:05:45.737662Z,skeleton,RX2,15.652476,14.866069,15.0,15.652476,17.088007,17.464249,17.262677,16.124515,15.033296,14.035669,13.152946,12.649111,12.529964,13.601471,13.453624,14.866069,14.866069,13.453624,10.816654,7.615773,6.324555,9.219544,14.764823,19.235384,23.323808,25.806976,18.0,18.439089,17.888544,17.029386,13.038405,10.049876,8.062258,9.219544,11.401754,13.601471,15.620499,15.811388,15.652476,14.317821,13.416408,12.083046,10.0,9.899495,10.77033,12.165525,15.033296,18.027756,20.024984,21.095023,21.095023,19.235384
20260624_210545,2026-06-24T12:05:45.766414Z,skeleton,RX3,21.377558,18.681542,14.56022,9.219544,5.09902,2.828427,5.09902,8.944272,12.529964,14.764823,17.464249,19.697716,21.18962,23.086793,23.769729,22.561028,22.36068,19.646883,16.763055,12.083046,8.485281,7.0,10.0,14.21267,18.027756,21.095023,10.049876,11.18034,13.341664,14.56022,15.811388,14.866069,14.866069,13.601471,11.7047,9.219544,7.28011,5.385165,3.162278,2.236068,2.0,3.605551,5.830952,8.062258,10.29563,13.0,15.811388,18.439089,20.223748,23.021729,25.019992,24.083189
20260624_210545,2026-06-24T12:05:45.797914Z,skeleton,RX1,34.409301,32.015621,29.732137,24.758837,19.104973,12.806248,7.071068,2.236068,4.0,8.0,12.041595,15.033296,18.0,20.024984,21.095023,22.203603,22.36068,21.587033,19.924859,16.155494,12.083046,7.615773,2.236068,3.605551,9.219544,14.21267,13.601471,13.038405,12.083046,11.401754,12.0,13.341664,14.866069,16.552945,17.492856,18.867962,18.867962,18.027756,17.204651,17.204651,15.620499,13.453624,12.727922,10.630146,8.944272,7.0,7.211103,11.661904,16.552945,21.931712,27.313001,31.304952
20260624_210545,2026-06-24T12:05:45.826524Z,skeleton,RX2,15.524175,15.652476,16.643317,18.439089,18.439089,19.209373,17.691806,16.278821,13.453624,12.206556,11.18034,10.440307,11.045361,13.038405,14.142136,14.317821,16.278821,15.297059,13.341664,10.440307,9.219544,9.486833,13.038405,17.0,21.0,24.083189,15.811388,17.117243,16.278821,15.231546,12.727922,8.246211,6.708204,7.28011,10.198039,12.529964,14.142136,14.21267,13.892444,13.416408,13.0,12.529964,10.816654,11.313708,11.401754,13.038405,14.764823,16.155494,16.763055,17.720045,18.248288,16.124515
20260624_210545,2026-06-24T12:05:45.857976Z,skeleton,RX3,12.649111,15.297059,17.262677,19.104973,19.026298,19.026298,17.0,16.03122,14.035669,11.045361,9.055385,6.0,4.472136,4.123106,6.082763,8.944272,12.529964,16.643317,19.416488,22.203603,24.413111,24.413111,23.600847,22.203603,18.601075,15.620499,8.602325,8.062258,7.615773,6.324555,5.0,4.123106,4.242641,5.385165,6.082763,7.071068,8.0,8.062258,9.055385,8.246211,9.486833,8.544004,8.062258,8.602325,8.485281,7.81025,6.403124,5.830952,3.162278,1.0,2.236068,6.708204
20260624_210545,2026-06-24T12:05:45.886031Z,skeleton,RX1,3.162278,6.324555,10.77033,13.928388,15.811388,16.763055,17.720045,16.492423,15.524175,14.317821,12.165525,10.049876,8.062258,5.0,2.0,1.414214,4.123106,8.0,11.0,14.035669,17.029386,18.11077,19.235384,18.439089,17.720045,14.866069,9.0,11.045361,13.152946,14.142136,14.142136,14.142136,13.341664,11.401754,9.486833,7.615773,6.403124,4.472136,5.0,5.385165,5.830952,7.81025,9.219544,10.816654,13.038405,14.422205,15.264338,15.264338,15.264338,13.892444,11.661904,8.062258
20260624_210545,2026-06-24T12:05:45.918306Z,skeleton,RX2,21.470911,20.59126,18.35756,14.764823,13.0,10.198039,9.0,8.544004,8.062258,8.485281,9.219544,10.0,9.433981,10.29563,9.486833,10.049876,11.045361,13.341664,15.524175,17.720045,19.646883,20.396078,19.235384,17.029386,14.0,10.0,8.544004,9.219544,11.18034,13.152946,14.317821,15.0,14.21267,12.529964,10.77033,8.544004,5.830952,4.242641,4.123106,6.082763,7.28011,8.246211,9.486833,10.440307,10.77033,11.18034,11.401754,12.727922,14.21267,15.811388,18.35756,20.124612
20260624_210545,2026-06-24T12:05:45.946492Z,skeleton,RX3,13.341664,16.124515,18.11077,20.024984,20.0,20.024984,19.104973,17.117243,14.142136,12.165525,10.198039,7.071068,4.0,2.236068,5.09902,8.062258,13.038405,16.401219,20.0,22.803509,24.839485,24.839485,24.839485,22.671568,19.104973,15.556349,9.219544,8.602325,7.211103,6.324555,5.0,4.123106,4.242641,5.385165,7.28011,8.062258,9.219544,10.198039,10.198039,10.440307,10.77033,11.18034,10.29563,10.816654,9.899495,9.219544,8.602325,5.830952,3.605551,1.0,2.236068,6.324555
