experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_202925,2026-06-25T11:29:25.168416Z,skeleton,RX1,20.024984,21.095023,20.099751,19.104973,17.029386,15.033296,12.041595,9.055385,7.071068,3.162278,2.0,3.605551,6.324555,9.486833,12.649111,15.811388,18.027756,21.023796,22.36068,22.472205,22.203603,19.849433,16.278821,11.401754,7.615773,3.0,5.0,7.071068,8.062258,10.049876,11.045361,12.0,12.0,11.045361,10.049876,8.544004,8.062258,7.071068,8.602325,8.944272,9.848858,10.77033,10.440307,10.440307,9.486833,8.062258,7.071068,5.830952,7.211103,10.198039,13.0,16.0
20260625_202925,2026-06-25T11:29:25.201708Z,skeleton,RX2,4.123106,8.246211,12.369317,15.297059,17.464249,18.439089,18.248288,18.248288,17.117243,15.132746,14.142136,11.045361,10.049876,7.071068,4.123106,2.236068,2.828427,6.708204,10.440307,14.317821,16.492423,18.439089,20.223748,21.213203,21.095023,19.026298,14.21267,16.278821,16.278821,16.278821,15.556349,14.142136,11.313708,8.485281,5.0,2.828427,1.0,3.605551,5.830952,8.062258,9.433981,12.529964,13.0,15.231546,15.231546,17.088007,16.763055,15.811388,15.524175,12.369317,9.219544,5.09902
20260625_202925,2026-06-25T11:29:25.228928Z,skeleton,RX3,4.123106,9.219544,12.165525,15.297059,17.262677,18.248288,19.104973,18.027756,18.027756,16.0,15.0,13.038405,11.045361,8.0,6.082763,3.162278,3.162278,6.403124,9.433981,13.416408,15.652476,18.788294,19.697716,19.697716,18.384776,16.155494,13.892444,15.652476,16.552945,16.155494,15.811388,13.601471,11.401754,9.219544,6.082763,3.0,1.0,3.605551,5.656854,7.071068,8.485281,11.313708,12.041595,13.453624,14.21267,15.0,15.264338,14.764823,13.892444,11.18034,8.062258,4.472136
20260625_202925,2026-06-25T11:29:25.258089Z,skeleton,RX1,12.206556,9.219544,7.28011,7.81025,11.18034,13.928388,16.492423,18.439089,19.416488,20.396078,20.396078,19.646883,19.646883,18.973666,16.155494,14.317821,9.848858,5.830952,1.0,6.403124,12.041595,18.027756,23.323808,26.400758,28.79236,28.635642,13.038405,13.152946,12.165525,11.045361,10.049876,9.219544,9.433981,9.219544,10.630146,11.401754,11.401754,10.816654,9.433981,8.944272,7.071068,7.071068,8.062258,9.899495,12.727922,16.278821,19.104973,21.260292,21.931712,21.931712,21.931712,19.104973
20260625_202925,2026-06-25T11:29:25.288442Z,skeleton,RX2,3.0,7.071068,11.18034,14.317821,16.278821,17.262677,17.464249,17.464249,16.492423,14.56022,13.601471,11.401754,9.219544,7.28011,4.123106,2.236068,3.162278,6.403124,10.0,13.601471,16.643317,18.867962,20.59126,20.59126,20.124612,18.384776,12.369317,13.601471,14.56022,14.56022,13.601471,11.7047,9.486833,7.615773,4.123106,1.0,1.0,3.162278,6.082763,7.071068,9.055385,11.045361,12.041595,14.0,15.0,16.03122,16.124515,16.124515,14.142136,12.165525,9.219544,5.09902
20260625_202925,2026-06-25T11:29:25.318866Z,skeleton,RX3,24.207437,22.803509,20.615528,17.029386,13.453624,9.219544,5.0,1.414214,2.236068,5.830952,8.062258,11.18034,13.416408,15.652476,17.464249,18.384776,19.313208,19.313208,18.384776,16.552945,13.416408,10.29563,5.830952,2.236068,3.162278,6.0,5.830952,3.605551,2.236068,5.385165,8.062258,11.0,13.038405,14.035669,15.033296,16.03122,15.033296,14.035669,12.041595,11.0,8.0,6.0,4.0,2.236068,1.414214,4.472136,8.944272,12.083046,16.124515,19.723083,22.472205,23.853721
20260625_202925,2026-06-25T11:29:25.349034Z,skeleton,RX1,19.416488,20.808652,20.808652,19.416488,18.027756,15.0,12.806248,10.0,7.071068,3.605551,2.0,3.162278,6.0,9.055385,12.165525,15.132746,18.027756,21.023796,22.022716,22.090722,21.213203,19.646883,17.088007,12.529964,7.81025,4.123106,5.09902,6.324555,8.944272,10.77033,12.083046,11.18034,10.77033,9.848858,8.602325,7.211103,6.403124,7.28011,7.071068,8.0,9.055385,10.049876,10.049876,10.198039,9.219544,8.544004,5.830952,5.830952,7.0,9.486833,12.529964,16.124515
20260625_202925,2026-06-25T11:29:25.378356Z,skeleton,RX2,26.925824,26.0,23.4094,19.313208,15.231546,9.848858,5.385165,1.0,2.828427,6.403124,9.433981,12.206556,15.0,16.401219,18.439089,19.104973,20.615528,20.615528,18.439089,17.204651,14.422205,10.29563,7.28011,3.605551,5.0,8.062258,5.09902,2.0,1.0,5.09902,9.219544,12.369317,15.297059,16.492423,16.492423,17.464249,16.278821,15.132746,14.142136,12.041595,10.049876,8.0,5.0,2.0,1.0,5.09902,9.219544,12.369317,16.763055,21.84033,25.298221,26.570661
20260625_202925,2026-06-25T11:29:25.408657Z,skeleton,RX3,24.698178,23.4094,20.248457,16.763055,12.649111,9.486833,5.09902,1.414214,2.236068,6.082763,9.055385,11.045361,13.038405,16.124515,18.248288,19.235384,20.396078,20.223748,19.235384,16.278821,14.142136,10.049876,6.0,2.236068,2.828427,6.324555,6.0,4.123106,3.162278,4.472136,7.81025,10.0,13.038405,14.764823,15.264338,15.652476,14.764823,13.892444,11.661904,10.816654,8.602325,6.403124,3.605551,1.414214,2.236068,5.0,8.602325,13.038405,16.124515,19.235384,22.36068,24.166092
20260625_202925,2026-06-25T11:29:25.438079Z,skeleton,RX1,12.206556,9.219544,7.28011,6.708204,9.219544,12.806248,15.264338,16.643317,18.027756,18.867962,19.416488,18.601075,17.804494,17.029386,16.278821,12.727922,9.219544,5.0,1.0,6.324555,12.649111,18.439089,23.086793,27.0,29.154759,29.832868,13.341664,13.601471,13.341664,12.369317,11.045361,10.049876,9.848858,11.661904,12.206556,12.806248,12.806248,12.806248,11.313708,10.630146,8.602325,8.246211,8.0,10.440307,13.0,16.124515,19.235384,21.470911,22.36068,23.259407,21.931712,18.788294
