experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_204521,2026-06-26T11:45:21.882765Z,skeleton,RX1,18.027756,17.720045,16.492423,13.152946,11.045361,8.062258,5.385165,4.472136,6.0,7.615773,10.29563,12.206556,14.422205,16.643317,17.492856,18.35756,19.723083,17.888544,16.155494,13.928388,10.440307,6.324555,2.828427,2.828427,6.708204,8.944272,2.0,2.236068,5.385165,9.486833,13.341664,16.124515,19.026298,20.0,21.095023,20.223748,18.439089,15.811388,12.649111,9.848858,6.324555,3.162278,1.414214,3.605551,6.403124,9.219544,12.041595,14.21267,15.811388,17.204651,18.35756,19.235384
20260626_204521,2026-06-26T11:45:21.916508Z,skeleton,RX2,24.33105,20.099751,16.0,11.045361,7.071068,2.236068,2.0,4.123106,6.708204,8.602325,9.219544,9.219544,8.602325,8.062258,6.324555,4.123106,2.236068,2.236068,4.242641,6.708204,9.486833,10.049876,11.0,10.049876,8.246211,6.082763,10.0,10.29563,13.152946,18.0,22.022716,26.019224,29.0,29.017236,29.017236,27.073973,25.179357,23.086793,20.024984,18.0,15.033296,13.152946,10.440307,8.062258,7.81025,9.055385,11.18034,14.866069,19.697716,22.847319,25.079872,26.570661
20260626_204521,2026-06-26T11:45:21.944874Z,skeleton,RX3,25.612497,23.430749,19.849433,15.620499,11.401754,6.708204,3.162278,4.123106,7.0,10.0,13.038405,16.03122,18.0,19.0,21.023796,21.095023,21.095023,20.024984,17.029386,14.0,10.049876,5.830952,4.123106,6.403124,9.899495,12.806248,5.0,3.0,3.162278,6.082763,10.440307,13.601471,16.763055,18.973666,19.924859,20.880613,19.646883,18.439089,16.278821,14.317821,11.18034,9.055385,6.082763,2.236068,1.414214,5.830952,9.848858,14.317821,18.35756,21.954498,24.698178,26.627054
20260626_204521,2026-06-26T11:45:21.971302Z,skeleton,RX1,20.248457,19.313208,17.464249,15.231546,11.661904,8.602325,5.830952,4.0,5.0,6.708204,9.848858,12.649111,14.866069,17.088007,18.788294,19.235384,19.723083,18.867962,17.204651,14.21267,11.401754,6.708204,3.162278,4.472136,8.062258,11.045361,1.0,3.162278,7.0,11.045361,15.297059,18.027756,20.615528,21.470911,21.633308,20.808652,18.439089,16.278821,12.727922,9.899495,7.211103,4.472136,3.162278,4.472136,7.28011,10.049876,12.0,15.033296,17.117243,18.248288,19.646883,20.880613
20260626_204521,2026-06-26T11:45:22.003690Z,skeleton,RX2,24.020824,21.213203,17.464249,12.649111,7.615773,3.605551,1.0,2.828427,5.830952,7.211103,7.615773,8.544004,8.246211,8.0,7.071068,6.708204,5.0,4.123106,4.472136,5.830952,7.28011,9.0,9.055385,8.544004,6.708204,4.242641,11.401754,11.661904,14.317821,19.026298,23.0,26.019224,28.017851,29.154759,29.154759,27.294688,25.317978,23.194827,20.099751,18.027756,15.0,13.038405,11.401754,10.29563,9.219544,9.848858,12.165525,15.033296,18.248288,22.203603,24.33105,26.07681
20260626_204521,2026-06-26T11:45:22.031419Z,skeleton,RX3,26.627054,23.600847,20.0,16.401219,10.816654,6.708204,4.123106,4.472136,7.071068,10.0,13.038405,15.033296,17.117243,19.235384,20.396078,20.396078,19.646883,18.439089,15.297059,12.165525,8.0,4.472136,6.082763,8.944272,12.206556,15.0,5.0,2.828427,4.123106,7.211103,12.041595,14.866069,18.384776,20.518285,21.260292,20.615528,20.615528,18.601075,16.643317,14.422205,11.661904,9.433981,6.403124,3.605551,3.605551,6.708204,10.77033,14.866069,19.697716,23.259407,25.942244,27.784888
20260626_204521,2026-06-26T11:45:22.061870Z,skeleton,RX1,8.944272,11.401754,13.152946,15.033296,16.03122,17.0,17.0,17.0,16.0,14.0,13.0,11.0,8.062258,5.09902,2.828427,4.0,7.211103,10.0,14.422205,17.204651,18.867962,20.59126,21.023796,19.697716,18.027756,15.524175,15.0,16.124515,16.278821,15.524175,13.601471,12.083046,8.944272,5.385165,2.0,2.236068,4.472136,7.615773,10.29563,10.77033,11.7047,12.649111,12.649111,12.649111,11.7047,11.18034,9.433981,8.485281,7.81025,6.324555,6.0,6.708204
20260626_204521,2026-06-26T11:45:22.092183Z,skeleton,RX2,22.671568,20.0,16.124515,11.18034,7.28011,3.0,1.414214,4.472136,6.324555,8.062258,9.0,9.055385,9.219544,8.544004,7.615773,6.403124,5.0,4.0,3.605551,5.09902,7.0,8.246211,8.944272,9.219544,7.81025,5.830952,9.219544,10.198039,13.152946,17.088007,21.931712,25.079872,27.856777,28.79236,28.460499,27.202941,25.0,21.84033,18.973666,16.155494,13.416408,10.816654,9.899495,8.062258,8.0,8.544004,11.401754,14.866069,18.439089,22.022716,24.083189,24.758837
20260626_204521,2026-06-26T11:45:22.121937Z,skeleton,RX3,9.433981,12.083046,15.231546,16.552945,17.888544,17.888544,17.0,16.124515,14.422205,12.806248,10.0,8.602325,5.830952,4.0,2.828427,5.09902,8.0,12.041595,14.142136,17.262677,18.248288,18.248288,18.248288,16.124515,14.142136,11.045361,12.083046,14.317821,15.231546,15.231546,14.317821,12.083046,9.848858,6.324555,4.123106,1.414214,2.236068,5.0,7.81025,9.219544,10.630146,12.806248,13.601471,13.892444,14.764823,14.764823,14.317821,13.0,10.77033,8.062258,5.656854,3.0
20260626_204521,2026-06-26T11:45:22.151501Z,skeleton,RX1,18.867962,17.492856,14.764823,13.0,9.486833,7.071068,4.472136,4.472136,6.0,9.219544,11.7047,13.928388,16.155494,18.027756,19.313208,20.248457,19.924859,19.646883,17.464249,14.317821,11.18034,6.324555,3.605551,4.472136,7.071068,10.630146,3.162278,7.28011,11.18034,15.132746,18.0,20.024984,21.213203,21.377558,19.924859,18.027756,16.155494,13.416408,10.29563,6.708204,4.123106,1.414214,3.162278,5.385165,8.602325,10.816654,14.21267,16.278821,16.970563,19.104973,19.209373,13.4039775
20260626_204521,2026-06-26T11:45:22.182284Z,skeleton,RX2,21.213203,18.439089,15.0,10.816654,5.830952,2.828427,2.236068,4.123106,6.082763,8.062258,9.219544,9.486833,8.944272,8.602325,7.81025,6.403124,5.385165,4.0,3.605551,4.0,4.472136,5.830952,6.403124,6.324555,5.09902,4.123106,9.433981,8.062258,10.440307,13.892444,18.601075,21.633308,24.698178,25.553865,25.059928,23.706539,21.931712,19.697716,17.0,14.764823,11.661904,10.0,7.81025,6.324555,6.082763,8.062258,10.630146,14.422205,18.027756,20.808652,23.021729,23.430749
20260626_204521,2026-06-26T11:45:22.214806Z,skeleton,RX3,9.0,13.038405,15.033296,17.117243,18.11077,19.026298,18.0,17.0,15.033296,13.038405,11.045361,9.0,6.082763,4.472136,3.162278,5.385165,8.602325,12.041595,14.866069,17.691806,19.104973,19.849433,19.104973,17.691806,15.620499,12.041595,14.035669,16.03122,16.03122,16.03122,15.033296,14.035669,11.045361,8.0,5.0,2.236068,2.236068,4.472136,6.708204,8.944272,10.816654,12.529964,13.601471,14.21267,15.620499,14.866069,14.142136,13.453624,11.313708,8.485281,5.0,2.236068
20260626_204521,2026-06-26T11:45:22.241427Z,skeleton,RX1,20.024984,18.0,17.029386,13.152946,10.198039,7.615773,4.242641,4.0,6.403124,8.602325,11.661904,13.892444,16.124515,18.35756,19.723083,20.248457,20.808652,20.0,17.691806,14.866069,10.630146,7.211103,3.0,4.123106,9.055385,12.0,2.236068,4.472136,8.602325,12.041595,16.278821,18.601075,21.095023,22.36068,21.540659,22.135944,19.646883,16.492423,14.317821,11.18034,7.28011,3.605551,2.0,4.242641,7.211103,10.29563,12.083046,15.231546,16.763055,18.439089,20.223748,20.099751
