experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_185000,2026-06-24T09:50:00.922963Z,skeleton,RX2,15.556349,18.384776,19.79899,21.213203,20.518285,19.849433,18.601075,16.643317,14.764823,12.529964,10.29563,7.211103,5.656854,4.123106,6.324555,8.602325,12.727922,15.556349,19.104973,21.213203,23.345235,23.430749,23.600847,21.633308,18.867962,16.124515,9.848858,9.848858,10.29563,9.433981,8.602325,7.071068,5.830952,5.09902,5.385165,6.403124,7.071068,9.219544,10.0,10.0,10.630146,12.041595,11.313708,12.041595,10.630146,10.630146,9.219544,8.485281,7.211103,6.082763,7.28011,9.433981
20260624_185000,2026-06-24T09:50:00.954632Z,skeleton,RX3,23.769729,20.880613,16.492423,13.341664,10.049876,7.28011,7.071068,8.062258,9.848858,11.7047,13.601471,13.601471,15.231546,15.652476,16.124515,15.264338,14.422205,12.206556,10.29563,7.28011,5.0,5.656854,7.615773,10.440307,12.369317,14.317821,4.472136,4.123106,7.071068,10.440307,14.56022,16.763055,19.646883,20.396078,21.213203,21.095023,20.024984,19.026298,16.03122,14.142136,11.18034,9.055385,7.0,5.385165,5.830952,8.062258,12.041595,16.03122,19.026298,22.090722,24.33105,25.495098
20260624_185000,2026-06-24T09:50:00.984290Z,skeleton,RX1,21.377558,21.377558,19.416488,18.439089,16.492423,15.811388,14.317821,13.416408,12.529964,12.206556,11.401754,10.630146,10.0,10.29563,11.401754,13.152946,16.124515,19.104973,22.36068,24.515301,25.298221,25.079872,22.825424,19.723083,15.264338,11.7047,3.0,2.0,1.414214,2.0,4.0,6.0,8.0,9.055385,10.198039,10.440307,10.440307,10.77033,9.848858,9.848858,8.944272,8.544004,8.246211,8.062258,9.0,10.049876,12.369317,14.56022,16.763055,19.646883,20.880613,22.561028
20260624_185000,2026-06-24T09:50:01.018840Z,skeleton,RX2,14.56022,17.720045,19.646883,20.615528,20.396078,20.223748,18.11077,16.03122,14.0,12.041595,10.0,7.0,5.09902,4.242641,5.0,8.246211,12.649111,14.866069,18.973666,20.880613,22.803509,23.537205,23.345235,21.213203,18.11077,15.033296,10.0,10.0,10.049876,9.219544,9.219544,7.615773,6.403124,5.830952,6.082763,7.071068,8.246211,9.486833,9.848858,10.77033,11.7047,12.649111,11.401754,12.369317,12.369317,11.18034,10.198039,9.486833,7.615773,7.071068,7.28011,10.0
20260624_185000,2026-06-24T09:50:01.043112Z,skeleton,RX3,10.29563,13.928388,15.811388,17.088007,16.763055,16.155494,15.231546,14.317821,12.529964,10.29563,8.944272,6.324555,5.0,4.472136,5.656854,8.062258,10.29563,12.083046,14.317821,16.155494,16.552945,17.0,16.124515,14.764823,12.529964,9.433981,17.088007,17.464249,17.888544,17.0,16.124515,13.892444,11.661904,8.062258,5.385165,3.162278,3.605551,5.09902,8.062258,9.055385,11.18034,13.341664,13.601471,14.866069,15.231546,15.652476,15.652476,14.764823,12.529964,10.440307,9.055385,7.615773
20260624_185000,2026-06-24T09:50:01.077706Z,skeleton,RX1,18.681542,17.720045,15.524175,14.866069,13.928388,12.083046,11.661904,10.816654,10.0,9.219544,9.219544,8.602325,8.062258,8.544004,10.049876,12.0,15.033296,17.0,19.026298,21.095023,21.377558,21.84033,20.248457,16.552945,13.0,10.198039,3.162278,2.236068,1.0,1.0,3.162278,4.123106,6.0,7.0,8.062258,8.062258,8.246211,8.544004,7.615773,7.615773,6.708204,6.324555,6.324555,6.082763,7.071068,7.28011,9.848858,11.18034,14.317821,15.231546,17.088007,18.027756
20260624_185000,2026-06-24T09:50:01.105956Z,skeleton,RX2,19.849433,17.691806,14.21267,10.816654,7.28011,6.082763,8.062258,9.219544,11.313708,14.142136,16.278821,17.804494,19.416488,20.59126,21.023796,20.615528,19.924859,18.681542,15.524175,11.7047,8.062258,5.830952,6.324555,10.0,12.806248,15.620499,5.0,7.28011,9.055385,11.045361,13.0,14.0,15.0,15.0,15.0,14.0,13.0,11.0,10.0,8.062258,7.28011,6.708204,7.071068,8.062258,8.944272,12.083046,14.317821,17.464249,19.723083,21.954498,23.021729,23.600847
20260624_185000,2026-06-24T09:50:01.134417Z,skeleton,RX3,11.7047,14.317821,16.278821,17.262677,18.248288,17.262677,16.492423,14.56022,12.649111,10.77033,8.544004,6.082763,5.09902,5.0,5.830952,8.246211,11.18034,13.152946,15.132746,17.262677,18.248288,18.248288,17.464249,15.297059,13.341664,10.198039,17.492856,19.416488,18.601075,17.804494,16.401219,14.21267,12.041595,7.81025,5.385165,3.162278,3.605551,6.082763,8.062258,10.049876,12.165525,13.341664,14.866069,16.155494,17.088007,16.552945,15.652476,14.764823,12.529964,10.440307,8.0,6.708204
20260624_185000,2026-06-24T09:50:01.162989Z,skeleton,RX1,16.763055,17.088007,17.088007,17.464249,16.552945,15.652476,14.764823,14.422205,13.601471,14.21267,13.453624,14.142136,14.866069,15.556349,15.556349,14.866069,14.142136,12.727922,10.816654,10.440307,12.0,15.297059,20.615528,24.515301,27.073973,29.017236,5.0,6.082763,8.246211,8.544004,9.433981,9.433981,8.602325,7.81025,6.403124,5.830952,5.385165,5.0,6.082763,7.28011,8.246211,10.440307,12.369317,14.142136,15.132746,17.029386,17.0,18.0,18.027756,17.0,17.029386,16.124515
20260624_185000,2026-06-24T09:50:01.194399Z,skeleton,RX2,14.317821,16.552945,18.788294,19.697716,19.313208,18.973666,17.720045,16.278821,14.317821,11.18034,9.055385,7.28011,5.0,4.472136,6.082763,9.486833,13.0,16.552945,19.697716,22.847319,23.4094,24.351591,24.041631,22.561028,19.416488,16.278821,11.045361,11.18034,11.18034,10.440307,9.486833,8.944272,7.211103,5.656854,5.385165,6.0,6.324555,7.615773,8.944272,8.944272,9.848858,10.77033,10.77033,11.7047,10.440307,10.440307,9.486833,8.544004,6.708204,6.403124,6.082763,8.246211
20260624_185000,2026-06-24T09:50:01.225701Z,skeleton,RX3,21.470911,19.235384,15.652476,12.083046,9.219544,7.071068,7.211103,8.602325,10.0,11.661904,13.038405,14.422205,15.0,14.866069,15.556349,14.866069,14.21267,12.041595,10.0,7.81025,5.385165,5.09902,7.211103,9.899495,12.041595,13.453624,4.0,3.605551,5.0,8.062258,12.165525,14.142136,17.117243,18.027756,19.0,18.027756,17.117243,16.278821,14.56022,12.649111,9.486833,7.28011,6.0,4.472136,5.0,8.544004,11.401754,14.56022,18.681542,20.880613,23.4094,22.847319
20260624_185000,2026-06-24T09:50:01.256203Z,skeleton,RX1,18.601075,19.209373,18.601075,18.439089,17.029386,15.556349,14.21267,13.601471,13.892444,13.0,13.928388,14.866069,15.811388,16.763055,17.088007,16.155494,15.652476,13.0,11.401754,10.049876,11.661904,16.278821,21.213203,26.248809,30.232433,31.304952,5.09902,7.0,8.062258,9.219544,9.486833,9.848858,8.944272,8.062258,6.708204,6.082763,5.0,6.082763,6.708204,8.062258,9.433981,10.29563,12.529964,13.416408,15.231546,17.088007,17.088007,18.027756,18.027756,18.027756,17.464249,17.0
20260624_185000,2026-06-24T09:50:01.283199Z,skeleton,RX2,14.21267,17.204651,18.601075,19.209373,19.209373,19.104973,18.384776,16.278821,14.21267,12.206556,10.0,7.071068,5.830952,5.0,5.830952,9.219544,12.206556,16.643317,19.416488,22.203603,23.600847,24.839485,24.083189,23.345235,19.79899,16.970563,10.29563,11.661904,10.816654,11.401754,9.219544,8.485281,7.211103,5.385165,5.0,5.385165,6.403124,7.81025,8.602325,8.602325,10.0,10.0,10.630146,10.630146,10.630146,10.630146,9.219544,8.485281,6.403124,6.082763,6.082763,7.81025
20260624_185000,2026-06-24T09:50:01.313220Z,skeleton,RX3,11.401754,14.142136,15.556349,16.970563,16.970563,16.278821,14.866069,14.21267,12.206556,10.0,7.81025,5.656854,4.472136,4.0,5.385165,7.81025,9.899495,12.727922,14.142136,15.556349,16.278821,15.620499,15.0,13.601471,11.401754,9.219544,16.278821,17.691806,17.804494,17.804494,15.811388,13.601471,10.816654,7.81025,5.0,3.0,4.472136,6.403124,8.602325,10.0,12.206556,12.806248,14.866069,15.556349,16.278821,15.620499,15.0,13.601471,12.041595,10.0,7.615773,8.0
20260624_185000,2026-06-24T09:50:01.344116Z,skeleton,RX1,17.117243,18.11077,18.248288,17.262677,16.492423,15.811388,13.928388,13.892444,13.601471,13.453624,14.142136,14.866069,15.620499,16.278821,16.278821,15.556349,14.142136,12.206556,10.77033,11.0,13.928388,18.788294,24.596748,29.154759,32.280025,33.376639,5.830952,7.81025,8.602325,9.848858,9.486833,9.219544,8.062258,6.082763,5.09902,3.605551,3.605551,5.09902,7.071068,8.062258,10.049876,11.045361,12.165525,14.317821,15.524175,16.763055,17.088007,17.088007,16.763055,16.492423,16.278821,16.03122
20260624_185000,2026-06-24T09:50:01.374171Z,skeleton,RX2,14.21267,17.029386,19.209373,19.849433,20.518285,19.79899,17.691806,15.620499,14.21267,11.401754,10.0,7.071068,4.472136,4.0,6.403124,9.433981,13.038405,17.0,19.723083,21.954498,23.853721,25.238859,23.600847,22.803509,19.849433,16.278821,11.401754,11.401754,11.7047,10.77033,9.848858,8.062258,6.403124,5.0,5.0,5.09902,5.830952,7.071068,8.485281,8.485281,9.899495,10.630146,10.630146,11.401754,10.816654,10.0,9.433981,7.81025,6.403124,5.385165,6.082763,8.602325
20260624_185000,2026-06-24T09:50:01.405454Z,skeleton,RX3,12.083046,14.866069,17.088007,18.027756,18.027756,17.464249,16.552945,14.317821,12.529964,10.29563,8.944272,6.324555,5.0,4.472136,5.830952,7.615773,10.77033,12.369317,15.524175,16.763055,17.720045,17.088007,17.088007,15.231546,13.0,9.848858,15.620499,16.401219,15.811388,15.264338,13.892444,11.661904,9.433981,6.403124,3.605551,2.0,3.605551,6.324555,8.544004,9.848858,11.18034,12.083046,13.892444,14.422205,15.0,14.21267,13.453624,12.806248,10.816654,7.615773,6.0,6.403124
20260624_185000,2026-06-24T09:50:01.432706Z,skeleton,RX1,15.556349,14.866069,14.21267,14.422205,13.892444,13.416408,13.416408,12.083046,10.77033,9.486833,8.246211,7.071068,6.082763,5.830952,7.81025,10.29563,14.764823,18.35756,20.248457,22.803509,23.345235,24.083189,21.400935,18.35756,14.422205,9.219544,4.472136,3.605551,2.828427,1.414214,1.0,2.0,4.0,5.09902,6.082763,7.071068,7.28011,7.28011,6.324555,6.324555,6.324555,6.082763,6.082763,6.0,6.082763,7.615773,8.602325,10.0,12.041595,12.806248,14.866069,14.866069
20260624_185000,2026-06-24T09:50:01.464617Z,skeleton,RX2,14.764823,17.0,18.35756,19.723083,18.867962,18.027756,16.401219,15.620499,13.453624,11.313708,8.485281,6.403124,4.123106,3.605551,5.830952,8.544004,12.649111,15.811388,19.313208,21.540659,22.847319,23.259407,22.825424,21.095023,18.601075,15.0,12.041595,12.041595,12.041595,12.041595,10.816654,8.944272,8.246211,7.0,6.324555,7.211103,7.071068,8.602325,9.433981,9.433981,10.29563,10.816654,10.816654,10.816654,11.401754,10.0,10.0,8.602325,6.708204,6.0,6.708204,8.485281
20260624_185000,2026-06-24T09:50:01.494874Z,skeleton,RX3,12.041595,14.142136,16.278821,17.262677,17.262677,17.117243,16.03122,14.0,13.0,11.0,9.055385,6.082763,4.472136,4.472136,5.09902,7.071068,9.219544,11.401754,13.601471,15.524175,16.492423,16.492423,15.297059,14.317821,12.165525,9.219544,13.892444,15.264338,14.422205,14.422205,12.806248,11.401754,9.219544,6.403124,3.162278,1.414214,3.0,6.082763,8.062258,9.055385,11.045361,12.0,13.038405,14.035669,14.142136,14.317821,13.341664,12.369317,10.198039,8.0,6.324555,5.830952
20260624_185000,2026-06-24T09:50:01.524000Z,skeleton,RX1,15.620499,15.620499,14.866069,14.866069,13.453624,12.806248,12.206556,10.816654,9.433981,8.944272,6.708204,6.082763,5.09902,5.656854,8.602325,11.661904,16.124515,18.867962,22.203603,24.083189,24.758837,24.207437,21.633308,17.492856,13.038405,8.485281,5.0,4.242641,2.828427,2.236068,1.0,2.236068,3.605551,4.472136,5.385165,6.708204,7.211103,7.211103,7.211103,7.211103,6.708204,6.708204,6.708204,6.324555,7.071068,7.0,8.246211,9.486833,11.18034,12.529964,13.892444,14.422205
20260624_185000,2026-06-24T09:50:01.552933Z,skeleton,RX2,19.209373,16.401219,12.806248,9.899495,6.708204,5.09902,7.211103,9.899495,12.727922,14.866069,17.029386,18.601075,20.248457,21.470911,21.931712,21.18962,20.880613,18.681542,15.524175,11.401754,7.211103,5.385165,7.615773,11.401754,14.21267,17.804494,5.385165,7.071068,8.062258,9.848858,11.7047,13.341664,14.317821,14.317821,14.317821,13.341664,12.369317,11.401754,9.219544,8.062258,6.0,5.09902,5.830952,7.071068,8.602325,10.816654,13.038405,15.811388,18.601075,20.615528,21.213203,21.931712
20260624_185000,2026-06-24T09:50:01.584421Z,skeleton,RX3,22.561028,19.416488,16.278821,12.041595,8.062258,5.830952,6.708204,9.055385,11.0,12.041595,14.0,16.0,17.029386,17.117243,17.262677,16.492423,15.524175,13.601471,11.401754,8.062258,5.09902,5.0,6.082763,9.055385,12.369317,13.341664,3.162278,3.605551,6.082763,10.0,13.0,16.0,18.0,19.026298,20.099751,19.416488,18.439089,16.763055,14.866069,13.0,9.848858,7.615773,5.0,3.605551,5.385165,8.062258,12.0,16.03122,19.026298,23.086793,25.179357,24.33105
20260624_185000,2026-06-24T09:50:01.612661Z,skeleton,RX1,15.231546,14.764823,14.422205,14.866069,14.21267,14.422205,14.317821,13.928388,14.56022,15.297059,16.124515,16.124515,17.117243,17.262677,16.278821,15.297059,13.152946,11.0,8.944272,10.816654,15.811388,21.587033,26.925824,32.893768,36.674242,37.735925,4.472136,7.211103,9.219544,10.816654,12.083046,11.7047,11.18034,10.049876,8.062258,6.082763,4.123106,4.242641,4.123106,5.0,7.071068,9.219544,11.18034,13.038405,15.033296,17.0,18.0,19.026298,19.026298,19.0,18.027756,16.124515
20260624_185000,2026-06-24T09:50:01.644712Z,skeleton,RX2,20.880613,18.027756,14.56022,11.18034,8.062258,6.403124,8.062258,11.7047,13.928388,16.155494,18.384776,20.124612,21.954498,23.021729,23.430749,23.345235,21.931712,20.518285,17.029386,13.453624,8.602325,5.0,7.071068,10.29563,14.764823,17.888544,5.385165,7.0,8.246211,10.440307,13.0,14.317821,15.652476,15.652476,15.652476,14.764823,13.892444,11.661904,10.29563,8.602325,7.81025,7.211103,7.28011,8.062258,10.0,13.0,15.0,18.027756,20.099751,23.194827,23.537205,23.769729
20260624_185000,2026-06-24T09:50:01.673330Z,skeleton,RX3,25.019992,21.023796,18.0,14.0,9.219544,6.403124,6.082763,8.062258,10.440307,12.649111,14.56022,15.811388,16.492423,17.464249,18.248288,18.11077,16.03122,15.033296,12.165525,9.219544,5.830952,5.09902,7.615773,10.816654,12.806248,14.866069,3.0,4.123106,8.0,12.041595,16.124515,18.11077,21.023796,22.0,23.0,22.022716,21.213203,19.416488,16.492423,13.341664,11.401754,9.219544,6.0,4.472136,5.385165,8.0,13.038405,16.124515,20.099751,24.083189,26.019224,28.0
20260624_185000,2026-06-24T09:50:01.702650Z,skeleton,RX1,13.601471,15.556349,15.620499,17.204651,16.643317,16.643317,16.124515,15.652476,14.317821,14.866069,14.317821,14.317821,14.142136,14.142136,14.035669,13.038405,12.0,10.198039,9.433981,11.401754,14.866069,19.646883,25.96151,29.732137,32.202484,33.286634,6.082763,8.062258,10.630146,12.041595,13.038405,12.083046,11.7047,9.219544,8.246211,5.385165,3.605551,3.162278,4.123106,6.324555,8.544004,10.77033,12.649111,15.297059,17.262677,18.11077,19.026298,19.0,19.0,17.0,16.124515,13.601471
20260624_185000,2026-06-24T09:50:01.734598Z,skeleton,RX2,15.132746,17.262677,19.235384,20.099751,20.099751,19.026298,18.0,16.03122,14.142136,12.165525,10.198039,7.071068,5.0,3.605551,5.09902,8.062258,11.18034,14.56022,17.720045,19.646883,21.377558,22.203603,22.090722,20.024984,18.0,15.033296,10.0,11.0,11.045361,10.049876,9.219544,8.544004,7.211103,6.403124,6.324555,7.071068,8.062258,8.246211,9.486833,10.440307,10.440307,10.440307,11.401754,11.18034,11.18034,11.18034,10.198039,8.544004,7.615773,7.071068,7.615773,10.049876
20260624_185000,2026-06-24T09:50:01.765409Z,skeleton,RX3,11.18034,14.142136,16.124515,17.117243,17.117243,17.117243,16.278821,14.317821,13.341664,10.198039,9.219544,7.071068,5.09902,4.242641,5.385165,7.28011,10.049876,12.0,14.0,16.0,17.0,17.029386,16.03122,15.033296,13.038405,10.049876,15.620499,17.029386,16.278821,15.556349,14.866069,12.727922,10.0,7.071068,3.605551,2.0,3.162278,5.0,7.0,9.055385,11.045361,12.165525,13.341664,13.601471,14.866069,14.317821,13.416408,12.529964,10.77033,8.246211,7.071068,6.403124
20260624_185000,2026-06-24T09:50:01.792844Z,skeleton,RX1,19.646883,18.439089,16.492423,15.524175,12.649111,11.7047,10.29563,8.602325,8.485281,7.81025,7.615773,7.28011,7.0,8.062258,10.440307,12.083046,14.764823,17.464249,19.697716,20.248457,20.880613,20.615528,18.248288,15.132746,11.18034,8.062258,6.403124,5.0,3.162278,1.0,2.0,4.123106,6.324555,8.944272,10.29563,11.401754,11.313708,10.630146,10.630146,10.0,9.433981,8.062258,6.403124,5.656854,5.385165,6.0,7.28011,10.77033,13.0,16.155494,18.027756,19.924859
20260624_185000,2026-06-24T09:50:01.824183Z,skeleton,RX2,19.79899,16.278821,13.453624,9.433981,6.324555,5.385165,7.071068,10.0,12.206556,15.0,16.401219,18.439089,19.104973,20.518285,20.808652,20.808652,19.723083,17.888544,14.317821,10.29563,5.830952,3.0,4.472136,8.544004,13.0,15.231546,5.0,6.403124,8.944272,10.77033,12.649111,14.56022,15.524175,15.524175,15.524175,13.601471,13.341664,11.401754,10.198039,8.062258,7.0,6.324555,7.211103,7.81025,10.0,11.661904,14.764823,16.643317,19.416488,21.400935,22.022716,22.671568
20260624_185000,2026-06-24T09:50:01.853561Z,skeleton,RX3,11.313708,14.21267,16.401219,17.804494,17.804494,17.804494,16.278821,14.866069,12.727922,10.630146,8.485281,6.403124,4.472136,3.162278,4.242641,7.211103,8.944272,12.083046,14.317821,15.652476,16.552945,16.124515,16.124515,13.892444,12.206556,8.602325,15.620499,16.401219,16.643317,15.811388,15.264338,12.206556,9.433981,6.403124,3.605551,3.0,4.242641,5.830952,8.062258,10.29563,11.661904,13.601471,14.21267,14.866069,15.556349,16.278821,15.620499,13.453624,12.041595,10.0,7.615773,7.071068
20260624_185000,2026-06-24T09:50:01.883232Z,skeleton,RX1,19.849433,19.209373,16.401219,15.620499,12.041595,11.313708,10.0,8.944272,8.544004,8.062258,8.0,8.062258,8.544004,9.848858,11.661904,12.806248,15.0,17.204651,19.416488,21.095023,21.470911,20.615528,19.313208,15.811388,12.083046,9.219544,8.062258,7.0,5.09902,3.162278,1.414214,3.162278,5.09902,7.28011,9.055385,10.0,11.045361,10.198039,10.198039,9.486833,8.544004,7.615773,6.324555,5.09902,4.123106,5.0,6.403124,9.433981,12.529964,16.643317,18.601075,19.849433
20260624_185000,2026-06-24T09:50:01.915104Z,skeleton,RX2,14.866069,16.970563,18.384776,19.104973,19.104973,18.439089,16.401219,15.0,13.038405,10.816654,8.602325,5.830952,4.242641,3.0,4.242641,7.615773,10.77033,13.928388,16.155494,19.313208,20.615528,21.023796,20.59126,18.867962,17.204651,14.21267,9.219544,10.049876,10.049876,9.0,8.062258,6.324555,5.0,3.605551,4.0,5.09902,6.708204,7.211103,8.602325,8.602325,9.433981,9.433981,9.433981,9.433981,9.433981,8.062258,8.062258,6.403124,5.0,5.0,6.324555,8.602325
