experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_203818,2026-06-26T11:38:18.006433Z,skeleton,RX2,7.071068,8.0,10.0,10.049876,12.041595,12.041595,13.038405,13.038405,13.038405,13.152946,13.038405,12.041595,11.0,9.055385,7.28011,5.656854,6.082763,8.544004,13.038405,17.029386,21.213203,24.758837,27.586228,29.068884,29.832868,27.802878,9.486833,8.062258,7.071068,5.830952,6.324555,8.062258,10.198039,11.7047,13.416408,13.892444,14.422205,13.601471,12.806248,11.313708,10.630146,8.602325,7.211103,5.830952,4.472136,4.123106,2.236068,1.414214,2.0,2.828427,3.605551,4.472136
20260626_203818,2026-06-26T11:38:18.036525Z,skeleton,RX3,26.07681,25.059928,22.36068,18.788294,14.317821,11.18034,7.81025,6.708204,7.071068,8.246211,10.440307,11.401754,13.341664,14.142136,15.132746,15.033296,15.0,15.033296,13.038405,11.18034,8.544004,7.81025,8.062258,10.440307,12.165525,13.038405,8.944272,7.28011,5.09902,5.830952,9.219544,13.152946,16.278821,18.248288,19.646883,19.924859,19.313208,19.235384,16.643317,15.0,13.453624,11.313708,8.485281,7.211103,5.09902,5.385165,8.485281,12.727922,17.691806,20.518285,24.083189,27.018512
20260626_203818,2026-06-26T11:38:18.066307Z,skeleton,RX1,20.615528,20.223748,20.099751,19.026298,16.03122,13.0,9.0,6.0,3.162278,1.0,4.0,7.071068,9.055385,12.165525,15.297059,16.278821,18.11077,19.104973,19.026298,18.027756,17.262677,14.866069,13.038405,12.041595,11.18034,10.049876,5.656854,3.162278,4.472136,8.062258,12.0,15.0,18.0,20.0,21.0,21.0,19.0,17.029386,14.035669,12.165525,8.246211,7.211103,4.242641,4.0,3.605551,5.830952,6.082763,7.071068,9.848858,10.630146,13.601471,16.552945
20260626_203818,2026-06-26T11:38:18.096797Z,skeleton,RX2,10.29563,9.848858,8.944272,8.062258,6.403124,5.0,3.162278,3.162278,3.605551,5.385165,8.246211,10.198039,13.152946,16.124515,18.11077,21.095023,22.090722,23.086793,23.021729,22.0,20.0,16.124515,12.369317,8.602325,6.324555,8.062258,12.041595,14.142136,16.278821,18.439089,18.681542,18.027756,17.088007,15.231546,12.529964,10.0,7.071068,5.830952,4.0,3.605551,4.472136,6.082763,7.0,7.28011,8.544004,9.486833,9.433981,10.0,10.630146,10.630146,11.401754,11.661904
20260626_203818,2026-06-26T11:38:18.126225Z,skeleton,RX3,26.172505,25.317978,22.561028,18.439089,14.317821,11.045361,8.062258,6.708204,7.211103,8.944272,10.77033,13.0,13.416408,15.652476,16.124515,16.643317,15.811388,14.422205,13.038405,11.18034,8.544004,7.0,8.062258,9.899495,11.401754,13.038405,7.615773,5.0,4.123106,6.324555,9.433981,12.806248,15.620499,17.204651,18.867962,19.235384,18.788294,18.027756,16.492423,14.317821,12.041595,10.049876,8.062258,6.324555,5.0,6.082763,9.0,14.142136,17.117243,21.095023,25.019992,27.0
20260626_203818,2026-06-26T11:38:18.158047Z,skeleton,RX1,11.313708,9.848858,9.0,11.18034,13.038405,16.278821,18.384776,19.104973,20.518285,20.518285,19.79899,18.439089,17.804494,15.811388,14.422205,11.661904,9.486833,6.0,3.605551,4.123106,7.071068,9.433981,11.401754,12.0,13.038405,12.649111,27.892651,29.410882,31.016125,29.546573,27.730849,22.825424,17.492856,12.206556,6.403124,1.0,5.656854,10.630146,13.601471,15.811388,18.027756,18.601075,18.601075,19.209373,17.029386,16.278821,15.264338,14.866069,15.132746,15.033296,14.317821,14.317821
20260626_203818,2026-06-26T11:38:18.186699Z,skeleton,RX2,7.071068,8.602325,10.0,10.816654,12.206556,13.038405,13.892444,13.892444,13.892444,13.892444,13.601471,12.206556,11.401754,9.219544,6.403124,4.123106,4.242641,7.071068,11.045361,16.278821,20.615528,25.0,28.460499,29.732137,30.083218,27.730849,10.630146,9.433981,8.544004,7.0,7.211103,8.602325,10.440307,13.152946,15.033296,16.0,16.03122,16.124515,15.132746,14.317821,12.369317,11.7047,9.848858,8.944272,7.211103,5.656854,5.0,3.162278,2.0,1.414214,3.162278,4.472136
20260626_203818,2026-06-26T11:38:18.216596Z,skeleton,RX3,7.615773,10.0,13.453624,14.866069,16.278821,16.970563,16.278821,15.620499,15.0,12.206556,11.401754,10.0,7.81025,7.81025,6.324555,7.0,8.062258,10.440307,13.0,14.317821,15.231546,15.231546,15.231546,13.928388,11.7047,9.486833,13.928388,16.155494,16.552945,17.888544,16.124515,15.264338,13.038405,10.29563,7.615773,5.385165,4.123106,4.242641,5.830952,7.615773,9.848858,11.18034,13.892444,14.422205,16.401219,17.029386,16.970563,17.029386,15.620499,14.142136,12.041595,8.944272
20260626_203818,2026-06-26T11:38:18.249090Z,skeleton,RX1,19.209373,19.104973,17.691806,17.029386,15.0,13.038405,10.29563,8.544004,6.324555,4.123106,2.828427,4.123106,6.0,8.062258,10.049876,12.165525,13.341664,15.132746,16.0,16.03122,15.132746,14.317821,13.0,10.29563,9.219544,6.403124,6.403124,3.162278,5.0,9.486833,14.764823,18.601075,21.260292,22.627417,23.345235,22.671568,21.400935,18.601075,15.0,12.806248,8.485281,5.830952,4.0,4.242641,6.708204,9.219544,11.045361,13.038405,15.033296,15.297059,16.155494,17.0
20260626_203818,2026-06-26T11:38:18.276347Z,skeleton,RX2,12.041595,10.630146,10.630146,8.485281,7.071068,5.0,3.162278,2.236068,3.162278,5.09902,7.28011,9.486833,12.649111,14.866069,17.464249,19.697716,21.931712,23.259407,22.825424,21.954498,18.867962,15.0,11.313708,7.615773,5.385165,8.544004,11.18034,14.142136,16.124515,18.027756,19.0,19.0,17.029386,15.033296,13.152946,10.198039,7.28011,5.0,3.162278,3.162278,3.605551,5.385165,6.082763,8.0,9.055385,10.198039,10.440307,11.18034,11.661904,12.206556,12.806248,12.727922
20260626_203818,2026-06-26T11:38:18.306752Z,skeleton,RX3,26.400758,24.413111,21.633308,18.027756,14.422205,10.630146,8.602325,8.246211,9.0,11.045361,12.165525,14.142136,15.033296,16.0,17.0,17.029386,17.117243,16.03122,14.035669,12.0,10.198039,9.433981,11.401754,12.529964,15.231546,17.088007,9.0,6.082763,3.605551,5.09902,8.062258,12.369317,14.317821,16.278821,18.11077,18.027756,18.027756,17.117243,15.297059,13.601471,12.083046,9.848858,7.615773,6.082763,5.09902,6.403124,10.0,13.038405,18.027756,21.400935,24.083189,26.870058
