experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_184737,2026-06-26T09:47:37.126859Z,skeleton,RX3,18.788294,17.464249,15.231546,13.0,10.77033,8.062258,7.071068,6.403124,7.615773,7.615773,8.944272,8.944272,10.29563,10.0,10.630146,10.630146,9.219544,9.219544,8.062258,8.246211,8.0,10.198039,11.7047,13.0,15.231546,15.231546,12.165525,8.544004,6.403124,8.062258,11.401754,14.866069,18.027756,19.924859,20.615528,20.396078,20.099751,18.0,16.03122,14.317821,12.369317,10.440307,8.246211,6.0,6.082763,7.211103,9.219544,11.313708,14.142136,16.970563,19.209373,19.416488
20260626_184737,2026-06-26T09:47:37.156572Z,skeleton,RX1,25.298221,25.298221,24.041631,21.84033,18.439089,15.297059,11.18034,7.071068,5.0,1.414214,1.414214,4.123106,6.082763,8.062258,10.049876,12.041595,13.038405,14.142136,14.56022,14.866069,13.892444,12.806248,12.041595,10.816654,9.848858,8.062258,8.602325,6.324555,4.123106,5.830952,8.062258,12.0,15.132746,17.262677,18.248288,19.416488,18.681542,17.720045,16.763055,14.866069,13.0,11.18034,9.433981,6.403124,4.472136,3.162278,4.472136,8.0,11.18034,15.524175,19.924859,22.135944
20260626_184737,2026-06-26T09:47:37.187415Z,skeleton,RX2,6.082763,6.324555,6.708204,7.211103,8.062258,10.29563,12.083046,12.649111,14.317821,15.132746,16.03122,17.029386,17.117243,16.278821,16.278821,15.297059,13.038405,12.041595,12.083046,13.453624,16.401219,20.248457,24.186773,26.41969,27.45906,27.45906,6.324555,6.082763,8.944272,11.401754,14.866069,16.970563,18.439089,19.209373,18.601075,18.867962,17.492856,15.652476,13.416408,12.083046,10.77033,9.848858,8.944272,8.062258,8.062258,8.062258,8.062258,8.062258,8.944272,8.544004,8.246211,7.28011
20260626_184737,2026-06-26T09:47:37.216796Z,skeleton,RX3,7.0,9.219544,10.198039,11.401754,11.401754,11.401754,10.198039,10.198039,9.055385,8.062258,7.071068,6.082763,6.324555,5.830952,6.403124,7.81025,9.219544,10.630146,11.401754,12.041595,12.806248,12.041595,11.313708,9.219544,7.81025,5.830952,17.888544,19.235384,21.095023,21.095023,20.248457,18.027756,15.811388,12.206556,8.602325,6.708204,4.123106,4.242641,5.0,7.211103,8.062258,9.433981,10.0,11.313708,12.041595,12.806248,12.206556,12.206556,10.816654,10.0,8.485281,7.211103
20260626_184737,2026-06-26T09:47:37.248288Z,skeleton,RX1,24.698178,25.553865,24.186773,21.954498,19.235384,15.652476,12.083046,8.544004,5.09902,2.0,2.0,4.242641,5.830952,8.062258,10.29563,12.083046,13.601471,14.317821,15.033296,15.0,14.142136,13.601471,12.529964,11.401754,9.219544,8.062258,8.062258,6.324555,4.472136,5.385165,8.0,11.045361,14.317821,16.492423,17.720045,18.681542,18.027756,17.088007,16.155494,14.317821,12.529964,10.816654,9.219544,6.403124,4.472136,3.162278,4.123106,7.071068,10.77033,14.317821,18.35756,21.954498
20260626_184737,2026-06-26T09:47:37.277425Z,skeleton,RX2,4.123106,2.828427,3.605551,5.0,6.708204,8.062258,10.0,12.041595,12.806248,15.264338,15.652476,16.155494,16.763055,16.492423,15.297059,13.341664,11.401754,8.602325,7.615773,10.049876,14.56022,19.313208,23.769729,26.925824,28.79236,28.460499,5.09902,5.0,7.0,10.198039,13.601471,16.763055,18.027756,18.681542,19.646883,18.439089,16.278821,15.132746,13.038405,11.045361,9.055385,8.246211,7.28011,6.708204,6.708204,7.211103,7.211103,8.062258,8.062258,7.615773,7.28011,6.082763
20260626_184737,2026-06-26T09:47:37.306958Z,skeleton,RX3,8.944272,10.630146,12.041595,12.727922,13.453624,13.453624,12.806248,11.401754,10.816654,9.433981,8.602325,7.81025,7.81025,7.211103,8.062258,9.486833,10.440307,12.369317,13.341664,14.317821,14.317821,14.317821,12.369317,11.18034,9.055385,6.0,21.095023,23.086793,25.179357,25.317978,24.515301,21.587033,17.464249,14.317821,10.049876,7.0,4.472136,4.472136,6.082763,8.0,10.0,11.045361,13.152946,13.341664,14.866069,15.231546,14.764823,13.892444,12.529964,11.18034,9.486833,8.062258
20260626_184737,2026-06-26T09:47:37.337252Z,skeleton,RX1,24.839485,24.758837,23.345235,21.931712,18.384776,14.866069,12.041595,8.602325,5.0,2.236068,1.0,2.828427,5.0,7.81025,10.0,10.816654,12.083046,13.0,13.341664,14.142136,14.0,13.152946,12.649111,11.18034,10.0,8.485281,8.062258,5.09902,4.242641,5.0,8.544004,10.816654,14.21267,16.278821,17.691806,17.691806,18.384776,16.970563,15.620499,14.21267,12.206556,10.29563,8.544004,7.28011,5.0,3.605551,4.123106,6.708204,10.0,14.142136,17.691806,21.260292
20260626_184737,2026-06-26T09:47:37.366863Z,skeleton,RX2,2.236068,2.236068,3.605551,5.830952,7.615773,10.440307,12.041595,13.038405,14.317821,15.811388,17.0,16.643317,17.029386,16.278821,16.278821,14.142136,11.401754,8.544004,7.28011,9.219544,14.317821,18.788294,24.698178,27.313001,29.546573,28.635642,5.09902,4.472136,7.0,10.198039,14.317821,15.811388,18.681542,18.973666,18.681542,17.720045,16.763055,14.56022,12.649111,11.7047,9.486833,8.944272,8.602325,8.602325,9.219544,9.899495,9.899495,9.219544,10.0,8.602325,7.211103,5.830952
20260626_184737,2026-06-26T09:47:37.397013Z,skeleton,RX3,9.848858,11.401754,12.165525,13.152946,13.152946,13.341664,13.341664,12.649111,11.401754,10.440307,9.486833,8.246211,8.062258,8.0,9.055385,9.219544,10.440307,11.7047,13.0,14.317821,13.928388,13.928388,12.649111,10.77033,8.944272,6.403124,19.849433,22.671568,24.207437,24.413111,23.853721,21.095023,18.027756,14.422205,10.0,7.071068,5.09902,5.385165,7.211103,8.602325,10.630146,12.206556,13.038405,14.764823,13.928388,14.56022,14.56022,14.142136,14.142136,11.18034,10.440307,8.062258
