experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_185512,2026-06-25T09:55:12.263132Z,skeleton,RX3,10.049876,14.0,15.0,17.0,17.029386,17.029386,16.03122,14.142136,12.165525,11.18034,9.219544,7.615773,5.830952,4.242641,3.0,2.828427,4.472136,6.324555,8.062258,11.045361,12.0,14.035669,15.033296,15.033296,14.0,13.0,17.088007,17.888544,18.35756,17.204651,15.620499,12.727922,9.219544,5.0,1.0,3.605551,7.071068,10.0,12.206556,13.892444,15.264338,17.492856,17.0,19.235384,17.888544,17.888544,16.124515,14.764823,11.661904,7.211103,3.605551,2.828427
20260625_185512,2026-06-25T09:55:12.288416Z,skeleton,RX1,7.0,10.198039,12.083046,13.892444,14.422205,15.620499,15.620499,14.866069,13.453624,12.806248,10.0,7.81025,5.656854,2.828427,2.236068,5.0,8.246211,12.649111,16.155494,18.788294,21.023796,21.470911,20.59126,18.027756,15.0,11.313708,9.0,11.0,12.041595,13.038405,14.035669,14.035669,13.152946,11.18034,8.246211,6.324555,4.242641,3.162278,2.828427,5.0,5.830952,7.615773,8.944272,9.848858,10.29563,10.29563,10.0,9.219544,9.219544,6.708204,5.0,4.472136
20260625_185512,2026-06-25T09:55:12.318311Z,skeleton,RX2,21.633308,21.633308,19.416488,16.643317,13.892444,11.18034,8.246211,6.0,4.472136,5.0,6.082763,7.071068,9.219544,10.77033,13.416408,16.124515,18.35756,20.124612,21.931712,21.540659,20.880613,18.439089,14.035669,10.049876,4.123106,1.414214,8.944272,7.615773,5.09902,3.162278,4.123106,7.0,10.049876,12.041595,14.035669,15.033296,15.0,14.0,13.038405,12.041595,10.049876,9.055385,7.0,4.0,2.236068,2.236068,5.0,9.433981,12.529964,16.124515,18.867962,21.095023
20260625_185512,2026-06-25T09:55:12.348859Z,skeleton,RX3,11.18034,15.297059,17.720045,19.416488,19.646883,19.646883,18.973666,17.088007,15.811388,14.317821,12.083046,9.433981,7.81025,5.656854,4.123106,3.162278,4.472136,7.071068,9.0,11.0,13.038405,15.132746,16.124515,15.132746,15.132746,13.038405,18.973666,20.615528,21.470911,19.723083,18.601075,15.620499,11.313708,7.071068,3.162278,1.0,5.0,8.485281,11.401754,12.806248,15.0,17.204651,18.027756,18.027756,18.027756,18.027756,16.643317,14.422205,12.206556,7.81025,3.605551,3.162278
20260625_185512,2026-06-25T09:55:12.378611Z,skeleton,RX1,8.062258,11.18034,12.649111,14.764823,16.124515,15.811388,15.620499,15.556349,13.453624,11.401754,10.0,7.211103,5.656854,3.162278,2.828427,6.324555,10.198039,14.142136,17.117243,20.099751,21.095023,22.090722,21.095023,19.026298,16.03122,12.041595,8.544004,10.440307,12.165525,14.317821,15.132746,15.132746,14.142136,13.038405,11.0,9.055385,7.28011,5.0,4.472136,5.0,7.071068,7.28011,8.246211,9.486833,9.486833,9.219544,9.055385,8.0,6.082763,4.123106,2.828427,2.828427
20260625_185512,2026-06-25T09:55:12.412981Z,skeleton,RX2,24.041631,23.345235,20.518285,16.970563,13.453624,10.0,7.615773,5.0,5.0,5.385165,7.071068,9.0,11.045361,13.152946,15.524175,16.763055,19.924859,20.880613,21.84033,21.587033,20.396078,18.11077,14.0,9.055385,4.123106,2.0,9.219544,7.071068,5.0,3.0,4.472136,7.071068,10.049876,12.165525,14.142136,15.297059,15.524175,14.56022,13.928388,13.0,10.77033,8.944272,6.708204,4.472136,1.0,2.828427,6.403124,10.0,14.21267,17.691806,21.260292,23.345235
20260625_185512,2026-06-25T09:55:12.438653Z,skeleton,RX3,9.0,13.0,15.0,17.029386,17.029386,18.027756,17.117243,15.132746,14.317821,12.369317,11.401754,8.544004,6.708204,5.0,3.162278,2.236068,3.162278,6.0,8.0,10.049876,12.165525,13.341664,14.317821,13.341664,13.341664,11.401754,16.155494,18.027756,18.681542,18.248288,16.124515,14.035669,11.0,7.071068,3.162278,1.0,4.123106,7.071068,9.055385,11.045361,13.038405,14.035669,15.033296,16.03122,16.03122,16.03122,15.033296,13.038405,11.045361,7.071068,3.162278,1.0
20260625_185512,2026-06-25T09:55:12.468095Z,skeleton,RX1,5.385165,9.219544,12.041595,14.422205,15.652476,16.155494,16.492423,16.278821,15.132746,14.035669,13.038405,11.0,9.055385,6.324555,5.656854,7.28011,10.0,12.369317,15.811388,18.384776,19.697716,20.615528,19.697716,17.888544,15.264338,12.806248,8.062258,11.045361,13.152946,15.132746,16.124515,16.124515,16.124515,14.142136,12.041595,9.055385,7.071068,4.472136,4.472136,5.0,6.082763,8.246211,9.486833,10.440307,11.18034,12.041595,11.045361,10.198039,9.219544,6.708204,5.0,2.0
20260625_185512,2026-06-25T09:55:12.498403Z,skeleton,RX2,4.123106,5.385165,8.062258,10.0,12.041595,14.035669,14.142136,14.317821,14.317821,12.649111,12.649111,12.083046,11.18034,10.29563,8.062258,6.708204,3.162278,4.472136,9.486833,14.56022,19.646883,22.36068,25.179357,26.0,25.079872,12.206556,14.21267,15.620499,17.029386,15.620499,14.866069,13.453624,11.313708,7.81025,5.0,2.236068,2.236068,4.123106,6.324555,8.544004,10.77033,12.083046,13.416408,14.764823,15.652476,16.124515,16.124515,15.264338,13.601471,11.401754,8.485281,15.97378
20260625_185512,2026-06-25T09:55:12.532378Z,skeleton,RX3,10.0,14.035669,16.03122,18.027756,19.026298,19.026298,18.11077,17.117243,15.297059,13.341664,12.369317,9.486833,7.615773,5.0,2.828427,2.236068,4.123106,6.082763,9.0,11.045361,13.038405,15.132746,15.132746,15.297059,14.142136,13.152946,17.0,18.384776,18.973666,18.681542,16.278821,14.142136,11.045361,7.0,3.162278,1.0,4.472136,7.28011,10.049876,11.18034,13.038405,15.132746,16.124515,17.117243,17.117243,16.124515,15.132746,14.142136,11.18034,8.062258,4.123106,1.414214
20260625_185512,2026-06-25T09:55:12.558050Z,skeleton,RX1,8.246211,11.0,13.152946,14.56022,16.155494,16.124515,15.811388,15.620499,14.142136,12.806248,10.630146,9.219544,7.81025,5.385165,5.09902,6.403124,9.433981,12.529964,15.652476,18.027756,20.248457,20.880613,19.646883,18.248288,16.124515,13.0,10.440307,13.341664,15.297059,17.262677,18.439089,18.439089,17.262677,15.297059,12.041595,9.0,6.082763,4.242641,4.0,6.324555,8.062258,9.433981,11.661904,12.529964,13.416408,13.0,12.369317,11.18034,9.055385,6.324555,3.605551,3.162278
20260625_185512,2026-06-25T09:55:12.588559Z,skeleton,RX2,5.09902,7.071068,10.0,12.083046,14.317821,16.155494,16.763055,16.492423,16.492423,15.297059,14.142136,13.038405,13.0,12.041595,10.049876,8.062258,6.082763,2.236068,3.162278,7.28011,12.649111,17.088007,21.931712,25.059928,26.07681,26.248809,14.866069,16.970563,18.384776,19.849433,19.209373,17.204651,14.422205,12.206556,9.433981,5.0,1.414214,2.236068,5.0,7.071068,9.055385,11.18034,12.165525,14.142136,15.297059,16.278821,16.492423,16.763055,15.811388,13.928388,12.529964,8.602325
20260625_185512,2026-06-25T09:55:12.618763Z,skeleton,RX3,9.433981,13.038405,16.124515,17.0,17.888544,17.888544,17.464249,16.155494,14.866069,12.649111,11.401754,9.219544,8.246211,6.082763,3.0,1.414214,2.236068,5.0,7.211103,8.944272,11.18034,13.416408,13.416408,14.764823,13.892444,11.661904,17.088007,17.720045,18.439089,18.248288,16.03122,14.0,10.049876,6.082763,2.236068,1.414214,5.09902,7.0,10.049876,12.041595,13.152946,15.132746,15.132746,16.124515,17.117243,16.124515,15.132746,14.035669,11.045361,8.0,5.385165,3.0
20260625_185512,2026-06-25T09:55:12.648094Z,skeleton,RX1,6.708204,9.219544,12.041595,14.422205,15.231546,15.811388,16.278821,15.132746,15.033296,14.0,13.0,11.0,9.055385,7.28011,5.830952,5.385165,8.062258,10.77033,13.416408,16.643317,17.804494,18.439089,17.691806,16.401219,15.264338,12.649111,10.440307,13.601471,15.811388,16.763055,17.720045,17.720045,16.763055,13.601471,10.440307,7.28011,3.605551,1.0,4.123106,7.071068,9.055385,12.165525,13.341664,14.56022,14.56022,14.866069,14.317821,12.206556,10.630146,7.81025,4.123106,2.828427
