experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_175916,2026-06-26T08:59:16.931119Z,skeleton,RX3,10.77033,10.0,10.0,10.77033,11.401754,12.165525,12.041595,12.041595,12.0,11.0,11.0,11.0,11.0,11.045361,10.049876,10.198039,10.198039,9.219544,8.246211,7.28011,5.09902,3.162278,1.0,1.0,4.123106,6.082763,20.099751,23.345235,25.495098,25.70992,25.0,23.4094,20.248457,17.088007,13.0,9.848858,6.082763,3.162278,3.605551,5.0,7.0,9.0,11.0,13.038405,15.132746,16.278821,17.464249,17.464249,17.720045,17.464249,15.297059,14.035669
20260626_175916,2026-06-26T08:59:16.962326Z,skeleton,RX1,8.062258,11.313708,12.206556,13.892444,14.764823,15.652476,15.231546,15.231546,13.928388,13.928388,11.7047,10.77033,9.848858,8.544004,7.28011,5.385165,3.162278,1.0,2.236068,5.0,7.211103,10.29563,11.7047,11.401754,11.18034,10.049876,17.492856,19.235384,21.931712,21.18962,21.84033,19.416488,16.278821,12.165525,8.246211,4.472136,3.0,5.830952,9.219544,11.401754,12.806248,15.620499,16.401219,17.804494,18.027756,18.601075,17.804494,17.204651,15.620499,12.727922,10.0,8.544004
20260626_175916,2026-06-26T08:59:16.991109Z,skeleton,RX2,17.117243,19.104973,19.026298,19.026298,16.03122,15.033296,13.038405,11.18034,9.486833,8.062258,8.485281,7.211103,8.544004,9.055385,11.045361,12.165525,13.928388,14.764823,15.811388,16.278821,17.029386,17.204651,17.888544,17.088007,16.492423,15.033296,18.11077,16.492423,15.811388,12.529964,9.219544,6.324555,6.324555,7.81025,10.440307,13.152946,15.0,16.124515,16.278821,15.811388,15.231546,14.764823,13.038405,11.401754,9.219544,7.071068,4.242641,1.414214,3.162278,6.324555,10.440307,13.341664
20260626_175916,2026-06-26T08:59:17.022945Z,skeleton,RX3,21.213203,21.213203,20.099751,18.248288,15.132746,12.165525,10.440307,7.615773,6.403124,5.656854,5.385165,6.082763,7.0,7.071068,8.246211,9.486833,11.7047,12.083046,13.416408,14.764823,15.264338,16.124515,16.124515,16.124515,14.317821,13.0,12.649111,8.544004,4.123106,2.0,6.403124,10.630146,14.866069,17.804494,19.416488,20.248457,20.124612,19.313208,18.027756,15.524175,14.142136,12.041595,10.049876,9.055385,6.082763,5.0,5.385165,8.062258,11.045361,14.142136,17.262677,19.235384
20260626_175916,2026-06-26T08:59:17.051050Z,skeleton,RX1,26.570661,25.298221,23.4094,18.973666,16.763055,13.341664,10.049876,7.071068,5.0,4.472136,6.082763,7.071068,9.486833,11.7047,13.0,13.928388,16.155494,15.811388,16.492423,15.132746,14.0,11.045361,8.544004,5.0,3.162278,3.605551,9.433981,6.403124,5.0,6.403124,11.401754,15.811388,20.0,23.430749,24.758837,25.495098,24.207437,23.021729,20.248457,17.492856,14.422205,10.816654,7.81025,5.385165,5.385165,7.81025,11.18034,15.231546,18.973666,23.086793,25.298221,27.513633
20260626_175916,2026-06-26T08:59:17.081164Z,skeleton,RX2,19.235384,21.023796,21.023796,20.615528,18.788294,17.464249,15.231546,12.529964,10.816654,9.899495,9.433981,8.544004,9.055385,10.049876,12.649111,13.0,14.764823,15.811388,16.278821,17.029386,17.204651,17.492856,17.464249,16.763055,16.124515,15.0,18.439089,16.970563,16.401219,13.892444,10.77033,7.0,5.0,7.071068,10.29563,12.806248,14.866069,16.401219,17.492856,17.464249,16.763055,16.492423,15.132746,14.035669,12.0,9.055385,6.082763,4.123106,3.0,5.830952,9.433981,13.601471
20260626_175916,2026-06-26T08:59:17.111201Z,skeleton,RX3,23.345235,22.36068,21.377558,19.235384,17.262677,14.317821,12.369317,9.486833,8.944272,7.81025,7.071068,6.708204,6.324555,7.071068,8.062258,9.0,10.198039,11.401754,12.649111,14.317821,15.652476,16.552945,17.0,17.0,16.552945,15.231546,12.165525,9.219544,4.123106,1.414214,6.403124,10.816654,15.0,18.439089,19.79899,20.518285,20.615528,20.808652,18.867962,16.552945,15.231546,13.601471,11.401754,9.219544,7.615773,6.403124,6.324555,8.062258,12.041595,15.297059,18.248288,20.396078
20260626_175916,2026-06-26T08:59:17.141010Z,skeleton,RX1,23.4094,22.472205,20.615528,17.088007,14.866069,11.7047,9.219544,6.0,4.123106,2.828427,4.0,5.09902,6.324555,8.544004,9.848858,11.18034,13.0,13.928388,13.341664,13.152946,12.0,10.049876,7.28011,4.242641,2.0,3.162278,9.433981,6.324555,6.324555,8.485281,11.661904,16.124515,19.235384,22.472205,24.413111,24.207437,24.083189,22.627417,20.518285,17.029386,14.21267,11.313708,9.219544,6.708204,6.082763,7.81025,10.0,13.416408,17.088007,20.248457,23.4094,23.4094
20260626_175916,2026-06-26T08:59:17.170883Z,skeleton,RX2,10.816654,7.81025,5.0,4.123106,5.830952,7.211103,9.433981,10.29563,11.18034,12.083046,12.083046,11.7047,11.401754,11.18034,12.041595,11.045361,11.18034,11.18034,11.401754,12.041595,12.529964,12.649111,12.369317,13.0,12.165525,11.7047,8.485281,12.206556,15.264338,18.788294,20.248457,20.880613,21.587033,20.223748,18.11077,16.0,12.041595,9.219544,6.324555,3.162278,1.414214,3.0,6.324555,8.544004,10.816654,13.601471,14.866069,16.970563,17.804494,18.601075,17.492856,15.264338
20260626_175916,2026-06-26T08:59:17.205850Z,skeleton,RX3,10.77033,10.0,9.219544,9.848858,10.198039,10.049876,10.0,10.049876,10.049876,9.219544,10.198039,10.440307,10.77033,10.77033,11.7047,12.649111,13.0,13.928388,13.928388,12.649111,11.401754,9.219544,7.071068,4.0,1.414214,2.236068,20.223748,23.345235,25.70992,25.96151,25.96151,24.351591,21.540659,18.384776,14.866069,10.77033,7.28011,4.0,2.828427,4.123106,6.0,8.0,9.0,11.0,13.0,15.132746,16.124515,17.262677,17.262677,16.124515,16.03122,14.0
