experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_183852,2026-06-24T09:38:52.454600Z,skeleton,RX1,19.209373,22.022716,22.203603,22.825424,21.931712,18.973666,16.763055,13.341664,10.440307,8.544004,6.403124,6.708204,7.615773,9.219544,11.18034,12.369317,13.341664,13.601471,13.601471,12.369317,11.045361,11.045361,12.369317,13.928388,16.155494,16.763055,7.0,9.055385,10.198039,10.440307,10.77033,9.848858,8.944272,7.615773,7.071068,7.0,7.28011,9.486833,10.440307,11.401754,12.369317,13.341664,14.142136,15.033296,15.0,15.0,15.0,14.0,13.038405,12.165525,13.0,14.422205
20260624_183852,2026-06-24T09:38:52.489647Z,skeleton,RX2,19.723083,16.124515,12.529964,8.062258,3.605551,2.828427,6.082763,9.055385,13.152946,15.297059,17.464249,19.646883,20.880613,22.472205,23.769729,22.847319,21.931712,19.697716,16.552945,12.083046,6.324555,2.236068,5.830952,10.630146,14.866069,17.691806,5.656854,6.708204,10.198039,12.041595,14.0,15.033296,16.124515,16.278821,15.297059,14.317821,13.341664,11.18034,8.246211,6.324555,4.472136,2.828427,3.0,5.0,7.071068,9.899495,13.453624,15.620499,18.601075,20.808652,22.472205,23.323808
20260624_183852,2026-06-24T09:38:52.514995Z,skeleton,RX3,9.055385,12.165525,14.317821,16.492423,17.720045,17.720045,16.492423,15.524175,14.317821,12.369317,10.440307,8.544004,6.708204,5.656854,5.385165,7.0,9.219544,10.77033,12.649111,14.866069,15.231546,16.155494,15.811388,14.56022,12.649111,10.440307,17.464249,18.788294,20.124612,19.723083,18.027756,15.811388,12.806248,10.0,6.403124,2.828427,1.0,4.472136,6.708204,8.544004,10.440307,12.369317,14.142136,16.03122,17.029386,17.029386,17.029386,16.124515,15.033296,12.0,10.198039,7.211103
20260624_183852,2026-06-24T09:38:52.546689Z,skeleton,RX1,22.472205,18.35756,15.231546,12.369317,11.045361,12.649111,14.317821,14.764823,16.552945,16.155494,15.811388,14.56022,13.152946,10.049876,7.071068,3.605551,4.0,7.615773,12.083046,16.155494,19.924859,21.377558,21.095023,20.0,18.027756,14.0,8.062258,8.062258,8.0,8.062258,8.544004,10.77033,11.18034,12.083046,13.0,13.0,13.0,12.083046,10.77033,9.848858,9.433981,9.219544,9.219544,10.29563,13.0,14.866069,17.720045,20.880613,23.086793,25.632011,27.313001,26.832816
20260624_183852,2026-06-24T09:38:52.577849Z,skeleton,RX2,14.0,17.0,19.0,20.0,20.024984,19.104973,17.117243,16.124515,14.317821,11.401754,9.219544,6.324555,3.162278,1.0,2.828427,6.403124,10.0,14.422205,17.204651,20.0,22.203603,22.803509,22.803509,20.615528,18.439089,15.620499,10.77033,11.401754,10.198039,9.055385,8.0,6.082763,3.605551,3.162278,4.123106,5.656854,7.071068,8.602325,10.0,10.0,10.630146,10.630146,11.313708,10.630146,10.630146,9.219544,7.81025,6.403124,5.0,2.0,4.472136,7.071068
20260624_183852,2026-06-24T09:38:52.604924Z,skeleton,RX3,8.246211,11.18034,13.038405,14.422205,15.0,15.620499,15.0,13.601471,12.206556,10.0,9.219544,7.071068,6.403124,5.385165,6.082763,7.28011,8.944272,10.816654,12.206556,13.601471,14.422205,15.811388,15.264338,13.892444,11.661904,9.433981,17.464249,19.416488,20.223748,20.099751,19.026298,17.0,14.0,11.045361,7.071068,5.0,1.414214,2.828427,5.656854,7.071068,9.219544,11.401754,12.806248,14.422205,16.124515,16.552945,16.155494,16.155494,13.928388,12.529964,10.0,7.81025
20260624_183852,2026-06-24T09:38:52.636379Z,skeleton,RX1,23.769729,25.0,24.698178,22.847319,21.470911,18.027756,15.0,10.816654,7.211103,5.09902,4.472136,7.071068,10.0,12.041595,14.142136,14.866069,15.811388,14.764823,13.416408,9.848858,7.211103,5.385165,7.615773,12.083046,16.155494,18.973666,4.472136,5.830952,8.062258,8.944272,9.848858,10.77033,10.77033,10.77033,10.29563,10.29563,10.816654,10.816654,11.401754,11.401754,12.206556,12.806248,12.806248,12.806248,13.453624,13.453624,14.142136,14.21267,13.892444,16.155494,18.681542,19.416488
20260624_183852,2026-06-24T09:38:52.669607Z,skeleton,RX2,19.209373,16.401219,12.806248,8.485281,4.472136,2.828427,5.09902,8.062258,12.041595,14.035669,16.124515,18.248288,19.416488,20.615528,20.880613,20.248457,20.248457,18.027756,14.317821,9.848858,5.385165,5.385165,10.29563,13.892444,16.643317,4.242641,5.385165,8.0,10.049876,12.165525,13.601471,14.56022,14.866069,13.928388,13.0,11.7047,9.848858,8.062258,5.830952,4.242641,3.162278,4.123106,6.403124,8.485281,11.313708,13.453624,16.970563,19.79899,21.213203,22.671568,22.671568,7.566663
20260624_183852,2026-06-24T09:38:52.697196Z,skeleton,RX3,9.848858,12.165525,14.035669,16.0,17.0,17.029386,16.03122,15.033296,14.035669,12.041595,10.0,8.0,7.071068,5.830952,6.403124,7.28011,9.219544,11.045361,13.038405,15.033296,16.03122,16.03122,16.03122,15.033296,13.038405,11.045361,16.552945,18.788294,19.235384,18.867962,18.027756,16.401219,13.453624,10.630146,7.071068,3.605551,1.414214,3.0,6.082763,8.062258,10.049876,12.041595,13.0,15.033296,16.124515,16.278821,16.492423,15.524175,14.317821,12.041595,10.0,7.615773
20260624_183852,2026-06-24T09:38:52.724379Z,skeleton,RX1,20.59126,17.888544,15.652476,13.601471,13.152946,13.0,14.035669,14.142136,14.035669,15.033296,14.0,13.0,12.0,10.0,9.055385,8.544004,9.433981,11.313708,14.866069,17.691806,19.104973,19.849433,20.0,18.027756,15.264338,13.601471,5.830952,6.708204,7.211103,8.062258,9.848858,11.18034,11.661904,12.206556,12.041595,12.041595,11.313708,9.899495,9.219544,8.602325,8.602325,8.062258,8.544004,10.198039,12.165525,14.317821,16.278821,18.439089,20.615528,23.086793,23.4094,22.847319
