experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_160916,2026-06-26T07:09:16.282732Z,skeleton,RX1,24.698178,23.4094,21.18962,16.155494,12.649111,8.544004,4.123106,1.0,2.236068,5.656854,7.81025,10.0,11.401754,12.806248,14.21267,14.21267,14.422205,13.892444,12.529964,10.77033,9.219544,7.0,5.385165,5.0,5.09902,5.0,7.071068,3.0,1.0,6.082763,10.049876,15.033296,18.027756,21.023796,23.021729,23.021729,22.022716,21.023796,19.026298,17.117243,14.142136,11.401754,8.544004,5.385165,2.236068,3.162278,7.0,11.18034,15.297059,19.646883,23.086793,24.351591
20260626_160916,2026-06-26T07:09:16.311758Z,skeleton,RX2,14.866069,16.970563,18.384776,17.691806,17.691806,17.029386,16.401219,15.0,13.601471,12.206556,11.401754,9.219544,7.81025,5.830952,5.09902,5.385165,7.81025,9.848858,13.341664,15.297059,18.11077,19.104973,20.099751,20.099751,20.024984,18.027756,10.440307,8.544004,7.211103,5.0,4.123106,5.830952,9.486833,12.165525,16.124515,18.027756,19.026298,19.026298,19.026298,18.027756,17.0,16.0,14.0,13.0,10.0,8.0,5.385165,3.605551,4.0,6.403124,8.485281,12.041595
20260626_160916,2026-06-26T07:09:16.341148Z,skeleton,RX3,23.853721,23.600847,21.400935,19.849433,17.029386,14.21267,12.806248,10.816654,10.29563,9.848858,9.486833,10.440307,10.440307,10.440307,11.401754,11.401754,11.401754,11.18034,11.045361,11.0,10.198039,11.7047,12.083046,12.529964,13.892444,13.416408,17.029386,13.601471,9.433981,7.071068,7.211103,10.0,14.422205,17.492856,19.416488,20.615528,20.518285,20.615528,18.027756,17.888544,16.155494,15.524175,13.152946,12.165525,10.198039,8.944272,9.219544,10.630146,13.892444,16.552945,20.124612,22.36068
20260626_160916,2026-06-26T07:09:16.371196Z,skeleton,RX1,2.236068,6.403124,10.630146,13.453624,14.866069,15.556349,15.556349,14.866069,14.21267,12.806248,11.401754,9.219544,7.071068,5.656854,3.605551,2.0,2.828427,4.0,6.082763,8.544004,8.944272,9.433981,9.219544,9.219544,7.81025,6.708204,18.027756,21.095023,21.954498,22.825424,21.470911,19.723083,16.124515,12.529964,8.602325,4.242641,1.414214,4.0,7.071068,9.486833,12.649111,14.866069,16.552945,17.888544,18.788294,19.723083,19.723083,18.027756,16.401219,14.422205,10.816654,6.403124
20260626_160916,2026-06-26T07:09:16.401481Z,skeleton,RX2,14.21267,11.401754,9.433981,7.211103,5.385165,3.0,2.828427,4.472136,6.082763,7.071068,9.055385,11.045361,12.041595,14.142136,15.132746,17.117243,17.117243,17.117243,16.03122,15.033296,12.0,9.0,6.082763,4.472136,3.0,5.0,12.369317,15.033296,17.0,20.024984,20.099751,21.095023,19.235384,18.248288,15.132746,13.038405,9.0,6.0,2.236068,2.0,5.0,7.211103,9.433981,11.661904,13.892444,15.264338,16.643317,18.027756,18.601075,18.601075,19.209373,17.804494
20260626_160916,2026-06-26T07:09:16.431328Z,skeleton,RX3,10.198039,11.045361,11.401754,11.7047,12.083046,12.529964,12.083046,11.661904,11.18034,10.29563,10.29563,9.433981,9.433981,8.602325,9.899495,9.899495,10.0,10.816654,11.661904,12.529964,12.529964,11.18034,10.77033,8.544004,7.28011,5.09902,17.029386,20.099751,22.203603,23.345235,23.537205,21.84033,19.924859,17.088007,13.0,9.486833,7.071068,5.09902,4.242641,5.830952,7.28011,9.486833,10.77033,12.083046,13.416408,15.264338,15.811388,16.401219,16.278821,15.620499,15.0,13.038405
20260626_160916,2026-06-26T07:09:16.461698Z,skeleton,RX1,27.313001,25.079872,21.931712,18.384776,14.317821,9.848858,5.0,1.0,3.162278,5.0,8.0,10.0,12.0,13.0,15.0,15.0,14.035669,14.142136,13.152946,11.7047,10.29563,8.485281,6.708204,7.0,6.324555,7.211103,8.944272,4.242641,6.403124,11.401754,16.401219,20.0,23.021729,25.806976,26.627054,25.806976,23.600847,21.400935,18.439089,16.278821,14.142136,9.219544,7.211103,2.236068,2.236068,7.071068,12.206556,16.643317,20.59126,24.596748,26.832816,17.0308785
20260626_160916,2026-06-26T07:09:16.491385Z,skeleton,RX2,13.928388,15.811388,16.155494,16.552945,16.552945,17.0,15.264338,15.264338,13.601471,12.806248,11.401754,10.0,8.602325,6.324555,5.0,4.472136,6.708204,9.219544,12.041595,16.03122,18.0,20.0,22.0,22.0,22.0,21.023796,11.313708,10.0,8.062258,4.472136,1.414214,5.0,8.485281,12.806248,15.620499,17.804494,20.615528,21.400935,20.808652,20.808652,18.867962,18.027756,16.124515,15.264338,13.038405,10.816654,7.81025,5.0,4.0,4.242641,7.211103,9.848858
20260626_160916,2026-06-26T07:09:16.524181Z,skeleton,RX3,25.079872,23.769729,22.472205,19.924859,16.763055,13.928388,12.083046,10.29563,10.816654,9.899495,10.630146,10.630146,11.401754,12.806248,13.453624,13.453624,13.453624,13.453624,12.806248,11.661904,11.7047,11.18034,12.041595,13.0,14.035669,14.035669,16.278821,12.369317,8.544004,6.403124,8.062258,11.7047,15.231546,18.384776,20.248457,21.84033,21.377558,21.095023,20.0,18.11077,16.278821,14.56022,13.0,11.7047,10.198039,9.0,9.486833,12.083046,15.264338,18.027756,21.095023,23.323808
20260626_160916,2026-06-26T07:09:16.551637Z,skeleton,RX1,28.319605,26.907248,23.345235,20.518285,14.866069,10.630146,6.403124,3.0,1.414214,4.0,7.071068,9.219544,10.440307,12.649111,13.601471,13.601471,13.928388,13.416408,13.038405,10.630146,8.485281,7.615773,6.0,5.830952,6.403124,6.708204,9.219544,5.09902,1.0,5.0,10.049876,14.142136,19.235384,22.203603,24.33105,24.33105,24.515301,22.561028,19.646883,17.720045,14.56022,11.7047,8.544004,4.472136,1.0,3.162278,7.615773,13.038405,17.804494,22.203603,25.612497,27.658633
