experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_214710,2026-06-24T12:47:10.430196Z,skeleton,RX3,14.035669,15.0,16.03122,17.117243,16.124515,17.029386,16.0,16.03122,15.132746,13.341664,12.649111,11.7047,10.440307,9.486833,8.062258,9.0,9.219544,11.7047,13.416408,15.652476,17.888544,19.697716,20.615528,20.248457,18.973666,16.763055,5.830952,7.211103,7.81025,8.602325,8.602325,8.602325,8.602325,7.81025,7.81025,7.071068,7.071068,7.211103,6.708204,7.615773,7.615773,8.544004,9.848858,10.77033,12.083046,13.416408,13.892444,15.264338,15.264338,14.764823,14.764823,13.928388
20260624_214710,2026-06-24T12:47:10.460044Z,skeleton,RX1,28.861739,25.96151,22.803509,18.681542,13.601471,9.219544,4.0,2.0,4.242641,7.81025,10.0,12.806248,14.21267,15.620499,17.029386,17.029386,16.278821,15.556349,14.866069,12.806248,9.433981,6.324555,4.0,1.414214,3.162278,5.0,12.649111,8.944272,5.656854,3.0,5.09902,9.0,13.152946,16.278821,17.720045,18.681542,17.720045,17.720045,15.524175,14.56022,12.369317,9.219544,6.324555,4.472136,1.0,4.123106,9.219544,13.341664,18.439089,21.587033,25.70992,28.861739
20260624_214710,2026-06-24T12:47:10.486887Z,skeleton,RX2,26.172505,24.041631,20.518285,16.278821,12.727922,7.81025,4.0,3.162278,6.082763,10.198039,13.341664,16.278821,18.248288,20.223748,22.203603,23.086793,23.0,22.022716,20.223748,16.278821,11.401754,6.082763,1.414214,5.656854,10.0,14.142136,1.0,4.123106,8.0,11.0,14.035669,15.297059,16.492423,16.763055,16.763055,15.524175,13.601471,12.369317,10.049876,9.055385,7.071068,5.385165,5.656854,5.385165,6.082763,8.944272,12.206556,15.620499,19.104973,23.345235,24.758837,26.870058
20260624_214710,2026-06-24T12:47:10.516661Z,skeleton,RX3,20.248457,19.416488,17.804494,16.401219,15.0,12.806248,10.816654,10.29563,9.848858,9.848858,10.77033,11.7047,12.083046,13.416408,14.422205,15.811388,17.029386,16.970563,17.029386,15.620499,14.21267,13.453624,11.401754,10.29563,10.440307,10.198039,5.0,6.403124,6.403124,7.071068,7.81025,7.071068,7.81025,8.602325,8.062258,9.433981,8.602325,8.602325,9.219544,9.219544,9.219544,8.485281,8.485281,8.485281,9.219544,10.0,10.816654,12.529964,13.892444,15.652476,17.888544,18.35756
20260624_214710,2026-06-24T12:47:10.549745Z,skeleton,RX1,4.123106,9.055385,12.041595,15.033296,16.03122,17.029386,17.117243,16.124515,14.142136,13.152946,11.18034,9.219544,7.28011,4.472136,2.236068,2.236068,4.0,7.0,9.055385,11.18034,12.369317,12.369317,13.601471,12.649111,12.083046,10.29563,13.0,15.033296,17.262677,18.439089,18.439089,16.763055,14.866069,11.7047,7.615773,4.472136,1.0,3.0,5.09902,8.062258,10.198039,11.18034,13.152946,15.132746,16.124515,17.029386,17.029386,16.03122,14.0,12.041595,8.062258,4.123106
20260624_214710,2026-06-24T12:47:10.576926Z,skeleton,RX2,9.219544,12.727922,15.620499,17.804494,19.209373,19.209373,19.209373,17.804494,17.029386,15.0,12.806248,10.0,7.211103,5.0,2.0,2.236068,6.708204,10.29563,13.892444,17.0,19.697716,21.540659,22.135944,20.615528,19.235384,16.03122,14.0,14.035669,14.035669,13.152946,11.18034,8.246211,5.09902,3.0,1.0,2.828427,5.0,6.403124,7.211103,8.062258,9.848858,9.848858,10.440307,11.401754,12.165525,12.165525,12.041595,12.0,10.0,8.246211,5.830952,4.472136
20260624_214710,2026-06-24T12:47:10.606546Z,skeleton,RX3,22.803509,21.931712,20.518285,19.104973,16.278821,14.142136,12.041595,11.401754,10.816654,11.18034,12.083046,13.416408,14.764823,15.811388,17.804494,19.104973,19.79899,19.849433,20.0,18.601075,17.204651,15.620499,14.142136,12.206556,12.083046,12.369317,6.708204,7.615773,8.062258,8.062258,8.602325,9.219544,9.219544,9.899495,9.899495,9.899495,10.630146,10.630146,10.630146,10.630146,10.0,10.816654,10.0,10.816654,10.0,10.630146,12.041595,13.453624,15.811388,18.027756,20.0,20.808652
20260624_214710,2026-06-24T12:47:10.634914Z,skeleton,RX1,30.610456,28.425341,24.207437,20.615528,15.0,10.0,5.656854,1.0,3.162278,7.615773,10.440307,13.0,14.866069,16.763055,17.464249,18.439089,18.248288,17.262677,15.132746,12.041595,10.0,6.082763,3.162278,1.0,3.162278,6.0,13.341664,10.198039,6.0,2.236068,5.0,9.848858,13.928388,16.763055,18.681542,19.646883,19.416488,18.681542,16.492423,14.56022,12.369317,9.486833,7.28011,4.123106,1.414214,5.0,9.219544,14.21267,19.209373,24.083189,27.658633,30.479501
20260624_214710,2026-06-24T12:47:10.665476Z,skeleton,RX2,7.81025,11.18034,14.317821,16.155494,18.027756,19.313208,18.027756,18.027756,16.155494,13.601471,11.7047,9.486833,7.28011,4.123106,1.414214,3.605551,7.211103,12.206556,15.620499,19.104973,21.931712,23.345235,23.430749,23.021729,21.095023,17.0,13.341664,13.152946,13.038405,12.0,10.0,7.0,4.123106,2.236068,2.236068,4.242641,5.830952,8.062258,8.944272,9.486833,10.440307,11.401754,12.165525,13.038405,14.035669,14.0,13.038405,13.152946,11.401754,9.486833,7.211103,4.472136
20260624_214710,2026-06-24T12:47:10.696781Z,skeleton,RX3,14.142136,15.620499,15.811388,16.643317,16.643317,16.643317,16.401219,15.620499,14.142136,13.453624,12.806248,11.661904,10.816654,10.0,9.219544,9.219544,10.816654,12.083046,13.601471,15.524175,17.720045,18.973666,20.248457,19.313208,18.788294,16.552945,7.0,8.062258,8.062258,9.055385,9.219544,9.219544,9.219544,9.219544,8.246211,8.544004,8.544004,7.615773,8.062258,8.062258,8.602325,10.0,10.0,12.206556,12.529964,13.892444,14.764823,15.652476,15.652476,15.652476,15.652476,15.264338
20260624_214710,2026-06-24T12:47:10.726855Z,skeleton,RX1,31.240999,29.068884,25.495098,22.022716,16.401219,11.313708,5.656854,1.0,3.162278,7.28011,9.848858,13.0,15.231546,16.155494,18.027756,18.681542,18.681542,17.720045,15.297059,13.152946,10.198039,7.0,3.0,1.0,3.162278,6.082763,13.601471,9.219544,6.0,2.828427,5.0,8.944272,13.928388,16.763055,18.681542,19.646883,19.646883,18.681542,16.763055,15.524175,12.649111,10.440307,7.28011,4.123106,1.414214,4.472136,9.219544,13.453624,19.104973,23.345235,28.319605,31.240999
20260624_214710,2026-06-24T12:47:10.755179Z,skeleton,RX2,26.07681,24.186773,20.59126,16.124515,11.661904,7.211103,2.0,3.162278,8.062258,11.045361,15.132746,17.117243,19.104973,22.090722,23.086793,25.0,25.0,23.086793,20.099751,16.278821,12.369317,6.324555,1.414214,4.472136,9.433981,13.601471,3.605551,7.211103,11.401754,14.866069,16.970563,17.691806,17.691806,17.029386,15.620499,14.21267,12.041595,10.630146,8.602325,6.708204,6.082763,4.123106,4.242641,6.324555,8.062258,11.401754,14.317821,18.35756,21.470911,24.186773,26.07681,4.3956376666666666
20260624_214710,2026-06-24T12:47:10.786732Z,skeleton,RX3,15.132746,15.297059,16.492423,15.811388,17.088007,16.763055,16.763055,15.297059,15.132746,14.035669,13.0,12.0,11.045361,11.0,10.0,10.198039,10.440307,12.083046,13.892444,15.811388,18.027756,19.416488,20.248457,19.723083,19.235384,17.464249,7.615773,7.615773,8.544004,9.848858,9.486833,10.440307,9.486833,9.486833,9.486833,8.246211,8.246211,8.062258,8.062258,8.062258,9.0,9.0,10.0,12.0,13.038405,14.035669,15.132746,16.124515,16.124515,16.124515,17.117243,16.03122
20260624_214710,2026-06-24T12:47:10.816359Z,skeleton,RX1,4.0,8.0,12.0,16.0,18.0,19.0,19.026298,18.027756,17.117243,15.132746,13.152946,11.18034,8.062258,6.082763,2.0,1.0,3.605551,6.708204,10.29563,12.529964,13.892444,15.264338,15.0,15.0,14.21267,12.727922,12.727922,15.556349,17.691806,19.209373,19.209373,18.027756,15.264338,12.529964,8.944272,6.082763,4.123106,3.162278,5.09902,7.615773,9.848858,12.083046,13.0,15.231546,16.155494,17.088007,17.720045,17.464249,15.297059,13.341664,10.198039,5.385165
20260624_214710,2026-06-24T12:47:10.846797Z,skeleton,RX2,8.0,11.045361,14.142136,16.278821,18.248288,18.439089,18.439089,16.492423,15.524175,13.341664,12.369317,9.219544,6.082763,4.123106,3.162278,7.28011,12.165525,16.124515,19.026298,22.022716,23.0,23.086793,22.203603,20.396078,16.492423,11.7047,12.369317,12.369317,11.18034,9.055385,7.0,4.0,1.0,1.0,3.0,5.0,7.0,8.0,9.055385,10.049876,10.198039,11.401754,11.7047,13.0,12.529964,13.038405,12.206556,10.630146,8.485281,5.830952,3.0,4.319139333333333
20260624_214710,2026-06-24T12:47:10.876631Z,skeleton,RX3,16.763055,15.524175,16.278821,17.117243,17.117243,17.117243,16.278821,15.524175,15.524175,13.928388,13.416408,12.529964,11.661904,11.18034,10.77033,10.77033,11.401754,13.038405,15.0,16.0,18.027756,20.0,20.0,20.024984,19.104973,18.11077,6.403124,7.81025,8.602325,8.602325,9.433981,9.433981,10.0,9.433981,9.433981,8.602325,8.944272,8.062258,7.615773,8.544004,8.544004,9.486833,10.77033,11.7047,13.0,14.317821,14.764823,16.124515,16.643317,17.492856,17.492856,17.0
20260624_214710,2026-06-24T12:47:10.905287Z,skeleton,RX1,4.123106,8.544004,12.649111,14.866069,17.088007,18.027756,18.681542,17.720045,16.763055,14.56022,13.341664,10.198039,8.246211,6.082763,3.0,1.0,2.236068,5.385165,8.246211,10.440307,12.165525,13.152946,13.038405,13.038405,12.041595,11.0,12.206556,15.620499,17.029386,18.384776,17.691806,17.029386,14.21267,11.401754,8.602325,5.0,2.236068,1.414214,4.242641,6.403124,8.485281,10.630146,12.041595,13.601471,15.0,15.811388,16.124515,15.264338,14.764823,11.661904,8.944272,5.0
20260624_214710,2026-06-24T12:47:10.937063Z,skeleton,RX2,8.944272,13.038405,16.401219,17.804494,20.615528,20.615528,20.615528,19.849433,17.804494,16.401219,13.601471,11.401754,9.219544,5.656854,1.414214,2.236068,6.708204,10.77033,13.928388,17.720045,20.615528,21.587033,22.203603,21.095023,19.0,16.03122,14.317821,14.764823,14.764823,13.892444,11.661904,8.602325,5.830952,3.162278,1.414214,3.0,4.472136,6.708204,7.211103,7.81025,8.485281,9.899495,11.401754,11.661904,12.529964,13.0,13.0,12.649111,11.401754,9.055385,7.0,4.242641
