experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_184405,2026-06-25T09:44:05.319991Z,skeleton,RX2,1.0,3.605551,7.071068,9.219544,11.313708,12.806248,12.806248,13.601471,12.206556,11.661904,11.18034,9.848858,8.544004,8.246211,6.082763,5.0,3.162278,2.0,5.0,8.062258,12.529964,17.0,19.723083,21.633308,23.021729,22.022716,15.132746,18.11077,20.396078,21.587033,21.587033,20.880613,17.720045,15.811388,11.401754,8.246211,4.123106,1.414214,3.162278,6.403124,8.485281,10.630146,12.806248,14.866069,16.278821,17.029386,17.804494,17.804494,16.401219,14.21267,11.401754,8.062258
20260625_184405,2026-06-25T09:44:05.349916Z,skeleton,RX3,8.062258,11.18034,13.601471,15.811388,17.088007,17.088007,17.088007,16.552945,14.317821,13.416408,11.18034,9.433981,8.062258,5.0,2.828427,1.0,3.0,6.082763,9.219544,12.165525,14.317821,17.262677,18.248288,18.11077,17.029386,15.033296,14.035669,15.297059,15.524175,14.866069,13.928388,11.661904,9.433981,5.0,1.414214,2.236068,5.0,7.81025,9.899495,12.041595,14.142136,14.866069,16.278821,17.691806,17.691806,17.691806,16.970563,15.556349,13.453624,10.0,6.708204,3.0
20260625_184405,2026-06-25T09:44:05.384014Z,skeleton,RX1,9.0,7.615773,8.602325,10.198039,13.152946,15.033296,17.0,18.0,19.026298,19.0,19.0,18.027756,17.029386,16.03122,13.152946,10.198039,7.071068,2.0,4.242641,9.219544,14.866069,19.849433,23.600847,25.553865,26.832816,25.632011,9.486833,11.18034,13.0,13.0,13.0,13.416408,12.529964,10.816654,10.0,8.485281,6.403124,5.385165,5.09902,5.09902,6.403124,7.81025,10.0,11.661904,14.764823,16.124515,18.35756,19.235384,19.235384,19.235384,17.888544,15.652476
20260625_184405,2026-06-25T09:44:05.411525Z,skeleton,RX2,23.769729,22.803509,20.880613,17.720045,14.317821,10.198039,7.0,4.472136,3.162278,4.123106,5.830952,7.81025,9.899495,12.806248,13.601471,16.643317,18.35756,19.723083,20.808652,20.808652,20.0,17.691806,14.142136,8.602325,3.605551,2.236068,14.142136,11.045361,7.0,5.0,6.0,9.486833,13.928388,16.552945,19.313208,20.248457,20.880613,20.880613,19.416488,17.262677,15.297059,13.152946,11.045361,8.062258,4.123106,1.0,4.123106,8.062258,12.165525,16.278821,20.396078,22.36068
20260625_184405,2026-06-25T09:44:05.440183Z,skeleton,RX3,24.083189,21.260292,19.104973,14.142136,10.630146,7.211103,3.0,3.162278,5.0,8.246211,10.440307,12.083046,14.317821,16.552945,17.0,18.35756,19.235384,19.235384,18.35756,15.652476,13.416408,9.848858,6.708204,2.236068,2.0,5.09902,2.236068,1.414214,5.09902,9.0,12.165525,16.492423,18.681542,19.313208,20.615528,20.124612,18.35756,17.492856,14.422205,13.038405,9.433981,6.708204,4.123106,1.414214,3.162278,7.211103,11.401754,14.866069,19.104973,22.671568,24.839485,25.495098
20260625_184405,2026-06-25T09:44:05.469754Z,skeleton,RX1,9.055385,6.403124,6.324555,9.0,12.165525,14.56022,15.811388,17.088007,18.027756,18.027756,18.027756,16.763055,16.492423,14.56022,12.369317,10.198039,6.082763,1.414214,4.472136,9.486833,15.231546,20.124612,23.853721,26.400758,26.870058,26.248809,10.630146,12.041595,12.727922,13.453624,14.21267,13.453624,12.806248,12.206556,10.816654,8.944272,8.246211,7.071068,6.082763,6.708204,7.071068,8.602325,9.848858,12.649111,14.56022,16.492423,18.439089,19.646883,19.646883,19.646883,17.464249,15.297059
20260625_184405,2026-06-25T09:44:05.499870Z,skeleton,RX2,23.853721,23.021729,20.808652,18.027756,14.422205,10.29563,7.615773,4.0,2.828427,4.0,5.385165,7.211103,9.219544,11.313708,12.806248,15.0,17.204651,19.416488,20.0,20.615528,19.104973,16.970563,12.806248,8.602325,3.162278,2.828427,13.453624,10.630146,6.708204,4.0,5.09902,10.049876,14.035669,18.0,20.024984,21.095023,21.213203,21.213203,19.416488,17.464249,16.278821,13.341664,10.440307,7.071068,4.0,1.414214,4.242641,8.602325,13.038405,16.643317,20.59126,22.472205
20260625_184405,2026-06-25T09:44:05.530030Z,skeleton,RX3,7.615773,11.18034,14.764823,16.643317,17.492856,18.027756,18.027756,16.643317,15.620499,14.21267,12.806248,10.630146,8.485281,6.403124,4.472136,2.236068,3.162278,6.0,9.219544,12.369317,14.56022,16.492423,17.464249,18.248288,17.117243,16.03122,15.297059,17.117243,17.029386,17.0,16.03122,13.152946,10.198039,7.071068,3.162278,1.0,3.605551,6.403124,10.0,11.401754,13.601471,14.422205,15.811388,17.204651,17.204651,17.204651,16.401219,15.811388,13.038405,9.433981,6.324555,3.162278
20260625_184405,2026-06-25T09:44:05.564774Z,skeleton,RX1,8.944272,7.81025,8.062258,10.198039,12.649111,15.231546,16.552945,17.0,19.235384,19.235384,17.888544,17.464249,17.464249,15.231546,12.649111,10.440307,7.28011,2.236068,3.162278,9.219544,14.56022,19.313208,22.36068,25.238859,25.612497,25.455844,10.29563,11.661904,11.661904,13.038405,13.416408,12.529964,12.083046,10.77033,9.486833,8.246211,7.0,6.082763,5.830952,5.656854,6.708204,9.219544,11.045361,13.0,15.0,17.0,18.0,20.0,20.0,19.0,18.0,15.132746
20260625_184405,2026-06-25T09:44:05.590383Z,skeleton,RX2,1.0,3.162278,6.324555,9.848858,11.18034,12.529964,12.529964,12.206556,12.206556,11.401754,9.899495,9.219544,8.602325,8.062258,6.324555,4.123106,3.0,1.0,4.242641,7.81025,12.041595,15.620499,19.104973,21.213203,21.931712,22.022716,15.0,18.439089,19.849433,21.931712,21.213203,20.518285,18.439089,15.620499,11.401754,7.81025,4.242641,1.0,3.162278,6.324555,8.544004,10.77033,13.0,14.317821,16.552945,17.0,17.888544,17.0,16.124515,13.892444,11.661904,8.062258
