experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_182155,2026-06-24T09:21:55.326630Z,skeleton,RX3,22.36068,21.587033,19.646883,15.811388,12.649111,9.219544,7.0,5.0,5.830952,8.246211,10.198039,13.152946,15.297059,17.464249,18.973666,19.313208,21.023796,20.248457,19.209373,16.278821,12.727922,8.485281,5.385165,4.472136,7.071068,10.0,10.049876,11.045361,13.0,14.0,15.0,15.033296,16.03122,16.03122,16.0,16.03122,15.0,14.0,13.0,11.0,9.055385,8.062258,7.615773,6.403124,7.211103,9.486833,11.18034,14.142136,16.03122,19.026298,21.023796,22.090722
20260624_182155,2026-06-24T09:21:55.352631Z,skeleton,RX1,13.601471,15.811388,15.811388,14.866069,13.601471,13.152946,12.0,12.041595,12.369317,12.649111,13.416408,14.764823,15.264338,16.643317,17.204651,18.601075,19.209373,19.209373,18.439089,17.691806,16.643317,15.811388,18.11077,21.023796,23.086793,25.079872,13.892444,13.601471,13.152946,12.041595,10.049876,7.28011,3.605551,1.0,3.162278,6.403124,9.219544,12.206556,14.317821,15.811388,17.117243,19.0,18.248288,18.681542,18.384776,16.124515,13.601471,10.630146,6.403124,3.0,4.123106,8.246211
20260624_182155,2026-06-24T09:21:55.383682Z,skeleton,RX2,23.021729,22.472205,20.59126,16.552945,13.0,8.544004,5.09902,1.0,3.605551,7.615773,10.77033,13.601471,16.492423,19.416488,21.377558,22.203603,23.086793,22.022716,20.0,17.029386,12.041595,6.0,1.414214,6.403124,12.206556,17.804494,8.944272,7.071068,7.615773,9.219544,11.401754,14.764823,17.888544,18.788294,20.124612,20.124612,19.723083,18.35756,15.264338,13.892444,11.18034,8.944272,6.082763,4.0,4.242641,5.0,8.246211,10.77033,14.317821,17.0,19.723083,22.472205
20260624_182155,2026-06-24T09:21:55.416888Z,skeleton,RX3,22.022716,20.099751,17.262677,15.132746,11.18034,8.0,6.324555,5.0,6.324555,9.055385,11.045361,13.038405,15.132746,17.262677,19.416488,19.924859,20.615528,19.235384,18.027756,15.811388,12.206556,8.062258,6.082763,5.830952,9.219544,11.401754,9.0,10.049876,11.045361,12.041595,13.152946,13.152946,14.142136,14.142136,14.317821,13.152946,13.152946,12.165525,10.049876,9.055385,8.246211,7.615773,6.403124,6.403124,6.708204,8.246211,10.0,13.038405,16.03122,18.027756,20.024984,22.022716
20260624_182155,2026-06-24T09:21:55.443713Z,skeleton,RX1,11.661904,14.422205,15.0,13.601471,13.601471,12.529964,10.77033,10.198039,10.049876,10.440307,11.18034,11.661904,13.601471,15.620499,16.970563,18.384776,19.104973,19.104973,17.804494,15.811388,13.928388,13.038405,13.341664,16.124515,19.209373,22.022716,9.219544,10.0,9.848858,10.049876,9.055385,8.246211,6.403124,5.385165,5.09902,5.830952,7.615773,9.055385,10.049876,11.401754,13.038405,14.21267,15.556349,15.0,15.652476,14.866069,13.341664,10.198039,7.0,3.0,1.0,5.830952
20260624_182155,2026-06-24T09:21:55.477268Z,skeleton,RX2,1.414214,2.236068,5.830952,8.602325,10.816654,12.206556,13.601471,13.601471,13.601471,12.806248,11.401754,9.219544,7.81025,5.656854,3.162278,2.236068,5.09902,8.944272,12.529964,17.204651,20.0,22.022716,23.345235,24.758837,23.430749,20.808652,13.416408,15.231546,17.088007,17.088007,17.720045,15.811388,14.56022,12.369317,10.049876,8.0,5.385165,5.0,5.09902,6.082763,7.28011,8.944272,10.29563,10.816654,11.401754,12.727922,12.727922,13.453624,12.806248,12.206556,10.816654,7.211103
20260624_182155,2026-06-24T09:21:55.502831Z,skeleton,RX3,11.401754,13.892444,14.422205,15.620499,17.804494,18.601075,18.027756,17.492856,17.0,14.764823,14.317821,12.083046,10.29563,8.062258,6.403124,6.324555,8.0,11.045361,14.142136,17.117243,20.024984,22.022716,22.203603,21.587033,20.248457,17.888544,12.0,12.0,12.041595,11.045361,11.401754,10.440307,9.848858,8.944272,9.433981,9.219544,9.219544,9.219544,10.0,10.816654,11.661904,11.661904,12.529964,12.529964,13.892444,13.416408,14.317821,14.317821,13.0,13.601471,12.369317,11.18034
20260624_182155,2026-06-24T09:21:55.535067Z,skeleton,RX1,8.544004,6.708204,5.0,5.0,6.324555,8.062258,10.0,10.630146,10.630146,10.630146,10.630146,8.602325,8.944272,8.246211,8.062258,8.944272,11.313708,15.620499,19.416488,23.021729,26.627054,29.410882,30.805844,29.206164,27.658633,24.083189,6.082763,6.0,5.09902,4.472136,4.242641,4.123106,4.123106,5.656854,6.403124,7.615773,8.246211,9.055385,9.0,9.055385,8.246211,7.28011,5.385165,3.605551,2.236068,1.414214,3.605551,6.403124,9.433981,11.18034,12.083046,11.7047
20260624_182155,2026-06-24T09:21:55.562536Z,skeleton,RX2,3.605551,2.0,4.472136,7.28011,9.219544,11.401754,11.401754,12.369317,12.369317,11.401754,10.440307,8.544004,7.615773,5.0,2.828427,2.236068,5.09902,9.055385,12.165525,16.492423,19.924859,22.847319,24.596748,24.698178,24.413111,22.022716,13.038405,15.264338,15.811388,16.401219,16.401219,15.0,14.21267,11.313708,8.602325,7.615773,6.0,5.830952,7.071068,8.602325,10.29563,11.7047,12.649111,13.601471,14.317821,14.142136,15.033296,15.0,15.0,13.038405,12.165525,9.219544
20260624_182155,2026-06-24T09:21:55.593709Z,skeleton,RX3,22.203603,21.400935,18.439089,15.556349,13.453624,10.0,7.615773,6.0,6.324555,8.602325,10.816654,12.206556,14.422205,16.124515,17.888544,18.973666,19.646883,19.235384,17.029386,15.0,12.0,9.055385,6.708204,7.211103,8.544004,10.440307,10.049876,12.041595,14.0,15.0,15.0,15.033296,15.0,15.0,15.033296,14.0,14.035669,13.038405,11.0,10.0,9.055385,9.055385,8.246211,8.062258,8.602325,9.899495,11.401754,13.892444,16.124515,17.888544,20.124612,21.954498
