experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_161959,2026-06-26T07:19:59.970540Z,skeleton,RX1,22.36068,19.723083,16.643317,13.601471,10.630146,7.211103,6.082763,5.385165,6.403124,7.211103,8.944272,10.77033,11.7047,12.369317,13.601471,14.56022,14.317821,14.317821,13.341664,12.369317,10.198039,9.055385,7.0,5.0,4.123106,2.828427,3.162278,1.0,4.123106,8.062258,12.0,15.132746,18.439089,20.248457,20.615528,21.023796,19.723083,18.027756,15.0,12.806248,9.219544,6.403124,3.605551,1.414214,4.123106,7.615773,11.18034,14.764823,18.35756,20.59126,22.825424,23.706539
20260626_161959,2026-06-26T07:19:59.999044Z,skeleton,RX2,3.162278,6.082763,8.544004,10.77033,13.928388,15.811388,17.720045,18.439089,19.235384,20.099751,19.026298,19.026298,17.029386,16.03122,14.035669,11.0,8.246211,5.656854,8.062258,11.401754,15.811388,19.697716,22.847319,25.079872,25.632011,25.632011,13.038405,11.661904,11.661904,9.848858,7.28011,5.0,3.605551,4.123106,6.082763,7.28011,8.944272,9.848858,11.18034,11.18034,12.083046,12.083046,12.649111,12.369317,12.369317,12.165525,12.041595,12.0,11.0,9.055385,8.062258,5.0
20260626_161959,2026-06-26T07:20:00.029020Z,skeleton,RX3,9.219544,10.29563,10.440307,11.18034,13.038405,14.035669,14.035669,14.035669,13.341664,13.152946,12.369317,11.18034,11.18034,10.049876,10.049876,10.049876,10.198039,10.77033,11.18034,12.206556,12.806248,12.727922,12.727922,12.041595,10.630146,9.433981,17.0,19.723083,23.021729,24.413111,24.207437,22.671568,20.518285,18.384776,14.142136,11.313708,7.81025,5.385165,4.123106,5.0,7.071068,8.485281,10.630146,12.806248,14.422205,16.124515,16.552945,17.088007,16.763055,16.763055,14.866069,13.0
20260626_161959,2026-06-26T07:20:00.059363Z,skeleton,RX1,9.055385,12.0,15.132746,16.124515,17.262677,17.262677,17.262677,15.297059,14.317821,12.369317,11.401754,9.486833,7.615773,5.830952,4.242641,4.472136,4.123106,5.830952,7.211103,9.219544,10.630146,12.041595,12.041595,11.313708,10.630146,9.219544,17.804494,19.416488,19.235384,19.697716,17.088007,15.524175,11.18034,8.062258,3.162278,1.414214,5.385165,8.544004,11.18034,14.317821,15.652476,17.492856,18.027756,18.867962,19.416488,18.867962,18.027756,16.643317,13.892444,10.77033,8.062258,5.385165
20260626_161959,2026-06-26T07:20:00.089445Z,skeleton,RX2,17.088007,17.464249,17.888544,16.124515,13.892444,12.206556,9.433981,6.708204,4.123106,3.162278,4.472136,6.324555,9.219544,12.165525,15.297059,17.464249,19.646883,21.84033,22.135944,22.135944,20.248457,18.027756,14.866069,11.18034,7.0,4.472136,5.0,7.071068,10.0,11.661904,13.038405,13.892444,13.892444,13.892444,12.529964,11.18034,9.848858,8.544004,6.324555,5.385165,4.123106,3.0,2.236068,3.162278,4.123106,5.0,7.0,9.0,10.049876,13.038405,14.142136,16.278821
20260626_161959,2026-06-26T07:20:00.119247Z,skeleton,RX3,9.0,9.486833,10.29563,11.401754,12.041595,12.727922,13.453624,13.453624,12.806248,13.601471,12.206556,11.661904,10.816654,10.0,9.219544,9.219544,9.433981,9.486833,10.198039,11.045361,12.0,13.038405,13.038405,12.165525,11.18034,9.219544,16.124515,17.888544,20.615528,21.540659,22.135944,20.880613,19.416488,17.262677,13.152946,11.18034,7.28011,5.830952,4.472136,5.09902,7.0,9.055385,10.0,12.0,13.038405,15.297059,15.524175,17.088007,16.155494,15.231546,14.317821,12.649111
20260626_161959,2026-06-26T07:20:00.149058Z,skeleton,RX1,8.944272,12.649111,14.56022,16.763055,17.720045,17.464249,16.492423,15.524175,15.524175,13.152946,12.165525,10.049876,9.0,7.071068,6.324555,5.0,5.385165,6.082763,8.0,9.055385,11.18034,11.18034,12.165525,11.18034,11.045361,10.049876,17.262677,19.104973,19.0,19.104973,17.262677,15.524175,12.649111,8.544004,4.472136,4.242641,7.071068,9.219544,11.401754,13.601471,15.264338,16.124515,17.0,17.0,16.124515,16.124515,13.892444,12.206556,9.219544,5.830952,5.09902,15.469514999999998
20260626_161959,2026-06-26T07:20:00.179464Z,skeleton,RX2,16.401219,17.029386,16.278821,14.866069,12.806248,11.401754,8.602325,6.403124,3.605551,3.0,4.242641,5.830952,8.544004,11.18034,14.317821,17.0,19.235384,20.59126,21.095023,21.095023,19.416488,17.204651,14.422205,11.18034,7.28011,5.09902,5.385165,8.062258,10.0,12.041595,13.453624,14.142136,14.142136,13.453624,12.727922,11.313708,9.899495,8.485281,6.403124,5.0,3.605551,3.162278,2.0,2.236068,2.828427,4.472136,5.385165,7.615773,9.486833,10.77033,13.416408,14.764823
20260626_161959,2026-06-26T07:20:00.208833Z,skeleton,RX3,22.627417,21.931712,20.615528,18.601075,16.401219,13.601471,11.401754,9.219544,7.81025,8.062258,8.544004,9.219544,10.198039,12.165525,13.152946,13.341664,14.317821,14.317821,14.317821,14.142136,13.038405,12.0,11.18034,11.401754,11.18034,11.18034,16.552945,13.416408,9.433981,6.403124,6.0,8.602325,12.041595,14.866069,17.804494,18.601075,18.867962,19.697716,18.027756,17.464249,15.132746,14.0,13.0,11.045361,9.055385,8.062258,7.615773,9.219544,11.401754,14.422205,18.027756,20.808652
20260626_161959,2026-06-26T07:20:00.238821Z,skeleton,RX1,23.323808,21.095023,18.35756,13.416408,10.77033,7.071068,4.123106,4.472136,5.0,7.28011,8.544004,11.18034,12.529964,13.038405,13.892444,15.264338,15.264338,14.422205,13.038405,12.206556,10.816654,9.219544,6.403124,4.472136,4.0,4.472136,3.162278,3.162278,6.403124,10.816654,14.764823,18.384776,20.880613,22.561028,23.194827,23.086793,22.022716,20.0,17.0,14.0,11.0,7.0,4.123106,3.162278,5.0,8.485281,12.206556,16.643317,18.867962,23.323808,25.059928,25.553865
20260626_161959,2026-06-26T07:20:00.271059Z,skeleton,RX2,3.162278,5.385165,7.81025,10.630146,13.453624,16.401219,17.804494,19.416488,19.723083,20.124612,19.697716,19.313208,18.027756,16.763055,14.56022,12.649111,9.433981,7.211103,8.062258,10.816654,15.620499,19.104973,22.627417,24.758837,26.172505,25.495098,13.152946,12.041595,11.045361,9.0,6.082763,4.472136,3.162278,4.472136,6.403124,8.485281,10.630146,10.630146,11.401754,11.401754,12.041595,12.727922,12.041595,12.806248,12.206556,11.661904,12.529964,12.083046,10.77033,9.486833,9.486833,6.324555
20260626_161959,2026-06-26T07:20:00.298860Z,skeleton,RX3,10.29563,9.899495,10.816654,12.083046,12.649111,13.601471,13.601471,13.928388,13.601471,13.0,13.0,12.083046,10.77033,10.440307,10.440307,10.049876,10.0,10.049876,10.440307,11.7047,12.083046,12.529964,12.529964,10.816654,10.0,9.219544,15.620499,19.849433,21.931712,23.345235,23.430749,22.803509,20.808652,17.204651,14.422205,10.816654,7.81025,5.830952,5.0,5.09902,7.211103,8.062258,10.29563,12.529964,13.928388,15.811388,16.278821,17.262677,17.029386,16.124515,15.132746,13.152946
20260626_161959,2026-06-26T07:20:00.331322Z,skeleton,RX1,9.486833,12.083046,14.764823,17.492856,18.35756,18.35756,17.492856,16.124515,15.0,13.601471,11.401754,9.219544,8.485281,5.830952,5.09902,4.123106,5.0,7.211103,8.944272,10.77033,11.7047,12.649111,12.649111,12.649111,11.7047,9.848858,18.35756,19.697716,20.880613,20.615528,18.248288,16.124515,12.041595,9.0,4.0,1.0,4.472136,8.544004,11.18034,13.416408,14.764823,17.0,18.35756,18.35756,18.867962,18.867962,17.492856,16.124515,13.416408,9.848858,6.082763,3.605551
