experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_163653,2026-06-26T07:36:53.141656Z,skeleton,RX2,12.165525,9.055385,6.0,1.0,3.0,7.0,11.045361,14.142136,17.117243,19.416488,21.377558,22.561028,23.537205,24.515301,23.537205,21.377558,18.248288,14.035669,9.0,2.236068,5.385165,11.401754,18.248288,23.194827,27.073973,29.017236,9.0,7.28011,7.071068,8.246211,10.0,13.152946,15.524175,16.763055,16.763055,16.763055,15.811388,13.601471,10.440307,8.246211,6.0,3.162278,3.162278,5.09902,6.708204,9.433981,11.661904,13.892444,15.652476,16.552945,17.088007,15.811388
20260626_163653,2026-06-26T07:36:53.171106Z,skeleton,RX3,18.384776,18.384776,18.384776,17.464249,17.088007,16.155494,15.811388,14.866069,14.866069,13.601471,13.0,13.0,12.083046,12.083046,10.77033,9.486833,9.219544,9.0,9.486833,10.816654,13.453624,16.278821,18.439089,19.209373,19.416488,19.723083,15.231546,13.0,9.848858,6.082763,5.0,6.324555,10.198039,12.165525,14.317821,16.492423,17.088007,17.0,16.643317,15.620499,14.866069,13.601471,12.529964,11.18034,11.18034,10.29563,10.0,10.0,10.630146,13.038405,14.764823,15.652476
20260626_163653,2026-06-26T07:36:53.202089Z,skeleton,RX1,8.246211,11.045361,13.0,14.142136,15.033296,14.142136,13.341664,13.341664,11.7047,11.18034,10.29563,9.433981,8.602325,7.81025,7.81025,6.403124,5.830952,5.385165,4.123106,3.162278,3.605551,4.242641,5.0,5.830952,5.830952,5.830952,24.186773,25.495098,29.154759,29.410882,27.892651,25.317978,21.213203,15.033296,10.049876,5.385165,3.0,6.403124,10.0,12.806248,15.620499,18.439089,19.849433,20.615528,20.518285,21.260292,19.79899,17.691806,15.620499,12.206556,8.544004,5.09902
20260626_163653,2026-06-26T07:36:53.231933Z,skeleton,RX2,10.816654,13.038405,13.892444,14.317821,13.928388,13.0,12.649111,10.440307,8.246211,6.082763,3.162278,1.0,2.0,6.0,9.0,12.0,17.0,19.026298,22.022716,23.086793,24.083189,23.194827,21.213203,18.248288,14.317821,10.440307,12.041595,13.038405,14.0,14.0,13.0,12.0,10.0,7.0,4.0,2.0,1.0,3.0,4.0,6.0,7.0,7.0,7.071068,7.071068,6.082763,5.09902,4.0,2.0,1.414214,2.236068,4.242641,7.071068
20260626_163653,2026-06-26T07:36:53.261392Z,skeleton,RX3,14.317821,14.56022,13.928388,13.416408,11.661904,12.206556,11.401754,10.630146,9.219544,9.433981,9.433981,9.848858,10.77033,11.7047,13.341664,14.317821,15.524175,16.492423,16.763055,16.763055,15.811388,13.928388,11.7047,8.544004,6.324555,4.123106,13.453624,16.278821,18.384776,19.104973,20.0,18.601075,18.027756,16.124515,12.529964,9.848858,7.211103,5.0,3.605551,3.0,4.123106,6.324555,7.28011,9.219544,10.198039,11.045361,13.038405,14.0,15.0,15.0,16.0,15.033296
20260626_163653,2026-06-26T07:36:53.292453Z,skeleton,RX1,8.062258,11.7047,12.649111,14.56022,15.297059,15.297059,14.142136,14.035669,13.038405,12.0,10.0,10.198039,9.219544,7.615773,7.615773,6.708204,6.403124,5.656854,4.472136,4.123106,4.0,3.605551,4.472136,5.0,5.830952,5.385165,23.021729,25.019992,27.166155,27.45906,26.683328,23.086793,19.313208,15.231546,9.848858,4.123106,2.236068,5.385165,9.433981,11.661904,14.764823,17.0,17.888544,18.788294,18.788294,18.788294,17.888544,16.124515,13.892444,10.816654,7.81025,5.09902
20260626_163653,2026-06-26T07:36:53.321599Z,skeleton,RX2,12.206556,14.21267,14.142136,14.866069,14.21267,13.601471,12.206556,10.29563,8.062258,5.830952,3.605551,1.0,3.0,6.082763,10.049876,13.152946,16.124515,20.223748,22.203603,23.345235,24.33105,23.537205,21.587033,17.720045,14.56022,9.848858,12.041595,13.601471,14.422205,14.422205,13.038405,11.661904,9.433981,7.211103,3.605551,1.414214,1.0,3.162278,5.385165,6.324555,6.708204,7.615773,7.615773,7.28011,6.324555,5.385165,3.605551,2.236068,2.0,3.605551,5.830952,8.062258
20260626_163653,2026-06-26T07:36:53.351100Z,skeleton,RX3,18.439089,18.248288,18.248288,18.248288,18.11077,17.117243,16.03122,16.03122,15.132746,15.132746,14.142136,14.317821,13.601471,13.601471,12.649111,11.401754,10.049876,9.055385,8.944272,10.630146,12.727922,16.278821,18.439089,19.104973,19.849433,19.209373,16.03122,14.0,11.045361,8.246211,7.071068,7.28011,10.0,13.038405,15.033296,16.0,17.117243,17.262677,15.811388,15.231546,15.264338,15.0,14.21267,13.453624,12.727922,12.727922,12.041595,12.206556,12.529964,13.928388,15.811388,15.524175
20260626_163653,2026-06-26T07:36:53.380816Z,skeleton,RX1,23.769729,21.540659,18.027756,14.56022,11.18034,9.0,6.324555,5.0,4.472136,5.0,6.082763,6.708204,8.062258,8.602325,9.219544,9.899495,10.630146,10.630146,10.630146,10.630146,10.630146,9.219544,8.602325,6.708204,5.385165,4.0,8.602325,3.605551,3.162278,8.602325,14.422205,20.59126,24.166092,27.856777,29.410882,29.12044,27.45906,25.317978,22.203603,19.104973,16.124515,12.165525,8.246211,5.0,4.0,7.071068,11.661904,15.652476,18.788294,23.259407,25.079872,25.079872
20260626_163653,2026-06-26T07:36:53.411609Z,skeleton,RX2,12.041595,8.485281,3.605551,2.0,7.28011,11.401754,15.297059,19.104973,22.022716,24.0,26.0,27.073973,27.166155,27.294688,26.305893,24.33105,20.223748,15.132746,8.0,2.236068,7.81025,15.652476,22.36068,27.313001,31.780497,33.615473,8.246211,5.09902,4.123106,6.708204,10.0,14.21267,16.970563,19.104973,19.79899,19.79899,19.104973,17.029386,13.601471,11.18034,9.219544,8.0,8.944272,9.899495,12.206556,15.264338,17.492856,19.723083,20.59126,21.095023,20.808652,18.601075
