experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_160448,2026-06-26T07:04:48.438810Z,skeleton,RX1,5.830952,10.29563,12.529964,16.124515,17.0,17.492856,17.492856,16.643317,14.422205,13.601471,12.206556,8.944272,7.615773,5.09902,4.123106,4.242641,6.324555,8.0,10.049876,12.041595,13.152946,13.341664,13.341664,12.369317,10.440307,8.246211,17.0,18.35756,20.124612,20.124612,19.235384,16.124515,13.416408,10.29563,7.211103,2.828427,2.0,5.09902,7.071068,10.198039,12.165525,15.033296,15.033296,18.0,18.0,18.027756,18.11077,17.117243,15.297059,12.165525,8.062258,4.0
20260626_160448,2026-06-26T07:04:48.469256Z,skeleton,RX2,10.0,10.0,10.630146,10.0,8.602325,8.062258,6.403124,4.472136,2.236068,2.236068,4.472136,7.615773,10.29563,13.416408,15.652476,17.888544,19.697716,21.023796,21.023796,18.788294,16.643317,13.601471,9.899495,6.708204,4.123106,10.049876,14.035669,19.026298,21.023796,23.0,23.021729,22.090722,20.223748,17.262677,13.152946,9.486833,6.324555,2.828427,2.236068,4.0,6.0,7.071068,9.055385,10.049876,10.198039,10.049876,10.0,10.0,9.219544,9.486833,8.944272,7.28011
20260626_160448,2026-06-26T07:04:48.503789Z,skeleton,RX3,25.632011,24.698178,23.259407,20.124612,17.0,13.416408,9.848858,7.28011,5.0,4.472136,5.656854,7.211103,8.602325,10.816654,12.206556,12.806248,14.866069,14.866069,15.556349,14.866069,14.866069,13.453624,12.041595,10.630146,9.219544,7.211103,17.029386,14.142136,10.198039,7.211103,5.09902,8.544004,11.661904,14.422205,16.643317,17.888544,18.788294,18.027756,17.464249,16.124515,15.033296,13.0,12.041595,10.0,9.0,7.28011,7.81025,9.433981,12.649111,16.763055,19.924859,23.086793
20260626_160448,2026-06-26T07:04:48.528423Z,skeleton,RX1,29.0,26.0,22.022716,18.0,13.0,9.0,4.472136,3.162278,5.385165,7.211103,9.219544,11.401754,12.806248,14.21267,15.620499,16.401219,15.0,14.21267,12.806248,9.899495,7.211103,5.09902,4.472136,5.0,6.324555,8.062258,6.0,3.162278,3.162278,7.071068,11.401754,15.811388,19.416488,21.633308,22.203603,22.803509,21.400935,19.849433,17.691806,15.556349,12.041595,9.219544,6.403124,2.236068,2.0,6.324555,10.440307,15.297059,20.223748,24.186773,27.073973,29.068884
20260626_160448,2026-06-26T07:04:48.558280Z,skeleton,RX2,6.082763,7.211103,8.485281,10.816654,12.206556,14.422205,16.643317,17.804494,19.209373,19.209373,19.849433,19.104973,18.384776,16.970563,14.866069,11.313708,7.071068,1.414214,5.385165,11.18034,17.492856,23.323808,27.784888,30.528675,32.449961,32.449961,22.627417,20.518285,15.620499,10.0,3.162278,4.242641,11.401754,18.027756,22.472205,25.059928,26.832816,27.313001,26.0,23.769729,21.540659,18.384776,15.231546,11.18034,8.602325,5.656854,4.0,5.0,6.403124,7.615773,7.615773,7.28011
20260626_160448,2026-06-26T07:04:48.588403Z,skeleton,RX3,8.602325,8.246211,10.049876,11.401754,12.649111,12.649111,13.928388,13.601471,13.341664,13.152946,11.045361,11.045361,10.0,9.0,8.0,7.0,5.09902,4.472136,4.242641,5.385165,6.324555,7.071068,8.0,9.055385,9.055385,9.055385,16.643317,19.723083,21.633308,23.600847,23.600847,22.803509,20.518285,17.691806,14.142136,11.313708,8.602325,6.324555,5.0,5.385165,7.211103,9.219544,10.630146,12.806248,14.422205,16.124515,17.888544,18.384776,18.384776,17.088007,15.231546,13.416408
20260626_160448,2026-06-26T07:04:48.618528Z,skeleton,RX1,27.730849,25.495098,21.023796,17.888544,12.529964,8.944272,4.242641,3.0,3.605551,6.708204,9.486833,10.440307,12.649111,13.928388,14.866069,14.866069,14.866069,13.601471,12.369317,10.440307,7.071068,5.09902,3.605551,5.09902,6.324555,8.062258,6.324555,2.828427,2.828427,6.324555,11.401754,15.297059,18.439089,21.377558,22.561028,22.561028,21.84033,19.924859,16.763055,14.866069,11.7047,9.848858,5.385165,2.236068,1.414214,6.403124,10.630146,15.620499,20.808652,23.853721,26.07681,28.653098
20260626_160448,2026-06-26T07:04:48.648703Z,skeleton,RX2,5.385165,6.0,7.28011,9.486833,10.77033,12.649111,14.56022,15.524175,16.492423,16.492423,16.278821,16.278821,16.124515,14.142136,12.165525,9.055385,6.082763,1.414214,5.09902,10.049876,16.03122,21.023796,25.0,28.017851,29.017236,29.068884,19.235384,16.124515,12.206556,6.403124,1.414214,6.708204,14.422205,19.416488,23.600847,26.400758,27.658633,27.018512,25.495098,23.345235,20.518285,17.029386,13.453624,10.630146,7.211103,3.162278,2.236068,3.0,5.385165,6.708204,6.708204,6.403124
20260626_160448,2026-06-26T07:04:48.678004Z,skeleton,RX3,24.839485,24.207437,22.803509,19.416488,18.027756,13.892444,10.816654,8.485281,6.403124,5.385165,6.0,7.071068,9.219544,10.198039,11.18034,12.165525,13.152946,15.033296,14.035669,14.0,14.0,13.0,12.041595,10.049876,9.055385,7.071068,14.142136,11.045361,8.0,5.830952,5.385165,8.062258,12.165525,14.317821,16.278821,17.117243,18.027756,18.0,17.117243,15.297059,14.56022,13.601471,12.083046,10.77033,9.486833,8.0,8.246211,10.0,12.806248,16.970563,19.79899,22.627417
20260626_160448,2026-06-26T07:04:48.708158Z,skeleton,RX1,27.018512,24.413111,21.400935,16.401219,12.806248,8.485281,3.605551,2.828427,5.385165,7.071068,10.0,12.041595,14.035669,15.132746,15.033296,15.033296,16.124515,14.035669,12.0,10.0,8.062258,5.385165,3.605551,5.09902,5.830952,7.071068,6.708204,3.605551,3.605551,7.615773,11.401754,15.297059,18.248288,20.223748,22.203603,22.36068,21.377558,19.416488,17.464249,15.524175,13.0,9.848858,5.385165,2.236068,1.0,5.830952,10.0,14.21267,18.439089,22.627417,26.248809,26.907248
