experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260626_145754,2026-06-26T05:57:54.333501Z,skeleton,RX2,5.0,7.211103,10.630146,13.453624,14.21267,15.264338,13.892444,13.0,11.18034,9.0,7.28011,5.830952,4.472136,5.09902,6.403124,7.211103,8.544004,10.049876,10.049876,9.486833,8.062258,7.071068,5.385165,4.123106,4.472136,6.082763,15.132746,16.492423,17.720045,18.027756,17.888544,17.492856,17.204651,17.029386,15.556349,14.866069,13.038405,12.083046,11.18034,11.0,11.18034,12.649111,14.764823,17.492856,19.723083,21.095023,22.472205,22.825424,21.470911,18.384776,15.231546,9.848858
20260626_145754,2026-06-26T05:57:54.363193Z,skeleton,RX3,23.600847,21.260292,19.104973,14.866069,12.206556,8.544004,7.071068,7.211103,8.602325,10.29563,13.0,14.866069,17.088007,18.384776,20.248457,20.615528,21.931712,21.023796,19.235384,17.0,13.038405,10.0,5.0,2.236068,5.0,8.246211,3.162278,5.656854,8.062258,10.440307,13.341664,15.132746,17.029386,17.029386,17.0,17.029386,16.124515,14.142136,13.152946,11.18034,9.219544,6.082763,4.0,2.828427,3.0,6.708204,9.433981,13.038405,17.204651,20.808652,23.600847,24.413111
20260626_145754,2026-06-26T05:57:54.395049Z,skeleton,RX1,25.059928,24.186773,20.248457,15.811388,13.601471,9.219544,6.403124,2.236068,1.0,4.472136,6.403124,7.81025,9.219544,11.313708,12.041595,12.806248,13.453624,12.806248,12.806248,11.401754,8.602325,5.656854,3.605551,1.0,2.236068,4.472136,6.0,4.242641,5.09902,9.219544,14.21267,16.643317,20.59126,23.259407,24.166092,23.769729,23.769729,21.540659,19.313208,16.155494,14.317821,10.29563,7.211103,2.828427,2.236068,4.0,10.440307,13.928388,17.464249,21.931712,24.166092,25.495098
20260626_145754,2026-06-26T05:57:54.423086Z,skeleton,RX2,5.385165,7.28011,11.18034,13.416408,14.866069,14.56022,14.142136,13.038405,11.045361,8.544004,7.211103,5.0,4.123106,4.472136,5.830952,7.071068,8.062258,8.544004,8.062258,8.485281,7.211103,6.082763,4.123106,4.472136,5.385165,7.071068,17.088007,18.384776,18.788294,19.235384,18.867962,18.601075,17.804494,17.691806,16.278821,15.0,13.892444,13.0,12.165525,12.0,12.165525,13.928388,16.155494,17.888544,20.124612,22.36068,22.847319,23.769729,22.135944,19.924859,16.492423,11.7047
20260626_145754,2026-06-26T05:57:54.453628Z,skeleton,RX3,12.0,15.297059,16.763055,18.027756,18.384776,19.313208,18.027756,17.088007,15.524175,13.601471,11.401754,9.486833,7.28011,4.472136,3.162278,3.605551,7.81025,10.816654,14.764823,18.35756,21.095023,23.323808,25.238859,24.413111,22.803509,21.260292,12.206556,12.206556,12.041595,11.313708,10.630146,7.211103,5.830952,3.162278,1.0,2.828427,5.0,6.708204,8.944272,9.486833,11.401754,13.341664,13.152946,15.132746,15.033296,15.033296,16.03122,15.033296,13.152946,11.401754,10.29563,8.602325
20260626_145754,2026-06-26T05:57:54.484694Z,skeleton,RX1,3.605551,7.615773,11.401754,14.56022,15.524175,15.524175,16.492423,15.297059,15.297059,14.142136,13.038405,10.049876,9.055385,7.0,5.0,2.0,1.0,3.162278,6.082763,9.055385,11.0,12.0,13.0,13.038405,12.041595,11.045361,20.396078,22.090722,23.021729,23.0,21.023796,19.104973,15.132746,11.18034,7.071068,2.0,2.236068,5.830952,8.944272,11.18034,13.0,16.155494,17.088007,18.384776,19.313208,19.924859,19.924859,18.681542,17.464249,13.341664,10.198039,6.0
20260626_145754,2026-06-26T05:57:54.519855Z,skeleton,RX2,29.12044,26.476405,22.090722,18.027756,12.165525,7.28011,2.236068,2.0,5.385165,6.708204,8.602325,9.899495,10.0,10.29563,9.219544,9.0,7.615773,6.403124,7.071068,8.246211,10.0,11.401754,13.0,13.341664,12.0,11.18034,13.601471,14.142136,14.422205,16.155494,17.464249,18.11077,20.0,20.099751,21.377558,21.587033,21.84033,22.135944,21.18962,20.248457,18.384776,17.888544,14.764823,13.038405,11.313708,9.848858,11.045361,14.866069,19.235384,23.706539,28.178006,29.966648
20260626_145754,2026-06-26T05:57:54.543236Z,skeleton,RX3,11.18034,13.928388,16.552945,18.35756,18.867962,18.867962,18.35756,17.492856,16.124515,14.764823,12.529964,10.29563,8.062258,5.656854,3.162278,3.605551,6.708204,10.77033,13.601471,17.720045,20.880613,23.086793,24.351591,24.351591,23.769729,21.931712,12.806248,13.601471,13.601471,12.206556,10.29563,9.848858,7.28011,5.0,2.236068,2.0,3.605551,5.0,6.708204,8.544004,10.440307,11.18034,12.165525,13.038405,14.035669,15.0,14.0,14.035669,13.152946,11.401754,9.433981,8.602325
20260626_145754,2026-06-26T05:57:54.573493Z,skeleton,RX1,24.413111,23.853721,20.248457,16.643317,13.038405,9.433981,5.830952,2.236068,1.0,3.605551,6.324555,8.544004,10.440307,12.369317,12.369317,13.601471,14.317821,14.317821,13.341664,12.165525,10.198039,8.246211,5.09902,2.236068,1.0,3.0,6.324555,3.605551,5.385165,9.219544,13.928388,17.0,20.248457,22.203603,22.803509,23.600847,22.022716,20.615528,18.439089,16.401219,13.601471,10.816654,7.615773,4.123106,2.828427,4.472136,8.602325,12.041595,16.278821,19.849433,22.803509,24.207437
20260626_145754,2026-06-26T05:57:54.603093Z,skeleton,RX2,5.0,7.0,11.045361,12.165525,14.035669,15.033296,14.142136,12.369317,11.7047,8.944272,7.071068,5.830952,4.0,4.472136,4.472136,6.082763,7.071068,7.615773,7.81025,7.81025,6.708204,5.0,3.605551,4.123106,5.385165,6.403124,14.317821,16.155494,17.088007,17.720045,17.464249,18.248288,17.117243,16.03122,14.035669,13.152946,11.7047,10.29563,9.899495,10.29563,11.401754,13.152946,16.03122,18.027756,20.024984,22.090722,23.086793,22.203603,21.377558,18.439089,15.524175,10.198039
