sample_id,person,video_path,output_csv,status,original_fps,total_video_frames,extracted_rows,detected_rows,failed_rows,detection_rate,error
hoyeon_fall_normal_01,hoyeon,/content/carewave-round4-source/carewave_dataset/raw/videos/hoyeon/hoyeon_fall_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/hoyeon_fall_normal_01_pose.csv,completed,23.993322203672786,3593,1498,1495,3,99.79973297730307,
hoyeon_free_activity_normal_01,hoyeon,/content/carewave-round4-source/carewave_dataset/raw/videos/hoyeon/hoyeon_free_activity_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/hoyeon_free_activity_normal_01_pose.csv,completed,29.99833957530026,5420,1807,1807,0,100.0,
hoyeon_lie_down_normal_01,hoyeon,/content/carewave-round4-source/carewave_dataset/raw/videos/hoyeon/hoyeon_lie_down_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/hoyeon_lie_down_normal_01_pose.csv,completed,29.998329404339835,5387,1796,1796,0,100.0,
hoyeon_sit_normal_01,hoyeon,/content/carewave-round4-source/carewave_dataset/raw/videos/hoyeon/hoyeon_sit_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/hoyeon_sit_normal_01_pose.csv,completed,29.998761746213006,3634,1212,1212,0,100.0,
hoyeon_stand_normal_01,hoyeon,/content/carewave-round4-source/carewave_dataset/raw/videos/hoyeon/hoyeon_stand_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/hoyeon_stand_normal_01_pose.csv,completed,29.998360745314464,3660,1220,1220,0,100.0,
hoyeon_walk_large_motion_01,hoyeon,/content/carewave-round4-source/carewave_dataset/raw/videos/hoyeon/hoyeon_walk_large_motion_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/hoyeon_walk_large_motion_01_pose.csv,completed,29.998334967531868,5405,1802,1802,0,100.0,
hoyeon_walk_normal_01,hoyeon,/content/carewave-round4-source/carewave_dataset/raw/videos/hoyeon/hoyeon_walk_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/hoyeon_walk_normal_01_pose.csv,completed,29.998341258431935,3617,1206,1206,0,100.0,
sujin_bending_normal_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_bending_normal_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_bending_normal_02_pose.csv,completed,29.998332190575024,5396,1799,1795,4,99.77765425236242,
sujin_chair_sit_variation_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_chair_sit_variation_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_chair_sit_variation_01_pose.csv,completed,29.998341105560982,5425,1809,1809,0,100.0,
sujin_chair_sit_variation_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_chair_sit_variation_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_chair_sit_variation_02_pose.csv,completed,29.99610440202571,385,129,129,0,100.0,
sujin_chair_sit_variation_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_chair_sit_variation_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_chair_sit_variation_03_pose.csv,completed,29.996164173379363,391,131,131,0,100.0,
sujin_fall_normal_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_01_pose.csv,completed,29.998331262863182,5393,1798,1796,2,99.88876529477196,
sujin_fall_normal_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_02_pose.csv,completed,29.998341258431935,3617,1206,1205,1,99.91708126036484,
sujin_fall_normal_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_03_pose.csv,completed,29.996000533262233,375,125,125,0,100.0,
sujin_fall_normal_04,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_04.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_04_pose.csv,completed,29.996053150901197,380,127,126,1,99.21259842519686,
sujin_fall_normal_05,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_05.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_05_pose.csv,completed,29.99608406213288,383,128,127,1,99.21875,
sujin_fall_normal_06,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_fall_normal_06.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_fall_normal_06_pose.csv,completed,29.99607381232823,382,128,127,1,99.21875,
