sample_id,split,source_file,output_file,source_rows,candidate_windows,valid_windows,rejected_gap_windows,sequence_length,stride,feature_dim,status,error,processing_sec
hoyeon_fall_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_fall_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/hoyeon_fall_normal_01_sequences.npz,1495,296,285,11,20,5,315,completed,,0.44177985191345215
hoyeon_free_activity_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_free_activity_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/hoyeon_free_activity_normal_01_sequences.npz,1802,357,357,0,20,5,315,completed,,0.983062744140625
hoyeon_sit_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_sit_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/hoyeon_sit_normal_01_sequences.npz,1205,238,238,0,20,5,315,completed,,0.27376246452331543
hoyeon_stand_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_stand_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/hoyeon_stand_normal_01_sequences.npz,1210,239,239,0,20,5,315,completed,,0.24355435371398926
hoyeon_walk_large_motion_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_walk_large_motion_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/hoyeon_walk_large_motion_01_sequences.npz,1802,357,357,0,20,5,315,completed,,0.34937381744384766
hoyeon_walk_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_walk_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/hoyeon_walk_normal_01_sequences.npz,1206,238,238,0,20,5,315,completed,,0.22383332252502441
sujin_bending_normal_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_bending_normal_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_bending_normal_02_sequences.npz,1795,356,342,14,20,5,315,completed,,0.4754974842071533
sujin_chair_sit_variation_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_chair_sit_variation_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_chair_sit_variation_01_sequences.npz,1806,358,358,0,20,5,315,completed,,0.5898785591125488
sujin_chair_sit_variation_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_chair_sit_variation_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_chair_sit_variation_02_sequences.npz,128,22,22,0,20,5,315,completed,,0.051666975021362305
sujin_chair_sit_variation_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_chair_sit_variation_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_chair_sit_variation_03_sequences.npz,131,23,23,0,20,5,315,completed,,0.04864788055419922
