sample_id,split,pose_file,feature_file,output_file,pose_rows,csi_rows,time_matched_rows,valid_pose_rows,final_rows,matching_rate,mean_time_error_sec,max_time_error_sec,feature_dim,pose_dim,processing_sec,status,error
hoyeon_fall_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/hoyeon_fall_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/hoyeon_fall_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_fall_normal_01_synchronized_315.npz,1498,1809,1498,1495,1495,99.79973297730307,0.02081763930618763,0.04165348410606384,315,66,0.8415415287017822,completed,
hoyeon_free_activity_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/hoyeon_free_activity_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/hoyeon_free_activity_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_free_activity_normal_01_synchronized_315.npz,1807,1802,1802,1807,1802,99.72329828444937,0.0049843136221170425,0.009963667951524258,315,66,1.114074468612671,completed,
hoyeon_lie_down_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/hoyeon_lie_down_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/hoyeon_lie_down_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_lie_down_normal_01_synchronized_315.npz,1796,1800,1796,1796,1796,100.0,0.004998143762350082,0.009996822103857994,315,66,0.6072885990142822,completed,
hoyeon_sit_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/hoyeon_sit_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/hoyeon_sit_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_sit_normal_01_synchronized_315.npz,1212,1205,1205,1212,1205,99.42244224422441,0.002484865253791213,0.004968204535543919,315,66,0.40931105613708496,completed,
hoyeon_stand_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/hoyeon_stand_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/hoyeon_stand_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_stand_normal_01_synchronized_315.npz,1220,1210,1210,1220,1210,99.18032786885246,0.0033032787032425404,0.006605031434446573,315,66,0.705528736114502,completed,
hoyeon_walk_large_motion_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/hoyeon_walk_large_motion_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/hoyeon_walk_large_motion_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_walk_large_motion_01_synchronized_315.npz,1802,1806,1802,1802,1802,100.0,0.004998146556317806,0.009991302154958248,315,66,0.9709076881408691,completed,
hoyeon_walk_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/hoyeon_walk_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/hoyeon_walk_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_walk_normal_01_synchronized_315.npz,1206,1207,1206,1206,1206,100.0,0.0033314903266727924,0.0066629801876842976,315,66,0.7096774578094482,completed,
sujin_bending_normal_02,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_bending_normal_02_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_bending_normal_02_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_bending_normal_02_synchronized_315.npz,1799,1800,1799,1795,1795,99.77765425236242,0.0050020297057926655,0.009993785992264748,315,66,0.9182002544403076,completed,
sujin_chair_sit_variation_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_chair_sit_variation_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_chair_sit_variation_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_chair_sit_variation_01_synchronized_315.npz,1809,1806,1806,1809,1806,99.83416252072969,0.004990783054381609,0.009982140734791756,315,66,0.8678679466247559,completed,
sujin_chair_sit_variation_02,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_chair_sit_variation_02_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_chair_sit_variation_02_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_chair_sit_variation_02_synchronized_315.npz,129,128,128,129,128,99.2248062015504,0.0008246736833825707,0.001649541431106627,315,66,0.12899994850158691,completed,
